Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Dave Turkaly,Karen Zaderej," Thanks. Just quickly back, I want to follow-up on the agencies, the 19. Can you give us a broad estimate of how many people are working at those places today? And then it sounds like I know that number has been fairly consistent, so this wasn't anything that came up with sort of new early ones that were more recently added, but maybe it sounds like the splitting of the territory is the same thing that caused disruption -- in the direct might have caused some disruption there, is that the right way to think about it?"," So, in the last question, no, the distraction actually I think was external to us. Our solution was to split the territories. When you -- all of these, I think -- what do I see, all of these agencies have multiple people in them that carry our products, but they range in size quite a bit. Some of them are small and with only two sales associates and they can be as high as more than 10 to 12 associates carrying our product. They also have quite a bit of variation in geography. Some of them are -- really a few cities and others have multiple states. And so what our plan is to continue to look at these and will they perform and do a great job and continue to drive the kind of growth that a direct rep does. I'm very happy to work with them. Where they don't hit their quota and they underperform or get distracted with other aspects of their business or are worth hiring new people and get distracted, then our drive is to say that they may not be able to carry our products. And we are very upfront with them about that. It says it's all about hitting the number. And I think they understand that's their job. And they have a relationship. And we have an good enough communications channel that we can continue to talk to them to say well if you see something coming, then we'll go ahead and trade it out. I mean that's what our goal is to end these things in a smooth transition for the people that are their customers as well as our customers. Remember they are calling these customers for other products as well and they don't want to leave them high and dry. So, we have a good win-win to try and do an effective transition in that case.",,,,,,
Dave Turkaly,Pete Mariani," Got you. And then sorry, I didn’t get the technical here, but just over 40% of the direct salesforce leaves a lot of room for what the actual number was. I was wondering if you might want to -- if you could kind of quantify we're talking 45, 50. Any color around how well the direct channel grew to give people comfort that 40% is the right number for the year."," Well, look I answered, we're continuing to grow low to mid 40s on the on the direct channel. And they're doing very, very well and what we're really encouraged with is the fact that these new reps as Karen had talked about are coming in with a good base of business and they're growing from that. And so we're seeing really strong initial productivity from our newer reps that we brought on and as they get through their third, six and nine months with the company. It gives us a lot of optimism as we look at the back half of the year.",,,,,,
Dave Turkaly,Pete Mariani," It's good to hear and I appreciate the color. Last one just quickly, obviously, this new facility. Next year people obviously having exceeding sort of $100 million in revenues and I guess I just love to get color on sort of what kind of capacity you think you'll have with this new facility. Do see the ability to kind of cover what people might expect for the next five years, 10 years, just any color on how much you could process both Avance and Avive with this facility up to speed? Thanks."," Yes. No, it’s a great question. We're really excited about this building; it's 70,000 square feet as it is with plenty of capacity within the current four walls of it to meet our needs over the next many years. And then one of the reasons why really like this place is because it's got a room where you can essentially double that 70,000 capacity down the road if you ever felt you needed. So, we've got a good opportunity to make a long-term decision here that will certainly handle our capacity needs for the long-term.",,,,,,
Raj Denhoy,Pete Mariani," Hi, how are you guys doing?",Good Raj.,,,,,,
Raj Denhoy,Karen Zaderej," I wonder if I could maybe drill into this issue with the distributors a little bit more. You mentioned that that there was distractions, and I'm sure you got question as to what exactly that was that caused underperformance in that segment of your salesforce? So, was anything more you can give us just to give a little comfort that this is temporary and that you've put it behind you?"," I don't think there was one cause. I think it's the things that are going to happen in a sales organization, especially with independent agencies and that they can get focused on other price. We're not the primary thing in really any of their bags. And so they're providing our product as a service to the people that they -- and surgeons that they already know. So, it was only a targeted few of them that had the distractions, but -- and it wasn't all one thing. So, it really is just digging in and solving that problem. And as I said in some cases, it was something that we felt that the independent agency still has a strong value to us and is committed to the line and we're providing additional resources to get them through that. In that case with some people in their team, so we wanted to make sure that we could provide them training and help them come up the learning curve. In other cases, we dug in a little bit and decided that they had enough focus in other products that we weren't going to get the attention that we needed. And we traded them out and put in a direct rep in either all or part of their part of their territory.",,,,,,
Raj Denhoy,Karen Zaderej," Okay. But I guess as you've probably going to gather -- you might have already gathered, I mean the results in the quarter of 36% was below the -- at least 40% guidance which you've reiterated several times this year. And I guess just try to again gauge this level of that that we can get back this distraction in the distributor side of your salesforce has been rectified and as you look into the third and fourth quarter, how do we get comfort as people on the outside that you can actually return to that level of growth? And the follow-on to that is given that this has now happened in this segment of our salesforce, how do you -- how does this not happen again? In a sense, how do you get these people perhaps more engaged or does this take you then having to perhaps go direct in more segments as opposed to relying on distributors?"," Well, first off, I'll focus on the 80% of our revenue, which is really the direct channel. So, that's a portion of the business that we have clean and direct control over. And that's an increasing part of our business. Doesn't mean that we are going to be a hybrid model. The reason we think we want to be a hybrid model over the long-term is because their trauma is by design geographically spread out. And there are some selected trauma centers that are very good trauma centers, but they're geographically difficult to reach and maybe not concentrated enough. Examples are Alaska, Hawaii, Puerto Rico, parts of South Dakota. There are trauma centers in each of those locations, but no one of those in our current call pattern is probably large enough to put in a direct rep, at least at this point. And so what we're really doing is right-sizing what we consider to be some of our independent territories to say we definitely want strong partners in those locations. But in other areas where we may not be getting the focus, we're going to continue to divide out some of the territories and transition to direct reps. And you've seen us do that over time while the number of independent agencies has stayed about the same actually over the last year. The amount of trauma centers that they cover has actually gone down because we've been dividing out their territory and that's where some of the base has come for many of the direct reps that we've added. And that continues to be our strategy. You can see that we're planning to add some more reps over the rest of the year that will come from dividing either distributor or independent agencies territories or are direct territories. We still also plan to continue to split territories when they approach $2 million revenue number on any unrealized basis. We think that is where you might start to see some dampening of growth and that's obviously our goal is to continue to drive significant growth. And so we don't want to have that, so we set the expectation with our direct team and do execute such that we split territories when they are somewhere between a $1.5 million and $2.5 million. So, with all those things combined, I think we're in a good spot having addressed these. We won't eliminate all of our independent distributors, but we will be less reliant on that portion of the channel as we continue to grow.",,,,,,
Raj Denhoy,Pete Mariani," Okay. And sorry just last one. As we look at the model in the back half of the year and get back above 40%, you have to grow north of 40% because you're a little below that in the first half. Is some of those going to linger now into the third quarter and then you'll have a particularly strong quarter, how should we really think about the back half?"," Yes. Look, we just think the back half is going to be -- is going to continue to be stronger. I think -- again, we don't give quarterly guidance, but I think if you just look at where you -- where we would need to be, it certainly suggests that we're going to get back over 40% in both quarters and moving north in that range as well.",,,,,,
Richard Newitter,Karen Zaderej," Hey, how are you doing Pete? Karen, I wanted to start with a comment that you made earlier in your prepared remarks about distributor challenges and if you could just elaborate on that a little bit? This was a first quarter in a while where your growth is below 40%. So, -- and I appreciate you reiterating your guidance of greater than 40%. So, clearly you're expecting a reacceleration into 3Q and 4Q to get there. But I'd love to just kind of hear what was kind of one-time in nature or what perhaps cause you to kind of come in below that that 40% threshold this quarter? And where did that stack-up relative to your plan?"," Well, there's a couple of things to add here. As you know we had built out our direct team in the first quarter -- end of last year first quarter of this year and some of those reps are still ramping. So, that was part of our projected plan to see in second quarter. Again, we don't give quarterly guidance, but second quarter was still a growth quarter for us with looking at how it typically and historically have play out, expecting stronger performance in the last half of the year. And that is our expectation and in fact, I would say those direct reps are running ahead and more productive than what our historical numbers have been. So, we feel confident in that piece. I think the disruption for us is that in some of our independent agencies in selected territories, not all of the channel, but in some selected territories, we had some distractions that caused their performance to be below our expectations. And so we're addressing those and addressing those -- things including adding some resources to help support them. In some cases, its training and support for that -- the independent agencies. And in other cases, it was dividing out the territories and allowing them to focus perhaps in a small regional area where they have strength, but putting in a direct rep where they -- and splitting that territory where they were not as strong or it was an important area for us to provide ongoing growth.",,,,,,
Richard Newitter,Karen Zaderej," Okay. So, is it safe to say that there's a little bit of lingering impact from some other kind of the salesforce changes they implemented last quarter, lingering into this quarter that maybe understated where your true growth trajectory is and that's why you're calling out the direct reps being greater than 40%?"," Actually -- I guess I don't see lingering issues. When you make a change in a bunch of sales territories, there is some disruption factor and we definitely saw that in January and February. We saw just that for a lot of the focus that you get when you have a lot of new people and new reporting structures in an organization. That's passed us. I don't see any event now. But what we do still have going on is that 50% of our direct sales teams that are new with us are going through a learning curve and the conversion curve. And if I put a little color on that, historically, when we brought reps -- a new rep into a territory, we brought them into it a territory, if you go back a few years and often we have very little base business, and we've talked about how they would expect to breakeven within a year. And what happened was that rep would come into that territory across the first couple of months of training, so there's not a lot of productivity in the first couple of months. Then they start to hit the ground running. They would have grown their revenue in those first few months and then historically, what we saw was they hit the valley of death where all their surgeons went into their wait period and they didn't have any business. And so in a later period, they would drop and then they would start to come up towards the end of the year. Today, we see an improvement in our productivity because they're handed a base of business already because we're splitting territories, or some base and a conversion from a distributor. And so they have a base. They are both maintaining that base and continuing to add incremental revenue that more than pays for their -- the cost of adding that rep in that first year. In addition we don't see them hitting that valley of death. So, we don't have a sort of low point where they're worried if they can make house payments and we're worried that their actual quarter-to-quarter growth. We are seeing that they continue to grow and it's particularly backend loaded. And so that's a big part of why we're confident that we're on-track to do what we plan to do in the last half of the year.",,,,,,
Richard Newitter,Pete Mariani," Okay, that's helpful. Maybe just one more if I can squeeze one in for Pete. Pete, you mentioned the pipeline of new accounts was robust; maybe can you quantify that in any way for us? And also just with respect to kind of the cadence between 3Q and 4Q, should we be thinking about the -- really more 4Q-weighted verse 3Q. Any color there would be helpful. Thank you."," Well, when you say new accounts, I mean there's -- were you saying new active accounts, right? Is that what you mean?",,,,,,
