Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Brad Heffern,C. Michael Palmer," Good morning, all. I'll start with another macro question. Just thinking about Brent, WTI at this point, it looks like at least in the Midwest you guys are planning to run a lot more WTI in the fourth quarter. Any thoughts around sort of the sustainability of these $5, $6 spreads going forward and maybe are we at the limit of what you guys can run in terms of WTI in the system?"," Yeah, Brad, this is Mike Palmer. With the Brent and WTI spread now in this $5.50 to kind of $6 area, certainly that has encouraged a lot of U.S. exports to take place, as I'm sure you know. We expect that we'll continue to see a positive Brent TI spread going forward. But with all the exports taking place, I guess I would believe that we'll start to see that spread come in over the next months. When the spread is wide like it is, what we want to do is, we want to be in a position where we can take in as much of the WTI-based crude as we possibly can, and that's what we do in our optimization process. So, we're trying to capitalize on all of the WTI-priced crude that we possibly can in the system today. And as we move forward in the future and we get our Ozark expansion completed, that'll open up a considerable amount of additional optionality that we don't have today.",,,,,,
Brad Heffern,Timothy T. Griffith," Okay, great. Thanks for that color. And then maybe for Tim. Just on CapEx, you guys haven't revised the budget at this point, but I think it implies like a $1.6 billion spend in the fourth quarter. Is there any reason to think that you guys are actually going to spend that or is there some sort of big expense that's included in that budget that is in the fourth quarter?"," Well, we're probably a little bit behind what we expected by the end of the third quarter, but we suspect that there will be some catch-up that will occur in the fourth quarter. So again, we're not going to re-guide the capital, but I think you should expect to see some catch-ups that will occur into the end of the year here.",,,,,,
Chi Chow,Gary R. Heminger," Great, thanks. Good morning. I guess couple of more questions on Capline. Maybe it's obvious, but does floating the open season suggest that all three owners are in agreement at this point on repurposing the line? And could you just talk about the strategic rationale for the reversal from MPC standpoint? Are you focused primarily on incremental growth for Midstream or is this developing crude optionality for Garyville?"," Well, Chi, it's both. As you know, this pipeline flowing south to north has the capability depending on the crude slate of running 1 million to 1.2 million barrels per day. Has not – recently been running anywhere near that level. But if you look at the Eastern Gulf, so everywhere from Baton Rouge refineries through Garyville, I think over to Mississippi, there is a strong desire to have a steady source of heavy crude. And so, the Eastern Gulf does not have that steady source coming down today. So, from a commercial standpoint, it's very important to MPC. Secondly, it provides a good Midstream source as well and that, as you know, Capline is not yet a part of our MLP, and that's just because the commerciality of that pipeline as it sits today is certainly – is not at a level – at the value level that it should be. So, as this is reversed down the road, we think that, that pipeline is going to be much more valuable, and then it will be an asset that will be considered for MPLX.",,,,,,
Chi Chow,Gary R. Heminger," Okay. To get incremental heavy Canadian barrel to Patoka, would you, MPC, consider locking up line space all the way down from Alberta on one of the trunk lines coming down either Enbridge or maybe KXL...?"," Yeah, let me ask Mike Palmer to handle that, Chi.",,,,,,
Chi Chow,C. Michael Palmer,Okay.," Yeah, Chi. We don't think that there is going to be any sort of a problem in supplying a reverse Capline. Enbridge has numerous projects, for example, that will get completed in the not too distant future and we think that, that will certainly allow for supply into Capline. And not only that, I mean, the Keystone base system can be used in order to supply heavy Canadian into reverse Capline as well. So, we – again, we think there's plenty of opportunities to move the heavy Canadian down Capline.",,,,,,
Chi Chow,Gary R. Heminger," Okay. Thanks, Mike. And maybe one final question here, does the Capline reversal tie into the potential of converting LOOP for exports, and what would be the targeted export capacity at LOOP that you've talked about in the past?"," Chi, I was just waiting for Mike to finish, and I was going to add in that you've got to think about Capline going beyond just St. James, that it eventually could go all the way back out to LOOP and it could reverse VLCCs out of loop. That study is underway. Today, we have a capacity of around 800,000 barrels a day of unloading capacity, but that's off of – we have three buoys, and I think we're going to unload two ships simultaneously. But we're – we do not have that study complete yet on – and presumably, it would be heavy crude that we would be looking at exporting. So when we get that study complete, Chi, we'll be able to share with you – we just don't have all of the engineering done.",,,,,,
Chi Chow,Gary R. Heminger,Okay.," But certainly would be the long-term plan, which it would be very positive for the Canadian producers, it'd be very positive for the midstream players, and also for all of the Eastern Gulf refiners to be able to have that crude source, and then some to even be able to export if they wished.",,,,,,
Corey Goldman,C. Michael Palmer," Hey, guys. Just a quick question on the MidCon fleet during the quarter. Obviously, DAPL, it's still ramping; can you just tell us how that impacted if at all the MidCon refineries in 3Q?"," Yeah, Corey, it's Mike Palmer here. DAPL became operational in June. And obviously what that does for us is it does give us the conduit into Patoka for the North Dakota Light crude. And over the third quarter, I can tell you that we've been ramping up the volumes of North Dakota Light as it has been attractive relative to the alternatives. So it's – again, it gave us the optionality we needed to take advantage of a well-priced feedstock.",,,,,,
Corey Goldman,C. Michael Palmer,Got you. And when – sorry – would you expect that ramping to be more I guess ratable? Is that a 4Q event or a 2018 event?," Well, it's – the pipeline itself is fully operational. So shippers can ship into Patoka or they can ship down to the Gulf Coast, either one. The amount of North Dakota Light that we'll want to bring into our system ourselves will depend upon how it's being priced. So that volume will come up and down depending upon the marketplace and how we optimize.",,,,,,
Corey Goldman,Gary R. Heminger," Understood. Okay. And maybe just as a follow-up question, given that it's so difficult to track these things with different contract rolls, is there anything that you can talk about from a third-party contract perspective that perhaps could be rolling sometime in 2018 or late 2017 that could find its way toward the MPLX bucket that maybe can put some earnings upside? Just – we don't see a lot of that information in the marketplace, I don't know if there's anything there that you can provide for us."," And, Corey, I just want to make sure I understand that, when you say contracts that are rolling, are you meaning contracts to provide further throughput and pipelines or can you be more definitive on your question?",,,,,,
