Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
William Marshall,Jacek Olczak," Hi. Good morning, or good afternoon to you guys. Thank you.", Good morning to you. Hi.,,,,,,
William Marshall,Jacek Olczak," I just wanted to – first again on Indonesia a little bit. You talked about targeting double-digit profit growth in that market this year. When we think about Indonesia over the long term, is this – should we think about it a little bit differently where maybe it will be more of a profit growth market and less of a kind of volume revenue market going forward? Or is this just a one-time factor in 2016? And then maybe we get a little bit more volume growth in the out-years?"," Well, Bill, to be frank I'm sure am thinking Indonesia can have all three, i.e., can be a volume, revenue and a bottom-line OCI growth target. We still remain confident in the longer run, Indonesia total market can be in the growth rate over somewhere around 1%, 1% to 2%. We have said it on a number of occasions in the past that depends on the macroeconomic factors which may impact temporarily the purchasing power, et cetera. The market may have some slowdown, I think what we observed, that we forecast to observe this year, due to the – a bit of a – the softer – due to the softer economy, et cetera. Then Indonesia maybe go into some decline this year. But pricing remains strong. The cost outlook for Indonesia, I mean, it seems pretty positive. And therefore, we're very confident that this year as in the years in the past, I mean Indonesia, not only will it grow double-digit bottom line, but also, can remain a very significant contributor to overall PMI performance. So I'm very positive on Indonesia, both in the short and the longer term. But, as many developing economies, they might have some periods of a relative slowdown, and then as you know they will go to acceleration.",,,,,,
William Marshall,Jacek Olczak," That's great. Yeah. If you can do all three, I think that would be fantastic. And then just a quick follow-up. On Japan, just can you walk us through the decision not to apply for price increase on Marlboro?"," Well, I mean I think it's pretty obvious if you look at to what the price increase our key competitor has announced earlier this quarter. So we in some part are also reacting of – to the price moves announced or registered by others. So I think it's pretty obvious why we just selected that part of the portfolio.",,,,,,
William Marshall,Jacek Olczak, Perfect. Thank you very much. I appreciate it., Thank you.,,,,,,
Vivien Azer,Jacek Olczak, Good morning.," Good morning, Vivien.",,,,,,
Vivien Azer,Jacek Olczak," So, my first question has to do with the negative mix shifts that we saw in the quarter. While I appreciate the more muted price realization, the negative mix in particular in the EU comes as a little bit of a surprise, given that the momentum that we're seeing in Marlboro. So can you expand on that a little bit, please?"," Well, I think actually, if I talk historically, I mean, the EU had a relatively good mix, a relatively low mix. I think it's maybe there are some movements in timing of movements between our countries. I think the biggest challenge which we'll have to compete with, if you like, in the quarter was essentially coming, the lack of a pricing variance from Korea, and that's on a total PMI basis and obviously weighted quite largely on the Asia regions. If I would add a lack of the pricing – or extra gain from Korea, our revenue would be in a 4.5% growth territory and this is still despite a pretty challenging comp from Q1 over last year. So I think it's mostly the price which was driving the revenues and obviously also the bottom line there. And then obviously, you have a couple of comps which were coming from outside the EU region, that were coming mostly from the volume. I mean Russia, both total market and especially PMI performance, so they're completely different comps. And Indonesia and Asia also contributed.",,,,,,
Vivien Azer,Jacek Olczak," Okay. That's helpful. Thank you. And then on iQOS, given the strong demand that you've seen in Japan and the delay in the national launch, which I guess occurred yesterday, how are we thinking about the incremental market introductions that are anticipated for the year? Will the strong demand in Japan perhaps delay some of the, I think it's 13 markets that you're targeting by year-end?"," Well, we targeted 20 markets to be present with iQOS on the city level, on the national level by the year-end. I mean, clearly the Japanese performance is – and I could say it like this",,,,,,
Vivien Azer,Jacek Olczak, Terrific. Thank you very much., Thank you.,,,,,,
Matthew C. Grainger,Jacek Olczak," Hi, Jacek. Good morning.", Good morning.,,,,,,
Matthew C. Grainger,Jacek Olczak," Thanks. So, as we think about the cadence of profit growth and earnings growth this year, clearly we're still in a period of more accelerated rollout costs behind iQOS. I don't know if it's – I may be asking for too much detail here, but can you give us a rough sense for how material the step-up in investment was as a headwind to earnings growth this quarter? Or how it compares to Q4? And you mentioned in the release that the earnings growth profile could be more second-half-weighted than Q4-weighted. So just wondering if you could sort of help set expectations for Q2?"," Actually, you're always asking for lot of details, right? Look, let me put it this way, absent the iQOS partially comps but also increased investment, I guess the cost for the quarter would come about flat. Essentially that would be flat. So all the cost growth in the quarter you could – one could attribute it to the investment behind iQOS. It's obviously on ex-currency, always on ex-currency basis. To give a bit more light into how we see the quarters going forward, we still are to confirm that our outlook for the total costs for the year, and this is now all-inclusive again on ex-currency basis or conventional and RRP, Reduced-Risk Products on ex-currency basis, the cost outlook still remains at about 1% for the full year. So we'll have, obviously, some comps issues in the quarters. If you look at the pacing of our growth rate, if I take it on an EPS level, second, third, fourth quarter, look, as much as we would be explaining the difficult comps in the Q1 of this year, I mean, clearly we will all have a different situation, 180 degrees different situations in Q4 of this year. So obviously one should expect there quite a strong, very strong actually growth rate on EPS level in Q4. And in Q2 and in Q3, we will be going somewhere below obviously the guidance which we gave for the full year. This will very much also depend on the timing of some expenses, et cetera. I think revenue line is going be cruising closer to what we said is for the full year, so somewhere in a corridor of a 5% to 6% quarter this year versus the quarters of the last year. We should see the evolutions of our revenue. So it's much more the differences which we have in comps coming from the investment, partially behind the conventional, but very much obviously driven by the deployment of iQOS.",,,,,,
