Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Michael W. Gallo,Joseph E. McNeely," Hi, good morning."," Good morning, Michael.",,,,,,
Michael W. Gallo,Joseph E. McNeely," Just had a couple of questions; I wanted to drill in a little bit on the gross margin line a little more on what happened there in the quarter, obviously you have this order that, you guys projected costs that are higher than, so more background there on kind of what happened whether we should view this as an isolated event and then also on that front how much was the Clinton facility losing and how much did you expect the closure of that to help from a margin standpoint going forward. Thank you."," Let me take the first part and Chip can address the Clinton. As it relates to the manufacturing cost, the one item that Chip noted in his comments was in order where we had really tight deadlines and the work with the customers we had enforced, product where we normally wouldn’t. So I wouldn’t expect to see that repeat itself again. Chip also mentioned that there were some other production and efficiencies in costs. In the quarter there were certain maintenance costs, operation and supply costs et cetera that were higher than we would have expected and higher than in prior quarters.",,,,,,
Michael W. Gallo,Charles F. Avery," I was going to say, just as a follow up on that first part, should we expect then more when you look at the way the backlog looks today and the production runs that we should see perhaps gross margin is at a more similar level what you saw in the third quarter obviously getting better as revenues move up?"," Again without giving specific financial guidance, margins probably go back to where we are seeing more of where they have in the past, but again that depends on the current mix that’s out there. Remember, in 2014 as Ted said, half of the backlog is our rebuilt which have a lower revenue number, but I got the same kind of margin percentage, the margin dollar could be lower.",,,,,,
Michael W. Gallo,Joseph E. McNeely," All right, and I understand that, but in just general. And then I guess the second part on Clinton?"," Sure. So the Clinton facility as we look at the sort of the drag in 2013, it’s a very small facility, top-line was about $2 million, the operating loss was slightly less than $1 million in 2013. So again we see that going away, the facility has held for sale and it has been written down as and a big part of the charge at year-end was an impairment or a write-down of the facility to book value. So, and sort of that’s a release during 2014.",,,,,,
Michael W. Gallo,Joseph E. McNeely," In terms of the $2 million, would you expect to be able to pickup any of that revenue in your other facilities, do you expect that revenue will go away?"," I expect to go away. It’s in a different part of the country than our two Nebraska facilities, but I expect most of that goes away.",,,,,,
Justin Long,Theodore W. Baun, Thanks. Good morning guys. I was wondering if you could talk about the marketing efforts for Shoals. I’m just curious how much of your efforts have been on the product development side versus going out in marketing these new products with some of the big customers and any detail you have on initial feedback from customers purchasing the railcars from this facility would be helpful as well.," Sure Justin, this is Ted. It’s an effort when we look to fill Shoals and develop products, it’s obviously outside sales, it’s marketing, and it’s a large part of engineering resources. So we’re moving ahead on all fronts. As we’ve said in the prepared remarks, it’s covered hopper cars, variety of different sizes, further intermodal flat cars they were looking to develop and ultimately put into that plant and I would say that customers have been very receptive to our design efforts, our end product and the prospects for the plant.",,,,,,
Justin Long,Theodore W. Baun," Thanks, Ted. That’s helpful. And – in terms of the increase for Shoals, what do they look like as it relates to size? Are you typically seeing increase in the hundreds of units or are they smaller than that?"," I’m not going to comment on any particular size of enquiry, but I will say that on average, we are seeing enquiries about where they were through Q3 and Q4 and a slight uptick as we enter 2014. So we are seeing a bit of improvement across the Board with FreightCar enquiries. And obviously we will decide where to put those be it Shoals, Roanoke, or potentially Danville as we move forward.",,,,,,
Justin Long,Charles F. Avery," Okay, great. And, if you think about your guidance for about 7,000 railcars deliveries this year, is there a way to the break that out between what you expect to deliver in Roanoke versus Shoals?"," We don’t comment on specific plants, productions and backlog Justin.",,,,,,
Justin Long,Charles F. Avery," Okay, fair enough. And I had one question on the balance sheet, if you could provide some detail on your CapEx expectations for this year and just given the current backlog what your expectations for the cash balance as we move throughout the year as well would be helpful?"," So, in terms of the 2014 CapEx, our expectations are around $10 million for the full year. We’re looking at between $6 million and $7 million for the final build-out of Shoals which basically takes us through mid-year. And then couple of million dollars in maintenance, capital and some of the product developments pending. So, those numbers are exclusive of any decisions we make in terms of build on the lease fleet. So those are just the sort of the internal – the internal ones per say.",,,,,,
Justin Long,Charles F. Avery," Okay, perfect."," And then in terms of the balance sheet we obviously have forecasts and so on with large deposit taken at year end, that will be used as you would expect to purchase inventory for that – that order. And we expect that to come down over the years. So, I mean, as we project out, I guess those are long-term as we’d like to be right in the $100 million range and again there will be a large consumption as we from the $192, as we buy in the inventory for the order.",,,,,,
