Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Fred Buonocore  CJS Securities,Pat McDonald," Good morning.  Nice quarter in the face of some challenges.  My first question relates to your '09 guidance, assuming SG&A remains roughly similar, tax rate roughly similar, all things being equal in that regard, your guidance appears to imply fairly minimal gross margin improvement relative to the second half of  '08.  Even given higher volumes, what would I expect maybe lower raw material costs, and what one would hope would be efficiency improvements at Power/Vac, can you kind of reconcile that for us please?"," That's a long reconciliation question, Fred.   As we have talked about on various conference calls, we have been improving all throughout the year.  As we always give in our guidance that says we are trying to get back to the best period of our peak before.  We're getting pretty close to that.  I don't know that we're going to see the step function changes that we have seen in the past over the quarters as it relates to operating efficiencies and productivity.  I think we will continue to see improvement, but it's not going be the size that we saw in this last fiscal year.",,,,,,
Fred Buonocore  CJS Securities,Pat McDonald," Then my followup relates to the sequential bookings decline.  Should we take that to indicate maybe a slowing in demand from the oil and gas sector, realizing your quote activity is still good?  Or is this kind of just quartertoquarter lumpiness?"," As we have talked about, we do have a lot of quartertoquarter lumpiness, especially with some of the size of the projects that we have.  I think we would be remiss to say that there are not some issues as it relates to the timing of jobs going forward in the future.  We do believe that our order input in the fourth quarter was impacted by the hurricane because not only were we down, but our customers were down and not placing orders at the same time.  As I think right now, we can probably say that our first quarter order input will exceed our fourth quarter order input.",,,,,,
Fred Buonocore  CJS Securities,Pat McDonald, Any way to quantify the impact of the hurricane on orders?, That one is almost impossible.,,,,,,
John Franzreb  Sidoti and Company,Pat McDonald," Good morning.  I was wondering on a historical perspective, do you have a sense what kind of treasure threshold price on oil that your customers are more apt to go forward with projects and what kind of threshold price on oil is when they start to pull back on orders?"," We don't have anything quantified.  The only thing I can allude to is there's been a lot of articles written and some of our customers have stated they never made a single investment decision based on $150-a-barrel oil.  I think the only thing that I can quantify that we have read was as it related to the tar sands projects, where they were looking at $45 to $55 to $60 a barrel made that economical.  Nothing else that we have tangible that relates to where people are making their investment decisions.",,,,,,
John Franzreb  Sidoti and Company,Pat McDonald, You don't participate in tar sands work do you?," Sure, we have a number of projects that we have supplied into the tar sands area, the pipelines, and coming back into the U.S.",,,,,,
John Franzreb  Sidoti and Company,Pat McDonald," I was not aware of that.  Just my followup, and I will get back into queue.  Remind me, did you expand your North Canton facility to kind of capitalize on transportationrelated projects?", We are in the process of expanding that right now.  That should be completed in our fiscal second quarter.,,,,,,
John Franzreb  Sidoti and Company,Pat McDonald," Could you just review that decision process and do you think it's a good one or bad one in light of municipal spending and also, if you will, potential infrastructure spending on the new administration.  I guess there’s a put and take kind of there with that decision."," I don't think I would second-guess the decision.  I think we need the space and high bay area, whether it's transportation or it's utility or it's oilbased.  Our deal is to supply solutions to the customers, and we need that type of overhead high bay crane space to do that with.",,,,,,
Ned Borland  Next Generation Equity Research,Pat McDonald," Just another followup on the orders question.  If we're looking, I know it's not a completely linear relationship with where oil is, but is there some sort of lag in terms of like where you see a precipitous drop in oil prices to when those translate into a lower absolute level of orders?  Is there any kind of relationship there?"," Ned, I don't have any graphs or statistics to give that.  Again, when we look at projects, they are typically three to fiveyear projects.  I think a lot of our customers, and I don't want to speak for them, but I think they're going to look to see that this is a spike down and there's going to be a movement back up.  I do believe that we have seen probably in the chemical area more of an immediate reaction in order input for what the chemical companies are seeing, because of who they supply their product to.  I think in the oil area, you are still talking three to five years on refining and production areas.",,,,,,
Ned Borland  Next Generation Equity Research,Pat McDonald," Is there any granularity you can give us on the utility business here, in terms of products or projects that may be coming down the pipe that may or may not get delayed because of credit financing or anything else?"," We don't have any in that area that we know of that are being delayed due to credit financing.  Not to say that there aren't some out there, but we have not seen any delay as a result of credit financing.",,,,,,
Craig Bell  SMH Capital,Don Madison," Good morning.  I wanted to followup on an earlier question with regards to some of the productivity there.  In past quarters, you talked about how many people you have been hiring and the ramp up there.  Number one, are you still hiring at a pretty good rate?  Number two, given the hiring that you have done over the past 1218 months, is that productivity starting to kick in with those newer workers?"," Looking at what we're doing today, our overall employees remain relatively flat over the last few months.  The hiring today is predominantly in replacement of individuals that leave, so our aggregate is basically flat.  That number is decreasing as well because of, as we talked in the past, our highest risk period with new hires is the first six months or so.  Actually, the highest risk is the first probably six weeks.  After about six to nine months, we do a great job of converting a new employee into a longterm employee.  Clearly, we have seen productivity improvements.  In a project business, it's hard to develop the same metrics you do in repetitive manufacturing.  I think, across the board, we're very comfortable that stability in the work force is improving and the benefits of that are beginning to be seen in our overall operating costs.",,,,,,
