Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Matt Tiampo,Brian Concannon," Hey Chris, in the past I think you guys have provided us, and I heard your commentary around Q1 and operating income contribution, but just wondering if -- I think in the past operating expenses for the first half of the year have been, maybe a little bit less than the full 50% of the year. Do you expect operating expenses to be skewed to the back half again this year as they have been in previous years?"," Hey, Matt, this is Brian. Before I let Chris answer that question, just a quick note from us here at Haemonetics and for those on the phone you may not be aware, the Steve Crowley who was the analyst at Craig Hallum, Matt has replaced Steve a few months ago. And Steve moved on. Unfortunately Steve was killed in a car accident on April 11. So Matt, from all of us here at Haemonetics, we send our condolences to you and to all the people there at Craig Hallum.",,,,,,
Matt Tiampo,Chris Lindop," Thanks, Brian. We really appreciate that."," Yes. With regard to the spending as we implement some of the VCC changes and other transformation activities in the early part of year, we should see the spending, not following the same pattern as in prior year.",,,,,,
Matt Tiampo,Chris Lindop," Just one more for me. Is the share repurchase that was announced, is there an impact to that contemplated in the guidance on the share count?",Yes.,,,,,,
Lawrence Solow,Brian Concannon," Brian, you briefly discussed obviously the whole blood outlook and all. Maybe you could -- with the U.S. market appearing to be at least a little bit on hold in terms of milestones that we may see, maybe you could talk about your plans or your strategies for the international market, which obviously is a much greater opportunity and size. I realize it is diversified and split up and fractionated, so maybe not all in one lump sum, but maybe you can discuss your outlook there, your strategy and how you can maybe get some better penetration on that side?"," Yeah, Larry, as you know, part of our strategy was to win here in the U.S. We won HemeXcel, we are working with that customer and working independently to reduce the costs of those products. When we acquired the Pall transfusion medicine business we knew that it had a cost position that was a bit challenged outside the United States and we saw the impact of that, with that tender we lost at the beginning – the European tender we lost at the beginning of last fiscal year. The margin of that was single-digit. So we began an initiative this past year to really focus on doing that. The benefit of doing that with existing customer is you can move more rapidly through the form, fit, function analysis where we’ve begun that process, we fully expect that to play out in fiscal ‘15 and beyond. It's part of what we're doing in our manufacturing as well, looking at certain things that will take over responsibility for manufacturing that are components being manufactured by others today. So there is an entire process that’s involved here. We will give more visibility to that exactly at our May investor conference but that's absolutely our focus. Now these are tenders that are determined basically by country. There's not a lot of these coming up in fiscal ’15. So while we have fiscal ‘15 to really work through this process, we don't expect that we’re going to see a number of opportunities play out there but we’re beginning to work now with customers in key countries around the world, where we do expect us to be in a much better position in fiscal ‘16 and beyond to take a lower cost product and some new blood management solutions, many of those being launched this year to bring to bear on those markets.",,,,,,
Lawrence Solow,Chris Lindop," Just switching gears real quick, just your outlook on the hospital outlook for next year, if I'm doing my math correctly it looks like surgical, OrthoPAT, that mixture is about, set to be about flat, is that correct?",Yes.,,,,,,
Lawrence Solow,Chris Lindop,Any color on that? I mean I guess is that --,It's a return to growth in the much larger surgical business offset by continuing -- unfortunate continuing declines or erosion in the OrthoPAT business.,,,,,,
James Francescone,Brian Concannon," Brian, you continue to reiterate that you are committed to executing on your existing strategy in whole blood and blood management. That said, the investment spending in M&A that you've done over the past several years have all been directed at a market that now looks like it is materially smaller and less profitable than you thought at first. At what point do you think you need to reevaluate your strategy?"," James, it won't surprise you to hear me say that we have been reevaluating that. And that's why we remain committed to it. Look, there is no question that, had we known that this market was going to see some of the declines but it was going to go through, that we may have paused before we had done the acquisition of the Pall transfusion medicine business. But there's also no question that to be a blood management company we needed to be in whole blood. It was the largest part of blood collection that we were not in around the globe, it's 97% of what our customers do in terms of blood collection. So we needed to be in that space. Timing arguably wasn't the best but it is also a part of what has enabled us to really come after the VCC initiatives, driving some very significant savings and some returns for our shareholders, much of that still yet to come. So I can appreciate the question and you can appreciate as well that that's something we have evaluated ourselves. We still believe strongly that what we're doing there, bringing automation to this very manual process, much like we did in plasma is going to pay off. It's going to be a bit more challenging and that it’s a country by country specific implementation but we remain committed to that for all the reasons why we were successful in plasma.",,,,,,
James Francescone,Chris Lindop," And then Chris, can you help us at all think through the key drivers of earnings for 2014 to 2015? Obviously you've got several headwinds in terms of the ARC contract loss, some other whole blood pricing, incremental variable comp. On a positive side you've got a tailwind for manufacturing. Is there anything else that I'm missing there and can you help us quantify what the relative impact of those items are?"," Sure. Let me recap some of the elements from the script. So in the category of headwinds we have about $11 million from currency yen pricing or yen - devaluation of yen revenues. We have about $9 million of incremental bonus year-over-year, so just comparison of one year to the next has that as a funding requirement and we have between $25 million and $30 million of headwinds from the North American business which is a combination of pricing provided in advance of VCC initiatives to win the HemeXcel business. It's some volume loss which in effect impacts the absorption of our fixed manufacturing costs and it’s just the flat out loss of the ARC business and the profitability of that. So those are the combination of headwinds, in the aggregate we’ve sized for you in the $50 million to $55 million range. We had ongoing VCC initiatives; we accelerated some of those items and also implemented other transformational restructuring activities in response to the market conditions and generated about $30 million of savings. But obviously you can only -- there's a practical limit on what you can do in those circumstances without impacting the real growth drivers of the business. And it’s a question of that the muscle of the business if you will. And so those are the sort of net headwinds and tailwinds from a profitability perspective. We reinvested the contribution from the growth drivers which I said were $40 million to $50 million of revenue in the growth initiatives that we have in emerging markets and plasma so that we’re keeping them moving forward. Does that help or have I confused you?",,,,,,
Jim Sidoti,Chris Lindop,Can you just give us a little more color on the timeline for SOLX and the approval there and if there is any possibility of regaining some of the Red Cross business over the next three or four years?," Well, the clinical trial is kicking off I think this week or next as expected. We are hopeful that we will have obviously the trial done and a response from the FDA by the end of this year, fiscal year and that will be in the market in ’16. And I think when we’re in the market with that product, we will have a clear understanding of how much leverage it gives us in terms of innovation.",,,,,,
Jim Sidoti,Chris Lindop,And then can you just give us guidance on what you expect for the donor business outside the U.S. for fiscal 15? Specifically the platelet business?," Yes. The platelet business will grow next year. We don't guide purposely, Jim, to individual product categories but the groups. The growth driver there will be first of all associated with the emerging markets, in fact, primarily associated with emerging markets.",,,,,,
