Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Glenn Greene,Jeffery Yabuki," I guess, the first question, just wanted to ask, talk about sort of the market, the macro sales climate and sort of the industry growth expectation. At your Analyst Day, just back in October, you sort of talked about 3% growth for the market. It kind of sounded like maybe you were tempering that a bit. I'm not sure if I heard that right. And if it is still 3%, I was just sort of curious that the midpoint of your internal growth is sort of smack in the range there."," Sure. So Glenn, when we were at Investor Day, we talked about our belief that over the next few years, that IT spending for the sector would average around 3% over that period. But that would build over the next several years, and we didn't expect that to be a flat line over the period and we see 2011 building into that average. So if you just use some simple math, you would expect it to be arguably lowest in 2011 and highest in 2013, just if you were seeing that kind of a bill. And our guidance contemplates that kind of a bill. Arguably, we've seen more optimism in the space over the last few months than we've seen really all of last year. That was apparent in our pipeline. It was apparent in our sales results, and frankly, there's a good level of optimism. I think we're taking a more measured and pragmatic approach, knowing that we need to see more than a month or two or three to believe that's enough to base all of our guidance on. So we're really using data points that stretch back from what we saw during the majority of 2010, what we're seeing more recently and the sales results that we had during the year. So all of that measures up to be, we would say, we're slightly more optimistic or I would say our clients are slightly more optimistic than they were several months ago. And we'd like to see that continue over the next quarters or two.",,,,,,
Glenn Greene,Jeffery Yabuki," And then different direction, maybe a little bit of commentary related to Durbin as it relates to exclusivity, just sort of what you're hearing coming out of D.C. and sort of potential for you. Or how are you sort of thinking about the opportunity as it relates to exclusivity, specifically on PIN side?"," Sure. So I mean, clearly, the first cut at the Durbin rules made that about as clear as you could be that that's going to end up being the standard. Now perhaps that will change, but certainly the first cut looked like that. And we believe that given the success that we've had with the ACCEL/Exchange network over the last few years and the conversations that we're having right now, I would say that's one of the areas that we would say there is reasonable opportunity. And we will continue to work with the marketplace to try to take advantage of those opportunities where it makes sense for the clients and us. Again, I think it's too soon to call that, but we feel good about the conversations that we're having today and again, believe that to extent there's benefit to be derived from the marketplace, it will be one of the beneficiaries of that opportunity.",,,,,,
David Koning,Thomas Hirsch," First of all, I just wanted to look at the margin progression. This year, the FI margins were up about 100 basis points for the full year, and Payments were down about 40 basis points for the full year. I'm just wondering, if you can just review that again. I remember, I know on different calls you talked about that, but now we have a full year under our belt. Maybe you can just talk about that a little. And then, how do you look at the segments going forward? Would you expect both to expand in 2011?"," Yes. Absolutely, Dave. That's a great question. I would say of the Payments side, as you highlighted, our margins were down. I think that is the area that we have made more investments. And as you know, most of our investments continue to run through our income statement, our P&L, because a lot of that is headcount-related. And Jeff went through some of the items, I think, in his remarks, but around ZashPay, around mobile, in our debit business, in our bill payment business, in our online channel, online banking business, which, as you know, we've had some second wins there; in our Biller solutions business, which we kind of highlighted at Investor Day. So those areas have been incremental areas of investment to really drive longer term growth. So we have invested in there in those opportunities, and we'll continue to do so going forward because we think that's very important to drive growth in 2011, '12 and beyond. And so I would say it's really a higher level of investment in there. Nothing's really changed from the margin characteristics of that business. But again, we just continue to invest more there because there are more opportunities to really grow our top line in that particular area. In the Financial segment, we just continued through our operational effectiveness initiatives, et cetera. And also the check processing business, which I know we talked about before, as that kind of electronifies, we kind of pick up on the margin end. But we also have very good scale businesses as you know, Dave, in the Financial segment in our account processing area. As we continue to sign those core clients and put them on to our platform, we really have some good scale businesses there. So we're going to continue to see good increases going forward. Our guidance next year is 50 basis points plus depending on the level of investment. But we're going to continue to see good margin expansion. As you know, we've done about 700, 650 basis points over the last four to five years, had a good year this year, and finished the year really at a record level from a margin standpoint in the quarter. So we feel good about that going into next year.",,,,,,
David Koning,Thomas Hirsch," And then two real quick ones, just term fees in the quarter and will StoneRiver continue to generate about the same affiliate income for you even now that they paid out the $89 million? I guess just those two quick ones."," Yes. Dave, on the first one, yes, we had about $4 million of term fees, which is up, I think, $2 million to $3 million over the fourth quarter of last year. Our license fees were still down slightly over last year. Though also in the quarter, they were down about $4 million to $5 million. But we still had a good quarter sequentially in license revenue over the third quarter. And so good there, but term fees were up very small again in the current year from that standpoint. Regarding the StoneRiver question, to highlight what you said, is we did get a dividend and loan lower repayment of about $89 million, $90 million. We did back that out of our free cash flow, but that should not impact their equity earnings going forward. So as far as their level going into next year, it should be right around the same level or so.",,,,,,
Bryan Keane,Jeffery Yabuki," My first question is just about the Check business. I know, Jeff, you noted that as that business volumes are declining. I guess, can you size that business for us? And I guess going into 2012, is it just becoming so small and it's not going to be material by then?"," Yes. The business is in the $200 million, $250 million range in terms of overall revenues. And the drag, or the percent size of the drag, is pretty material. That's why we called it out this year, but there's another factor. So it's not just that you have people writing less checks, but you have many more people converting those paper checks, specifically at merchant, like converting paper checks to electronic or whatever the case maybe. And so you have not just less checks, but you have less paper overall in the system. And that's really a function of all of the capture, the remote capture, and things like that, that have been moved in the system over the last few years. As that has gotten up to scale, that's tipping or accelerating the level of decline in that business. Now again, that will level out at some point, but it's going to continue to drag on us for a while.",,,,,,
Bryan Keane,Thomas Hirsch," And then I just want to ask about the operational effectiveness of $25 million. I guess that's kind of below last year's objective of $40 million, and I know the goal is, over five years, $250 million. So can you just help us understand, is that number get greater as we go forward?"," Yes, it will continue to build, Bryan. And that really is the same number that we presented on Investor Day, so that $25 million, because the next area of savings in the $250 million comprises of data center transformation and a number of other areas. But that $25 million ramps up significantly to year two to over $50 million. We're not giving guidance on that right now. But clearly, it's going to ramp up, and we have our plans. We're executing alone those plans and continue to refine those to accelerate as much of that as we can into 2011, keeping in mind the quality of our delivery and pacing that correctly over the next few years. So we are continue to refine those plans. Mark is going to be helping a lot in that regard to execute that over the next five years, and we remain very confident in our ability to be able to obtain that $250 million.",,,,,,
Christopher Shutler,Jeffery Yabuki," Jeff, looking at the 2% to 4% internal revenue growth guidance, what are kind of the one or two biggest swing factors, particularly get to the high end of that range?"," Yes, I would say it's the biggest opportunity that exists today. And earlier in 2010, early in the year in '10 -- sorry, I was getting my year straight -- we had talked about the fact that there were some larger transactions that we were in pursuit of. Some of them we could announce publicly, and some of them we could not announce publicly. And one of those happen to be WestPac, and we announced that it was a large transaction. Well, during the year, we ended up winning the transactions we thought we would be able to win. We didn't announce them because they were not announceable, but these are transactions that will be implemented over time. And the constraints that we have are really around having to contend with resource constraints within these very large financial institutions. We have to effectively get into their development queues. And some of the projects that we are working on, to the extent they can be moved in earlier, would have upside into our numbers for 2011. So that's the upside. I think on the downside, to the extent that the economy itself begins to deteriorate down to levels below what we saw last year in 2010, I think that would create some downside in our numbers. Beyond that, I would say that on balance, we would say there's probably more opportunity in our numbers if the economy stays as strong as people are talking about it staying right now. But we just don't see any reason, Chris, to get ahead of ourselves. We feel like we've got a reputation of doing what you say you're going to do, and that's what we're focused on right now.",,,,,,
Christopher Shutler,Jeffery Yabuki," And then second question is actually on e-bills, grew about 2% to 3% this year. How confident are you guys that, that growth rate can materially accelerate at some point either in '11 or '12 off of that base? And then with Wells taking their bill pay in-house, how do you think about the risk of other large FIs doing the same thing?"," Sure. Those are great questions. I'm going to take the latter one first, then we'll come back. Wells Fargo did not take their bill pay business in-house. Wells Fargo, a number of years ago, spent significant money and built their own bill payment system. What they did is they bought Wachovia back in '08, I guess it was, or '09 now, early '09. And they planned all along to convert that. They began converting the Wachovia business over to their own proprietary system, and they plan to complete that in 2010. So that's what happened in that case. And as it relates to others, I mean, we're very close to -- not surprising, we're very close to what's going on in the market. Beyond Bank of America, which is a well known large client of ours, Wachovia was about a 1% client of ours, we have a handful of other clients, bill payment clients, that are, I'll call it, 0.5%. And then beyond that, there's little concentration, and even 0.5% is not material concentration. The great news is we have renewed, most of it, not all of those agreements, over the last 18 months and we feel quite comfortable with that base of clients. So from that standpoint, we don't see any current risks. So that's the good news.",,,,,,
Christopher Shutler,Jeffery Yabuki," And then just final question, on ZashPay. Looks like you're charging, just on looking at the website, about $0.75 per transaction on your own website. But I'd just be curious to hear how you're seeing most of the FIs at this point price the product or, if most, are giving it away?"," Chris, I will get to that e-bill question that I forgot to answer to. I got slapped by Tom for that. But on ZashPay, yes, on the consumer side, we are charging $0.75. But most of financial institutions right now are looking at this. They see it to be a very high-value solution. They think it's going to move into the kind of the daily habits of their consumers, and they see it as a way to build fee revenue. So most of the clients that we're talking to right now are looking at ways to either charge for it. Many of them have already implemented and are charging for the send element. And I've heard some clients talk about, well, if you use a debit card x number of times, they'll let you have Zash transactions. So there are a variety of ways that you can bundle these solutions to try to create more value for clients. So my guess is it's going to become a fee generating item, and I think it will actually be quite helpful over the next several years for financial institutions as they look for that fee revenue. Just a quick comment on the e-bill. We continue to think e-bill is critical, not just for the fact that it unlocks growth, but it's ordinarily differentiating us as it relates to bill payment experience. Tom, I think, mentioned that we are investing in our Biller area and through our SmartConnect product. And so we are investing there. You'll hear more about that over the next year, and we are maniacally focused on unlocking some of the value that exists there. You may remember, we've got, call it, $100 million of embedded latent revenue that's sitting there. And it's a fixed cost business, so there's a lot of opportunity there. So we are focused on that as well.",,,,,,
Greg Smith,Thomas Hirsch," Tom, the tax rate in 2011 is 37.5% about where we should look at?"," I think that's in the range. It's going to be slightly better than 2010, which I'd say which is around 38%.",,,,,,
