Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Douglas Anmuth,Dara Khosrowshahi," I just wanted to ask about international bookings and in particular, obviously a tougher comp versus the last quarter. But looks like you did see some deceleration there. Can you talk about what you're seeing in Europe in particular and how you think you're doing in terms of share and in particular, on the agency hotel program with Easy Manage?"," I'd say in Europe, we're doing well. I think that we can do better. In general, the gross bookings number on a year-on-year basis in Europe came down a bit as we were rolling over the fee cuts that we put through last year. Revenue on an international basis x FX improved on it on kind of a quarter-to-quarter basis mostly because of revenue per room nights getting much better than they did last quarter. So I'd say on an international basis, in general, we're satisfied with our progress. In Europe, we're satisfied with our progress. Hotels.com on balance, I think, in Europe is doing better. I think Expedia's performance is okay, and it's something that we expect to get better on a go-forward basis. The Easy Manage properties, we've got around 8,000 of them. We've added around 8,000 of them year-to-date. The concentration of those properties is in secondary and tertiary markets. And in some of those markets, we are seeing ranges of 10% to 20% of our bookings being Easy Manage properties. And we think over time, as we establish those Easy Manage properties, as we move them up in the sort order and the new hotels that we're adding mature in our inventory set, we would expect that the percentage of bookings that come through Easy Manage as a percentage of our total bookings especially in secondary and tertiary markets should get higher than the levels that they are now, which is kind of a 10% to 20% level. So we think that we'll see improvement there, and we're happy with the progress. But we think we can do better.",,,,,,
Imran Khan,Dara Khosrowshahi," Two questions. One, I think you talked about 21% increase in selling and marketing driven by -- one of the big reason is keyword pricing. Could you give us some sense about what kind of conversion and return on investment you were seeing from those increased spending? And secondly, Dara, I think you talked about 43% of the bookings are merchant. Can you give us some sense like what percent of your hotel booking is merchant versus agency and how that trend is trending?"," Sure. As far as on the keyword pricing, et cetera, I'll answer that, and then Mike can talk about merchant. The 21% increase in sales and marketing wasn't necessarily all keyword pricing. But it does reflect an increase in aggression on our part in the CPC space and search engine marketing in general. Both and are being very aggressive than some of the new territories that we're going into, new markets in Europe, Asia-Pacific, where we go in with more aggressive efficiencies, so to speak. So that's not necessarily keyword pricing going up. That's just our getting into new markets, which tend to be less efficient from a marketing perspective than, call it, our more mature markets where we have more repeat users, et cetera. So I think while there is some keyword pricing in there, while we are, on balance, being more aggressive in certain markets and we do anticipate being more aggressive in the European, Asia-Pacific markets, it's a combination of our getting into new markets and our being more aggressive on the keyword pricing front. As far as ROI goes, as we get into these new markets, as we increase our spend, our ROI is lower than, call it, the mainline spend that we have in place now. So my expectation will be that for a couple of quarters as we spend up, our CPC ROI will go down, and then what we do is we spend time optimizing the ROI there, understanding which keywords work, understanding which keywords don't, optimizing our landing pages, the presentation to the customer, which usually gets us some efficiency back. But right now, we're in a mode of spending up. You see it in our sales and marketing numbers but also, again, it's something that we manage and you see it in our revenue numbers and gross bookings numbers, which are quite healthy.",,,,,,
James Mitchell,Dara Khosrowshahi," It's James Mitchell calling on behalf of Ingrid Chung. Could you talk a little bit about what drove the improvement in U.S. hotel room night growth? And in particular, to what extent is the direct function of the incremental sales and marketing spending in the quarter versus any other trends?"," I think it was a combination. First of all, the room night growth was fairly broad, and it was a combination of a bit more aggressive sales and marketing. I would say more conversion improvement, especially on the front of Hotels.com. Since we have integrated the platforms last year, the team has been working pretty hard on conversion improvement, site improvement et cetera, and we're seeing some nice results there. So that certainly helped the U.S. room night growth, and Expedia room night growth in the U.S. is very, very solid as well. So I'd say pretty broad strength and something that we're happy about and something that we hope continues.",,,,,,
Justin Post,Michael Adler," Two things. You had OIBA growth, I think, 15% but 22% x currency, and presumably, currency is getting quite a bit better in the fourth quarter. So is your guidance for the kind of the higher number or the lower number? And then the second question is just on TripAdvisor. Can you help us and just remind us what that third-party growth that grew 59% and whether that's attractive growth and that's what you're really trying to drive?"," So on FX, we were absolutely hurt on a year-on-year basis as foreign currencies were weaker on a year-on-year basis. As Q3 progressed and now into Q4, we've seen a strengthening of FX rates, but they still are below where they were last year. So we will have another headwind in Q4 as well. So when we are looking at our figures, we're basically using current rates and projecting them through the rest of the quarter.",,,,,,
Justin Post,Michael Adler," So just to confirm, the OIBA guidance is for 15% or roughly in the fourth quarter?"," Yes, revenue OIBA similar to Q3, yes.",,,,,,
Kevin Crissey,Dara Khosrowshahi," When I'm thinking about the airlines, you're seeing them start, at least the U.S. airlines anyway, are focusing their growth on international markets, which makes sense. And they're kind of keeping their domestic capacity flat. When you look at your business, as far as the U.S. point-of-sale airline business, do you capture a decent chunk of the international sales relative to the domestic? Or is that a bad trade-off for you to have the airlines growing international at expense of domestic?"," No, it's actually pretty balanced. We have seen with the economy struggling a reduction in U.S. to international flights and also, along with that, bookings, kind of room night bookings, from consumers in the U.S. going internationally. And part of that was because tickets going out to Europe, going out to Asia, ticket prices were very, very expensive on a year-on-year basis. The year-on-year comps seem to be easing in general because I think prices started getting a little stronger last year. So as international becomes more affordable, so to speak, we're seeing actually U.S. to international volumes improve both on the air side and the hotel side. So I'd say in general, adding capacity from airlines for us is a good thing. We're happy to see capacity coming into the system. It eases ATPs. And with easier ATP comps, so to speak, our business tends to pick up. I would say, if anything, our business tends to be a bit more internationally focused than domestically focused as far as U.S. consumers go. So international capacity is definitely a positive for us.",,,,,,
Kevin Crissey,Dara Khosrowshahi," And the airlines are commenting that they're seeing nice strong holiday bookings, Thanksgiving, Christmas. Can you confirm that you're seeing that as well?"," I don't want to speak specifically to what we're seeing, but generally, what we see is pretty similar to the industry. It's good to see the industry healthy. It's good to see some capacity coming in, and it seems like the capacity is coming in, in a disciplined manner along with demand. And we think that's a good balance.",,,,,,
Mark Mahaney,Dara Khosrowshahi," So I guess I'll follow up on that last question just about the overall demand environment. Dara, you've been pretty forthright in your comment two years ago. I think you referred to the dog's breakfast. Is it the opposite of that now, whatever that is?"," I wouldn't say that it's a cat's meow yet, but it's gone a lot better. I think that in general, demand has stabilized. In general, I would say we feel better, and I'd say the travel industry feels better than what we see in the overall economic numbers. We are seeing corporate travel coming back pretty nicely, both for us on a same-store basis and as far as signing up new clients. And we are seeing some tightness in occupancy and ADR strength in some of the metropolitan markets where you see a lot of business travel, in the New Yorks of the world, in Hong Kong, in Singapore, in London, et cetera. So I would say all of the signs that we see are pointing upward. Now I'll note that they are against very easy comps. And I think the comps are going to get harder as the year goes on. So I wouldn't declare all systems go yet, but I think the trends are good. And I think to the extent that we have a balanced business, a good, strong domestic business, a strong international business, a strong leisure business, a corporate business that's growing very, very quickly and on top of that, a terrific, terrific media business, I think we'll benefit from all those listings, so to speak.",,,,,,
Mark Mahaney,Dara Khosrowshahi," And then can I ask about the SniqueAway opportunity? There's clearly been a kind of market proof of concept of group sales, flash sales, but there's an open question as whether that gets all verticalized, you should have a highly qualified customer base. How big do you think that opportunity is, and can you just walk through some of the simple economics of how you make money on SniqueAway?"," Mark, I'd be happy to go through the opportunity as the business matures a little bit. I think in general, if you look at major platforms that have been introduced in the e-commerce space and in travel in general, the core of the introduction of a significant platform has been the opportunity for people to save money. Originally, when we came onto the scene, Hotels.com was on the scene, we were offering merchant rates below rack rates. Then the Internet became the rack rate, so to speak. So opaque models got introduced. Priceline, the Hotwires of the world, the dynamic package business, which allow you to save money. Those were kind of, call it, a second leg of growth for the business. And I think that these flash sales, what you see going on now, these new retail concepts could be a third leg because again, they offer consumers a chance to save significant amounts. SniqueAway is kind of a toe in the water for us. It's being introduced with the Smarter Travel team inside of TripAdvisor, which is a terrific team. And we've introduced it to a small percentage of our email database, which is frankly huge database, really with inventory focused on the East Coast now. And then over the next months, we're going to expand the inventory to the south, to the west, et cetera and build the concept. Early results are very good. We're getting fan mail from our hotel partners, and consumers love it as well. So I'd say the early results are very good, but this is a long journey. It's a very new concept, and we're not ready to declare whether it's long-term, how large it's going to be or exactly what the opportunity is going to be.",,,,,,
Michael Millman,Dara Khosrowshahi," A couple of questions. One is you, apparently with a few others, are joining to battle the ITA approval -- FTC approval, and maybe you can talk to that in light of previous comments when they didn't see it necessarily as a big problem. Secondly, at the Choice today, Hotels, one of your favorites I guess, was talking about how it's pushing its loyalty programs because they're much more profitable, for example, than OTAs. I was wondering if you're seeing the hotel industry being better equipped to do that than they have in the past. And then could you talk about car revenues? Are fleets still tight, or is it much more that some of the companies are getting smarter at least from their standpoint in making cars available for the opaque market?"," Sure, Michael. I'll try to take of each of them. As far as ITA Google goes, we've been pretty consistent in our view that, first of all, Google was a great partner of ours and we're going to be working more closely together with them on a CPC basis certainly than we ever have. So we certainly don't object to Google as a partner as they are now. We do think that it's just a bad idea to put together the dominant kind of search engine on a worldwide basis with a dominant airline search technology. We just think it squeezes out competition or has the potential of squeezing out competition in the marketplace. It's bad for advertisers. And ultimately, we think that it could be very bad for consumers. So we're a member of this coalition. We think that the coalition will certainly make its case. And we think that the case is, hopefully, will be well received by the government. In the meantime, we're going to work with Google. We're a big spender there, and on a ground level, on a tactical basis, we have a good relationship with them. We just think that this transaction is a bad idea. As far as Choice goes and loyalty programs there, we have a very good relationship with Choice. The CEO there came from Marriott, and Marriott has one of the best loyalty programs there. So it's not a surprise that they are pushing loyalty. I think it makes sense to them. I think any player out there knows that repeat customers are the most profitable customers out there. And I think to try to build out a repeat base is good business, whether you're an airline, whether you're a hotel or whether you're an OTA. And we, along with Choice, see the wisdom of this. And we've made fairly significant investments and we think differentiated investments in the OTA field, both with Hotels.com, WelcomeRewards, which is quite differentiated from what anyone else has and the new Expedia royalty program coming in next year, which I think will be quite differentiated from any other OTA out there. So we believe in loyalty, and we think that there are customers who are going to be Expedia loyal customers and Hotels loyal customers, and they are fundamentally and typically different from, call it, a Choice brand loyal customers. So I don't think that one addition to us is a subtraction to any of the brands out there like Choice. They tend to be more, call it, business customers, et cetera, where we tend to be more leisure-specific.",,,,,,
