Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Charlie Erlich,Vivek Shah," Hi guys, thanks for taking my question and congrats on the strong quarter. I'm sort of asked a question about the fax business. First added the corporate fax segment to perform in the quarter and then also just from an industry point of view what percentage of the market would you say is cloud fax versus traditional hardware based fax and is the cloud fax portion of the industry growing at all and within that what do you think the market share or what do you think your market share is within the cloud fax business? Thanks."," So we have an interesting perspective into the share of the market that we have because we can see in faxing situations, are we on the other side. 95% of the time we're not. So that tells you that at best and it's maybe a little more than 95%, but at best we have 5% of the volume. Hard to tell you definitively how much of that volume is cloud versus server versus machine, putting server and machine together and just calling that analog. But our own channel checks and understanding of the market will tell you it's a vast, vast majority. Cloud probably is not more than 10 points if even of the overall market. So we see the real opportunity on the corporate side for us to be able to really change the behaviors of those customers on the analog side of the equation. In terms of the corporate business, we're continuing to see it grow. It's becoming a larger share of our fax business and is almost 40% of the fax of the revenue – of the total fax business –",,,,,,
Daniel Ives,Vivek Shah," I know. So let's come back on time. So look obvious you talked about on the M&A side, could you talk more also just organically what's happening on digital media in terms of some of the underlying drivers that are really giving you increased confidence going into the year or even on the subscription side of things?"," Yes, so we've got a few things coming on. So look, the display business is continuing to rebound, so our Q1 year-over-year growth and display between 6% to 7%, which is even better than what it was in Q4. So having that in the mix is really important and is part of kind of the momentum we're feelings. On the same time the subscription business probably on the media side going to be north of $175 million and so it's a significant growth engine for media. So across the board, we're pleased with what we're seeing. The quality of the portfolio is really improved with assets like Humble Bundle, we've talked about a fair amount. We've got a great asset in [indiscernible] and then also on the cloud side the VPN businesses that we've acquired are growth businesses. We really see lots of opportunities to that for it to grow organically as well as a space in which we can see a fair amount of acquisition. We acquired an incredible team. We're really excited for what they're going to bring to the company. So really it's kind of across the board we're feeling very good and then on the margin side, the margins are outstanding for the quarter and so, we feel good about that. Now to Scott's point we are looking to make some investments in some game titles in Q2 but that's the mode we are in. We are in the mode of putting capital towards M&A within the business to drive topline and to drive future outlook.",,,,,,
Daniel Ives,Vivek Shah," So that was actually going to be my question, the follow-up on the everyday health. I mean, is that could you obviously, you have a pretty good visibility there, three, six months ahead. So that continues to just step up?"," Yes, we're feeling very good about the everyday health business and in the components of it. I think, I mentioned this in the call the pipeline at the FDA is very robust, 59 new drugs got approved in 2018. But to Scott's point, we've got in [Dan Stone] an incredible leader to that division and he's put in place a fantastic team and he's now beginning to put in place some M&A and we've had the additions of prime which is a continuing medical education company and getting into the CME space is very important for pharma and pharma are the driver of this business and then we bought a great brand called Castle Connolly. You might know them, they do the top doctors. They do top hospitals and we love the whole rankings and ratings worlds as you know through a lot of the assets particularly on the tech and gaming side of the company. So, smaller asset, but we think a lot of potential. So we like the mix of the portfolio. We like the management team and the results have been very good.",,,,,,
Jonathan Tanwanteng,Vivek Shah," Regarding the dividend suspension and the firepower it gives you, how much capacity do you actually have for investments in M&A right now?"," So there's a couple different elements of that. There's obviously the cash we have on our balance, the cash we generate and the ability to take on additional leverage. So we maintain a fair amount of cash, but I'd say most of that that we have today post the acquisition of the assets from stack path would be working capital oriented. So there's some small amount there maybe 50 million - 75 million that would be available for future deployment depending upon the jurisdiction of a potential acquired asset because some of that money still remains overseas. In terms of leverage capabilities, we still remain moderately leveraged not even taking into account the raised guidance or the pro forma contribution from the M&A we've done this year and I think we can very easily within our structure move to three times debt to EBITDA even if you assume no contribution from either potential acquired assets. You don't give credit for the pro forma EBITDA acquired which means is another close to $500 million of borrowing capacity and then of course we have a free cash flow generation. We generated 104 million a free cash flow in Q1. I would say that with our raised guidance we're probably in the 360 range, 360 plus range for the year. We do intend to make some capital invest we talked about in Q4 which were very light in Q1 but will accelerate two through four. So we've got another 256 million to 260 million of free cash flow that we will generate over the course of the year. We will pay the last dividend this quarter that's about 22 million. So you should take that out of your calculations but if you add all that up you're around 750 million - 800 million without really stretching the balance sheet. Now clearly if demand warrants it, we could temporarily go more for three times leverage and take that up even beyond that 750 million - 800 million. So I think we're in very good shape right now, but the dividend the suspension of dividend does give us relief. Just to give you a sense of order of magnitude we have expended through the June payment coming up about 475 million on dividend payments since it was initiated in August 11, and clearly the circumstances are very different today than they were back then. Some of you will recall, some of you have covered us for that duration. We were essentially a digital fax company with close to 90% of our revenue digital fax and probably 95% of our EBITDA and we were in the very early stages of going into those other cloud services like backup what is now Martech and security and so we thought the dividend was a prudent thing to do to return capital to shareholders not knowing what the M&A landscape would be in those other areas to do two things, to preserve the existing shareholder base that we had built at the time but also to try to seek new investors ideally those seeking a yield. And somewhat ironically almost eight years later we have less than 2% probably closer to 1% of our shares that are actually held by funds that need a dividend for ownership. So the landscape has changed dramatically in that 8 year time frame. We've now got 14 businesses not one. We've got an evolution, the management structure and the demands for capital are quite robust.",,,,,,
Jonathan Tanwanteng,Vivek Shah,Is it a safe assumption to make that you wouldn't have to spend as a dividend if you were able to do what you wanted to do without debt or other financing?," I think if we had lesser demand, I would say this way we have lesser demands on our capital in other words if the dividend and our M&A were funded out of free cash flow we probably would have maintained the dividend, although there's an argument that from a pure capital allocation standpoint you've always got to have that discussion. But the reality has been in the last five years in three of those years we've had more M&A than the free cash flow we generated whether we pay the dividend or not. So in essence, you could argue we've been funding the dividend through borrowings which i think is not a good idea.",,,,,,
Jonathan Tanwanteng,Vivek Shah,Got it. Thanks for the color.," And I see those demands from the BUs use only increasing. I mean to be at a 270 spend rate in the first four months of the year and let's say that I'm right and we're in the 360 to 370 range of free cash flow, I'd only give you that hard this year to spend another $100 million.",,,,,,
Jonathan Tanwanteng,Vivek Shah," Got it and then just in terms of where you're seeing the most opportunity over your 14 BUs, can you give us a relative peak at that the size and timing of where you're going to see the most impact?"," Well, the great news is we got I think 10, actually there are 14 in some degree participating, but 10 that are very active. So it really is across the board. I think you've heard us talk about how to build the Martech business. Obviously iContact early in the year was a piece of that puzzle but that puzzle is far from complete. We've talked a lot about security. The privacy assets are key piece to that. We've got some interesting is going on in the healthcare space in each of our three business units there that could change in some cases even transform some of those business units. So it really is, I think probably the only one that is digesting right now would be the broadband business unit.",,,,,,
Nick Jones,Vivek Shah," Hi, thanks for taking my questions. This is the first one on visit and views, those came down a little but the revenue went up for the medium business. Can you walk through the dynamic that kind of created that situation?"," Yes, hi Nick. So the snapchat made a significant change in app's experience which caught publishers to see a huge drop in traffic, but it really had no effect on our revenues since Snap is less than I think one-half of 1% of our digital media revenues which makes it even smaller across all of j2. So adjusting for snap would be up. There's also been some changes in the source of traffic data we moved from Omniture in some instances to Google Analytics and that's showing some declines and that is hard for us to entirely reconcile and it doesn't split with actual ad impressions which is frankly the statistic that matters for display. So we're investigating that.",,,,,,
Nick Jones,Vivek Shah," Got it. It makes sense, thanks. And one quick follow-up on backup, we know it’s kind of managed decline. What's retrofitting to acquire their that's part of the manage decline so we expect to see more acquisitions in that vertical?"," Yes, look I think we're looking at some of these small tuck-ins that fit our ROI model. So remember we have been sort of on the sidelines in the backup space because valuations have been too high. We're beginning to see that shift at least for smaller assets. So we're going to continue to be opportunistic and then additionally we've made some investments in the business that we think will help drive retention of our existing customers. These are really high-value customers whose data continue to grow which drive revenue growths are just simply retaining customers has sort of interesting financial value. So we're doing those pieces, but we're not, look it continues to be in sort of this manage decline. We think we'll see some deceleration in that decline based on some of these small tuck-ins and investments in account management and infrastructure.",,,,,,
Rishi Jaluria,Vivek Shah," Thanks guys. Thanks for taking my questions. Let me start with some of the announcements around the VPN side of the business. I think to start off with, what do you see is the potential synergies with the other security offerings you have like the Viber or the other core email security side and one more follow-up on the VPN?"," Yes. It's a great question Rishi. Thank you. So we think privacy and security are essentially becoming the same thing. So adding VPN to our roster of assets in the space SugarSync and Viber to use two examples, we believe forms a nice foundation for a broader solution for consumers, small and medium businesses where we can solve all of their privacy and security needs in a suite. And so we are looking at ways of bundling. We're looking at ways of cross selling. We're looking at ways to attach multiple of these things to one another. We have interesting channels where in some of our backup businesses we have some channels that were not available to VPN. The same in our endpoint in Viber and so exploring the way to leverage these channels together was part of this thesis. So we see these things as working well together but also independently. So you've got customers who just want each one of these point solutions and we're not going to lose our focus there but we do see them as being highly synergistic. I'll also say that we do see some marketing opportunities on the digital media side given the nature of our audience and that we have many advertisers who are VPNs and so we can advertise our own product and you've seen us do that in other areas as part of what I mentioned in our my prepared remarks which is how do you leverage media access and how do you leverage inventory, marketing inventory to the benefit of your own products.",,,,,,
