Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Bonnie Herzog,Hermann G. Waldemer, I just actually wanted to touch on Japan. You mentioned you feel comfortable that you're going to be able to retain around a 30% retail share in the market. So I was hoping you could give us a few more details on what you're seeing in this market in terms of the consumer purchase patterns and then maybe also relative to what JT has been doing to take back some of their share.," Okay. The published shares that you see there are also -- I mean on JT's side, the shipment shares, these now in the quarter or year-to-date, are not really representative yet. I mean, it's simply the fact that, of course, the pipeline on JT's product had been empty and has been reloaded now to whatever JT considers to be a necessary level of their volumes. So in terms, really, of what sticks with the consumer, we simply have to wait a little bit until those shipment shares will equal really consumer offtake shares again, which -- as has been the case in the past. For now, I really think that the consumer offtake shares which we measure in the C-stores give you the best indication. This is, of course, not a national average. This is a snapshot. And also, in those stores, our shares before has been slightly higher than the national average. But we continue to see, even now in the beginning also of October, the very latest numbers, and we, of course, look at them every week, that our shares continue to be slightly above 30% with Marlboro shares in there being stable. So therefore, I mean, that, of course, makes us feel good about the retention shares that we will be able to keep and which will form a much better basis from which to grow going into next year.",,,,,,
Bonnie Herzog,Hermann G. Waldemer," Okay. And then in terms of your overall business in Asia, it's obviously doing quite well even excluding Japan. It appears, in general, the economy and consumers are faring much better in Asia than the rest of the world, especially when we look at your margins. Excluding currency and acquisitions, I think it's up -- they're up almost 10%. So hoping you can again just drill down a little deeper, maybe give us a few more details on what the key dynamics are here, specifically in Indonesia and then Korea, maybe long-term growth rates you expect in those key markets."," Yes. Indonesia -- Asia, overall, as I said on the prepared remarks as well, is the growth engine of our company, but Asia -- it's not Asia alone. We are also having very decent results in the other regions. Take the EEMA region. Take the Latin America region, but also take the EU region, where we have returned to OCI growth. So whilst the growth rates are the strongest in Asia, the business is doing very well also elsewhere. Now going precisely on the question on Indonesia. While we have a country which has none of the European problems that European governments are facing",,,,,,
Bonnie Herzog,Hermann G. Waldemer, Okay. That's helpful. And then just one final question on currency headwinds that you'll be facing as we head into 2012. What can you tell us about what you're expecting and maybe any of your hedging strategies? Can you give us an update?," Okay. I mean, now, for this year, where we had forecast $0.25 currency favorability still around the second quarter earnings call, that has been reduced now, and we're now at prevailing rates. We expect $0.20 for the year. Well, that's pretty much the number that we have year-to-date. So therefore, I wouldn't talk about unfavorable currency in the fourth quarter, because actually, at prevailing rates, the fourth quarter of this year is going to be a currency-neutral quarter. We will see what the actual rates will be, but at prevailing rates, you could expect a currency-neutral quarter. Going into next year, who can forecast the currency rates of next year? I can't. I would only say we have so much focus these days, again, on the problems in Europe and around the euro. The focus will come back on the United States as well. That's what I would predict going into the -- into next year.",,,,,,
Bonnie Herzog,Hermann G. Waldemer, All right. Will you have an update on the fourth quarter call?," Well, we will, of course, when we do -- when we come to the guidance for 2012, which will be on the fourth quarter call in February of 2012. There, of course, we will give the updates on what currency assumptions will be the basis of our guidance then.",,,,,,
David J. Adelman,Hermann G. Waldemer," First, Hermann, can you talk about the implicit outlook that you're making for the fourth quarter? It looks to me like on a local currency basis, the new EPS guidance would only imply fairly modest underlying operating profit growth."," No. I mean, David, there is no concern or no watchout that I would have to raise here for the fourth quarter. I mean, the fourth quarter is -- traditionally has always been a quarter where more of the expense is occurring than in earlier quarters of the year. That's normal. That's nothing new. That's every year the case. I mean, we give full year guidances. And as I just said, I mean, the $0.05 of currency unfavorability, we have compensated with even further improved business outlook. And as of now, at prevailing rates, the fourth quarter would be a currency-neutral quarter. So no watchout. Nothing to worry about. Look at the full year guidance, which I believe is a very, very strong guidance and an expression of our confidence in our business and into our future as well.",,,,,,
David J. Adelman,Hermann G. Waldemer," Okay. And then secondly, Hermann, is the excise tax increase in Turkey the single most challenging one you're going to have to endure, looked at over the last several years, taking into account sort of the nature, the magnitude of the increase, the relative importance of the market, your performance in the market and so on?"," Well, I mean, no, I wouldn't say that. It is, of course, disruptive, a disruptive excise increase. It is bad news. But a year ago, we have been discussing Mexico. I wouldn't make much of a difference between the 2 at the end of the day. What I would add and say on Turkey, well, I mean, this -- the excise increase is, of course, a problem for all the competitors. This excise increase is not benefiting the government. I'm convinced about this is not generating really for the mid- and long-term solid increased revenue base. The only one party benefiting from that would be people that sell at the very lowest end of the markets, which is not the international companies, at about TRY 4 per pack, because at that level, their allover need is only 1/4 of what it is at the premium end. This doesn't make sense for the government either. At the same time, we, of course, can expect now a steep reaction -- at least in the first months, a very steep reaction of the tax paid markets. We certainly can expect an increase in the illicit rate. These are all really straightforward, rational arguments which give me the hope that there could be a second step later in the process in this story.",,,,,,
David J. Adelman,Hermann G. Waldemer," Okay. And then 2 other quick things, Hermann. Have you had any mediated discussions as of this point with Australian authorities subsequent to the filing of your plan? Anything substantive?"," Yes. We have had that discussion during the negotiation period, which has ended under the Bilateral Investment Treaty between Hong Kong and Australia. However, no solution could be found in that discussion, unfortunately.",,,,,,
David J. Adelman,Hermann G. Waldemer," Okay. And then lastly, Hermann, looking out now in the EU over the next several years, how comfortable -- how confident are you that you can grow your operating income in that market over time in light of the fact that presumably, there's going to be a difficult economic backdrop? There'll be, presumably, government austerity measures. The governments will certainly be looking to increase excise taxes as a source of revenue."," Okay. I mean, there are, of course, the markets that we know already, like Spain, which are already in difficulties as of today. However, there are a couple of positive aspects to the EU business, really, because you asked the question in a longer context, in a 2-, 3-year context. First, it is really encouraging to see that we see clearly moderating total market declines. So in the quarter or in also year-to-date, we talk about 3.6%, 3.7%. And actually, on a year-to-date basis, half of that is just Spain. So, i.e. all the other markets together are declining not even 2%. Germany is growing. France is stable, and Italy is almost stable. So that's pretty good. What will the austerity measures do? Well, the point really is what will unemployment do. We have seen that, of course, a steep increase in dramatic levels of unemployment, like in Spain, have an impact. I do not see Spain happening everywhere in Europe. This is very overdone. I don't think that's going to happen. So then on excise tax pressure, could be. Of course, I can't exclude it. But given the financing needs of those governments, I would rather see pressure on general VAT increases. In Europe, those could happen, of course, affecting all products, including our products. That being said, a VAT increase has always been manageable at the end of the day in the past. Why wouldn't we be able to manage it -- to manage through these occasions also going into the future.",,,,,,
Judy E. Hong,Hermann G. Waldemer," The -- in terms of your guidance, Hermann, if you looked at this year, the underlying x currency growth of 17.5% to 19% growth, is there a way that you can sort of point out how much of that was what you would characterize as sort of a one-off impact as a result of what happened in Japan or any other situation that you would sort of characterize as one-off?"," Well, I wouldn't characterize anything as a one-off. I would say Japan has been an example of us seizing a business opportunity that presented itself in an optimal manner. And a price skirmish in Spain, also, well, that's part of business. What can you do? I wouldn't call this one a one-off. This is just part of the business on the good and on the bad side. Now really, going to Japan in more detail, well, we can -- let's try to quantify a little bit what is the year-to-date benefit of us seizing this business opportunity. I think the fairest way of doing that is that you take our year-to-date shipment share. That is about 31.5%. Our going-in share prior to the events was about 25%. That's a rounded share gain of 6.5%. On a total market of $144 billion, that gives you roughly $9.5 billion in volumes. You apply the very decent margins that you estimate for the Japanese market. You deduct from that substantial air freight cost that was well above $100 million. You deduct from there other cost and investments. We are right now at a very competitive situation in the fourth quarter. And we, of course, do everything that we need to do to support our brands. You take off the tax rates, and you arrive at something in the range of $250 million net of tax or something in the range of $0.15 on an EPS basis. I have done a similar calculation at the end of the second quarter. It was about $0.10 to $0.12 then. I hope that helps.",,,,,,
Judy E. Hong,Hermann G. Waldemer," It does help. And I guess the context is more really looking at 2012, because -- and part of that, I guess, depends on how much share you retain in Japan, because we'll be lapping some of the benefit you saw in Q2 as a result of this -- the disruption. But I guess your point is if you take the year-to-date number of 31.5% and if you sort of think about that 30% that you're seeing at the offtake trend, that would sort of be the comparable number just on -- in terms of on the volume side. And then I guess on the pricing side, though, because in 2011 you also saw the benefit of the price increases in Japan and the volume decline coming in better than expected. So is it fair to think about that was -- that's also a partial benefit to your 2011 earnings growth in terms of x currency basis and then the comparison in 2012 is not as positive, I guess, depending on what the tax situation unfolds in Japan."," Exactly. I mean, the most important point, you just said it, well, what is going to be the tax and price situation going into 2012, which is very hard to predict now. I think it's easy to predict that the market decline will be much more moderate than what we have seen this year, because nobody expects a tax and price hike of the dimension that we have seen in October 2012. Where it stands now in terms of tax in Japan is that the DPJ tax council has come out with a proposed law of JPY 40 per pack to be discussed with opposition parties, which we're against. In recent discussions, we also have heard that eventually, excise tax could be excluded altogether from the financing of the reconstruction package. However, let's be clear here. Even an exclusion from that package does not mean an exclusion of tax measures in the ordinary budget. So we will have to see what's going to come out in terms of tax and thereafter, in terms of price, because well, the central approval by the Finance Ministry of price increases is also still in place. So a lot of question marks at this point in time. We will see the outcome, but you mentioned it. I mean, we will, of course, start the year in Japan from a much stronger base than we have been starting the year in 2011.",,,,,,
