Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Brian Bittner,Gregory Levin," Thanks, hey guys. Greg, just on the third quarter line item margin expectations that you just gave, what same store sale trend are you assuming for the full quarter within those -- those margin expectations?"," Yeah, Brian, we don't give guidance on our -- on our comp sales. We kind of give you where we are right now and we kind of look at different ranges from that standpoint within our business. So, not only that, we're a few weeks in and kind of flattish. I think you can kind of assume that it's flattish to up in regards to where we're thinking comp sales go.",,,,,,
Brian Bittner,Gregory Levin," Okay. And as you kind of analyze your trends so far this quarter and you're able to look back to last year, is there any reason to believe that your trend will improve throughout the quarter? Is there any reason to believe that the California market will begin to perform more in line with the rest of the system or should we all be assuming flat trends for the quarter is the base case to think about?"," Brian, I don't know if we have an exact answer for you. I mean, when we look at our numbers we were somewhat surprised because there's actually fairly -- fairly -- it was a fairly quick change in the sales trends, meaning, we finished P6, let's just call it the mid-2's and every week in P6 was pretty solid. We thought the first week, and I do still believe the first week is a little bit of a July 4th flip from that standpoint, but as we started looking at some of our numbers, we did notice last year that we had the Miramar fires down in the San Diego area and that impacted a lot of our San Diego restaurants. We had a Madera fire, we had a Yucaipa fire out in -- Empire [ph] hitting some of our restaurants. So, I think as -- as we get through that, that should be cause for an -- an improvement in our California restaurants but, as we say, and we always say this kind of on the calls, we kind of give you the information that we have to-date and I know that sounds like sometimes not enough but even as we were looking at our business in June, we weren't expecting all of the sudden it to change from what we saw, literally the last week of June, to what we've seen the first couple of weeks of July.So, you know, I'm planning that it's going to improve and I think we've got good initiatives and things we like in our business from that standpoint. We feel very comfortable at least three weeks in how the rest of our portfolio is doing. We're -- we like the strength that we continue to see in those markets. As we said, that would be up in the mid-2% range, that's including in Texas, Florida, Ohio, etc. It's just California has come out of the gate a little bit softer here and as we went through and tried to analyze it and isolate it down, those are the things that we've seen a little bit softer in the Bay area. We're going over against some high comp sales of a year ago related to some fires and then as we've mentioned on the call, maybe while still growing in healthy double digits, not having quite as strong a tailwind maybe as third-party delivery was a year ago but still a tailwind for us.",,,,,,
William Slabaugh,Gregory Levin," Yes, thanks guys. First I had a question on value. Curious how the Brewhouse Specials mixed versus what you've seen in prior periods and is there any sense that the customer is either gravitating toward or away from value in your menu at this point?"," Well, when we look at our Brewhouse Specials they've continued to perform well for us and I think when we look at the number, in fact I was just looking like at our Pizookie incident rate and frankly that number was flat with a year ago that tells you that our guests are still liking it, obviously, but it's not necessarily increasing in this quarter from that standpoint which means that we're not necessarily seeing people just gravitate towards that specific day. I think when we look at our other specials in regards to our Brewhouse Specials, they continue to do really well for us but at the same time, as Greg Trojan mentioned in some of his formal remarks, our prime rib continues to do well which is kind of -- we -- we still think it's of value even though it's a higher check item, our -- and light entrees continue to do really well with the zoodles that we put on, so those are all higher items. I don't think we're seeing a movement just towards Brewhouse Specials if that's kind of the --",,,,,,
William Slabaugh,Gregory Levin," Thank you. And curious also on the plans for cash, you mentioned the $91 million left on the buyback authorization, you have $23 million, I think, on the balance sheet not to be generating cash as well. Just given where valuation is, how aggressive can you plan to be on the buyback here?"," Well we always, I think, look at our business, Will, and you hit it at the end there, on kind of an enterprise EBITDA and we have a, obviously, very solid and strong EBITDA of $136 million or so, I think I said, on a trailing 12-month. So, we have that pattern there, we'll probably deploy it accordingly going forward.",,,,,,
William Slabaugh,Gregory Levin," Got it. And just to follow-up on your July 4 comment, if you were to exclude the July 4th shift, is there any way to kind of parse out what that trend would look like?"," I don't have the exact weeks in front of me to kind of normalize for it, but I would tend to say that the shift obviously improved coming out of July 4th week from that standpoint. I -- I would tell you -- I would say, to add to that though, even pulling out the July 4th, I don't think we are where we were, in let's call it, P6, in June where we were seeing comps across the board in the mid-2's.",,,,,,
Alexander Slagle,Gregory Trojan," Thanks. I wondered if you could talk about check growth. It sounds like you're getting the 3% check that you had previously discussed as the level you wanted to hold margins but the commentary seemed to suggest that you might need more than this to hold the line? How much of this is sort of commodities or labor or traffic, if you could sort of parse through those pieces?"," Alex just to be clear, really we were targeting, we think around a 3% comp sales level of sales growth is -- gives us, you know, a good shot at -- at holding margins, as we've said -- said before. We did not mean to imply we need more check growth than that. What we did see is some weakening in traffic relative to Q1 and the trends. So, you know, all of the things that we're working on, you know, we'd rather see, you know, the balance between check growth in that 3% range, which as you -- you'll recall, we fell short of that in Q1 for a variety of issues for most -- most prominently the promotional calendar and some of the interactions of loyalty with some of our beginning of the year promotions. So we're happy that, you know, Tri Tip has helped us a lot. We've continued to be wiser, if you will, around the balance of -- of promotions. So, you know, in a perfect world what we'd like to see is, you know, maintain 3% check growth. Ob -- obviously, as long as it's productive check growth, we'd take more but we're not sitting here trying to drive checkup further, we're trying to drive traffic.",,,,,,
Alexander Slagle,Gregory Trojan," Makes sense and, I don't know if you have any updated thoughts on development for next year, just whether you might reaccelerate or whether you'd sort of like to hold off on thinking about that given the traffic environment and some of the other issues like labor and construction costs?"," You know what, it's still early for us to make any predications or pronouncements. I mean, we are really, really enthusiastic about how our new restaurants are performing and coming out of the gate and -- and a lot of new trade areas for us. So, you know, certainly we'll balance that with what we think is going on in the environment but, you know, we haven't made any decisions at this point.",,,,,,
Matthew Kirschner,Gregory Levin," All right, thanks. I just -- this is actually Matt Kirschner on for Matt. I have a quick question on the GSKS rollout and then a question around the -- the digital and delivery sales. But can you quantify the GSKS rollout impact during the second quarter?"," It's probably somewhere in the neighborhood of 10 to 20 basis points, Matt. It still came in line with about 125, maybe a little bit more of hours per restaurant. At the same time, I think we were probably around 160 to 170 restaurants that got completed in Q2 with the remainder coming here in Q3 and when I think about that, 125 or so hours, it's not all one week and then it's done. It takes time to kind of implement this, get the sea legs under -- under each restaurant team and then drive efficiencies out of it. So, it spans over a few weeks.",,,,,,
Matthew Kirschner,Gregory Levin,Okay. And is it possible to also give us an updated number for percent of total sales on off-premise delivery and then also catering? I know you mentioned pushing that more in the third and fourth quarter with some new marketing but can you quantify that as well now?," Well, our off-premise is right around 10% or so and it's still pretty evenly split between delivery and takeout. In fact, one of the things that we're encouraged to see is that our takeout business lately has been growing and obviously we like takeout a little bit more because you don't pay those commissions to the delivery companies.Our catering is small. I believe I want to say it's less than 1% of our sales and we think that's where we've got an opportunity to grow that, it just rolled out with some of our changes here in the May timeframe and as I mentioned on our call, we're going to do some more marketing or some new marketing around that in Q3. We originally were going to do it in Q2 but frankly the catering packages and things we put together took a little bit longer to get out so that's some of the shift in the marketing side of things. But, it's a small amount and we're going to go after that for the second half of the year and we think we've got a great opportunity to grow that part of our business.",,,,,,
Matthew Kirschner,Unidentified Company Representative," Great, was there anything that you guys did differently to kind of hold up the takeout business versus the delivery business?"," Just in general, I mean, we've been working hard. Our ops team around -- you know, we've been putting some capital in our -- in our restaurants to make it easier for both our team members and our guests. We've done a lot of work online in terms of an ordering perspective to make ordering takeout more -- more convenient. So, you know, this isn't something, although we've launched this next generation pretty recently, we've been -- we've been working on, you know, off-premise and the operations piece, you know, for quite a while, over a year now, and as I mentioned in my -- in my script, the -- it's really good to see our MPS scores both improve -- they -- I would say from an absolute basis they still lag dine-in which doesn't, I don't think surprised anyone on -- on the line here, but they're not drastically different and -- and we're heartened by the fact that we're seeing the fruits of all of the improvements and we're making from a restaurant perspective -- because fundamentally, if it's not a great guest experience, it's growth on on-premise is not going to last, right? So, you know, it's not -- again, it's not perfect but I think it's headed in the right direction.",,,,,,
