Asker,Responder,Question,Answer
Alex Rygiel,Peter Jackson,Thank you. Just one quick question. Was there an extra sales day in the fourth quarter 2017?,Yes. I think that's the – fourth quarter is when we have our mismatch again this year.
Jay McCanless,M. Chad Crow," The first question I had, and just going back to great numbers on the manufacturing product side and in terms of the adoption of panelization and things like that, I've always felt like the sticking point there wasn't the homebuilders but actually the framing subs. Can you talk about what types of discussions you're having with them and are some of them finally giving in to panelization and other type of projects because they just can't get the labor anymore?"," Yeah. I think that's accurate. We are seeing more and more interest and more and more discussions with builders who historically have not used it, deciding now is the time to start trying it."
Jay McCanless,M. Chad Crow," And then, just wanted to ask also, with the sharp drop in prices over the last couple of months, is this something where there is an inventory problem inside the industry that's working itself out? Or is this more dislocation from people being worried about whether housing starts keep growing. What do you guys think has caused this sharp decline over the last two months?"," To some degree, I almost feel like we're victims of our own actions. I think as prices start to fall, everybody gets a little more cautious on buying. And so, all of a sudden, everybody's gone from, oh, I've got to buy to cover my position because prices are rising, to sitting on the sidelines and waiting to see where things stop falling. And so, in a sense, we all start acting in concert and it ends up – and I think that's part of the problem. And I think at some point folks are going to say this thing's hit bottom and everybody is going to start buying again, and we all know what that's going to mean. It's going to mean prices are going to go up. So I think it's a lesser concern about – I mean there's seasonality involved for sure. But I think it's less a concern of the overall health of housing, as it is just people just trying to guess when the bottom is going to be."
Jay McCanless,M. Chad Crow," Good. And then the last one I had, the 3% growth you guys registered in single-family sales outpaced the national numbers for the third quarter. Can you talk about – I mean, and then that's something I know you guys typically do on a routine basis, but can you talk about, as we move into 2019 and if starts are flat or a little bit softer than people expect, do you think the value-add products that you have out there and some of the things you're going to be introducing will allow you to keep growing faster than the market?"," Certainly, yeah, that's the plan. And I think, as I said earlier, I don't see all of a sudden having to go out of labor to build houses. And so I think that's going to continue to be an issue for the builders, and I think the builders are going to continue to look for ways to more efficiently build homes, build homes more quickly. So, yes, I think the investment we're making in the value-added products will allow us to grow faster than whatever the market is giving us."
John Allen Baugh,M. Chad Crow," I had a little higher-level question and it relates to the shift of value-adds in manufactured and certainly commodities moved all over the place and they impact margins when they do. But when you think, Chad or Peter, about what – the pace you're on of shifting your mix, what overall impact that's having to either gross margin or EBITDA? Any sense of how you're moving the needle through time? I'd love to just get a sense of that."," That's a good question when you try to drown out all the other noise that's going on. I think if we execute on our strategic plan over the next few years of expanding value-add on the company as a whole, gosh, I could see by the end of say 2021 or so kind of a permanent improvement of 40 basis points or so in our gross margin would be, I guess, a best guess off the top of my head."
John Allen Baugh,M. Chad Crow," Okay. That's helpful. And then, if we saw housing starts in 2019, say, flat or maybe even slightly down, I'm assuming your earnings might get impacted if that played out. But I'm curious as to how your free cash flow might react. And I realize you're not giving 2019 guidance, and that ties into the working capital question, which I know ties in the commodity price changes and all those things. But, again, from a very high level, I'm trying to think about the leverage targets you have in time, and obviously if EBITDA goes down, that, everything being equal, raises leverage, but I'm curious about the free cash flow component."," Yeah. Go ahead, Peter."
John Allen Baugh,M. Chad Crow," So, Peter, just to be clear, that would decline, right? Yeah. Go ahead."," Yeah. In that type of environment, the cash flow would not be impacted as much as you might think because you do have the offset of working capital less taxes. And if things look like they're slowing down, we may delay some of the CapEx too. And so it's a bit of a silver lining in the business we're in. We do, as business is growing, use up a lot of cash and working capital and investing in things like that. But as things slow, we're able to release some of those items. So the net change in cash flow can be fairly minimal."
John Allen Baugh,Peter Jackson," Correct. And then my last question then, and this sort of came up earlier, but if we had a no-inflation scenario that's not impacting your revenues, what kind of organic growth, real growth, does it take to leverage SG&A even just a little bit?"," Well, I think our guide historically has been that we think that there's about a 70% variable component of SG&A. I think that's fairly true. I think that – we're still very confident in the market. We think there's still a lot of opportunity there for us to grow. So we definitely don't see the existing market or the market we're looking at day-in day-out is a cause for concern, a cause for aggressive action to make sure we're getting in front of it. I realize that folks on the Street look at a decline of growth from 9% to mid-single digits as something well-nigh the apocalypse, but it still feels like a pretty healthy market for us. We're still feeling pretty good about our opportunities. So I think that we will continue to deliver along the lines of what we've been talking about over the past few quarters in terms of incrementals on working capital, commodities, SG&A. I think all those things are still holding true."
Kathryn Ingram Thompson,M. Chad Crow," Hi. Thank you for taking my questions today. I've noticed a lot of focus on lumber, but if we could shift focus to more gypsum roofing and insulation products. It'd be helpful to understand what trends you're seeing there, particularly since you've had a few mid-year price increases in some of those categories, which is a little more – mid-year price increases are a little bit more unusual. But give your perspective on trends and what you're seeing in those types of products and if you have any thoughts going into 2019. Thank you."," Well, for us, it's a very small piece of our business, I would say, from a sales perspective. That's where we do a lot of our commercial and multi-family business, and so that's obviously been down somewhat for us. From a gross margin perspective, been relatively flat year-over-year. I would expect to see a little uptick in the overall business in those categories next year if we do start to see a little bit of a rebound in the multi-family side of things for us."
Kathryn Ingram Thompson,M. Chad Crow,And that's on pricing? I was really kind of focusing on just kind of what you're seeing from an inflation standpoint for those categories. Are you saying it's been flattish from a pricing standpoint for you?," Oh, no. Sorry. That was from a gross margin standpoint. So what price increases we have gotten, we've done a good job of getting those passed on."
Kathryn Ingram Thompson,M. Chad Crow," Okay. And just really focusing, once again circling back on the value-added manufactured products. And as you continue to develop this more and build momentum in that business, what types of customers – and really, kind of want to get a better sense of regions and types of projects you're seeing greater acceptance. And where do you think that business can be, not just next year, but two to three years from now as a percentage of your total sales?"," Well, we see acceptance across all our single-family homebuilder categories, and certainly the multi-family side are big users. So those products aren't limited to national builders or custom builders. There's pretty good acceptance across all categories. As far as regions go, historically, components have been readily accepted in the Northeast, in the Northwest, a little less so in the South where you've traditionally had more labor availability, but that's changed. Those dynamics are changing. And so we're certainly seeing more acceptance in the Southern part of the country than we've had in the past. From a mix standpoint, gosh, we're going to continue to push. And anything we can do to drive down the pure commodity distribution business and expand the value-add side of the business, I think, gosh, we said it as a percent of sales that we can move that mix 1% to 2% a year that would be pretty successful in my mind."
Kathryn Ingram Thompson,Peter Jackson," Do you have happen to have handy or off top of your head, when you look at the regions like the Southeast, which admittedly has been slower in acceptance, what that is as a percentage of your Southeastern sales, say, three to four years ago where it is today or is there maybe even a growth rate associated with that region, just to give a perspective on growth?"," Not handy. No. We can try and look forward to having some of that information in the future, but that's not something we've done in the past."
Keith Hughes,M. Chad Crow," Yeah. Two questions. One a bigger picture on multi-family. Are you starting to see some signs of multi-family, which has nationwide been in a little bit of a downturn here, start to pull back up for 2019?"," It does feel like we may have hit kind of the low point. We'll see a lot of that's market-by-market as well. But I'm hopeful we've hit kind of the low point on that. We're investing a lot in our multi-family team and really trying to serve the multi-family business more from a roof truss and floor truss perspective primarily. And so, time will tell, but hopefully we're going to start to see some upside there."
Keith Hughes,Peter Jackson," Okay. And two, there was a comment on interest expense being $95 million to $100 million, I think, for 2018. You're at $85 million year-to-date. I know you're paying down debt, but that's a pretty drastic reduction on a quarterly basis. I guess what's causing that? What are we looking at for the fourth quarter?"," Yeah. I mean, I don't know if I have a change in profile there. I think that there's a – when we look at the interest that we're incurring throughout the year, we incur more when we have our seasonal borrowing, which is coming down pretty rapidly right now. So I think, on a profile basis, our fourth quarter has relatively lower interest."
Keith Hughes,Peter Jackson,Okay. So it's going to be...,And nothing special is going on is the short answer.
Keith Hughes,Peter Jackson," Okay. So it's going to be $10 million to $15 million, is that kind of what we're looking at for the fourth quarter?"," I think that's the squeeze, yeah."
