Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Michael Cherny,Mike Valentine," Somewhat dig in a little bit for this bookings number, Mike you already talked about number of large contract wins talk about some new competitive situations, specially large contract wins, were these more green field opportunities or replacements of legacy systems or kind of gives a little more characteristics of what that some of these contract wins."," Well I think Michael at a high level it's a result of an ongoing investment it's the investment that we have made in the specifically the two transaction that I think you are referring to UHS and Tenet a longer-term investment in the four profits base and developing a business on that front. Both of them had levels of HIT automation in place both had some other suppliers in the mix with different strategies. So I think that but there is a large tool it's a result of some longer-term investments that paid off. The just a sheer volume of larger transactions I think is reflective of combination of new footprints coming to the marketplace. Existing clients finishing their journey and our catering percent of spend strategies coming to provision. So the average transaction is larger obviously, what we can define more of the roadmap and to get more of the stand at that transaction point. So, I think this quarter represented a great example of all that coming together at once.",,,,,,
Michael Cherny,Marc Naughton," Absolutely, and then just question on the margin. It kind of relates to the first question as well. Obviously, I think once you're excited to see that guys broke through that 20% operating margin, but then going forward obviously a lot of new business to put in place. Could you tell us a little bit about the dynamics of the trade-off between some of the significant new business wins you have and what that means for the margin profile of the overall business?"," Yeah, this is Marc. The deals that we signed this quarter were very consistent from a pricing perspective. We're not seeing a lot of pricing pressure out there. We kind of winning on our capabilities, and this will feed not only the software but feed to the services. And a lot of these are having elective services yet are future candidates for that. So, we don't expect any degradation to our margins and in the fact as we full utilize what we talked about as a bench in the services space, we actually think that will could be positive relative to our margin and help us get to a 20% margin for the full-year of 2010.",,,,,,
Glenn Garmont,Marc Naughton," Marc, just trying to understand the relationship here between that very impressive bookings number and your revenue growth guidance for this year and I'm just wondering obviously significant upside on the booking side, 10% revenue growth outlook sort of consistent with where its been. What's preventing sort of greater flow through there are you sort of constrained on the implementation side or is it the mix of bookings, are there more services in the booking, just trying to understand sort of a linkage there."," Yeah, good question. Clearly some of the mix relative to some of the longer-term deals from a hosting and IT works perspective, those being the income statement over longer period of time normally 5 to 7 years. So that's one impact. Some of these larger transactions particularly in the forward profits base probably have projects will go on over period of years and the professional services from those will flow into the income statement over that three plus year period of time. So, obviously the big chunk of bookings very excited puts in their backlog as we roll forward it certainly helps support the view we have had for 2010 but keep in mind we try to be somewhat conservative on doing our plans relative to expecting more business then we kind of see in the past and I think this year we have been even more careful just to make sure that our numbers are solid and deliverable. So, in this economy we would be pleased with 10% growth of the top line 17% growth on the earnings line and we haven't factored in a whole lot of upside from stimulus and the numbers been provided that could happen. But, relative to the big booking of Q4 is going to have a multi year impact and that's why you are not seeing a huge amount of flow through in 2010.",,,,,,
Richard Close,Marc Naughton," Just quick clarification, Mark on that last statement, did you say you have not factored in a lot of stimulus?"," We built our plan based on kind of our 2009 activity levels adjusted slightly for pipeline so there is likely stimulus that's kind of in the middle of the year, end of the year we expect that there is potential for upside, we think Q1 as our guidance indicates relatively Q4 is going to reflect some of the seasonality that we normally encounter and obviously after a monster Q4 down slightly for Q1 numbers would make sense from our booking standpoint but our plan and that's what we base our guidance on going into the year doesn't expect anything heroic from a stimulus prospective.",,,,,,
Richard Close,Mike Valentine,When we look at the $15-$10 plus million deals how many of those would you characterize were from new footprints and stop there.," This is Mike, I would say about a third and we are not in our calculation we may do the 30 plus percent from new business we are not including Tenet and not even though all those technically represent new foot print facilities where those that's excluded from our calculations",,,,,,
Richard Close,Mike Valentine," Final, on the pipeline when you look out can you characterize at all stimulus related deals and have you seemed to pick up yet I mean based on your initial comments Marc, I guess you are really not factoring much in until later in the year, but are there active, increase in active RFPs because of the stimulus?"," Yeah, this is Mike again. There are absolutely as an increase in RFP traffic, and the increase in activities in the market place. So we're like we've said in the last three calls now, we're seeing different behavior in the market place, that's driven by a desire to get the meaningful use for the clients here in the U.S. and the market in U.S. and we expect that to continue through the year.",,,,,,
Jamie Stockton,Mike Valentine," Thanks for taking my questions and good quarter. Mike, really I would say both of you kind of pertain to where the demand is coming from in the hospital space and then your opportunity in the community hospital space, and the first one is would you say its accurate that the larger the organization the more likely it is that they are moving now relative to the stimulus?"," What I have said in the last couple of calls is the market is been broken down in about third to third to third. The third are waiting to see what meaningful use gets to find us, and if it sums real, a third are staying in course on the journey, they are already started and the third are either starting or accelerating. What I would say that we're seeing now is unless you have some special extenuating circumstances financial or other wise that bottom third that is what was waiting is at a minimum getting a plan to get towards meaningful use. So that I think every, its fair to say unless you get some extenuating circumstances, this is on your radar and you got a plan, and you're building a plan to action it. Where you are in that decision process is a different point but I think it's a very active around getting journey started around meaningful use.",,,,,,
Jamie Stockton,Mike Valentine," Okay and then with the opportunity in the community hospital space, what sort of a time frame do you think is out there as far as those potential customers making a decision as to whether or not they are going to go with their existing vendor or if they are going to switch?"," I would say that we expect the activity around the stimulus to play out over the course of the next three to five years. So, the acceleration to get there will happen then. For a community hospital I would say, they tend to make decisions in entire time frame as little as 60 to 90 days and as we saw in Q4 we actually see some of either our clients or some folks in the market place really making a gut check around or the solutions or the technologies that they selected, are they going to get them to meaningful use and when they make a decision and it is no we need a new strategy they tend to act very quickly. So, I think we'll see activity on that front in 2010 spike. So, people will make the gut check, make a decision and if the decision is a one that finds some self back in the market place, they tend to go very quickly. So I view it as, this is our one of opportunity from a replacement or displacement standpoint a best window of opportunity as driven by stimulus is going to happen in 2010.",,,,,,
Jamie Stockton,Mike Valentine," Okay. And then my last question is on the physician side. You guys have hired a few more people from a sales standpoint I think in your physician business you have the partnership CDW, how are the conversations gone with the regional extension centers. Do you think that that is going to be another area where you can increase your distribution among physicians' especially smaller practices?"," Absolutely our best means to reach high volume physicians' practices is through our client base. In our client base although the active participants in these are regional extension centers so I think when they announce the 60 or 70 where we will absolutely go, we are part of those functions just as we have sold through our base and allow them to essentially already serve as regional extension centers themselves without having a formal designation.",,,,,,
Corey Tobin,Mike Valentine," Three quick ones here first what would you estimate replacement deals either departmental systems or core impatient systems, represents as a percentage of your total opportunities today?",You are asking a Q4 composition question?,,,,,,
