Asker,Responder,Question,Answer
Joshua Reilly,Ronald Konezny," This is Josh for Mike. Congrats on the strong quarter. So just starting off, now that you have got the SKU optimization program close to where you wanted to be. How should we think about the long-term growth rate for IoT product and services revenue?"," Yes, Josh it’s a really nice question. We expect the growth rate to be 5% to 10%. We are aiming for the higher end of that range, certainly aspirationally, we think that the mix is in that 5% to 10%. The growth of our stronger products will more than outweigh the growth of the products that are more mature."
Joshua Reilly,Ronald Konezny,And then $8 million in Accelerated this quarter I think you were $6.2 million last quarter. Can you talk about how that those products are benefiting from the cross-selling with having the combined Digi sales force?," Yes, I think the Accelerated acquisition has been very nice for us and the integration of their team and the Digi team has gone very well. I think there is a lot more room for us to collaborate, but the teams are sharing leads where there is an opportunity that is more business continuity. Accelerated is really the product we lead with, its machine-to-machine, more of a rugged industrialized application, Digi is the lead product. Importantly on the technology side, there is a lot of technology sharing going on, and you will see future products in our side of outer lineup really demonstrate a combination of shared technology on the device, but also on the remote to enterprise software as well."
Joshua Reilly,Ronald Konezny,Olay great. And then just one question on the solutions business. 6000 net adds in the quarter is really strong obviously. Are there any specific vertical markets that you were successful within the quarter or was it pretty broad based strength across all the verticals?," Yes, it’s a good question. We continue to see strength in transportation and health. There is a tremendous opportunity in food that we are anxious to unlock, but the health and transportation verticals are the ones that are really contributing more so."
Greg Burns,Ronald Konezny," What exactly are these $1 million charges for Accelerated are they just earn outs and were they considered in your guidance that you gave last quarter or are they something else unexpected that hit this quarter and it’s looking like it’s going to hit next quarter. And then when we look at the full year EBITDA guidance you narrowed it down to the bottom end of the range, is that a function of these payments to Accelerated and some of these one-time inefficiencies and run the manufacturing some other things that you called out? Thanks."," Yes, good question. So the terms of the Accelerated acquisition had an upfront payment of $17 million and then in both calendar 2018 and calendar 2019 there is an opportunity for them to earn $3 million in each of those calendar periods, at the beginning of our relationship after the close we did an estimate of what we thought that earn out opportunity would be how much they capture of it and they have obviously done better than we initially expected and so what we calculated initially was not [indiscernible] making such an important note of those figures, because they were not anticipated to be captured at the beginning of the acquisition, but their performance has clearly been higher than expected, and we have had to increase the reserve for that earn out."
Greg Burns,Ronald Konezny," And then can you just talk about the full year EBITDA guidance, are these earn outs the reason kind of you are narrowing it to the lower end or are these kind of the one-time items like - or the inefficiencies around manufacturing and some of these other items you called out also impacting that full year like that."," Yes. So there is $2 million that weren’t originally in the guidance for the year, so that's certainly an impact. And then the other impact is what is just appearing in gross margin, which is a lower-than-expected gross margin as compared to what we had contemplated at beginning of the year. There is a couple of dynamics, one is the manufacturing transition is taking longer and so that's impacting our operating expense associated with our cost of goods. The other aspect is the supply chain for electronics is under tremendous pressure. It started in the memory areas when a couple of large providers did not expected last time buys and that had a ripple effect. As far as into certain capacitors and even some cases resistors so there has been some hoarding going on and so our ability to get our allocations has been under pressure and has forced higher transportation costs as well as in some cases higher component costs. So the combination was two, we really had the biggest impact on gross margin being up this quarter about 200 or more basis points and giving us reason to be cautious even in the current quarter."
Greg Burns,Ronald Konezny," Okay thanks. This quarter very strong performance in the solutions business you know what was the mix of hardware versus recurring in this quarter, was the strong performance a function at big pharma customer you announced last quarter and if so kind of how what is the I guess timeframe on completing that roll out?"," Yes. So, we had over 50% of the solutions revenue was driven by one-time implementation whether it’s professional services or the equipment itself and so that also had an impact on the overall gross margins. We are still seeing and have confidence in really high gross margin on the recurring side. We do expect a significant amount of net adds this current quarter as well, there is a portion of it that’s driven by large national retail chain, but were also having success in transportation and in healthcare as well. So we expect to see improvement in margin, but that we will still see probably in excess of 50% of our revenue be one time in nature even in the current quarter."
Greg Burns,Ronald Konezny," Okay, so is there like a bulge in revenue here from these kind of rollouts that are more hardware upfront hardware dependence as opposed to maybe looking forward. So a slower run rate of growth at some point after these large roll outs."," NO. It's a really good question. We are hopeful that we can continue to have strong additions, now how we offer our product. We give our customers the choice of more of a managed service, where they are paying lower no money upfront and have more of that the obligation on the recurring, but there are many customers that want to have some of that obligation to fill in the form of the capital expense and then have a lower recurring. So we are going let the market decide, the market is still maturing, so we feel that it's the right thing to do to give the customers the choice rather than to force it in one model, but we do anticipate that in general, larger customers are going to want to have some of that implementation in the form of a onetime CapEx and than associated with that is the recurring."
Scott Searle,Ronald Konezny," Hey good afternoon, nice quarter, Gokul congratulations and welcome on board. Just quickly follow-up on the gross margin front, sounds like just some headwinds in terms of the manufacturing transition from Eden Prairie, but you know your supply chain as well, it sounds like that exits or it will continue into the September quarter, when do you see that starting to alleviate and how should we think about gross margins as we get into December into calendar 2019, what is the expectations we should get out a little bit."," We are really anticipating a more deliberate pace to it, that it’s not a step level if you will, but that will improve, none of us have probably the crystal ball to say what is going to happen within the supply chain as things rebalance, but history would say that things will rebalance, but we are being I guess very deliberate in having gross margin improve on a more gradual basis than say a step level basis."
Scott Searle,Ronald Konezny," Got you and looking at the guidance into September of 60 million to 64 million, could you give us a guide or an idea sequentially about how you see both on the hardware products side performing in terms of some of the traditional categories that you talked about in routers embedded et cetera. And then also with regard to the solution side of the equation, I think talking about 25 million to 30 million will be the target for this year, implies you are kind of flat to up sequentially. Maybe give us some frame work for how you're thinking about seeing things swing in that range for solutions as we going to September, what are going to be the driving factors there to move it either get it flat or move it up."," Yes I think Scott, you picked up on this really nicely when you kind take that 25 to 30 brackets and you backfill based on what's been accomplished so far. You're looking at kind of flat to maybe modestly up quarter for solutions. It’s going to be driven quite frankly a lot by our ability for our customers to absorb the rollouts. We are anticipating success there but some of these larger implementations can run into some timing issues with access to facilities training and resources and et cetera. But I think you've got the brackets there in terms of solutions and then off course backed from what that means for IoT products and services. We do think that Accelerated will continue to have a nice contribution, we don’t think the contribution is going to be quite as strong as what we experience in fiscal Q3, but will make up for that if you will with performance with Digi's core IoT products and services."
Scott Searle,Ronald Konezny," And one last question on solutions. I guess it's probably a little dangerous and misleading to look at things necessarily on a per site basis depending on what the hardware mix looks like versus managed services, but could you give us an idea of what the pipeline looks like. Is there some way to give us at least qualitatively if not quantitatively how big that pipeline looks like in terms of the number of sites, number of RFPs out there, otherwise some color on that front and is there a big financial difference in terms of the different verticals, and ultimate implementation whether we talking about transportation, pharma or otherwise? Thanks."," Yes. Let me remind people this is a $3.5 billion TAM so there is a large opportunity. The vast majority, well over 95% of that TAM is recording this information manually, typically using old fashion pen and paper. And so we are eventualizing in many cases the advantages of automated monitoring, pattern recognition, better decision-making. And so that the human elements is the factor that is the one that we've got to convert more so then the technology and does this work if you will and other benefits. And so as we think about the pipeline the level of interest continues to grow, I mean we've got enough pipeline to more than satisfy our needs and represents more than the number of installations that we even have. The pace of which the market goes from interest and piloting to convergent of rollout is varying and you're seeing us having some more success with transportation, transportation tends to have the lower side of the ARPU with trailers and trucks, the ARPUs there stronger with warehouses and distribution facilities. And we are also seeing some real success in healthcare where there is tremendous benefits, there are value goods, the penalties are more severe for non-compliance, so you are seeing us have success with hospitals and pharmacies and clinics. The food side equation, cash management becomes a real critical part of the value proposition and you're affecting store operation and it’s a more complex implementation, so you're seeing food be deliberate in their evaluation and implementation. But if you look at the large opportunity in front of us, we are really excited that we can grow this business, confidently to 50 to 100 million just what the pipeline that we've got in front of us."
