Asker,Responder,Question,Answer
Andrew Boone,Peter Kern," Hi, guys. Thanks for taking my question. On marketing, on-brand spends specifically, can you talk about what brands and where you're investing? Is this supporting brands that are strengths or are you guys building brands  And also, should we think of this as more of a permanent change to your marketing strategy, or has cancelation rates normalized? Are you guys going to shift to spend back to more  high quality? Thank you."," Thanks, Andrew. I would say a couple of things. One, yes, we're investing in relative strength. So, for example, Vrbo has been an area of considerably increased investment, during the past several quarters. Other opportunities regionally where we've put money, whether that's in traditional brand spend or social or other things. So regional brands, in some cases, we've seen increases as well.  I would say while we are leaning into that and we're leaning into our biggest brands, obviously, in strong markets like the U.S., we believe we can do a lot better in terms of brand messaging, getting cleaner on the brand propositions and, as I mentioned, getting all the brands to work together as a family of brands as opposed to a sort of traditional on most competitors. So, we think there's a lot of opportunities to not just spend on-brand with a bias towards brand-building, but spend that money more efficiently against even stronger, creative, and more efficient ways to build the brand.  So, I think there's a lot of opportunities there. And yes, we intend to also grow in new geos as we refine our capabilities there. And pick markets where we are going to go on the offensive. And then I think as far as performance goes, I think what we're talking about when I say we have a bias towards brand building, is we want to build long-term relationships. But brand spends and performance work together. But stronger brands are better performing, your performance marketing is.  And as long as performance marketing can return the kind of returns and bring us the kinds of customers, those that are sticky and build long-term value, we will spend into that and we will spend as much as that makes economic sense to do. So, I don't think it's an either-or question. It's a question of right now, having a bias again, towards that brand-building while we see how performance marketing shakes up.  But as we get better, we believe we will be able to continue to invest in the performance market and more efficiently than we ever have, and bring the right kinds of customers with the backdrop of brand building that really creates sticky customers for the future. So, I think you'll see us do both. Don't exactly know where the ratios will bear out. We think the Company was over bias towards performance marketing because we just didn't have all the tools, we needed across the brand enterprise.  But we think, now, we're in a much different place, so that's where we're going to go. Thank you, Andrew. I think we're at the end. So, I just want to say thank you, everybody. Thanks for your time and I hope we got all your questions answered and we'll speak to you in the quarter. Take care."
Brian Nowak,Eric Hart," Thanks for taking my questions. I have to just go back a little bit, kind of drill into the U.S. Can you just help us better understand where your U.S. lodging business, excluding Vrbo, is now versus 2019? And then secondly, again, focusing on the  in lodging. What can you sort of tell us about the customer dynamics? Are you -- is it mostly existing customers, talking about the contribution from new people you're bringing into the platform? What has sort of driving the growth of the core lodging business in the U.S., in the U.S. ex Vrbo so far?"," Yeah. Perhaps I'll take the front end of that. Peter, you want to take the back end of it. I understand that trying to  Vrbo into conventional locking. We're not going to go into detail on it at this time. On the Vrbo side, I think you've heard us a couple of times anyways, continue to see -- we're seeing a nice performance. We continue to gain share in our primary markets in that business and feel really good about it.  And on the conventional logic side, we have seen continued improvement each month of Q2. We've seen a bit of softening in July. But again, at this time, we're not going to go into detail on the breakdown in between those 2, but  of both of those is that we feel good about where we are in the recovery that we're seeing during the quarter."
Brian Nowak,Eric Hart," Got it. And just to go back to Eric's and it's -- we just go back to Eric's answer. So, the bit of softening in July, is that more pronounced on the traditional lodging side, there is the Vrbo side, or is it sort of evenly spread between the product sets?"," I think we're seeing it largely across. Now, even expanded beyond the lodging across all of the product types. And whether that persists or not"
Deepak Mathivanan,Eric Hart," Great  guys. Thanks for taking the question. Just a couple of ones. First, Eric, can you help us think about taking rates and booking window dynamic for the second half. With all the moving pieces, it's a little bit of a challenge to translate bookings to revenues. Any additional calls that you can provide thereon take rates and booking window are based on what you're seeing in July would be great. And then the second question.  Can you talk about the supply acquisition campaigns on the global side? How has the supply side generally has been at  and how should we think about the benefit of this translating into bookings, maybe in the back half and then also into next year? Thank you so much."," Thanks for the question. I -- listen. I understand your question on the first part when it comes to taking rates and booking windows, and it's something that we have caused us a lot of work and volatility if you will on our assessment on our side as well. And I would love to be able to give you more granular responses on what that projection would look like in Q3 and beyond. But the truth be told, that things are just moving around quite a bit when it comes to those booking windows and then from a take-rate standpoint, it's really going to depend on those mixes.  And as Peter and I both mentioned, continues to be strong, we've seen conventional hotels come back. Sequentially, we've seen that in the air. We continue to see that in-car which has been quite strong as well it's nice to be associated with it. And again, I'll stop there, but you get the point through the various products. And so, between a combination --"
Deepak Mathivanan,Peter Kern," Okay. Thanks, Peter. And then the second one on Supply acquisition campaigns related to wellbore --"," Oh, yeah."
Deepak Mathivanan,Peter Kern,-- Navarre. Can you talk a little bit about that?," Yes. Sorry about that. Yes. We've been focused, I think, we said the last quarter. But we've -- our principal focus has been on compressor markets and we've seen good growth there and good additions. And when we can add inventory there, we see a very good return on that effort. We have not gone to sort of a broad global return to everywhere acquisition strategy because we just don't think it's a prudent use of resources and so many places are still closed down.  But we are taking a much more targeted approach. And as the world opens up, I think you'll see us expand those targets. But in general, when we've been able to add inventory, again, focused on compressed areas that have been quite productive for us."
James Lee,Peter Kern," Thanks for taking my question. Can you talk about with the new CTO coming in, maybe talk about some of the top priorities that you will be undertaking. And also secondly, I think last quarter you guys talked about the success of integrating the marketing platform, something like 75% on that platform. Can you give us an update? And maybe a little bit implication on the efficiency of the marketing in the back half? Thanks."," Yeah. So, thanks, James. In terms of the CGS top priorities, it's really, as we move to one unified technology team and one unified architecture, the will -- the CTO is to define where we're going, how we're doing it, what the, what the rules of the road are, and how we do this integration from going to many stocks to few. And we created this multi-tenant extensible kind of set of capabilities. And I think that's an -- it's a broad process. it cuts across all the technology in our enterprise. And we're at this hard at work driving that. There's also, as we get to the backend, there's also the customer-facing side, which is all about the UI and UX.  We want to be the first Company, and while driving progress to be that we want to be designed, focused and we have a focus on a new head of design, building out that capability and enterprise. So, it cuts across many things. And it's really about bringing excellence to all those disciplines so that we can just give the best customer experience we can and drive improvements across all the pieces, conversion, engagement, all the things we want to have.  As far as the marketing question goes, and bringing our performance marketing together, I would say that number's up from 75 to probably closer to 85 to 90. But again, more than sort of a benchmark, which is to say it's how we're getting everything on common tools, common datasets, common algorithms, but it isn't -- what's exciting now is the opportunity to begin to test new algorithms, test opportunities across brands, test the opportunity to gain efficiencies and how we market multiple brands and performance marketing, et cetera.  We're in the early days of that, but that is what these achievements of getting through this state have given us. And I would say, we're in a funny time where traffic patterns are unusual because of COVID. So, you're sort of testing into new algorithms and doing a lot of new performance marketing against the backdrop that's a little bit unusual and confusing.  So, we don't always have the volumes to test everything, but there's a lot of exciting work going on there. And as I've said all along, we believe that we'll generate meaningful efficiencies and better operation in terms of performance marketing. But it is hard to benchmark because we don't have normal traffic levels and normal patterns.  So, it's hard to say. It's going to give us an X percent more efficiency or why we have to see it as an action against the more typical backdrop. So more to come on that, but we are making steady and strong progress, and we're a long way down their consolidation of tools and data and all the things that those percentages reference."
Jed Kelly,Peter Kern," Great. Thanks for taking my question. Questions 2, if 2 if I may. Just can you give us an update on the Vrbo integration with brand Expedia? How's that trending and how are you trying to think about that ahead of the winter? And then as you look out in terms of the international clever recovery, I mean, have your thoughts changed? You even see countries like Iceland and Israel that are really highly vaccinated dealing with higher spikes, higher case cascade. How has the change in the interim, how do you view the international recovery if it looks like we're going to have to change, a multitude of different government policies towards COVID? Thank you."," Yeah. Thanks, Jed. I think I believe the second one first. It's, It's frustrating and confusing and complicated. Countries have taken different approaches even within the EU, where we spend a lot of time with the EU commissioners about trying to synthesize the rules and make them consistent because people traveling within the -- who have issues with what the protocols are. So, it remains a big unknown.  I would say we know that vaccines are definitely the biggest part of the answer, at least that we can see so far and of course there's lots of work going on, and other treatment protocols, etc. for COVID. I think we will continue to see improvements and, ultimately, COVID will be something the world learns to live with. And people will be traveling again, so we're starting to see international travel. It's not 0.  We're starting to see conversations. Today U.S. government was quoted that Biden is considering opening up to the U.S. to foreign travelers who are vaccinated. So, I think we'll continue to see that push as countries want to get their tourism businesses back and their business travel businesses back. So, the countervailing issues, and I think they will continue to pressure people to find ways to make it happen, but, clearly, we're not done seeing pockets of issues with COVID and reactions from local or national governments to that issue.  So, I think that's why I say there's a variety of unknowns out there and we're just playing it out and trying not to end up upside down over-marketing to a market that ends up with a problem. So that's one part of it. And then on the Vrbo integration, I would say it's worth it, it continues, it's not where we want it to be, we have more content on that and actually on hotels.com, but the end-to-end process, customer experience is not where we wanted to be.  So, we are iterating on that as we continue to make progress towards unifying our tech staff up for our lodging business. It's a core part of that process. But I would say it's not the most important. I mean  is a good opportunity for us and something we believe in. But there's a series of steps as we bring those stacks together. And it continues unabated, but it is -- but it's not where we want to be it."
Justin Post,Peter Kern," Great. Thank you. I think we're all trying to figure out what your earnings can look like on the other side of this, and so the market share is important. People are going to compare you're down 26% bookings versus  to booking, which is in the low double-digits. So just wondering if you can help us understand how you think about market share in your core U.S. and Europe markets right now. And second, maybe you can explain some of the differences, maybe your percent of air bookings or how much of your bookings are international versus domestic. Thank you."," Yeah. Thanks for the question, Justin and I will just say so a couple of things to think about there. First of all, as I mentioned, broadly, when you look at conventional lodging plus press  we believe our position is stronger in the U.S. than pre - COVID. But, again, that's not the same for all markets. And if you look at a market like EMEA, which came back strong over the summer and came back principally in domestic, that obviously favors some of the other players. And our business in places like EMEA and APAC, as I mentioned, is more international focused. Now that goes to airlift as well because we're very good at delivering long-haul air, which has been virtually non-existent during the COVID period.  So, you've seen again, a bunch of these principles at play where we've benefited from some. Others had benefited from others. And we generally believe that international will be the next major thing to open up and that favors our position in many of those markets, and we and we will see that rebound through that side of our business and through the air and all the pieces that are attached to that. But that's really what's going on in market share more than anything, is this a domestic versus international extra start.  There are also more bookings into small markets as people have stayed domestic and gone to the equivalent in the U.S. is a small motel near national park etc., that has not been a traditional strength of ours. We have been better in big cities. Big cities have lagged somewhat"
Justin Post,Eric Hart,Great. And maybe 1 follow-up. Have you disclosed ever how much air bookings were as a percent in 2019?,No. It's fair  back and I get  up.
