Asker,Responder,Question,Answer
Charlie Brady,Pat McHale,I just want to focus on the -- just to make sure I'm clear - contractor. That incremental launch cost thing - that's done completely or is there a little bit left in Q2?," There could be a little bit spillover, but it shouldn't be significant. We got most of our launches in North America done here in the first quarter this year."
Charlie Brady,Jim Graner,And is the loading part - does that continue into Q2 or are you fully loaded now?,I think we're fully loaded at this at this point.
Charlie Brady,Jim Graner,Okay.," Of course, we hope to have some great sell through on these new product launches as well."
Charlie Brady,Pat McHale," And just on process, the incremental costs, those are going to continue, but are they going to continue at the same pace as we go through the rest of the year or how is that going to be slotted in?"," So for the growth investments, we were about $2.5 million in the first quarter. And I'm predicting in that range of $7 million for the full year."
Charlie Brady,Pat McHale,Kind of spread out pretty evenly then?," No, I think we'll start lapping some of our investment decisions for 2014. So we'll get more relief, I'd say, in the latter half of the year."
Charlie Brady,Pat McHale," One more and I'll hop in queue. Just on the M&A. Obviously, you guys have done a good bit of M&A in the past 12 months. You've got a plenty of capital to go forward. Are there any specific areas you really targeting, given what you've already purchased?"," Well, obviously with the development of what we called the process segment, we think there's a lot of interesting opportunities, both in process and the oil and natural gas base. For us, process focus right now on areas like sanitary we think are very interesting. If you just step back a little farther than that, the more likely area for all of our future acquisitions is in the industrial and process segments. Due to our large market position in contractor, that becomes more problematic."
Jim Giannakouros,Jim Graner," Sorry if I missed it. I know that there were questions asked about pricing. But if you can give any color from a price cost perspective on a per-segment basis, how things trended in 1Q. And I would assume that that's going to be a gross margin benefit. How should we be thinking about price cost benefit to the margin for the coming quarters?"," Jim, our business model is still intact. So again, we are targeting 1.5 points of realized price increase. We are on our trajectory to meet that. Our mix is moving a little bit against this. I’ll call it the lower featured units. We are selling more of -- their rate of increase is little bit greater than our higher- priced units. So that hurts us as well as the geographic mix, because in certain parts of the world, our prices are higher than the US. So the geographic mixes and product mix is hurting us. On the cost side, we are getting favorable price exchanges. As you know, a big component of our input is stainless steel and copper and those costs are all moving favorable to us. So again, going back to our long-term model of a little bit of price every year and a flat cost manufacturing cost structure looks pretty solid for this year."
Jim Giannakouros,Pat McHale," Got it, okay. And then on that mix, I mean, when historically we’ve talked about contractor margins and I know that it’s come from the investor base and us asking hey, can you get back to previous peak margins in contractor. But seeing that you are seeing a mix shift kind of headwind on the margin side there, one -- is the focus on the home center lower margin stuff, is that a strategic focus near term? If yes, why? And I guess second, how should we be thinking about the margin potential for the segment longer term?"," So in terms of the folks at the organization up there, they are launching new products across a variety of categories. We are launching a lot of new products into the pro paint as well as into the home center market. The home center has been a growth driver for us over the course of last three years or four years as we have been able to capture the major home center customers here in the U.S. We are pretty well positioned now, so it will be more challenging to put up the big, huge home center growth numbers of the underlying business, isn’t there. Because we’ve got shelf space everywhere. From a strategic perspective, I like the home center business. It does a lot of good things, I think, for the organization, despite the fact that it’s got lower profitability. It certainly has taught us a lot about how to manufacture and design products to hit lower price points in the market. And we can use that knowledge as we move up through our product line. It also gives us volume and allows us to have component level quantities on some parts that can be shared across product lines that are much higher volume and more cost effective than they would be had we not had that business. And really, finally, if somebody wants to try to attack our pro-business and we see the home center business and they have the ability to sell thousands of sprayers at lower price points in that market, it’s likely only a matter of time before they expand their product range up. So there’s a variety of reasons to be there, but I don’t want anybody to think that we’ve lost our focus on the pro-business. The pro-business is our bread-and-butter. And that’s where we’re launching all sorts of new products every year and actually doing very well."
Jim Krapfel,Pat McHale," Hey, good morning. So revenue growth has been consistently robust in the Americas region. But what do make of the more tepid growth in overseas markets really over the last three years, which appears to have underperformed in the regional economies, especially in light of the conversion opportunity in spray equipment? And is the competitive environment becoming more challenging in those markets?"," Okay. So I’m going to hit region by region. Our performance in South America, I think, has been reflective of the underlying economies down there. Brazil, certainly, the last couple of years, has been a major headwind for us. We are making progress in that geography in terms of market penetration with our contractor business building out channel and doing some end-user conversion. Again, it’s a very small number and we have a long ways to go, but I see us making forward progress. In Europe, I believe our business there has outperformed the economy. I mean the Western European economy for several years has had really almost no economic growth. And if you take a look at our performance in the West has been pretty decent. Certainly for the last year or so, the Russia has offset a lot of our performance and sort of masked some good work that we’re doing there. Asia Pacific has been, I’ll say, a sore spot, particularly on the contractor side for us. We certainly are not meeting our own expectations in terms of market conversion. Our contractor sales in Asia Pacific - not in every country, but in Asia Pacific as a region has been disappointing. We have made some changes there. We have made some leadership changes in the contractor business. Those I would say are in their infancy here in terms of trying to see if those can have an impact. We are doing some things on the product side. There definitely is more competition in China at the low end than there were a few years ago, but I think generally speaking we feel that it is more of a Graco execution issue on our contractor business in Asia Pacific and that we need to get our act together."
Joe Ritchie,Pat McHale," Apologies if I missed this. I missed the first couple minutes of the call. But can you just talk a little bit about the rationale for the resegmentation, whether there's any synergies associated with the new segments or really just more of a focus to grow that process segment?"," Well, we've changed a lot. Caroline had some opening comments on that. But from a business standpoint, we've changed a lot with the creation of a process division in early 2013 that we didn't have before. We pulled that business out of our industrial group from a management perspective. It’s got its own engineering team, its own commercial organization. Really trying to focus on growth in that space. That division has done some deals, so that business is getting bigger and more complex. Then we also initiated our oil and gas business unit and we got two deals down there We are working this year to build up our commercial organization, because we are going to launch organically developed product as well. So really, it was just time for us to take a look at what made sense. From a management standpoint, the businesses will continue to run as they ran before. This is really an accounting exercise from a reporting standpoint, because we think that those businesses make more sense in a segment than they did the way we had them."
