Asker,Responder,Question,Answer
Alexia Howard,John Church," Hi. So two questions, first of all on advertising, which I don’t think has come up yet, was your advertising spending up or down year-on-year in this quarter and are you seeing any deterioration in the effectiveness of advertising and a lot of companies are saying with respect to merchandising, so that’s the first question? And then the second one with respect to acquisitions, you obviously announced Annie's this past week, is that it for the time being? Do you have an appetite for more potentially in the near future and if so, which direction would that be, could it be more in the natural area, could it be more looking overseas and what sort of scale might you would be thinking about as you think about your acquisition strategy? Thank you."," Yes. So, Alexia, our advertising in Q1 in the U.S. was up…"
Alexia Howard,Kris Wenker,Great. Thank you very much. I will pass it on.," And Operator, we are out of time here. So, I think, I am going to have to apologies to anybody who’s left in queue, if you’ve got questions, please give me a call. Thanks very much for your time today."
Bryan Spillane,Don Mulligan," I just wanted to follow-up on one comment that you have made, Don and then I had a question just on brand merchandising. Don, I think, you might have said previously in response to one of the other questions. At the first quarter bottom line came in relatively close to where your internal forecast were, is that right?"," Yes, EPS. Yeah. The EPS correct."
Bryan Spillane,Ken Powell," Okay. And then in terms of the merchandising, I guess, one question I would have maybe just going forward. It just seems like you’ve got a lot going on. You launched 145 new products in the first quarter. You’re going to be changing some of the merchandising tactics on some of your other brands. But is the lack of lift or sort of the efficiency of the merchandising and maybe this is a more general question. Is it tied at all to -- there is just generally most of your -- the industry is trying to do more, trying to merchandise more or launch new products to try to stimulate demand. And retailers just can't execute all of that merchandising effectively. So it sort of dilutes the intent just simply because they’re trying to do too much?"," So Bryan, you kind of summarize the number of comments that we made in June on the merchandising environment. And there is more kind of merchandising and promotional offers now seeking what is a limited display space in the store and that is an environment where I think, I should question sort of points out quality can suffer. You see more offshelf kind of pricing. You see more ads without an end isle or you see lots of products at the end of the isle. So there is lots of activity seeking relatively limited space and that’s why for us it's important. First of all that we focused very much on how we execute these events and the brand that we promote and do everything we can to make sure that there are sort of must have promotions. And there are other consumer things that accompany them to make them appealing. So our execution is very important for us in this environment. And as well as just constantly looking at what we do, did it work, what was the ROI and if something didn't work or tactic doesn’t work to apply the same HMM stuff that we do in all of the rest of the business, apply those and get rid of that kind of promotion and try something else. So it is an ongoing process of review and evaluation, making sure the execution is of the highest level because it is a very competitive environment out there as you point out with your question."
Bryan Spillane,Ken Powell," But fair to say that as you described sort of changing merchandising tactics, it’s too address that specific dynamic, really trying to hold it on those -- generally inefficiencies and provide retailers with programs that should be more efficient and maybe take a higher priority?"," Very much so and also just to highlight, it’s very much about that. It’s certainly not about depth of discount or anything like that. I mean, we think those are -- it’s not about going in that direction. It’s all about the execution of the entire program."
Chris Growe,Don Mulligan," Hi. I just had two questions I could. First one will be to just to better understand maybe this is with getting a more into the detail you were talking about there, Ken but within U.S retail to see sales down 5% and the measured channel data showing flat up a little bit, down a little bit, somewhere in that neighborhood. So I just want to better understand maybe this is the promotional spending year-over-year and that comparison that is the major driver of the GAAP if you will, sales in reported consumption and reported sales. Can you offer a little more color on it?"," Yeah. Chris, this is Don. It really goes back to the point that Ken touched on that one into -- in terms of the phasing of our merchandising, as we talked about in June or July in our Investor Day. We’ve seen drop in merchandising effectiveness. We, General Mills, we the industry have seen that and it does take some time to reset the plans. And so we knew that the year unfolded that our merchandising expense whether you look at it as a percent of sales or cost per sold case, it will come down on year-over-year comparisons. But it’s going to take couple of quarters to work it through so that’s one of the reason that we signal that we expected lower profit in the first quarter versus last year where we still see full-year growth in the high-single digits."
Chris Growe,Don Mulligan," Okay. And then maybe a question for Don -- you or for John about the cost savings coming through this year. So with little softer sales in the first quarter, I know you kept your guidance in place for the year. Do you now expect a heavier degree of cost savings may be along those if you could -- I know we have $400 million, I think of HMM savings, $40 million overhead savings, so are there any project entry savings that have come through this year?"," Minimal projects entry as John said, we’re going to be starting that effort this year. We’ll see significant savings starting in ‘16. We’re not making that a great deal this year. It’s mostly going to come from our overhead efforts. And obviously there is the ongoing both HMM efforts that we see within our COGS, within our overhead expenses. First, when we you start the year like we have, everyone is tightening their belt a bit from an admin standpoint. And the one thing I would notice is that we did see growth in our media support. So that's one area because we have good ideas to drive growth in some of our key segment and some of our key platforms. We haven't cut back. What we’re doing it is really an overhead in some of those project areas we discussed. We’re still targeting the $40 million for this year and it would be something larger in F‘16."
Chris Growe,Don Mulligan," Would you expect the gross margin to grow this year, Don?",We still expect it to grow modestly.
David Driscoll,Don Mulligan," Hi. Just wanted to ask a little bit more about the U.S. retail profit performance. Specifically, Don, I wanted to ask -- you cited here unfavorable price realization mix and lower volumes as the contributing factors to the $155 million decline. Notably absent in these comments is comments about gross inflation and/or productivity savings in the quarter. Can you talk about this a little bit? Obviously it must've been positive, but I'm curious about magnitude of it and the pacing of these programs throughout the year?"," David, as we -- as John reiterated today, we still expect 3% inflation for the year. We think it's fairly evenly distributed during the year, so we don't necessarily see any unique quarterly facing. HMM, our productivity savings from HMM are similar. So one of the reasons that we remain confident in guiding to a higher gross margin is because with inflation at 3% and HMM productivity savings over $400 million, we look at that as a net offset at least and part of that came through in the first quarter which is why it really wasn’t a contributing factor year-over-year."
David Driscoll,Don Mulligan,But the productivity would be more back-half loaded then front-half loaded?,No. Not materially.
David Driscoll,Ken Powell," Final question just, Ken, you make a really important statement in the press release where you say and you said it in your prepared script, but you acknowledge the U.S. market conditions are more challenging than expected. You said the quarter came out EPS-wise where you expected and you maintain guidance. So there's just -- it’s like you to connect the dots for me, if everything is more difficult, but yet EPS comes out as expected. In a way I feel like I am getting a little bit of both here, I am getting that, your plans coming out as advertised, but then you're making the statement that no, no, no watch out, the environment is tougher. I feel like we should be worried about the guidance, but I'd like you to comment on what this comment means and how confident you are in the full year numbers?"," Well, I mean, it means that we're staying with our guidance because that's the way the business looks to us right now as we look forward, but we do acknowledge that the environment is more challenging, so there is some risk around that profile. But we do think because of the factors that we talked about earlier in the call, which is that we -- the trade which was a primary issue this quarter, the trade will normalize, some of the bigger volume drags will strengthen, coupled again with the positive momentum that we have in a number of areas of the business. Those factors all combined and then again on the -- with well controlled on the cost side, we are guiding to our full year guidance for the year and that we will recover there as we go through the next three quarters. I think the wildcard is the category and we don't know whether they’re going to be a headwind, a tailwind, or a neutral. I think that’s the unknown right now. We’re encouraged somewhat by what we’re seeing over the last several weeks. They seem to be strengthening, but whether that’s going to be a headwind or a tailwind remains to be seen. But in any event, our job is to execute around innovation and core brand renovation and make sure we’ve got strong consumer programs drive the business that way and that's our plan, we like the plans that we have and that’s why we feel confident right now about maintaining guidance."
John Baumgartner,Ken Powell," Thanks for the question. Ken, you mentioned the slowdown in China, but the economic news out of Brazil and Europe hasn’t really been to hot recently either? So, I guess, given that, what’s your confident in terms of your guidance and maybe this consumer frugality we are seeing here in North America doesn't take root more deeply in these geographies we are still seeing growth?"," Yeah. So the situation in China, I think, is partly macroeconomic and partly, and I think very specifically related to government policies around gifting and entertainment and these sorts of things that has a very direct impact on some of our channels, our gifting programs through our Häagen-Dazs cafes for an example. So there is sort of a very specific impact. In Brazil even with the sort of the economic slowdown, we are seeing consumer food sales not just in our categories, but broadly across the industry continue to be a pretty solid. And obviously, we’re participating in that. And also, I would say, John, that our products are very well targeted to, if you will, the solid working and middle class in Brazil. So our price points are good. These are very much everyday products for most consumers. And so we think that they are very well-positioned to be resilient even during a period of some slowdown in Brazil."
Ken Goldman,Ken Powell," Hi. I have a bit of general question. What do you think has to happen for the food industry to get out of, to me, what seems to be the fairly self-destructive pattern of heavy promotional spending right now? Do we just need and this is really across a lot of categories? I'm just curious, if someone just have to say enough is enough, I am going to loose volume in order to restore some, I guess, price rationality or are you just getting so much pressure you being the industry from large retailers to fund deal back that even if you want to be more rational it might be a little difficult at the current time?"," So, Ken, its Ken Powell, and thank you for the question. I would say that we have albeit Q1 aside. And we can talk in more detail about how that played out in the comparison of this quarter to a year ago and some of the plumbing around that. But I would say in general as we look at price points, as we look at promotional discounts and this sort of thing, we have maintained fairly steady levels there across our categories. But to your general comment on what’s it going to take industry wide, I think all the roads lead to higher levels of innovation. I'm continuing to focus on brand renovation making sure that we have the right level of messaging behind our core brands and new products. I mean, I think ultimately innovation and capitalizing on consumer trends is what gets -- what gets us to higher levels of growth. And the reason we’re so certain of that is because we see that when we get that formula right, we get a very market response from consumers. We talked a little bit about some of the cereal changes in Cinnamon Toast Crunch, Lucky Charms. Last quarter, we’re seeing the response very rapidly. This quarter we have developed now over the last year and a half and launched very good varieties of Greek Yogurt as an example and in support of those with very effective marketing campaigns and it’s very satisfying now for us to see those products to gain traction. We changed the formulation in the positioning of our core Yoplait original and that brand was up double digit this quarter. So behind consumer targeted initiatives, so ultimately the answer to your question, which I think is the right question is innovation, core renovation, strong consumer communication, that will get us where we need to be."
Ken Powell,Eric Katzman," Hey, Eric, welcome to the team."," I have a buy recommendation, but I wouldn’t go that far. Okay. Let’s talk a little bit about sales to start. So you’ve got Annie's, but currency is more of a headwind. So where do you think dollar reported sales given the -- in addition the promotion and the first quarter miss? Where do you see like dollar reported sales coming in using all other things, including M&A?"
Ken Powell,Eric Katzman," With M&A, it depends obviously when we are closing Annie's, but I wouldn’t tell you that we signaled through the couple set headwind from a forex standpoint on EPS, so let’s around that to a 1%. You can probably apply that same percent on our net sales if you’re going to get the reported numbers. Annie's is a $200 million, it would be more than that, but then we closed given its growth rate, $1 million business, and we are projecting to close that this calendar year. So we will probably get half a year of sales from that business as well. So add a $100 million for Annie’s or more and take off about a 1% from forex on top of the mid-single-digit guidance that we’ve given you on constant currency. That will probably range in the ballpark."," Okay. And then I guess the second question has to go with the new products. It seems like you’re really emphasizing all the new product launches both in your last call and at the Analyst Day. Can you make the point that this year is really all about growth? Is this first quarter where U.S. retail albeit in a very tough environment? Do the new products not as successful as you would've hoped initially? Or was it just promotion on the core that overwhelmed what is new product success, maybe you could kind of expand out a bit?"
Ken Powell,Don Mulligan," We like our new products lineup which I commented on in my remarks. Cheerios Protein is off to a very strong start. The snack products, Strudel, the Nature Valley, they have been good. We think the soups, the light cream soups will be very good. The OEP products that we’ve launched -- Old El Paso, I beg your pardon. Chris, those flavored shelves will be quite good. I mean, as we go down that, our U.S. portfolio, we feel very good about those. The Foodservice -- Convenience and Foodservice business is entirely driven by new product innovation, whether it’s Go-GURT and McDonald’s or new varieties of Greek, new chips, new offerings to K-12s. We like the innovation there, and we have good innovation across Haagen-Dazs and Old El Paso in Europe. So the new products are very much important for us and part of the mix. The issue in Q1 is primarily the trade and the merchandising impact, which, as we said, will normalize as the year goes forward, and those new product contributions I think will be more visible."," And Eric what I will detail also is Ken shared that chart on a market share performance. And while the categories aren’t growing at the rate that we had maybe originally planned, our competitive situation is pretty strong. We have two-thirds of our growing share and two-thirds of our category sales. And so I think that would not happen without some meaningful contributions from our new products."
Ken Powell,Eric Katzman," Maybe one other point, Eric maybe one other detail here to point, to make, but it’s worth pointing out, we did see particularly in our dessert mix business this summer Betty Crocker mixes. We saw a very competitive promotional environment there. And if you watch our shares, you saw that business down quite a bit, and as to a lesser extent vegetables. And so I think there were some competitiveness issues there. And as we kind of tactically adjust if you will and head into the fall and winter baking season which is where we concentrate our program, we would expect those businesses which were volume drag also in Q1 again to become more of a contributor."," Okay. If I could just ask one more, in the restructuring, could you consider getting out of any brands or businesses as oppose to capacity and labor. I mean, with the industry and everything that's going on and you said what were the -- was something more on the brands or lines considered for sale as you look at what can grow in this change in consumer environment? And I’ll pass it on. Thanks."
