Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Alexander Klein,Shane O’Leary," Good morning, gentlemen. Just a few questions here. Just wondered if you could give us some color on the production that was curtailed here in Q2, as a result of the pump failures and workovers, where did this occur and how much production was actually curtailed? And then as a follow up, is that production back online now and if not, why not and when will it be?"," Okay. I’ll address that. In Argentina, we are down about 200 barrels a day, that’s just due to accessing service rates and weather conditions that have been bad in the areas we are producing, so access has been an issue. In Columbia, C-1 went down and we had to work over and recomplete that as well and we lost. That was quite a significant well, lost about 1000 barrels a day there. And J-1 has been declining due to scaling problems and so we’ve had to work over that rig. Some of these workovers have led us to the conclusion that we need to be able to access more than one service rates, which we – the only one, we currently have been working in our area. And that’s proving to be an inadequate. And then, of course, the OTA was down for seven days and although that was for a very long period, when you start averaging sub sounded, it hurts. So, okay, backup and J-1 is being worked over, we decide to frac at that well at the same time, so it’s taking a little bit longer to get back online and C-1 has been re-completed. And so we’re fully expecting to – on a yearly average basis, produce within our guidance from 14 to 16,000 barrels today corporately.",,,,,,
Alexander Klein,Dana Coffield," Okay. Thank you. And just follow-up on the exploration side, with regard to Pacayaco and Costayaco East-1, from a geological perspective these similar kinds of, structures to Moqueta and Costayaco. Are you targeting the Caballos and Villeta reservoirs? Can you give us a little color on that please?"," All the prospects in the Putumayo portfolio are targeting these reservoirs. The prospects where the structures are all similar and trying to reverse those, the Costyaco East is actually a different type of truck. It’s a footwall truck, relying on the plateau [ph]. It doesn’t, after all consistent, cut back at same reservoir, same oil wells…",,,,,,
Alexander Klein,Dana Coffield," So given the success at Costyaco and preliminary success at Moqueta, do you see the probability of success of those two wells being higher than they’d normally it would be or were they completely independent?",They are independent.,,,,,,
Alexander Klein,Dana Coffield," So what are we looking at, 20% chance of success?"," Individual cross explorations, 20% to 40% chance of success. The average program is probably around 13.",,,,,,
Alexander Klein,Dana Coffield,Okay.,30%.,,,,,,
Cristina Lopez,Shane O’Leary," Hi guys. Just a couple of quick questions, one is with respect to the capacity from the Guayuyaco line to Morado [ph] where you have sufficient capacity with new discoveries on the Chaza Block or are you looking at now on expansion as well from (inaudible) that was the big bottleneck."," If we make modest discovery or small discovery, what we probably knew is that expand our trucking capacity. If we have to make a large discovery then we would twin existing pipeline. Those two segments, we may twin one or both depending on the scale of a new discovery. Any breakeven in say field side that would trigger that is kind of grey area that twins on productivity and floor rate and such. Just, despite to say that was a small discovery, we would just expand trucking capacity, large discovery; we would have to twin the pipeline.",,,,,,
Cristina Lopez,Dana Coffield," And I may have missed the answer to this one, but it seems like there is a Sarbanes-Oxley, the Argentina Caballos, I’m just curious is that just cost over runs on the workover on the Valle Morado Block or if it is related to something different?",This is higher. This is costly sidetrack. It is higher than we originally budgeted as one item and then we’re doing additional facility upgrading of the gas processing plant. And those numbers are higher than we originally budgeted.,,,,,,
Cristina Lopez,Dana Coffield," And then finally in Peru, with the delays in receiving the EIA approval then drilling. Do you expect now that you will some of the seismic interpreted for the 2-D seismic or is it going to be just to start wells drilled off the Rio Mag."," No. We’ll have some of the seismic interpreted, but it won’t influence the location of the wells. That’s being redefined with the environmental furnace we have.",,,,,,
David Dudlyke,Shane O'Leary," Yes. Good morning, everyone. Referring to the shortfall of Q2 over Q1 with respect to production, I just want to explore a couple of things, how much did the pipeline shutdown contribute to the shortfall? I mean, obviously, seven days storage on a gross basis could amount to something like a 125,000 barrels. But how much storage was in fact available to you, so that you could basically store your production and then subsequently evacuated?"," There wasn’t that much storage. I think, we were able to produce for about two days and then we had to shut-in.",,,,,,
David Dudlyke,Shane O'Leary," Okay. The obvious follow-up would be, do you guys plan to add any further this spoke storage to cater for such events. I mean, those seven-day shut-in, I know, that the intervention on this pipeline have been reduced in frequency of late, but nevertheless, shut-in are shut-in, would you plan to add any storage?"," No. I don’t think so, I think, we’re comfortable with the level of storage we have and as you mentioned, this incident seem to be coming fewer in frequency than more so also.",,,,,,
David Dudlyke,Shane O'Leary," Okay. And you did speak about the – the question regarding the nature of the recompletion and work hours, and you spoke to that. But, I guess, my question would be, given that, well, of this past, are any of these wells recompletion associated with depletion of the Villeta sands. Are you opening up any fresh sands at Costayaco and did that form any part of the recompletions in Q2?",No.,,,,,,
David Dudlyke,Shane O'Leary,Or they were all caused by problems with wells?," Yeah. Expect for, we did open up with C-11, we opened up a new area of the field but not with the recompletion, no.",,,,,,
David Dudlyke,Shane O'Leary," Okay. I think, well, in fact, that forms a question. What is – can you speak to what production you’re getting from C-11, because is that coproduction with both sands?"," No. It’s only producing from one sand, its producing about 1000 barrels a day and it’s only going to be briefly because we did drill that’s to be an injector. And but we didn’t, if you start injecting water right away, you’re going to be stranding some reserves. So, we’re trying to deplete a little bit of the area, before we start injecting water to get the benefit of the oil in that area. So it will just be a temporary thing.",,,,,,
David Dudlyke,Shane O'Leary," Okay. And temporary, meaning, what a matter of months?"," Yes. Say two months, something like that.",,,,,,
David Dudlyke,Dana Coffield," Okay. And there was question that, I think, Christina asked regarding pipeline capacity. You don’t stood around what the hurdle rate would be for a pipeline versus trucking, perhaps in terms of speaking to size of discovery, perhaps if we just deal into the off take well productivity, what level of production would be required from a new discovery or discover is for you to basically invest in additional pipeline capacity?"," 10,000 barrels a day.",,,,,,
David Dudlyke,Dana Coffield,Okay.," Below 10,000 barrels a day, we would drill 10,000 barrels a day, we expand trucking capacity more than that, we’d have to think about pipeline economic.",,,,,,
