Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Amit Daryanani,Tim Stonesifer," Hi, thanks a lot. Good afternoon, guys. I guess couple of questions from me as well. When I look at the fiscal ‘18 guide, which you guys are talking about the Q1 historically, Q1 is the kind of about 20% to 23% of full year EPS and implications about 17.5%, so it seems like a much more back end loaded year than normal. Could you just talk about what other lever that give you comfort that back half will be so much better and is it all really around the restructuring initiative, is it different levers of growth vector that you have in the back half that give you confidence here?"," Yes. Again, I will go back to two things. As far as looking at last year’s seasonality as an example, it’s a little bit skewed because of one, the memory costs increases, so again remember last year that increase didn’t happen until call at the latter part of January. So whereas when you look at this year we have a full year impact or full quarter impact of that elevated DRAM costs pressure. Again I’ll go back it’s really I think the biggest driver is HPE Next. So when you look at that $250 million of cost savings again two thirds of that are roughly two thirds of that is in the back half of the year and the reason that is when we’re doing this clean sheet exercise we’re being very thoughtful as one how can we implement this correctly, and then two how do we minimize business disruption. So if you think as an example the simplification of the regional structure the reducing the platform, the SKU rationalization, that does take a little time to work through, because we want to make sure we get that right. So we minimize any business disruption, so that’s really the primary driver along with the M&A that I spoke about and some of the other things, but the HPE Next is the big driver.",,,,,,
Amit Daryanani,Meg Whitman," That’s really helpful. If I just follow-up on the storage side, maybe I missed it, but could you quantify how much of a headwind or how much revenues you think you left on the table, because of some of the go-to-market challenges that you alluded to and the timeline to resolve it you think it’s done in 90 days or is it a bit more of a longer timeframe?"," So, we can’t. I don’t think we will quantify that on this call. What I would say is I think the sales team is hitting the ground running on storage. Phil Davis who is our new Head of Sales comes from a storage background. So, I think you will naturally see him pivot harder to storage than perhaps some of our earlier sales leaders. And so I think you will see improvement in the U.S. And by way, we did very well in EMEA, very well in APJ. So, I think you will see an improvement in the U.S. in the storage space.",,,,,,
Jim Suva,Andrew Simanek," Thank you very much. First a question for Antonio, then a question for Tim and I will kind of ask them at the same time. Antonio since you had a very tough….",We just have Meg and Tim on the call.,,,,,,
Jim Suva,Meg Whitman," Got it. Okay, well, I guess given his very prevalent stage time, is it fair to say that internally the strategy of HP is what we heard from you, Meg at the Investor Day or sometimes with the leadership change they say hey, we have the HPE Next program analysis and HPE Next 2 program or something like that? And the question for Tim is on financial services that went up a lot and can you help us understand about that? I think it was up over 20% year-over-year. Yet you talked about volumes relatively consistent – are you offering more advantageous terms or how do we connect the dots of what’s going on there with that financial services?"," Yes, let me answer the strategy question. So, the strategy will remain entirely consistent. It was crafted by Antonio and I. he has been leading HPE Next. So, I don’t think he is going to lead another one in terms of reinventing that. And we are completely aligned on the strategy. As is the sales team, as is the entire organization and by the way it’s working, you can see it working in the field. So, you can expect entirely consistent strategy from Antonio.",,,,,,
Katy Huberty,Meg Whitman," Yes, thank you. I just wanted to follow-up on the server comments. Curious whether Intel [Indiscernible] product cycle is impacting the business yet or is that a catalyst that you think hits in calendar 2018? And then when you think about annualizing the Tier 1 base of business, when do you think the server category on a reported basis can get back to growth?"," So, why don’t you take ex-Tier 1 server growth and I will take the other question.",,,,,,
Lou Miscioscia,Meg Whitman," Okay, thank you. Maybe if you could just mention to us what you are planning to do with all your extra time and maybe not mention that you will spend more time with family. And specifically, any chance or do you have a restriction from going to competitor? And I have a follow-up?"," So, first of all, I am going to work with Antonio through the transition at the end of January and then I will be a very active board member. And actually after a 35 year nonstop career, I have actually come to take a little downtime, but there is no chance, I am going to a competitor, no chance. Listen I have to say I become quite loyal to Hewlett-Packard and to Hewlett-Packard Enterprise, I love this company and I would never go to a competitor.",,,,,,
Lou Miscioscia,Meg Whitman," Okay. Then my follow-up to hit on I guess storage again I am obviously very familiar with the Analyst Meeting that you just had and that you have had at Nimble has done very well, but when you look at the product line, I think it’s much more block associated not as much unstructured and unstructured data is really where the majority of the growth is. So, I am just wondering is it really a sales problem or do you actually possibly have to add more products to the product line and/or possibly do another acquisition?"," Yes. So, listen I think the storage business is benefiting from the explosion of data and we are seeing that every single day. We are also benefiting by storage becoming embedded in server architecture. InfoSight I think is going to be a major game changer for our storage business is part of the reason that Nimble is growing at 80% is because it’s AI for the storage arrays in a way that does predictive analytics and predictive maintenance. With regard to acquisitions, you know what, when I came to this company I think we had a somewhat less than stellar reputation on acquisitions. And I think the acquisition profile that had been successful for us whether it’s Aruba or SimpliVity, etcetera is the following. Is there a complementary technology to one that we already own that can benefit by being – by leveraging our distribution channels, listen Aruba has accelerated its growth rate under HP, because we can introduce the Aruba product line to customers. They had no way to get into before and also customers tell me everyday that they buy Aruba, because it’s not a standalone small startup company, it’s backed by big HP from a service perspective, from a warranty perspective etcetera. So, those are the kind of acquisitions that we look at. So, if we found something that we thought was important in the storage business that benefited from our distribution channel and we saw a good business case and it was priced right, we might think about doing it. But I think you have seen Tim and I would be very disciplined about acquisitions, returns based by the company right and have a very clear business case, whether it’s cost take-out or acceleration. And I promise you that Antonio and Tim will continue that disciplined approach to acquisitions. And I will be on the board to make sure they do.",,,,,,
Shannon Cross,Meg Whitman," Thank you very much. I wanted to dig a bit more into the issues on the sales side and how they sort of came to the forefront and obviously what you’re doing to mitigate them, but then also just want to think about as you go through and really revamp your sales structure and collapse level that you talked about during the Analyst Day, what are you doing to make sure that you don’t see softness in revenue around that shift? Thank you."," Yes, good question. So during Q4,we moved aggressively from the design phase of HPE Next to the execution phase of HPE Next and we are very focused on minimizing disruption particularly with the sales team, but other areas as well. And so we’re leveraging a lot of the best practices that enabled us to deliver our recent separations on time, on budget it was the divestiture management office approach or the separation management approach. And so in Q4, we’ve already begun implementing the sales changes, I mean those are done actually we started in November 1, with a lot of changes, but we did a lot of changes in Q4 as well. We dismantled actually the region overhead structure, we refocused our sales force, we put more specialists in the field and we saw no impact to frontline sales from those changes that we made in Q4. So that gives us confidence. And they went started November 1, all firing on all cylinders with the new organization and with a couple of months under their belt. So we feel pretty good about that. Outside the storage challenge in the U.S. was largely around not enough specialists in the field and frankly we need more scale in our storage sales here and combining Nimble and 3PAR under Keegan Riley, I think is going to really help here.",,,,,,
Shannon Cross,Tim Stonesifer," Okay, thank you. And then Tim, can you just talk a little bit about maybe the progression of margins as we think about 2018? You said back-end loaded, but I am just kind of curious given all the cost-cutting we have done now and that how we should really think about the ramp and do you think you can get back to some of the more historical levels when we get towards the end of the year? Thank you."," Yes. I think – again I think we feel very good about the 11% to 12% in ‘18. We will be low in Q1. I mean if you go from Q4 to Q1 we have typical seasonality. So, if you go back to ‘17 or ‘16 or ‘15 and look at the EGOP, you will see some of that seasonality. The other thing that you have will be when we took out that $200 million of $300 million of costs in the second half of last year, not all of that was run-rate. So, although we will see cost savings going forward when you compare Q4 to Q1 we will be a little bit lighter. So, Q1 margins will be still pressured, but then as you go forward again if you look at that $250 million of cost savings as I said earlier roughly two-thirds of that or so is in the second half. So, you can load it up that way. The M&A again as we continue to right-size the cost envelopes of that, that will continue to progress as we go out through the course of the year. So – and then mix, nice point as we continue to grow Aruba all-flash high-performance compute and those product lines become a heavier mix, we should get a natural lift. So, we would expect to see Q1 margins somewhat pressured, but those will continue to improve throughout the course of the year and wound up in the 11% to 12% range.",,,,,,
Sherri Scribner,Meg Whitman," Hi, thank you. I just wanted to dig a little bit into the different segments if you look at the storage business it decelerated a little bit and I guess I would’ve thought that storage might have grown a little bit more sequentially. Was that primarily related to some of the issues at 3PAR because it sounds like the all-flash array and the Nimble business are doing well?"," Yes, so – it’s Meg, the storage revenue was up 5% driven by the Nimble acquisition and as you said the all flash arrays grew 16% with Nimble was up over 80%. So a good performance overall, but as Tim mentioned 3PAR performance was soft due to I think a very tough competitive environment in the – in the mid-range and then some sales challenges in the United States. So we are taking action. We are combining the Nimble and 3PAR storage sales teams which is going to give us more critical mass there and that’s going to be led by Keegan Riley, who led sales at Nimble. And we are also going to aggressively add some more specialists to the field. So I think you hit it right on the head a little weakness in the U.S. and we are fixing it.",,,,,,
