Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Joe Mondillo,Al Rankin," Wanted to ask you about sort of a competitive environment over the last couple of years, you guys have certainly been focusing on -- you talk about in all different kinds of your business segment, strategic investments. It's really weighing on your cost structure in the near term. Obviously you are hoping for a long term benefits. But even, say for instance Bolzoni, you saw 22% rev growth and you saw a decline in the bottom line there. So could you talk about your overall competition? Are your competitors economically -- is their behavior appropriate? Is there more competition? Because certainly, you guys are pumping a lot of investment for the long term that's hitting sort of cost of goods sold and SG&A?"," Well let me just comment first on Bolzoni, because I don't think it should be included in the -- particularly in the investment comments. There will be some investment in Bolzoni, but the issue was two things; number one, in a modest way, currency, which drove up the revenues without having as large an impact on gross profit. But most importantly, gross profit was constrained by material cost increases in the fourth quarter in a significant way. That in no way, was an investment. That's something we have to look to correct over the next few quarters. So I think the investment issue is not a major one at Bolzoni. Although, we will be building the U.S. portion of the business and making investment in that, as we look forward, and that if -- that will be worked into our thinking in that business. You know the Nuvera story, that's essentially -- it is an investment story, and it is going to operate, we hope, with the timeframe that we outlined for you. With regard to the forklift truck, and I would just say, in regard to competitors that, we have one significant competitor today. We think that -- we are hopeful that the business will have a somewhat different cost price relationship, in the context of the new tax benefit for fuel cells, that is in the new tax legislation. I think we will have a better feel for that, as the year goes on, that it would certainly be our hope, that that will help us to moderate the cost price discrepancy in the marketplace that we are seeing now, and we have a hunch that our competitor --",,,,,,
Joe Mondillo,Al Rankin," Okay. So my next question was going to be really with Nuvera, and I would just -- I guess, initially structure it as considering that you are talking about returns on capital. How do you look at returns on capital there, because, obviously you bought that business thinking that you are going to have to sink in, maybe almost $50 million. It looks like in the end, according to your projections, it's going to be three times upwards of $150 million potentially. How do you think about return on capital of that magnitude?"," I think what I would suggest is, that you have to think of this as a venture business, and that the venture business payout comes in the long term, and it would be our hope that it would be a very-very large payout. And one of the reasons that we separated the forklift truck application portion of the business from Nuvera, is that we think that there will be applications, where our fuel cell engines and other industries than the forklift truck industry. So it's a different kind of game. It has a longer time horizon. I think it should be valued and thought about much more as the venture business, than as a traditional business. But we think in the long term, that the investment will prove to be well worth the -- what we put into it, in terms of the return and the profitability and the size of the long term business.",,,,,,
Joe Mondillo,Al Rankin," Okay. And just in terms of -- trying to go into more detail with Nuvera, could you provide some color? Because obviously earlier in the call, you actually stated that you are actually feeling better than you were a year ago. In our vantage point, we see really no revenue, so there is no change in revenue, the losses are actually comparable sort of to a year ago. They have been consistent over the last several quarters. I thought that Billerica production was supposed to be transitioned to Greenville by the end of this year, and it's looking like early 2019, so that seems to be sort of pushed back, and we have been talking for --",That's probably more than a quarter of that. So it's the difference between the end of 2018 and the beginning of 2019. I wouldn't give any particular significance to that issue.,,,,,,
Joe Mondillo,Al Rankin," Okay. But in addition to that, you have been talking about sort of the challenges with the supply chain. Since the sort of integration of the product, which was in mid-2018, so we have seen about -- spent about 20 months since then, and from our vantage point, it doesn't seem like anything is really happening or progressing with that. Of course, we are not inside the business. So could you provide some color on, at least, why you feel like things are actually progressing?"," Well if you looked at the quality of the product and the way it's being manufactured today, and had the opportunity to see it physically the way we do, and the professionalism that has been brought to, what was essentially a developmental product capability. I think you'd have a flavor for why I made the comments earlier. The meantime between failure and the units is coming down. Our reliability is moving in the right direction. There are plenty of challenges ahead. It's a high technology business, but it's one we think we can be a leader in, in the long term. We do have a pretty good backlog, as I think you noted, in the earnings release, as we go into the year. Frankly, from our point of view, we don't really want to have too much more in the way of shipments in 2018 than we are currently planning. What we are aiming to do, is to ramp up the shipments, as the cost comes down. So think of the costs coming down over the course of 2018, and then the volume ramping up after the cost comes down, and that's the approach that we are working. In the meantime, we are going to customers, where we feel they have the most direct ability to benefit from fuel cell, and are less price sensitive about the price, particularly given the power density and the productivity capabilities for customers of our products. So I kind of think I'd leave it there. I mean, we understand that, you all probably don't tend to look at this as a venture business and watch those kinds of businesses. But I don't think this is out of character, with that kind of a business. And when I am -- but I do reiterate my comment, and I think Colin shares it, that we feel really enormously better about the state of the business, as we go into 2018, in comparison to the level of professionalism and design and cost capability, and the clarity of the development program that we had a year ago.",,,,,,
Joe Mondillo,Al Rankin," So at this time, is the biggest challenge just the supply chain? And if so, if you feel like you could drive higher volume and higher orders and your competitor is certainly seeing higher orders, how come you can't just go to your supply vendors, and say listen, we are looking at volume increases of this, can you do better on a price standpoint?"," No, no. I think we have to be much more clearer on what we mean when we talk about cost reductions. These are not cost reductions in the main that come from just going to the same supplier and say reduced costs. And they are not strictly volume oriented. Many of them are redesigned products, redesigned components. Many of them are situations where we take a couple of components and turn them into a single component and go to a different supplier. But all of these are explicit defined projects that come to bear on each of our battery box replacement units, you know at specific points in time over the next couple of years. So it's not a question of just leveraging our supply base, it's much more sophisticated, much more complicated than that, and much more integrated with the engineering input into the battery box itself.",,,,,,
Joe Mondillo,Al Rankin," Okay. Just last question, I don't know if you can comment, but just wondering, related to the Chinese acquisition compared to prior acquisitions, do you see any higher risks with this deal not closing as maybe other deals?"," Well the only thing I would say in that regard, is that we are being very-very careful. We have a due diligence process, that is very-very comprehensive, which we think is appropriate for this kind of a company, and at this point, we have no reason to think that we won't work our way through those in an orderly way. But if we see something that doesn't comply with the closing conditions, we will flag it. But at this point, we don't see such a thing.",,,,,,
Mike Shlisky,Ken Schilling," Good morning everybody. I have got to get a little bit of nitpicking on my questions here to start off real quick unfortunately. First I want to ask about the income from the affiliates line, you had additional 19 -- I think it was $19.8 million of income there, and see how you adjusted it in your press release out of EPS, which makes sense. But it seems to have not been adjusting out of adjusted EBITDA, so your EBITDA was almost $20 million higher than it probably would have been, without that onetime item. Is that correct? And is there any reason why you didn't want to adjust it out, it's a 35% plus of your EBITDA for the quarter?"," Yeah Mike, you are absolutely correct. The $19 million is the improved equity earnings in our JV, our finance JV in the U.S. We tried to stick to us a very strict interpretation of how you calculate EBITDA. So only the interest, taxes, depreciation and amortization on our financial statement were the items we called out. In your analysis, if you would pull that out, that would be your version of EBITDA, as there is no standard EBITDA out there. But you are absolutely right.",,,,,,
Mike Shlisky,Al Rankin," Yeah you took one up. I mean I guess, I mean, it is what it is. But I was a little bit surprised by that, I suppose. All right, no problem we can work back on there. Secondly, this is also a bit nitpicky, but on Nuvera and your outlook for 2018 here, you know that you will be seeing operating losses decreasing modestly from 2017, is that declining modestly from what you have booked here, which is about $42 million operating losses or should I take out the impairment, and is it some kind of improvement off the $37 million or so?",Take off the impairment.,,,,,,
Mike Shlisky,Ken Schilling,Okay. So it's going to be an improvement from $37 million not from $42 million loss?,Correct.,,,,,,
Mike Shlisky,Al Rankin," Okay. Got it. Thanks. Also wanted to ask more broadly about your Lift Truck outlook for 2018 as well. It looks like you are going to be having some kind of growth this year. Even if the market is flat, thanks to some of your hopefully good initiatives to kind of gain share. That sounds very positive. I am just kind of wondering, if your long term goal is still to get to that 115,000 units pre-Maximal capacity. You rather and get it to a 10% plus growth this year in units. Is that still feasible, based on what you know or could you maybe -- into the teens, if possible, or could you might fall short of that 10% growth that you might need to kind of keep that ramp going towards the full 115,000 to 2018?"," Well we are going to keep it going, and I don't think we would comment on just exactly what those numbers are going to be in the forecast. But yes, we do intend to keep it moving in the right direction. And we still have our commitment to the longer term or the middle term goal of getting to the 115,000 units. I do think that we have made some additional GS&A investments that will be part of getting us to a 115,000 units and hopefully beyond that. And so, we are going to have to calibrate that in during the course of 2018, and see how that affects some of our thinking. But we have got a lot of things going on, that we believe can have a very positive impact as we look forward. Just to sort of run through them, we have got products that we think -- that are targeted to begin coming out in 2020, that should have considerably lower cost and more ability to meet the customer specifications effectively. We believe that it's not only -- that it's a broad base of lower costs. We also have programs to reduce costs over and above direct product costs, including in our manufacturing operations. And so between the products and the cost reduction, we see -- if you look out into that period, the opportunity to build volume by offering more cost effective solutions to our customers, and you couple that with the -- and the shared growth and the profit improvement that we think we can gain, particularly in certain areas of the product line, with the kind of a two year perspective on getting Bolzoni to breakeven, and we think that means, that if you look out two or three years -- I mean at Nuvera, excuse me; if you look out two or three years, you have got real opportunity. And in the meantime, if you take another couple of years with Bolzoni, we think the opportunity to continue their revenue growth and enhance profitability is very high. In the fourth quarter, Bolzoni had to deal with significant material cost increases, given the nature of their business, the attachments and a lot of steel, the cost increases come on them very fast, and their ability to pass those on right away to their customers is a little different than it is in the core Lift Truck business. But we view that as a short term kind of phasing issue and from the long term point of view, we see real revenue and profit growth opportunities in Bolzoni. So from our perspective, if we continue to work our plans in the forklift truck business in Nuvera and Bolzoni, over the next, two, three, four years, we see some real opportunities.",,,,,,
