Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Glenn Novarro,Stuart M. Essig," Two questions, one, just to clarify, I just want to make sure I heard your spine comment correctly; are you saying that, one, the US and overall spine market is not seeing a slow-down from the economy or are you saying that your business is not seeing a slow-down in the economy?  And then question two, obviously, in the last several days we’ve gotten some updates on Obama’s policy and I’m just curious, we’ve seen all the stocks sell off, Stuart, if you can give us your insight into this, is Integra at all impacted by any of this power fee talk coming out of Washington?"," Gerry will take spine and I’ll take the overall economy and how we perceive the impact on Integra; on the spine market, as you know, we bought a relatively small company growing at about 20% per year.  As we evaluated that company and integrated it into the Integra portfolio, at that time we covered about 20 states in the United States which had about 40% of the procedural coverage in the United States and no distribution outside the United States. So, as we talk about spine for Integra we see two opportunities.  One is a distribution strategy or execution which is expanding distribution in the United States to go from 20 states to get to full US coverage and that will give us opportunity to get broader coverage in the market, and to be able to take market share from some of the smaller less capitalized companies competing in this space.  In addition to that being able to expand internationally using our infrastructure in Europe and Asia that we’ve established over the last two years and being able to take the current spine products and putting it into that infrastructure and expanding distribution outside the United States provides an additional opportunity and a growth opportunity.  Again, this is mostly about execution of our distribution, expansion strategy both the US and globally. As far as the overall market, there is a lot of discussion about pressuring some of the larger companies in terms of their procedural volume, but as we’ve talked to our sales people in the field, we’ve not seen the impact of that pressuring as we’ve been just penetrating the market and taking market share.  So, we’re seeing still strong growth in that segment, and you have to also put in perspective that we’re not the number one or two player in the spine market where we’re controlling procedures; we’re so distant from the number one and number two position, in that market it’s a totally different opportunity for us to go in and capture market share from undercapitalized small companies which there are well over a hundred of them in this marketplace as well as some of the larger competitors. One of the things that are driving our success in this space is also the addition of our orthobiologics platform to our spine channel as the companies when we acquired them had the Therex orthobiologics, there’s very little attention or focus on integrating the orthobiologics into those spinal column planes.  With the Integra Orthobiologics in having both a mosaic platform as well as a demineralized bone platform and the Accell technology, we’ve been able now to integrate that into several of our strong spine distributors and we’re starting to see a lot of leverage in that channel by expanding our orthobiologic sales and giving our spine people a competitive advantage in order to capture share, being able to provide the surgeon with both a full portfolio of fixation and metal reconstruction devices and instrumentation as well as the orthobiologics to stimulate the bone growth during the bone grafting and vertebroplasty procedure.  So, I think we’re in a different situation than some of our larger competitors and we have a real competitive advantage over the smaller competitors in this space. This enables us to really continue to grow this business, and we see that continuing on throughout the year.",,,,,,
Glenn Novarro,Gerard S. Carlozzi," So net-net Gerry, can I just sum up what you’ve said there.  Are you saying that yeah, there is overall pressure on procedure volumes, maybe not significant, but for Integra, you’re not seeing any pressure within your business.  Is that fair to say?",That’s fair to say.,,,,,,
Glenn Novarro,Gerard S. Carlozzi," Would you be willing to give us your assumption of certain market growth rates this year; for instance, what do you think the orthobiologic market will grow?  What do you think the fusion market will grow?"," I’ve read the reports on some of the market growth rates.  The spine market is still reported to grow at 10%.  There’s a lot of tempering of those numbers downward based on the economy and just some of the pressures on procedure volume, and I’ve heard numbers as well as 3% to 5% in the spine market.  And orthobiologics, they’re about the same rate, at about 5% to 7% growth rate.",,,,,,
Matt Miksic,Gerard S. Carlozzi," I had two questions, but if I may, I just wanted to clarify your comments just now on spine; on the spine market in particular, less so on your business, Gerry.  So, you officially entered the spine market, spine fusion market, I should say, in terms of hardware and implants recently; are you making the call here that based on what you’re seeing that you see a deceleration from 10% to 3% in spine, Gerry?  Or are you talking more about reports that have been published, comments from the larger players over the past month or two as they put in their quarters?  I just want to understand your view on the spine market specifically.",Sure.  It’s mostly reports that have been published from some of the larger spine companies and some of the analysts in the market who are covering the spinal space.  We’ve read mostly 10% going into the year and then as most companies have started feeling some pressure and reporting their earnings as well as analysts’ reports out there are seen as low as 3% or 5%.,,,,,,
Matt Miksic,Stuart M. Essig," That’s helpful clarification.  If I may, just two questions; one drilling into your comments on the capital spending markets, in particular oversees, you talked about some of these international markets also showing pressure in addition to the US; just wondering if you could highlight where you’re seeing that and maybe where you expect to see that going forward, and I have one quick followup."," I think you heard from our numbers that we reported that indeed currency is a significant impact and it’s worth highlighting that when you compared fourth quarter to fourth quarter.  Markets that we’re direct in such as the UK, Australia, and Canada had currency had declines of 20%.  So people are really focused on the euro, but indeed a lot of other countries had major currency impacts in the fourth quarter.  Indeed some of those countries had their currencies nearly collapse which basically put on hold purchases from manufacturers in the fourth quarter because they had literally seen their currencies half, and these are developing countries.  In terms of capital, historically there was much more pressure outside the United States than in the United States on capital; so you did not expect the kind of growth that we had historically been getting in these capital products outside the US, but indeed some markets, for example, Canada in the fourth quarter shut down capital spending.  The government basically said, ‘see you next year.’  Now that doesn’t go on forever, and indeed again, because our products are capital products are really replacement and upgrade cycles; for example, a 2000-box installed base for the CUSA, these things need to be bought.  It’s just a question as to how long they can be postponing.  Certainly they can be postponed for several quarters, but we certainly are not losing to other players, we’re certainly not selling a product that is not needed, you have to use an ultrasonic aspirator to take out a tumor, and eventually they’re going to buy the upgrade or replace the old product.  We’re also enthusiastic about this new NXT, and I realize this is not the quarter where everyone is thinking about new products, but it is worth pointing out that after quite a few years of development, we finally launched this product, and we’re enthusiastic that it will help us generate an upgrade cycle as we move through the year, and it’s very differentiated from either the other products on the market or our historical products.",,,,,,
Matt Miksic,Stuart M. Essig," Last question here, just on acquisitions; I didn’t see it in the press release, if you could provide us with what was acquired in the quarter and then if there’s any particular areas where we can look for either tuck-ins, additional acquisitions going forward, the tendency towards instruments, the tendency to implants or neuro, any color would be of course helpful."," The small impact of our late December acquisition of Omni-Tract was a trivial contributor to the quarter.  In terms of our overall strategy, we intend to continue to be acquisitive.  We think it’s an appropriate strategy for the company.  Certainly in this environment we’re much more focused on cash flow and on accretion and profitability, and I think all of our expectations are appropriately balanced to more conservative acquisitions.  So, I think you’ll see us do acquisitions this year.  I mentioned that in the fourth quarter, we were able to get off a very conservative acquisition over this small company, Omni-Tract, and I would point out that we did with a lower EBITDA multiple than we would have done in a different environment, we did it with a more conservative capital structure than we would have done in a different environment, but we’ve got some good expertise in getting deals done.  Certainly, we’ve made it clear to all of the potential acquisition targets that given the stock market including ourselves is down well over 40% we certainly expect acquisition prices to be down a similar amount, and that takes a little bit of time to sink in for sellers to react, but they will.  So, expect acquisitions this year, expect them to be smaller than in the past, and expect the profile of those acquisitions to be more conservative.",,,,,,
Raj Denhoy,Stuart M. Essig," I’m wondering if I can follow up a little bit on that last question, you mentioned you are still working at acquisitions, but you obviously do have some cash flow obligations over the next year or two years, and with your stock price where it is, I doubt you’re going to do much using equity as far as acquisitions.  So, how do you plan to structure deals going forward?"," Keep in mind our historical track record on acquisitions.  We’ve generally used cash and we’ve generally paid anywhere from 5 to 8 times EBITDA or cash flow.  We’ve done typically deals in the $10 million to $20 million range, certainly in 2006 and 2007 we got several larger deals done which dramatically increased our orthopedic business and I certainly feel great about the fact that we put together this now close to quarter of a billion dollar orthopedic business with a growth profile and good balance to our more mature instrument business.  To some extent it’s a story of relative value.  If our stock is down 40%, then we just need to be sure that our prices that we pay are conservatively down on the order of 40%, and that just takes some getting used to for sellers, but the fact of the matter is most of the companies we buy are smaller private companies, the sellers aren’t getting any younger, and that doesn’t change as each year goes by.  So, I’m optimistic we’ll be able to get deals done, and also while we do have cash obligations, we also have a lot of cash and a lot of cash flow, and so we fully intend to be conservative, but you’ve got reasonably experienced people here at Integra in getting deals done, and really the company was build on $10 million and $20 million acquisition, not $200 million or $300 million acquisitions.  We certainly don’t think in this environment we could do deals of that size and we certainly as you point out Raj would not be wishing to use our stock to do anything more than smallish transactions.",,,,,,
Raj Denhoy,Stuart M. Essig," Using current indicators, you guys expanded the taking sale coverage by quite a bit.  Where are you getting those distributors from?  Are these folks that are experience spine reps that are moving away from other companies from the avid Zimmer acquisition or where have been able to take these folks off from?"," Back to our orthobiologics group at the same time, historically we had, when we acquired the IsoTis business and integrated into Integral Orthobiologics, we had some C and D level distributors, and during the course of 2008 we turned over about 40% of the distributors in our orthobiologics group to really strengthen that grip and get to a higher level of distribution and now we end up with more of the A and B players.  In the spine space, as we continue to look at expansion in the space, we’ve also taken the same approach, by being able to get the full portfolio of spinal reconstruction and then blending that with some of the orthobiologics products, gives us a lot of opportunity to secure a higher-level distributor.  What we’re finding is these are a number of smaller companies, a little over a hundred companies out there that some of these distributors were covering carrying multiple lines into the spinal surgeon and those companies are just undercapitalized and cannot afford to continue to support the distributor networks like they did in the past.  They historically paid out high commission rates; they gave away instruments sets and tried to support the sale growth. We’ve taken a much more traditional point of view where we’re not paying out distributor commissions, we have a reasonable loaner program and consignment program on our instruments, we’re not giving them away, and we’re managing the distributor network, but we’re actually providing a much higher level of service to the group with specialist management support and programs as well as investment in new product development we continually have new product introductions in both the orthobiologics and the spinal fixation devices.  This enables us to get higher-level distributors.  I don’t want to talk about the actual names of the companies where we’re taking from, but it’s apparent from the surgeons and the hospitals that we’re doing with now, we’re picking up much better distributors who are much more established in the market and have the presence in the territories in which we’re now expanding into.",,,,,,
Raj Denhoy,Stuart M. Essig," Okay, that’s helpful as well.  One last one on the extremities business, I think most of us just got back from the Academy Meeting last week, the booze of the independent extremity companies keep getting bigger and a lot of the larger companies now are starting to call out extremities as an area that they want to focus on.  Could you just talk a little bit about what’s going on as far as the competitive dynamic out there; are you seeing more, is it tougher to get new accounts?  Just maybe some comments, that would be very helpful."," Sure.  I’d say right now we have about 85 direct reps in the US and we have a number of specialists covering some of the wound centers and burn centers.  As we expand our coverage out to 115 people in the US, we believe that and we’ve seen it through the expansion from 75 to 85 in the fourth quarter that there are opportunities in the marketplace to continue to expand our penetration and growth in that market by just providing better coverage and better service to our customers.  Some of the dynamics competitively we’re seeing; again it goes back to the economy where some of the smaller companies in this space are being pressured right now to continue to provide a higher level of service and they just cannot afford it.  They cannot afford to put more instruments in the market because it’s cash flow, they can’t afford to continue to invest in their sales organization, they’re holding back on some of the new product launches, and I’d say probably most of the bigger competitors that we have, there are only a couple of them as you know that are out there in this space who are growing in excess of 20% a year really continuing to put their money into distribution and value-added services for the customer. We have heard lots of discussion about some of the larger orthopedic companies entering this space, that’s not new news for us, that’s been happening over the last couple of years, and we still feel very comfortable with continuing our strategy of having a direct focused sales organization focusing on this market, and we believe we can provide a much higher level of service to those accounts than some of the larger orthopedic companies because this is our business, this is the only thing our salespeople think about everyday.  They’re not thinking about should I be in a total knee or total hip case today or should I be in a $400 or $500 foot reconstruction or hand reconstruction case; that is their only option and we’ve been very successful and we believe that the sales organization will continue to expand our penetration and grab market share from both larger and smaller companies in this space.",,,,,,
David Roman,Stuart M. Essig," Just a couple of followups here; on R&D when you take out the IP R&D charges from last year, it looks like a pretty healthy increase in the quarter.  Can you give us a sense as to what the key projects are driving that increase, and with a lot of new projects, could you give us a sense as to what we should expect in 2009?"," Just keep in mind that in particular one of the biggest step-ups that you’re seeing in R&D comes from the acquisition of Theken.  Theken historically has spent more than 10% of sales on R&D and we intend to continue that trend; so that’s an important piece of it.  In addition to that we continue to grow our spending on clinical activities, the DuraGen adhesion barrier trial continues to move at pace and that continues to enroll patients and move them through the process and that adds to the R&D spend, and then in 2009 we’re excited about our wound care trial and that adds to the spend in the clinical area in R&D.  So all positive things, but a long-term investment in the company and consistent with our commitment to grow R&D as a percent of revenues.  Gerry is going to talk now about some of our product pipeline activities by our sales organizations.",,,,,,
