Asker,Responder,Question,Answer
Harlan Sur,Ford G. Tamer," Good afternoon. Thanks for taking my question and good to see the reacceleration in the business here. Good to see the -- you're PAM4 Polaris and Vega products still on track here Q2 and second half of this year. Are you guys still anticipating double-digit incremental revenue contribution this year from these products? And then if you look at your Polaris and Vega design win pipeline, roughly how many opportunities have you won so far with these products?"," Thank you, Harlan. So the first question, are we expecting double-digit revenue this year? Absolutely, we already have tens of thousands of units on order, firm orders for the year. Second question …"
Harlan Sur,Ford G. Tamer,How many opportunities have you won in this whole …," Yes, sorry the second question -- yes, the second question on the number of opportunities as in tens of opportunities, Harlan, we win in excess of 50."
Harlan Sur,Ford G. Tamer,Got it. Thank you. And then last call you guys mention the initial ramp of 400-gig long-haul Metro using a 45 and 64 Gigabaud coherent driver and TIAs solution in the second half. Is that still on track and roughly how many customers are you ramping these new solutions into?," Thank you, Harlan. So, yes 345 Gigabaud and 64 Gigabaud products are on track. We're renting it to over 10 customers and or intends of different design wins at those customers. And we are still very positive on both the TIA and driver for the 45 and 64 Gigabaud generations."
Harlan Sur,Ford G. Tamer," Great. And then just one housekeeping question, I just want to make sure I heard this correctly. So the team is anticipating given the mix of business and growth in the second half to get gross margins into that kind of 71%, 72% range in the second half of the year. Is that what I heard"," Yes, that's correct. Based on the M200 shipping and production, and the higher gross margins with the coherent DSPs buoying up the gross margin, so that’s 71% to 72% range, yes."
Jeremy Kwan,Ford G. Tamer," Yes, thank you guys for taking my call. Just wanted to follow-up briefly on ZTE and expectations there. You mentioned that there is potential for some market share shifts to go there. Can you give us a sense of maybe potential timing for that?"," Jeremy, if we could answer this question, I wouldn’t be working. So I would say that’s a very difficult question to answer. I’m not sure we know the answer. It's a geopolitical question and that’s beyond my pay grade, I think."
Jeremy Kwan,Ford G. Tamer,Okay. And maybe just to follow-up …," Maybe you can ask the question differently. As far as trying to determine whether this is going to be resolved or not, it's a very difficult question. I think what we’re doing is, we’ve been conservative. We’ve taken the ZTE out of our 2018 forecast and we’ve different model scenarios for 2019, where we assume that if this doesn’t get resolved, this could go to customers that either have the DSP, the TIA and the driver, all coming from Inphi or it could go to customer that have the DSP coming from either their internal effort or a competitor effort. So we’ve got a whole range of different models for 2019 that we will be happy to discuss on a one-on-one, but 2018 to be conservative we’ve taken it out of the revenue."
Jeremy Kwan,John S. Edmunds," Understood. That’s very helpful. Thank you. And maybe just switching gears, I guess, then to the balance sheet. Just that uptick in the CapEx, is this -- do you see this as a kind of a one-time thing or is it kind of an indication of more sustained capital investment ahead from your product launches?"," Yes, thanks for the question, Jeremy. Basically we do see CapEx in particularly investing in mask sets as kind of an ongoing part of our spending. And as we -- today we’re shipping and taking out things primarily in CMOS, in 60 nanometer. So I think for this year, we'll see some additional tape out expenditure in 60 nanometer and then maybe late next year we will see or probably in the first half of next year we will see a 7 nanometer tape out at some stage. So obviously gets more expensive as you go down geometry and you have to factor that into your capital spending plan."
Joe Moore,Ford G. Tamer," Great. Thank you. I know your guidance is sort of ¼ a time, but last quarter you had made some comments about the shape of the year and sort of getting back to Q4 '17 levels towards the end of the year. Is that still generally the way you’re feeling about things, and I’ve a follow-up."," Yes, Joe, we still feel the same way about the year minus the impact of ZTV we just discussed."
Joe Moore,Ford G. Tamer," Okay, great. And then I guess just the ZTE, just to make sure I understand, I mean, you talked about the exposure levels. Is that -- how solid is that number and I guess -- because I guess when we had the Huawei situation, I, at least had underestimated those exposures because it was not just what you’re selling to Huawei, but what you’re selling to people upstream from Huawei. That 1% to 5% is sort of comprehensive, that’s the total impact that you would expect from this, right?"," Thank you, Joe. Yes, so the 1% is a Q2 impact ramping up to 5% over Q4 impact and that's our best estimate of this point for both direct and indirect sales. So that would be directed to ZTE and directed to the ICR vendors that would use our TIAs and supply back to ZTE."
Mark Kelleher,Ford G. Tamer," Great. Thanks for taking the questions. Let me just follow-up that last question, maybe ask in a different way. I think you indicated that COLORZ came in a little stronger in the quarter than you had anticipated. Is that just fluctuation or is that sustainable?"," The business with COLORZ tends to be a little lumpy based on a construction schedule. So it may have been slow depending on the timing of the project and so forth. So in general the business there is solid and sustainable over the next couple of years, which is what we’ve conveyed to investors."
