Asker,Responder,Question,Answer
Ali Faghri,James P. Hallett," So, total physical auction volumes were up 12%, and dealer consignment was up 10%. I think that implies commercial was up roughly 12% to 13% in the quarter, which is a nice acceleration from low-single digits last quarter. Can you give us some color on what drove that specifically? Was that off-lease, repo, or maybe timing? And then also maybe some color on the cadence of volume trends at ADESA throughout the quarter."," Yeah. There is no question on the commercial is – there's just more and more volume coming. There's – these leases are continuing to come, and the question I've answered earlier, the grounding dealers passing on these cars and putting more vehicles into the funnel. And then with the financial institutions, those are writing more and more consumer credit, and that's just a straight math calculation. The more paper written, the more repos you're going to have. If I go back in history, we peaked at about 1.9 million repos back in 2008, 2009, and we took that number down to 1.1 million. Now we're seeing those repossessions climb back up to that 1.5 million, 1.6 million, and I would expect that number will continue to grow as they continue to write more and more paper. So, the heavy influence has been with the commercial cars – there's no question. And then, I think that on the dealer consignment, I'm extremely proud of what our ADESA organization has done with dealer consignment, and that was really an initiative that many of you are familiar with. It started back in 2009, and when we put that whole network in place, we have 300 people in the field approximately that are very focused on calling on dealers one at a time. We had people calling on the mid-sized groups and the large dealer groups, and we've just really created some good habits for our dealers. And we've started to treat the dealer consignment business more like we treat the commercial business, providing more and more services to them. And I think the proof is in the pudding. We're getting the results and our dealers are all about results and that they have a good experience. They're returning, and I think that dealer consignment team, again, has just done a remarkable job. And quite frankly, Eric and I have been saying this for probably the last two years or three years is, we are surprised that the dealer consignment numbers have held up as strong as they have when you consider the impact of all of these commercial vehicles coming back. So, it's really been a great win for us."
Ali Faghri,James P. Hallett,Great. And then just on the cadence of volume trends as well throughout the quarter.," I think, it's been steady. There was again..."
Anthony F. Cristello,James P. Hallett," The first question is sort of a bigger picture question. We continue to hear about more technology in the industry, dealers looking for ways to speed up the process of auction and/or move vehicles from dealer to dealer, and in some instances, bypassing auctions. And I know you've got TradeRev and some other initiatives. I'm wondering if you could expand on how you will take advantage of a shift perhaps in technology and be able to continue to better balance both the physical and online use of where things may evolve."," Yeah. I think, we're very much aware of potential disruption and how we could be disrupted, and I would like to tell you that if there's disruption that's going to occur, we'd like to be disrupting ourselves. And that's exactly what we're planning – what our plans are with TradeRev. We actually feel like we are disrupting ourselves there. So that – TradeRev continues to rollout, and we continue to add resources in the markets that we are in with TradeRev. We are experiencing what I would call success. We're seeing the numbers continue to grow on a monthly basis. We've brought in – we've enhanced some of our technology with other products. We've talked about Autoniq, which gives the dealer real values on his smartphone while he's in the lane. I think, it's being aware of what the technologies are that can really add value to the customers both on sell side and on the buy side, and allowing them to make better decisions. I think some of the things that we're doing with data and planning on doing with data in terms of big picture will give the buyers and sellers better information to be able to make more informed decisions. So Eric, do you want add something?"
Anthony F. Cristello,James P. Hallett," And I guess, it seems like so from the technology part on ADESA, you're sort of being part of that evolution of change. With IAA, it sounds like you're being able to help improve what the insurance company see as probably one of their bigger expenses. And so on that cycle time – or if you look at where the biggest opportunities are to communicating with the DMVs and improving that, is it being more efficient at that first notice of loss point? And are you able to see opportunities for yourself to continue to improve and obviously offer better services to your customers?"," I think, it's a little bit of all that you've mentioned really. You think about the technology, you think about the enhancements to our existing technology, bringing in new technologies that we've talked about, bringing in the data and the analytics and other things that we may be doing and working on, I think, if you – it's kind of that story a little bit plus, a little bit plus a little bit adds up to a lot. And it's just being very focused on what's going on in their industry and what the trends are and what the shifts are and making sure that we're staying ahead of the curve."
Benjamin Bienvenu,James P. Hallett," Touching on the salvage business, your acquisition that you made in the UK, I'd just be curious to hear the progress there, how discussions with insurance companies are going, to the extent you can opine, and then your thoughts on the broader market there as well."," As it turned out, our timing wasn't great when we did that acquisition. I think, as we said, scrap prices couldn't go any lower than they were at the time that we were getting that acquisition closed. And we've mentioned previously that we did go over and we sat with the management team. We did kind of restructure the business model a little bit, not in terms of the amount of cars bought, but in terms of some of the pricing that was going on. And as Eric mentioned in his commentary, we're pleased that HBC was a positive contributor in the first quarter, and we think we've got the business model right, and we think we can continue to grow that. And in terms of looking forward, we're a very, very, very distant number two player, but we think there is opportunity to do further consolidation, and we'll just have to stand by and see how that plays out."
Benjamin Bienvenu,James P. Hallett," Great. And then your comments earlier around active discussions and deals, should we think there's possible opportunities in both North America and abroad, and then also ADESA and IAA? Maybe give us a sense of what those opportunities look like by business segment."," Yeah. And I think you should think about all of our businesses and that we're actively looking at opportunities and targets, and you should think of them both domestically and internationally. And as I mentioned in the past, we're still very much a believer in brick and mortar. We believe brick and mortar still has a role to play here, and we can buy these at what we would believe are very attractive multiples. And as I've said previously, there's 5 to 10 what I would consider really plum-type acquisitions out there. Not that we're going to buy 5 to 10; that's not what I'm saying. Don't misunderstand that. But I'm saying of those 5 to 10, we are in active discussions with a number of those. And I would hope that we could possibly close on some additional independents with no time line in mind."
Bret Jordan,James P. Hallett," A question on the IAA inventory, up 4%. You talked about improved cycle times. Was there any impact from generally warmer and less icy weather in the Northern or Northeastern states, and then again some volume shift with farmers in the quarter, or is it primarily just the cycle times?"," Yeah. Bret, I'd mention that there certainly were some impact from the mild winter that we experienced. In terms of customers, we really don't get into talking about specific customers. But you have your wins and your losses, and they pretty much offset each other. But maybe the bigger impact was improving these cycle times. And as I mentioned in my commentary, especially with one very large customer that we mentioned previously that they had kind of taken a pause, and they kind of taken the time out to restructure a lot of their internal processes. And now that they've got those restructured and they're working with us in our Total Loss Solutions now in terms of how they cycle these vehicles to the market, that has reduced inventory at the end of the quarter."
Bret Jordan,Eric M. Loughmiller," Okay. Okay. And a housekeeping question on SG&A. You said $10 million of the incremental $20 million was acquired. How much of that was Brasher's eight, how do you see Brasher's adding to SG&A on the year?",Brasher's is not in our numbers.
Bret Jordan,Eric M. Loughmiller,Okay.," They were acquired April 1st, so they don't even hit for one day, Bret. But Brasher's, again, we'll give more color on that. We just closed the transaction. It will – it's got a business that looks very much like the ADESA business with about 25% – 24% or 25% EBITDA margins coming in. And it's a local operation. It'll fit very nicely in the business model of ADESA."
Craig R. Kennison,James P. Hallett," Great. Thank you for taking my question. It's really on this recall trend. I think, AutoNation recently announced a change to its recall policy and may end up ultimately wholesaling more vehicles if they can get the repair done in a timely fashion. If that goes mainstream, does that have any influence on your volume trends?"," Well, perhaps, it could increase our volume overall if they start wholesaling more of those vehicles, but I think that we would probably be required to get those recalls done before the vehicle got resold."
Gary Frank Prestopino,James P. Hallett," Yeah. A couple of questions. First of all, if Chicago starts rolling out this year, how long would a new site like that be a drag on the adjusted EBITDA results?"," Gary, typically, we would tell you for a Greenfield location to be cash flow positive, we normally look at it in a period of 12 months to 18 months. In the case of Las Vegas, which was the last one that we did, we're very pleased that we're cash flow positive there in the first 12 months. And let me say, I'm optimistic that we can have strong results going into that Chicago market. I think we're going in at a very good time. We absolutely got the ideal location. The buyer base is there. The cars are there. The customers are there. I'm expecting a strong performance there coming out of the gate."
