Asker,Responder,Question,Answer
Christopher J. Muse,Bren Higgins," I guess, first question, considering the extended lead times that you're seeing, particularly on the foundry side, I'm wondering if that extends also into other customers into 2015. What I'm trying to get at is how do you see the ramp in terms of '16, '14 spend and, therefore, the linearity to shipments the foundry gets for you guys into the next year?"," C.J., good question. Thanks, it's Bren. So I think as we look out going forward here, I think that clearly, this -- and I talked about it at SEMICON West where we had effectively one customer that we're expecting to ship somewhere close to $100 million to -- in the September quarter and we plan to book those orders in June. That business fell out; other businesses came in to replace it. And so it did put a bit of a hole into the shipment forecast for the quarter. I think going forward, as we said in the prepared remarks, we see the shipment trajectory of being positive, and we'll see a resumption of growth into December. And as we said in the remarks, it looks like it's greater than $800 million or so. I think it's interesting. It is fairly fluid in terms of timing or it has been, although, I think that those -- these orders that we did see in the quarter in foundry are a, I think, a good confidence point in terms of timing and when we expect that capacity to get added as we go into the first part of 2015. So we'll see. I mean, there has been a fair amount of fluidity around the shipment plan over the last couple of quarters. Clearly, this one in particular, it was a large sizable order, and those orders are slotted in -- mostly in the first half of the year."
Christopher J. Muse,Bren Higgins," Okay. And I guess as a quick follow-up, in terms of roughly the $1 billion buyback, is that something that if you were to see weakness, you would look to be more aggressive or is that something you're still planning over the next 12 months?"," Well, our plan is, as we put in the press release, was that we were going to execute that over the next 12 to 18 months. Obviously, there are conditions you would look at as you go through that period in terms of -- that would impact how you think about the timing. But that's as far as I want to go in terms of how we would execute that going forward."
Harlan Sur,Bren Higgins," So given the order upside in the June quarter, I believe at SEMICON you said you sort of now anticipate a flattish second half versus first half, so sort of 2 questions on that front. Given your pipeline, do you still expect flattish second-half orders? And then your first half order mix was roughly 63% foundry, 23% memory, 14% logic. How do you see that mix in the second half? And can you point to specific programs or initiatives sort of dragging that order mix?"," So, this is Bren. Harlan, I think that -- in consistent with what we've said at SEMICON, and we see the second half lining up roughly flat with the first half given the strength of June where we thought -- initially, we thought second half would be stronger but then we had the strength in June, which drove that view where I think it's sort of flattish now. So I don't think that that's changed. As I look at the data, I think that foundry is probably up half-on-half, memory's up half-on-half, and logic is probably lower."
Harlan Sur,Bren Higgins," Okay, got it. And then gross margin performance, Bren, as you highlighted for the June quarter, came in roughly about 110 basis points below the low end of your guidance range. I know you mentioned mix and lower revenues. Is the mix impact due to lower shipments of your high-end tools? Maybe you can just provide a bit more color there. And then for the gross margin guide for September, is that weighted more towards mix effects or just lower absorption from lower revenues?"," Yes, so on the Q4 performance relative to guide, I mean, systems mix was about 1/2 of the delta there. And it was really just driven by what ends up revenue in the quarter, and that is all driven by acceptance cycles and so on. So that is how we just finished up, and it was weaker than I had expected. I think in terms of which product lines, I think there's a lot of -- always a fair amount of movement in that in terms of what actually gets accepted. The other piece of -- the other half of the margin weakness was driven by just higher-than-expected costs, parts costs in our service business, and I think it's just related to the mix of service business that we had in the quarter. So if you think about Q1, I think Q1, most of it to your point, I think, is you -- when you think about the revenue decline, I mean, as I said in the prepared remarks, we're expecting to have output going forward in excess of $800 million. So you're taking your costs associated with the ability to deliver that kind of output and spreading those across a lower revenue base, and certainly, that dilutes margin. I think the other dynamic that's in there is service is up just a little bit quarter-on-quarter. So service, which we believe is dilutive to gross margin -- it's accretive to operating margin but dilutive to gross margin as a greater percentage of the revenue mix, and that has an impact as well. So those are the dynamics that are affecting Q1."
Farhan Rizvi,Richard P. Wallace," This is Farhan, asking a question on behalf of John. I just wanted to probe you a little bit more in terms of the FinFET ramp. How it is progressing? The order backlog that you have already from one customer as you mentioned and what you're seeing from the other customers, where do you think the expected capacity is by end of this year and how do you see that progressing through the next year?"," Yes. This is Rick. We continue to see a lot of customer interest in FinFET development, but I think that when you get to large-scale production, we're really looking out in the foundry space in particular to see what happens in 2015. We're not as dialed in to some of the other suppliers in terms of the actual number of wafer starts. There are a lot of estimates out there. But we do see activity across several foundries in terms of FinFET. The expectation there'll be pilot -- continue to be pilot work this year and then ramping into production and high volume by the end of calendar '15."
Farhan Rizvi,Bren Higgins," Got it. And then my second question is on gross margins, the gross margin guidance for September quarter. If I think about the gross margins, your gross margins at that level were only way back in 2009. So I just wanted to understand like going forward after the September quarter, how should we think about gross margin? Is there some sort of a decline that has happened going forward or is it just a onetime issue?"," Well, I think as I mentioned, I think how we're sized relative to the revenue levels is a factor certainly in that -- in September. I think going forward, over the long run, you always have some volatility in terms of the mix of products that we end up revenue-ing, and that has some impact on gross margin. I don't see anything fundamentally different or structural in the overall business in terms of gross margin performance. And I think you ought to continue to see us, over broad periods of time, perform fairly consistently with the gross margin model that we cited many times at 60% to 70% incremental gross margin on revenue growth. So I think given where we're starting from here, I think if mix holds the way I think it is today and obviously, that moves around a little bit, I think we'd probably end up performing towards the higher end of that range early on. But we'll have to see how it plays out. But nothing, as I said, that's sort of structural that, over broader periods of time, that would indicate that there's anything different than what we've seen in the past."
Atif Malik,Richard P. Wallace," Rick, can you talk about the timing of the next phase for 3D NAND orders? If [indiscernible] on their call, they talked about the economics of 2D being better than 3D in the second half. Can you talk about what are your expectations in terms of the timing for the 3D second phase orders?"," I think that's -- sure. I think the soonest we would see the next tranche of orders for additional capacity for 3D, the soonest would be the end of the calendar year with anticipation of early calendar '15 ramp-up. So I don't expect anything to happen before then. I think there's a lot of questions out there continuing to be addressed by our customers but when we talk to them that's the kind of timeframe we see is orders if they happen this calendar year would be at the end of the calendar year supporting buildout in '15, and I think you get to multiple suppliers -- the soonest you get to multiple suppliers is by the end of '15."
Atif Malik,Richard P. Wallace," Okay. And then as a follow-up, can you talk about the action or the steps you're taking to combat ASML offering an on-board metrology and lithography, too, that can you talk about your historical relationship with Nikon and what you're planning to do in the future?"," Well, we don't -- I guess, certainly from our customers, there's an interest as EUV pushes out to get more capability to be able to support the multi-patterning challenges with overlay. But -- and it's not just overlay, it's all the patterning challenges. So we have been pulled, I would say, by customers to support an initiative but what we're -- we talked about is 5D, which handles several discipline aspects of the patterning challenges. And that includes allowing our customers to interface with multiple suppliers of lithography but also looking at feedforward and feedback for match as well. So we're engaged with several customers on that, trying to support their efforts to get control of the -- of their litho strategy. And I think that, that includes support with other suppliers and I think of litho in particular. And so we're working those avenues. But there's a very active engagement by customers as they deal with the challenges on multi-patterning."
Stephen Chin,Richard P. Wallace," Rick, I just wanted to follow up on the big $300 million order that you got from that foundry in the June quarter. Do you think the product mix from that customer will be favorable to your fiscal 2015 gross margin?"," Yes, I mentioned in a response to an earlier question that if you look at the order book -- I'll be more general than specific to that one quarter, but if you take June and you look at the overall orders for June, the gross margin from that quarter looks more typical of what you would expect and what we've historically had. So rather than getting into specific margin per customers, I'll just say, overall, June looks more typical of what we've done in the past. And as Bren said, there's some anomalies in the June quarter and September that are impacting overall margins, but it does resume as he indicated back to our historical levels as you get out further into '15."
Stephen Chin,Bren Higgins," Okay. And then maybe just a follow-up on the December quarter shipments, getting back to the $800 million level. Do you think there will be DRAM shipments or capacity adds helping in that December quarter also?"," We're still in excess of $800 million into December. And I think a lot of that -- I mean, there's capacity that's being shipped, I think, in general in the book for memory. But I think a lot of that depends on timing of orders. But it's certainly possible we could see some capacity shipping in the December quarter for DRAM."
