Asker,Responder,Question,Answer
David Gold,Dennis Kakures," Just a couple of follow-up questions. First, can you walk us through a little bit of the guidance. What's embedded it may or by way of California budget? Is that predicated on the five proposals that you are looking for to pass?"," Actually if you look at the California budget situation currently we feel for the remainder of 2009 this impact whether that passes or not or probably minimal of the key item for us thus far is in the fact that bonds were able to be sold in March and April. And what that did was fund about $2 billion worth of about $2.5 billion of school construction related project that had been put on hold. They were either “shovel ready” projects or projects that were just starting off as they have frozen. So when we look at the rest of this year, although we would love to see the initiatives pass on May 19th, its less critical to this year than it is to the 2010 school year in our mind."
David Gold,Dennis Kakures,So presumably the bonds that have been sold basically provide all the funding that you would need to sort of to get to that range?," Let's put it this way, the fact that the December 18th stalled projects are now up and running, at least the great majority of them. That was a very important item."
David Gold,Dennis Kakures," On that note, I guess if we go back a quarter ago on that call you pointed to looking for the budget to pass and basically without it, I think you said something along the lines, there were some [stalled] projects like you said, presumably with some [retained] projects? So now that the dollars are out there, you are withholding guidance. Is that to say that your money hasn’t come through maybe as quickly as a matter of -- in other words if the situation is better why wouldn’t guidance be given now?"," Well the situation I'd say is better. It turned out that having those initiatives passed in May became less important once the bonds were sold. The bonds were the key to be able to fund the 50% that the state needs to provide for these modernization projects. So that was what was most critical and I would still say that fact of the initiatives passing on May 19th, that also important buts it’s a longer term, that has a longer term dynamic until -- and if they don’t pass, we'd expect they've got – they will sit down and figure out another approach. So, I would just say that what occurred with the bond being sold was -- we believe that the state would find a way to make things work. Now, it turned out that it was a fact that they sold bond before they had a formal balanced budget with the initiatives passing. So,  one happened before the other and that really satisfied what we were looking for in our plans for this year."
David Gold,Keith Pratt," Okay. All right. That's fair. And then sort of another piece of that, the way of G&A I can tell that you're managing that quite tightly? And just curious, if there is more potential progress there or would you use the first quarter as the good run rate?"," Yeah. I go back to what we've said in February, I think it still holds true. What we said in February was to remind everyone where we spend $58 million in SG&A for the total business in 2008. We said our goal was to really hold the line at SG&A in spite of the fact that we are funding some new organic initiatives and really see the incremental SG&A just be tied to Adler. And you’ll see in the press release, Adler was appropriately $1.8 million of s incremental SG&A in the first quarter. And what we said was for the full year '09, we were expecting SG&A somewhere in the $8 million to $9 million range for Adler. I think that still holds true. We are going to be adding incrementally some additional personnel at to Adler over the course of this year, some of that we've already begun. But I think, in short what we try to beat that goal and manage cost to tightly as we can, absolutely. So if we can do better then the $58 million of last year with another eight or nine added to account for the addition of  Adler which takes you into the $66 million to $67 million we are in for the year. If we can beat that, we will and we are very focused on careful management of cost and we are very focused on looking at business activity levels in all areas and making adjustments if we need to."
David Gold,Keith Pratt," Hi. Can you give a little bit more detail on the CapEx in the period? I guess, it sounded like it was pretty close to last year?"," Yeah David, for the first quarter just looking at the cash flow statement we spent 24 and .4 million on capital and that's comparable to last year, a little bit lower. The thing I would say about our outlook on capital spending, first of all, as we had suggested in the past, our capital spending would be diverted more to the new initiative areas. So, that would include Adler Tank rentals, it would also include portable storage and environmental test equipment and well over half of what we spent in the first quarter was directed towards those new initiative areas. The other thing is because they are new initiatives, I think the capital spending will be more [towards] in the first half of the year for those and then probably tapering off a bit in the second half of the year. Really the capital we need to put in what I call the traditional modular and electronics businesses, that is very low and it really reflects the fact that utilization of the equipment pools is low compared to where we would like it to be."
Jamie Sullivan,Keith Pratt," Wondering can you talk a little bit about Florida. It sounds like, that market was holding up a little bit better commercial, construction was actually doing fairly well and giving you a new entry. You just commented on what you've seen change in the marketplace and also in the class size reduction initiative; I think you had a comment that there have been some delays or some non-renewals of that initiative, could comment there?"," Certainly, first on the commercial side, I think the prepared remarks really centered around what a difficult market it's been this year especially on single and doublewide type rentals. So just to be clear on that, that was a very tough market in Q1. commercially. On the educational side, what occurred with class size reduction for the 2009, 2010 school year is the constitutional amendment on class size reduction with having the ratio is being met on the classroom level rather than on a school level. They went from district to school to classroom by design when they initially put together the legislation and what the state did because of that very tight budget situation in Florida is, they differed districts having to go to that until of the 2010-2011 school year. So class size reduction is still fully in place, they just got a one year reprieve so to speak and next year, in 2010-2011 they would have to go to make those reductions at a classroom level."
Jamie Sullivan,Dennis Kakures," Okay. And how much of Mods today is in the Mid-Atlantic, is it less than 5%?",Yes. It's very small although I will say that we’re making some good initial steps there with our new product introductions. Its small buts it’s a longer-term growth item for us but again good progress to-date in terms of getting the seed planted and getting the few nice orders here recently.
Jamie Sullivan,Dennis Kakures," Okay and then just I guess on cost measures, have you -- what have you done to-date is that part of how you're able to maintain the outlook here based on little bit deeper cost control then we talked about a few months ago."," We're highly focused, as Keith mentioned a moment ago, I mean without -- based upon our volume driven for each division, we take cost out as we need to on the production side and processing side based on volume. I mean I spoke to some of the cuts on our call earlier this year about salary freezes, reduction in bonus levels, a reduction in equity grants and those types of items. So, we've taken a very surgical approach to things and really tried to do things smartly and we’re continuing to monitor this very tightly to take cost out of the business as warranted."
Jamie Sullivan,Keith Pratt," Okay and I guess just on interest rate, not the interest rate, the interest expense that came in a bit lower than expected, is that at a level that could be sustained for the year. Do you expect to continue to pay down debt, how that creep down assuming interest rate stays the same."," They key to it is LIBOR. Most of our borrowing through a revolving credit lines and essentially we pay a margin over LIBOR. We're typically borrowing one or three months LIBOR. And over the really the last couple of months, there are at historical lows, that's benefiting us. So interest expenses was around 2.5% in the aggregate for the first quarter. Really if LIBOR stays low, if credit markets conditions do not deteriorate, we do not see a tightening or a spike. It is possible we could stay right around door levels that we saw in Q1."
Jamie Sullivan,Keith Pratt,Hi. Couple of quick questions. On the income statement rental related and other lines that was up year-over-year. Is that related to returns and pick ups and things like that?," Not specifically. When we have the rental for modulars, the rental related services, those revenues are recognized ratably over the term of the initial contract. So it might be over one, two or three years whatever the appropriate time frame is. So when you see movement in that line item particularly from modulars it can simply relate to the ebb and flow of particular projects being really running their course in terms of the initial contract and the revenues associated with them being recognized."
