Asker,Responder,Question,Answer
Chris Sansone,David Langevin," Hi, good evening. Thank you for taking my call. So, exiting 2015, what percentage of your sales do you think will be ultimately energy related?"," I would have to say if you exclude utility in that, and certainly we're going to have sales in 2015 on the utility side. It's going to be a very low percentage for 2015."
Chris Sansone,David Langevin," Right. So, I tried to put together the numbers for what it looks like in 2014 and I came up with $130 million of energy related revenue on of course $480 million of total revenue."," If you have pro forma with all the businesses, you're right."
Chris Sansone,David Langevin," Yes, right so that gave you energy of 27% so exiting 2016 where do you think that number is?"," You certainly going to have some business, I mean I was thinking about it as you were summarizing that Chris and I mean you’re going to have some business because there is maintenance business going on so it's not going to be zero but it's not going to be 27% obviously it's going to be much closer to a 10% range I would think on a estimate. We are preparing 2016 but as now will enter that in much for us over the next couple of weeks, all the operations have been working on per weeks but we’ll start to get more actively enrolled. So I have a better REIT for that at the next call but I would say it's somewhere between zero and 10% I would guess, I don’t know Andrew if you have any thought on that but."
Dale Hefner,David Langevin," Hello guys. Well, I have been waiting here I have been crunching a couple numbers here. I guess my question is on SG&A. I see that like through the first nine months there was - say 250 point increase in gross margin, it looks like the SG&A got worse by about the same amount.",That’s right.
Dale Hefner,David Langevin," So I just wondering if there is, if you are looking at any potential improvements on SG&A I realize it you probably inherited SG&A structures with PM and ASP there were higher than what you historically had. But I was wondering if there was going to be any opportunity if you’re looking at improving that?"," Thanks Dale, thanks for your question. I would say but we have historically been in the 10% to 11% range but we ran very – ran rather simply when we were basically a North American oriented company. And now that we have expanded, we have more international obviously we’ve talked about the branches that we now own, those all add. So now we’re in the 13% to 14% range, it is probably more normal and we really miss clearly we should be running $125 million a quarter instead of $100 million a quarter. And if you do that math and obviously we’re down to the back to 10% to 11% range and you can do that, you can go from $100 million to $125 million without adding G&A. The other issue that we've had this time around is - it was much easier in 2009, it was very difficult because of the economic events. But from an operating standpoint, all reflects like crazy just everything went down. Well now of course you can possibly very often engineer, we need all the engineers we can if you laid off an engineer today, he has got a job tomorrow, he or she has a job tomorrow. So you have to be – you have to be very prudent and careful with - because you want to make sure the franchise is protected and the growth is when the markets it is very – we have very isolated situation that we are experiencing right now. So I would say in the short run, you should see some improvement but it will be more on the sales line rather than on the G&A line because we should be able to add sales and G&A much G&A increase."
Dale Hefner,David Langevin," Right. So you will grow your way into it eventually, right?"," That’s what we are going to do I think from now, yes."
Dale Hefner,David Langevin," Okay. And just one more and then I will get off. My second question involves on the capacity of that Texas plant. Obviously right now you are not manufacturing too many cranes there, so you could pick up through the next year - pick up some of that PM crane manufacturing there, but what happens when the straight mast market improves and then there is a lot more demand, is there going to be enough capacity there to do both?"," Yes it’s a very good size facility and we really flex it tremendously and we’ve been on the crane business as high as over $140 million in sales there and we’ve been as low as $20 million. So it’s quite a range and when we’re doing $140 million, we are running one shift. So we’ve never added significantly a significant second shift there. So now obviously we’re running at reduced work weeks at that facility. So we’re very anxious to get more production into that facility. And again I can't wait to have a high class problem like that again."
James Goodfellow,David Langevin," Hi guys. Good afternoon, just jumping on for Kristine here. Thanks for taking the question. We'd love to hear any updates, I know you kind of touched on this in your closing remarks, any updates on your intentions or activity in terms of streamlining the portfolio and I don’t know how you are looking at divestitures of non-core businesses going forward, any activity there, anything anecdotal would be very helpful."," Sure James. Well you know the process is not a quick process, it want to take some time and I would say that we are very far along on one of the companies and products that we have determined is something that we may entertain other opportunities and offers for. And I would say after that if we finish – hopefully we can finish something between now and the end of the year but that is not guaranteed and then I would expect us to take another stab at it again next year. But again it’s a certainly very important part of our strategy we built up. This company with a number of different products and companies and now that we’re at certain size will concentrate on our highest margin products at our highest margin companies and peel off the few of the lower ones which will do better in other circumstances, get more attention, get more resources. And we‘re also doing the same thing with our working capital because obviously as you look on our balance sheet, we have - and as Andrew summarized we have cash receivables and inventory in excess of $200 million and we need to turn all those quicker and faster and more importantly in that group we have $25 million of finished goods, so that is something that historically we never had anything at that level because we generally built order. But with the braches and the operations we have now, we do have more inventory and we do want to flush out inventory through the system and probably try to do as much as we can in the near term."
James Goodfellow,David Langevin," Okay. Thanks, that's helpful. Moving onto the oil field overhang if you will, some of your competitors have spoken this and you touched on in your prepared remarks, we would love to hear anything anecdotal or anything that you’re seeing in interaction with dealers or directly with customers in terms of where you see the process of clearing the used channel standing today?"," It’s still there; it is not as prevalent as it was last quarter. It’s less, there is more – there is more activity on the core side but I don’t expect it to end between now and the end of the year but we certainly hope that we have – if we have continuation only in the first half of the year and not the second half but again that’s very hard to determine. We just look at what we’ve sold in the marketplace, what we all have sold in the marketplace in the last two years 2013 and 2014. How much we are selling this year but we know the market is much larger because of the construction side. So you know if you just run some averages you have to have absorbed much of that overhang during this year. But I'd still think we will have some carryover into next year."
James Goodfellow,David Langevin," Okay. And then in terms of knuckle boom opportunity, can you speak to any specific end market reads on the European side of things, and any specific opportunities you've seen there?"," Well, the European market has performed much better this year, it continues to form well. They never had the rebound that we had because obviously they don't -- generally speaking, have the energy markets that we have. So, we didn't have the construction rebound after 2009, we had only energy rebound. Now we're seeing the construction market rebound, which is good because it's absorbing the downturn in the energy. But there over there, they're now are experiencing the construction rebound also because companies that have survived and have grown or are now starting to grow, have very old equipment. So, you have just the replacement cycle that you would normally would have every four or five years are now finally starting to kick in Europe. So, we're very optimistic that Europe this year has seen some growth and will continue to seem some growth as Andrew referred to in his prepared remarks."
