Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Anthony Stoss,Rick Neely," Hi guys, just wondering if you are – what you are hearing from your customers in terms of order push-outs model that you guys were expected to be in, also if you could comment on the network market, has there been any share changes? And also if, Michael, if you can give us a sense of how many new products do you might launch in 2009? Thanks."," Okay, Tony, hi. I will start a little bit – the issues of the push-outs were a Q4 phenomenon that a lot of – when Michael said November, December what happened was all the orders that came in were matched by orders that got pushed out to the next quarter. So that was why the end of the year was bad for everybody in the business. We haven’t, after those push-outs there we haven’t seen as much of that this quarter. It sort of hit the bottom. But – so I don’t see any more of that right now. That was more a Q4 phenomenon. I will turn it over to Mike.",,,,,,
Anthony Stoss,Michael Hsing," Okay, and then also if one of you guys could comment on where you stand share any changes at all that you can tell?",No there is a – I think that the worst time is around too fast and customer hasn’t really reacted that. And as far as we see we haven’t lost any socket.,,,,,,
Dan Myers,Rick Neely," Hey, Rick, just a housekeeping issue. You gave non-GAAP OpEx of $12.5 million to $13.5 million and then litigation of $1.5 million to $2 million.",Correct.,,,,,,
Dan Myers,Rick Neely,Is the litigation inside the OpEx?," No, that’s additive. I mean the $12.5 to $13.5 million is your R&D, SG&A –",,,,,,
Dan Myers,Rick Neely," Okay, and so you don’t consider litigation as part of this – it’s – so we should look at a total of $14 million to $15.5 million?",Right.,,,,,,
Dan Myers,Rick Neely," Well, you’d like that litigation to be zero someday.",That’s exactly my point. You got it.,,,,,,
Doug Freedman,Rick Neely," Thanks guys. Thanks for taking my question. Looking at your results, DC to DC converters down 20%, really outperformed the LED business there, the – backlighting business. Can you talk a little bit about what contributed to sort of relative strength in DC to DC or are you seeing new wins that are starting to ship in sample volumes or is it just that the end market that that sells into weren’t down as much or there wasn’t as much inventory? What explanation can you offer?"," Well part of it, Doug is – as Michael talked on the new products – but part of it like we said, we generated 10 – over $10 million of new product revenue in 2008 from MiniMonsters and battery charges that was zero in the year before. So that helped contribute with those types of new products. Michael?",,,,,,
Doug Freedman,Michael Hsing,Great. Can you talk a little bit about sort of tracking your design wins and maybe a little bit more color on the relative value of the design wins that you’ve achieved in the last quarter?," In the last quarter, in the DriverMOS and obviously the new product that we beta tested in many customer place. And we had very good feedback. Our customers are excited about it and so we are continuing to work with them and try to get some design wins. That’s one area. The other area lower current levels, 4-5 amp current levels and we are designing into many different places and if I mention one of them it will be a small percentage. So I just mention one just for information. Again, the TV, okay, we continue to win design wins in the TV side set top box in Europe and among other industrial applications. So, every one of them are very – contributes to very small revenues.",,,,,,
Gus Richard,Michael Hsing," Yes, thanks for taking my question. Michael, can you characterize the designing activity that you are doing currently? Is it mostly for new products or is it more for cost reductions for existing products?"," It’s not a cost – okay, actually we do both. And – but I have to correct my – correction to your question is that okay, it’s not a cost reduce and cost it’s – we increase the dollar content to replace our existing product. Our product especially in the DC to DC and our unit price will slightly increase and to cannibalize our older generation. The reason we can do that is because we need to bring in more components. The newer product, of course, and I am excited about the DriverMOS family and this opens up another market, which we don’t – we didn’t have before.",,,,,,
Gus Richard,Rick Neely," Okay and then Rick, just a couple of quick ones. Currently the order rate is very spotty. Is that just the fact that customers are ordering from just immediate need and you know even if they don’t kind of thing?"," I would say that’s correct. I mean what you saw obviously in January was quite because everybody was on vacation either in the U.S. or when we got back everyone went on vacation for Chinese New Year. So, yes, we’ve seen some more regularity in February, but again, it’s just a few weeks. So, I think given the situation of the ODMs and so forth I think they are ordering when a customer screams at them and they order from us. But it’s pretty much hand and mouth as far we can tell. That’s why it’s erratic.",,,,,,
