Asker,Responder,Question,Answer
Mitchell Kaiser,Kevin Peters," Piper Jaffray. You talk a little bit about the Windows 7 launch. You talked a little bit about the windows 7 launch.  Could you just talk about where your thoughts are on the tablet and the e-reader impact on the computing category, and maybe what your strategy is on a go-forward basis?"," This is Kevin. I'll take the question on the tablet. I think the tablet certainly are here to stay with the launch of the iPad earlier this year. There are several million iPad tablets in the market. I think data that's published from a number of sources would suggest that it certainly impacted not only the netbook market, but it's also impacted the laptop, and in some respects, even the smartphone market. So I think it's a choice that both consumers and small businesses will make in terms of their computing needs. So therefore, for us, having a presence in the tablet category, we think it is important. We've picked a couple of tablets that we plan to have as part of our offer in the fourth quarter, specifically for our small and medium business customers. We've also enhanced our offering of accessories both for Apple products, as well as other makers of not only tablets and smartphones. Short answer is tablets are here to stay. I think they'll be an evolution. It seems as though every week somebody is getting in the tablet market, so we'll try to stay at least on pace or ahead of that curve."
Mitchell Kaiser,Kevin Peters,So is the expectation that you'll have those in the fourth quarter here in a meaningful way?,Yes.
Mitchell Kaiser,Kevin Peters,And then just on Florida and California. I think California was the big turn. Could you just talk a little bit what you're seeing in California from the delivery side and also the retail side that suggests that sequential improvement relative to Q2?," I'll take the retail piece and let Steve address BSD. I still think and if you look at California and Florida for the Retail business, it's roughly 25% of our fleet of stores. If you look at unemployment in California and Florida, it's still running about 24% or more, higher than the national average. I think the stores in California are well known. There's still a furlough that I think is in place in public government there. So I don't think California is out of the wood. That being said, for Retail in the third quarter, students and parents don't need to do back-to-school shopping. They still need the supplies to allow their students to go back-to-school equipped. And we did I think a good job, not only advertising the products that we had available for sale. We have attractive price points. And we were fortunate that when shoppers came in our stores, we were able to convert them to buyers. So we're pleased with the results in California. I think, we said they were slightly positive for the quarter. I don't know that, that's necessarily a telltale sign of what to expect in the future. I think, they've got a lot of headwind that they're going to have to navigate through."
Kate McShane,Kevin Peters," Citi Investment Research. Can you talk a little bit about what you're seeing in your Furniture business? I think you highlighted it, comps positively during the quarter. There's some thought out there that it's temporary, that landlords are incentivizing businesses to move to smaller spaces. Do you have read on the sustainability of this trend?"," Kate, this is Kevin. We're very pleased with our Furniture business. We, Office Depot, for a period of time was in the Furniture business. We lost our way. Our customers have told us over time that Furniture's an important category for them. I don't think we were as relevant as we could have been. So we've made a big investment in getting back into the Furniture business. And it started really a couple of years ago, we've got an exciting private brand assortment, as well as national brands, a real we're focus on seating and modular furniture and very, very attractive price points, not only within the OSS space but perhaps more importantly, even within the broader retail. So I think, we're increasingly becoming a destination for furniture, data from NPD, which is a private source that provide market share, would probably confirm that. And at this point, we don't see any softness on the near-term horizon for the Furniture category."
Kate McShane,Kevin Peters," My second question is on private label. It sounded like it contributed positively to gross margins both in retail and delivery. Did you have a notable increase in penetration of private label? Did that increase as a percentage of sales, or Is it mix and what customers are trading to?",Probably more of the latter than the former.
Anthony Chukumba,Neil Austrian," It's Anthony Chukumba with BB&T Capital Markets. Not to sort of beat a dead horse here, but more interested in Steve's departure just in respect of what role did BC partners play, I guess,in the  mutual decision? And then just a follow-up, what role would BC Partners play in the selection of the new CEO?"," BC Partners is on the board. They had the same votes, if I might want to call it vote, because we never voted as such, as all the other board members. So they did not play any role other than as a board member. And they're good board members. This was not a BC Partners issue at all. In terms of the search process, there are five board members on the search committee and Jamie Rubin of BC Partners will be one of the five."
Unidentified Analyst,Charles Brown," It's Joscelyn MacKay from Morningstar. I just had a really quick question for International. With regards to that annual sale, I believe, you said was moved to the fourth quarter of this year versus last year, it was in the third quarter? Would you be able to quantify the impact of that?"," No, I can't quantify the impact. Every year, we have our anniversary sale. And it's a three-day event. It tends to drive -- it tends to be very promotional so the margins are not at the level that they normally are in our retail stores. But it does tend to drive a lot of top line sales. it drives a lot of foot traffic due to stores. So I think the main call out was that we were actually positive despite not having the positive sales percent perspective without that sale, and we'll not have those sales in of the fourth quarter."
Brian Turcotte,Neil Austrian," Thank you, Julie, and good morning. Before we begin, I would like to remind you that our discussion this morning may include forward-looking statements, which are subject to the Safe Harbor provisions of the Private Securities Litigation Reform Act of 1995. These forward-looking statements reflect the company's current expectations concerning future events and are subject to a number of factors and uncertainties, could cause actual results to differ materially. A detailed discussion of these factors and uncertainties is contained in the company's filings with the SEC. In addition, during the conference call, we may refer to certain non-GAAP or adjusted financial measures. A reconciliation of the non-GAAP financial measures to the most directly comparable GAAP financial measures, as well as our press release and accompanying webcast slides for today's call, are available on our website at www.officedepot.com. Click on Investor Relations under Company Information. Office Depot's interim Chairman and Chief Executive Officer, Neil Austrian, will now make a few comments. Neil?"," Good morning, and thank you for joining us for Office Depot's Third Quarter 2010 Earnings Conference Call and Webcast. With me today are Mike Newman, Chief Financial Officer; Kevin Peters, President of North American Retail; Steve Schmidt, President of North American Business Solutions; and our International President, Charlie Brown. As most, if not all, of you in the call and webcast this morning are aware, Steve Odland announced his resignation from Office Depot effective November 1, 2010, by mutual agreement with the Board of Directors earlier this week. We want to thank Steve for his contributions to our company beginning in 2005 and through one of the toughest economic climates in memory. During his tenure, the company grew and achieved record revenue and profits, and we've seen some improvement in margins coming out of the depths of the recession. Now that the worst of the recession is behind us and margins are improving, we believe that this is an appropriate time to seek new leadership to make the most of the platform we have in place, return to sales growth, improved financial performance and reinvigorate our franchise.  We all wish Steve well. As you may have read, we agreed to pay $1 million to settle an SEC investigation regarding communications with analysts and other matters previously disclosed. This settlement puts a definitive end and to investigation that started in 2007, and throughout which, Office Depot cooperated fully with the SEC. The company chose to settle, in order to return its full focus to the business and to serving its customers. I want to make absolutely clear that Steve Odland's resignation was not prompted, in any way, by the settlement with the SEC as some have speculated. Looking forward, we're committed to taking the time needed to find the right leader for Office Depot for the future. In the meantime, I'll be very actively engaged in carrying out our strategic plan in helping the company to deliver value for our shareholders. With that, I'll ask Mike to summarize our third quarter 2010 results. Mike?"
Matthew Fassler,Neil Austrian," Its Goldman Sachs. I've got one strategic question for Neil and then a financial question for Mike. Neil, my question to you would be, if you could you talk about the timing of the board's decision, why now? I know you said that the SEC settlement did not factor into your thinking, but to the extent that this is a mutual call by you and by Steve. What did the board see that drove the timing on its end?"," Hi, Matt. Good morning. I think there's basically, never a good time to make a change. And I think in this situation, we were starting to see a return to some of the economic positives that we'd experienced in the past. We were beginning to see margin improvement. We were beginning to see the situation from a total economy standpoint bottom out. Yet at the same time, no one was 100% pleased with the results. And basically, we both concluded that now was a good a time as any. And I want to reiterate, it didn't have anything to do with the SEC issue. If you use a sports analogy, at sometime, you make a quarterback change, and there's never good time to do that, and you're never 100% certain if it's going to work, but on the field, there is an emotion, there's a spark, there's an energy level that the whole team gets from that kind of change. And I think, both of us at this point, felt that, that was probably necessary."
Matthew Fassler,Michael Newman," And then secondly, for Mike, when you look at the inventory dynamic, your inventory growth was a bit unfavorable to your sales trends. And that was, I believe, reversal of trends that we had seen, leading up to the certainty versus where we were last quarter. If you could give us a sense as to what contributed to that and kind of where inventory stand and where the inventory lives right now?"," Actually, when we talk about flow in the quarter and the contribution to cash flow, we're actually really pleased with the inventory levels. If you look at what's driving flow for the quarter, it's mostly driven by increases in accounts payable from last year. But what didn't happen, with that increasing accounts payable was an increase in inventory. We certainly had great sell through on back-to-school inventory. We had great sell through on overstock, in clearance items and inventory. And we also had some operational changes in the way that we're managing the supply chain on ink and toner that we think are going to be permanent. So I'm actually very pleased from a flow perspective, with the payable in inventory numbers for the quarter, principally for those reasons."
