Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
David W. Kistler,Steven L. Mueller," Real quickly, as we look at kind of a multitude of new venture opportunities and getting more color on those in, I guess, the fourth quarter call, can you give us maybe some color with respect to spending on those plays between here and there and maybe with respect to '13? As you guys are gathering information, are you considering or pursuing bringing in a partner into any of the plays? Maybe -- probably the one you have the more information on would be the Brown Dense at this point."," As far as '13 goes, and really, as you look out into the future, I would just assume that not much more than about 10% to 12% of our capital budget will be going towards New Ventures on average. Now I think the individual year might be a little bit higher, so that's going to be a relatively constant number just to kind of what’s our total capital budget is in any given year. For the rest of this year, from a pure capital investment, while we're picking up some acreage in some areas, there's not a significant amount of drilling to do between now and the end of the year so most of our capital’s invested at this point in time. And then, your other comment about bringing in a partner. We'll look at each of our plays. And we’ve talked about this in the past, New Brunswick, we definitely ultimately will need a partner. It's just a matter of when to bring them in. Some of the other plays may end up needing to have partners for various reasons, whether it's to look at the risk standpoint or whether it's just total capital invested, and we'll just look at that as we go along. So I think that we'll just put a normal course of business, and we'll just figure out when and if we want to do it in any of those places.",,,,,,
David W. Kistler,Steven L. Mueller," Great. I appreciate that. And then as a follow-up, IPs -- initial IPs in the Fayetteville based on kind of picking your best quality wells off the charts kind of record number for you guys, but the 30th and 60th day are kind of lagging that same kind of change. Can you walk us through when we would expect to see that reflected into the 30th and 60th day?", I'll let Bill handle that one.,,,,,,
Brian Singer,Steven L. Mueller," I don't know if I just missed it, but can you give some color how you're thinking about 2013? I know there's not -- they're not fairly specific here but just from a CapEx perspective relative to cash flow relative to this year's budget and how you're thinking about balancing between the Fayetteville and the Marcellus and New Ventures."," We really haven't given much guidance on 2013. We're still working on that. And typically towards the end of the year, we normally put out a press release that talks about our 2013. So I'd expect something later this year or early next year on actual 2013. Obviously, we talked about in the past that we're increasing rig count in the Marcellus, and we'll exit the year with 4 rigs doing basically the horizontal work there. That will increase the capital budget on the Marcellus side, so I could see a weighting that's more Marcellus-oriented next year versus the dominant last few years where the Fayetteville has been 75% to 80% of the capital. You'll see that more balanced, may not be balanced, but more balanced. And then Midstream, in general, a lot of the work's been done on the Fayetteville Shale. And in the Marcellus, we've got another year in the same category we had now where it's $80 million, $90 million. So I'd say Midstream is flat or a little bit down is really towards the future. And then as I said before on the New Ventures, expect 10% to 12% of our capital budget to go to New Ventures.",,,,,,
Brian Singer,William J. Way," That's helpful. And then a couple of questions on the Marcellus. I think you highlighted the backlog or the wells that are uncompleted in your release. Can you just talk to a couple things? One, it really looks like your Ewertz are at or above the 10 Bcf-type group. Would you agree with that? And does that translate into bookings when it comes to the end of this year? And then second, how do you expect to meet the – to get up to the 300 million a day? Do your existing wells have a lot of additional production potential, or does some of that backlog come on to meet the Midstream constraints at East?"," Our expectations on wells are meeting or exceeding what we thought they would be. So we have no change really in that. It's looking very good so far. The majority of our production obviously comes out of the Greenzweig area, and so we've seen some very solid, strong performance in that area. That will translate through to reserves bookings. The bigger feature is the commencement of production out of the range area. The Bluestone pipeline is well under construction. We expect to have that pipeline in service and operating around the end of November. There was no setback except for just days waiting for rain to stop. We didn't lose any forward progress on that from the storm. So we expect to get that on, and once we can get some production history associated with those wells, we will be able to move forward. We are seeing an improvement from compression out of the Greenzweig area, about 25 million to 30 million a day. That, combined with some wells waiting to be completed this quarter and the startup of the Bluestone and the Lycoming area of production also around the end of November, is the formula for getting us to 300 million a day out of -- exit rate out of Marcellus in total.",,,,,,
Brian Singer,Steven L. Mueller, Great. And lastly...," Let me add some to that. Our puds that we booked this last year in the Marcellus were about 7.5 Bcf puds. Those were all in the Bradford area, I think what we call the Greenzweig area. I expect that we will see some puds revisions on those. When you start looking at that range area that we just now are beginning to hook wells up into, a lot of what you can book depends on what you see in those wells. So what could happen to us at year end, we may not get as many puds booked as you would normally expect us because we haven't seen much production from the range area. But I fully expect from all the tests that we've seen, that will be a good area and that will grow as we go out onto the future.",,,,,,
Brian Singer,William J. Way, Great. And what are your current drilling completion costs in the Marcellus?," The wells are averaging between 6.4 and 6.8 depending on location. The newest Lycoming wells are obviously deeper and longer, but we're in that range.",,,,,,
Scott Hanold,William J. Way," Talk about the Marcellus a little bit. Obviously, your infrastructure is constrained right now, but you do have plans to get some more online. And it seems going forward, I mean, that's still really the governor on your growth there. Is -- what other things can you do or you got other things you're doing to continually expand that? And is there always the opportunity to pay for other people's firm that they're not using?"," Well, there's pipeline infrastructure constraints that are near term and that's represented in the Bluestone discussion, and we are working very closely with the contractor and owner of that pipeline to get that on as quickly as possible. But beyond that, we have been building a portfolio of transportation capacity out of the Marcellus for some time. And our production growth over time is matched to that transportation capacity. And the numbers, 300, 500 and then growing beyond that are matched with firm and long-term and short-term firm transport, and we are -- our team continuously looks at adding. We added some additional capacity this last quarter. I think it was 140 million a day through 3 different transactions. And so we believe that we're solidly covered, and we're continuing to look at opportunities to expand that.",,,,,,
Scott Hanold,Steven L. Mueller," Okay. I appreciate that. And my follow-up, looking at your gas price outlook, Steve, obviously sub-$5 with constraints on even the potential for more activity as prices go up and the power generation switchback. I mean, how do you look at the Fayetteville in sort of that light if -- I don't know what your sort of near-term look is the next, say, 3 years? Where do you see activity there at the 400, 450? Do you kind of maintain your activity that you're doing right now on the Fayetteville, or would you increase that at a certain price point?"," I think from just a strategic standpoint, we really started in 2011, trying to keep the Fayetteville Shale within its cash flow with a thought that in the not too distant future it could generate excess cash flow to apply to some other things. And we do have a large backlog of wells to kind of what price we have out there. So I think as you look into the future, we will increase or decrease well count based on basically how much cash flow comes out of the Fayetteville Shale. This year, we're drilling about 400 wells. We're not quite balanced. As we look into the next year, I can tell you we'll start the year running 7 rigs. And if you ran 7 rigs all year that would be in the 350-type number well range, again, depending on how fast you're drilling those kinds of things. So we will adjust it. As price gets higher and there's more cash flow, we'll drill more wells on the other side, but I don't know how much lower we'll go from where we're at right now. That's something we're talking about in our 2013 capital plans.",,,,,,
Scott Hanold,William J. Way," Okay. And it looks like your Fayetteville Shale costs have come down nicely this quarter. I mean, do you anticipate more of that's going to happen with your more focused effort or where’s sort of the bottom on that cost in the basin?"," Well, our wells have come down in the quarter a lot due to reduced vendor. We've gone and consolidated vendors, and we're seeing some reductions in cost there. Our completion efficiency is up, and we're really improving our work around that. A big change that happened in the quarter was SWN sand. We were using about between 80% and 90% of SWN sand across the Fayetteville. We've now done some work and are able to use 100% of our SWN sand across the fields. So there's some rather dramatic reductions associated with that. The next tranche of savings comes from our pumping company that I mentioned earlier. We'll pump a large number of wells next year. The savings is somewhere between 150,000, 160,000 per well that we pump. And so you'll see further reductions there, and then we'll continue to chase further optimization. So I don't know -- I wouldn't speculate how far down it can go. We've made some rather dramatic strides in this area, and we'll continue to take those down.",,,,,,
Hsulin Peng,Steven L. Mueller," So regarding -- just kind of wanted to understand your capital allocation. So one of the things I was trying to understand is the -- for your midstream assets, would you -- how do you think about monetizing that midstream assets to find your New Ventures play going forward, or would you rather bring an outside partner if needed?"," You know, each play’s going to be different. Certainly, we have, besides our current balance sheet, and the fact that we haven't borrowed in our borrowing line, we have some other assets that we could monetize in some way and midstream some of those other assets. And then you certainly have whatever you have a discovery on, whatever you're doing something on, you can sell part of it or bring a partner in part of that in. It just depends on how big, how fast you're ramping up and what generally you found. So I can't really say what we do with midstream or what would be first. I think the big key is whatever the cheapest funding is, that's the one we'll look at doing first and then we'll go from there.",,,,,,
