Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Mark Rupe,Michael Hoffman," Hi guys. Mike, on the gross margin, you mentioned that obviously the rework expense was a big part of that, but could you walk through again the components of the decline? It looks like if the rework is all through the cost of goods, it looks like that's maybe 80 basis points to 90 basis points of the 170 basis points kind of, is that right?", I think 75% of the cost hit gross margin. The balance hit SG&A and warranties.,,,,,,
Mark Rupe,Michael Hoffman, So that – is that behind you now I assume?, It is thankfully behind us.,,,,,,
Mark Rupe,Michael Hoffman," Okay, and then as far as the outlook, as far the commodities, I know that, it’s pretty clear on the last call that commodities will be higher in the back half. How should we think about commodities and the higher freight going into, I guess the fourth quarter, and into the early next year on the flow?"," Well, I think, relative to as we wrap up the year that’s reflected in our guidance. So, as we’ve said we will work to have our gross margins remain kind of flat through the rest of the year now. Much of that inventory has been built. As we think about commodities, and you know, commodities move in one direction, and then they move in another direction. As we think about commodities for 2012, that’s something we’re building our plans around right now looking at – as we said before we don’t price to cost, but we look at what’s going on in the industry, and so as we project commodities for 2012 that will be factored into our pricing strategy as always. So in the fourth quarter is when we start moving out with some of the 2012 pricing and setting the stage for next season’s spring business if you will.",,,,,,
Mark Rupe,Michael Hoffman," Okay, and then on the Professional segment, you said golf was strong, but then you said that product mix was a little bit of issue on the margins, just trying to look at the two and where am I missing, some in golf typically higher margin or was it something else within golf or something else that brought the product mix being I guess more unfavorable?"," Yes, within the Professional segment we have some things like factoring in the acquisition of Unique put some pressure on the margins. All-in golf as you know is one of the stronger, more profitable businesses, and so – but there's still some moment even within that area. But I would leave it at golf is very healthy.",,,,,,
Mark Rupe,Michael Hoffman," Okay. Well, you called out Asia being – showing signs of slowing. I mean, how material in the big picture is that, that comment?"," Yes. When we look at Asia, which we talked about before, it's relatively – all-in, it's less than 5% of our revenues, still obviously very important, because a large part of that is golf, and the most headwind, if you will, we faced in Asia this year was a result of the Tsunami in Japan. Japan is a very large golf market, and certainly we have great relationships there especially with some of the larger multi-course accounts and they not surprisingly, they backed off purchases this year and we very much expect those to come back in 2012.",,,,,,
Mark Rupe,Michael Hoffman, Perfect. Thanks guys. Good luck., Thanks Mark.,,,,,,
Mark,Michael Hoffman, Good morning everyone. This is Mark [ph] stepping in for Eric., Hi Mark.,,,,,,
Mark,Michael Hoffman," I guess, first question, can you just revisit inventory and can you give us – I think your previous expectation was, it would be worked down by the end of 2011. How do you sit today, how do you think inventory will look at the end of the year, and then I guess – go ahead and answer that question first?"," Well, certainly, Mother Nature has not – plays a role, has not cooperated, since we talked on our last call in May to the degree we would have hoped. That's certainly a part of it. So we didn't work it off quite as fast as we would have liked. So it will be up, and I think, when we talk about inventory, we put this into kind of our working capital context, and as you've seen we worked very hard to drive our working capital down as a percent of sales when we look at this on an average basis, and like we talked with you, because of the nature of our business with a couple of big quarters and a couple of relatively smaller quarters, we tend to want to look at the year and want to look at the year from a working capital standpoint. So, all-in, and inventories plays a significant role in that, we ended last year on an average working capital of 13.9%. That will be up closer to 15%; still good and still very much in with how we talked about, how we’re going to manage working capital. So, it’s not – it didn’t work out quite as fast, particularly on the Residential side as we would have hoped, but it’s I would characterize not a – we don’t consider it a problem, because it feels a bit of an opportunity. Then, as I said on the remarks, field inventory, well, up a little bit, particularly because we shipped in snow, but riders are up a little bit, and it is mostly on the Residential side. All-in, field inventory is still in very good shape. So, we think, it’s manageable.",,,,,,
Mark,Michael Hoffman," In terms of the third quarter, can you kind of give us a sense for maybe what played out better than expected and what played out worse than expected. I guess, sales, year-to-date are up 12%; you’re holding it 10% to 12%, which implies maybe a little pressure in the fourth quarter. Receivables were up. Can you just walk through how the quarter played out, did you see strength towards the end of the quarter, where was the strength, where was the weakness during the quarter versus kind of your expectations 90 days ago?"," Yes, I think, we would sum it up that as we talked to you in May, the macro factors, if you will, weather was relatively worse, the economy was relatively worse than we would have expected or hoped, if you will, and so that puts some pressure on all the businesses, it puts more pressure on if you will, the Residential business because those decisions are made real-time as opposed to get over to the golf end of the business, and those are more planned purchases, if you will, in golf. So, golf held up better. There is some relatively more pressure on the landscape contractor side and the most pressure on the Residential side. So, now we have a bit of an offset on the Residential side because while the spring and summer weather was not particularly favorable, the strong snow season we had last year and the early demand we're seeing for snow this year that pulled up some of that product. So, that goes on the positive side of the ledger, but snow can't make up for the total of walk power mowers and riders. And as I said on the remarks, while shipments are down on riders, retail year-to-date is ahead of the pace of last year on riders. So, that's a plus.",,,,,,
Mark,Michael Hoffman," In regard to 2012, I was hoping you could give a little bit of color on how you're thinking about next year. I think in 2010, and then here in 2011, you started off with pretty limited sales growth outlooks and have far exceeded the initial outlook. So, curious how you're thinking about 2012 from a sales and margin perspective. Any color you can give would be helpful."," Well, we won't provide a lot of color, Mark, but we'll certainly do that in much more depth when we have our next call in December. Now with that said, like others we're trying to anticipate to what degree the economic environment will improve or worsen. That certainly will influence our forecasting. We still have our Destination 2014 goals in place. So, while we'll certainly exceed our revenue goal this year, well exceed the $100 million, it'd be closer to $200 million. That $100 million is still in place, $100 million for 2012. On a year-over-year comp basis, snow, we’re going to be comping against a strong year, still relatively smaller part of our business. On the other hand, spring and summer products, particularly in the residential arena, should be easier to comp. The hope would certainly be that weather is not as much of a negative headwind as it was in 2011. So that should go on the positive side of the ledger. Some of the acquisitions that while smaller still will move us in the right direction as we move in 2012. Commodities, that’s something we are looking at closely and trying to – that will tie to some degree into the economic recovery. And so, if the recovery continues or strengthen, we know we’ll see some commodity pressures and we got to factor that in, we’re all guessing a bit at that. We have the Romania plant coming online. So, we are going to look unless we face a significant downturn in the economy and obviously, there are signs that could happen, but unless we really faced that we think we would look at 2012 favorably. Again, we’ll talk in more depth when we get on the call with you in December.",,,,,,
