Asker,Responder,Question,Answer
Stephen Volkmann,Paul G. Reitz," Great. Thanks. Good morning, guys."," Good morning, Steve."
Stephen Volkmann,Paul G. Reitz," Paul, you mentioned I think at the outset that your order books were looking a little bit better. I’m curious maybe if you could just kind of bring us up to speed in what you’re seeing in the end markets sort of construction versus ag, replacement versus OE, large versus small, just whatever kind of color you can give us on how your order book is looking and how you’re kind of looking at '18?"," Yes. Generally speaking we’re seeing good improvements across the board. Now ag’s weaker in certain areas such as Europe, doing better in North America, holding its own in Brazil. For us I think that’s a – it’s divided pretty well between OEM and aftermarket, so I think both areas are functioning very well. It’s clearly not a commodity-driven process or improvement. It’s not a farmer income-driven improvement. It’s really just the industry fundamentals and Titan business fundamentals improving. And so I think the spread across the board and definitely improving size of the [ph] business. We’re seeing that move in good direction in just about every location. And I think that’s more driven by industry improvements and obviously coupled with some of the changes we had last couple of years. But you’re seeing more of an industry cyclical improvement there than you are necessarily in ag. I think ag is just fundamentals of the business and dealers getting their inventory right-sized. People managing input cost better. So for us, we’ve seen that kind of spread into our order books where generally across the board kind of like how we saw 2017, things are just fundamentally improving. And it’s not, Steve, happening in one big area where we could say this is the shining light and we’re going to follow that. I think we’re spread pretty evenly seeing things move, continue what they did in 2017 and continue to move in a positive direction for 2018 with order books. We got to continue to watch it closely. We got to continue to stay on top of it. And I think if we continue to do that, then 2018 will be a very good positive year for us."
Stephen Volkmann,Paul G. Reitz," Okay, great. And then just a quick totally unrelated follow up. But I think that somewhere around mid '18 is when they potential put option on that Russian deal kind of comes to fruition and I’m just curious if you have any updated thoughts about how that’s going to play out? And if you did have to put out cash for that, how would that kind of get funded and so forth?"," We are having discussions with our partners on that and that will continue as we get closer to the date you mentioned. From our perspective we’re assembling a multitude of plans on how we can address it and it will depend on how we end up with our partners and how we move forward with them into the future. I think as Jim stated, we’re comfortable with whatever solution is drawn up and it will – in all likelihood it may be a blend of different approaches versus just one direction. But it’s still early on that but it’s definitely not something that we’re waiting to really plan for. It’s something that we will continue to work on, Steve, but we don’t have anything concrete that we can talk about here today."
Stephen Volkmann,Paul G. Reitz," Okay, good enough. Thanks. I’ll pass it on.", All right. Thanks.
Joseph Mondillo,Paul G. Reitz," Good morning, guys.", Good morning.
Joseph Mondillo,James M. Froisland," So I wanted to talk about the SG&A. Just first off, wanted to – in terms of the fourth quarter, so your SG&A fell about 2% I think, revenue up 22%. Could you explain to me how that’s really possible with such strong revenue growth? Essentially I’m just trying to make sure that we’re not eliminating certain costs that will sort of hinder future growth."," Yes, this is Jim. Again, as I mentioned in my notes, we set out a number of initiatives at the beginning of last year, one of them was what I called profit leaks just taking a close look at doing the basics, looking at our SG&A expenses. And there was quite a few findings at the corporate level. For example, naturally when we solved the remediated material weakness, our audit fees came down and cost associated with that. That’s just an example. We’ve taken a close look at our legal spend. So basically it’s taking a hard look at, as I said, every fixed and variable cost. Now to address your question, are we hurting the business? No, I don’t believe that. We’re increasing our productivity, as Paul said. We’re taking a hard look at making sure that how we invest our money in SG&A. And also as I mentioned earlier, we’ve invested some monies not only just in people but also in the technology side of things. So in my opinion all roads in SG&A lead to people and technology."
Joseph Mondillo,Paul G. Reitz," Okay. So in terms of the 2018 outlook then, what are your expectations? Do we continue to sort of see a flattish or declines in SG&A? You put out a target of 10% to 10.5% of sales, SG&A and R&D the last quarter around. Do you see downside – could that be lower given the revenue trends? And then just in terms of the ERP investment, how does that sort of play into it? Do we see a higher ERP spend in the first half of this year? Just sort of give us an outlook on sort of SG&A and how that trends."," Yes. Well, we stick our guidance of those numbers that you mentioned in terms of SG&A as a percent of revenue. In terms of the ERP system, as I said before, we’ll have additional costs but at the same time we’re taking cost out. We’re basically going – as I said before, we’re going to the cloud, so we will not – we will gradually get off our AS400 legacy type platforms. But for – I would say mostly in the third and fourth quarter you’ll see an uptick in IT costs but you also will see corresponding – as it relates to the cloud, but also some reductions in other IT costs as well as other SG&A costs."
Joseph Mondillo,Paul G. Reitz," Okay. And then in terms of I guess gross margins on the ag side of things, could you just maybe walk through some of the puts and takes; mix, price cost, how you’re thinking about it heading into the year?"," I’ll jump in first, Jim, and then you can add on. With gross margin, Joe, we are seeing a mix that’s improving in the back half of the year. The first half of the year was really driven by the small and midsize market. We’re seeing the large products start to move better which is a plus for us as we continue to grow volumes which we did in '17 and then into '18 as well. We’ll see the plants get more efficient. We’ve been hiring. The only headwind we face right now is just the training cost of getting people up and running and working effectively in the plant. So at all our locations we are hiring. We have been hiring and will continue to do that and we’re getting them adopted into the plant as quickly as we possibly can, so we’re pretty efficient at doing that. But there is obviously a learning curve of two to three months before you really get somebody operating at a high level. So for the business overall on margins, I think economically just fundamental it’s going to continue to improve. Where we got to watch things closely is just the balance between pricing and cost with raw materials and then where you can pick up some additional pricing power as the markets go in a favorable direction compared to where we were over the last few years. Many times you have a prolonged downturn – multiyear prolonged downturn, it gives your customers a chance to really focus on their costs and in turn they’re going to find ways to put suppliers against each other. And so that’s the market [Technical Difficulty] see that change. It’s not going at a game-buster level where you also then have pricing power flipping all the over. But we are going to continue to look very closely at how we price our products, where the demand is increasingly compared to the supply in the market. We’ve been focused on pricing for a while and we’re going to continue to do that. We even got a two-day meeting set up for next week that’s just about pricing. So I think on the fringes, you continue to get better on your pricing versus your cost, again assuming that raw materials don’t have any hiccups like we did in 2017. You put all that together and you keep driving some margin improvement in that direction. Again, I think the big headwind for us though is just bringing in headcount. Whenever you’re doing that you got some costs you have to absorb. But other than that, that’s a positive. Once you get a trained workforce in place, now you’re really running, you’re getting some improved volumes going out the door."
Joseph Mondillo,Paul G. Reitz," Okay. And just a follow up on sort of mix. Where are we in the cycle of small/large mix? Are we still very close to the bottom and do we still have a big runway in sort of the shift in mix, or where are we within that cycle?"," Yes, the mix is still skewed compared to historical levels towards the small/mid. The large, while it’s improving, if you look at historical metrics going back over the last couple decades, it would tell you that there is definitely runway ahead for the large market to keep going. So I think that’s a positive that we’re not sitting here already having taken on the improvements in the large market. We got a lot of runway ahead of us. And for us, our plants operate very well. It’s what we’re designed to do. We’re designed to serve the large ag market. That’s the core of our company wherever you look around the world. And so as the large markets improve, we definitely have the capacity and the capabilities that’s second to none in our industries to serve customers in ways that not everybody can. And so we’re prepared for that. We’re going to continue to be prepared for that. Again, the only thing we got to do is keep hiring people and training them. But there is – again, compared to historical levels, there is runway ahead on the large market."
Joseph Mondillo,James M. Froisland," Okay. And just one more for me and I’ll hop back in queue. In terms of taxes, could you help me understand how – first off, how you’re paying cash taxes despite seeing pre-tax losses in the prior periods? And then how you see tax reform affecting the bottom line?"," Yes, this is Jim. In terms of tax reform, it really has no impact. The reason for that is the same reason you stated about the tax question. It’s our NOL position in the valuation allowance as it relates to the countries that we’re in and the mix thereof results in the taxes that you see on the – and reflected in the financials."
Joseph Mondillo,James M. Froisland," And just in terms of the cash taxes that you’ve been paying despite pre-tax losses, why is that? Why are you paying cash taxes – why are you paying taxes on losses?"," Again, that’s just the foreign jurisdictions. In some countries we’re making profits and we have to pay the governments their due."
Joseph Mondillo,James M. Froisland," Okay. And that’s offsetting losses elsewhere, I guess?"," Well, we’re not getting – basically we’re not getting any benefit on that."
Joseph Mondillo,Paul G. Reitz, I see. Okay. Thanks.," Joe, one point on that is Jim and our Treasurer and IR VP, Todd are – they’re looking at how we can position ourselves from a tax standpoint, some moves we can make with how you set the company structure, pretty standard stuff that both – all of us have been doing for 20 plus years. So I think there’s ways where we can reduce that cash tax expense. Also along with that project taking a look at how we got our intercompany balances structured with our different entities and try to remove some of that FX volatility. So that project is underfoot and hopefully something that will get locked in here in 2018. But there will be improvement in both taxes and FX volatility."
Joseph Mondillo,Paul G. Reitz," Just a follow up real quick. The cash taxes seem to be running at about $5 million the last two years. Best guess if your foreign businesses continue to improve in 2018, should that be similar to maybe a little higher in 2018? Is that a good way of thinking about it?"," It again really depends on mix, but yes. I think that it’s going to be around that level."
Larry De Maria,James M. Froisland," Hi. Thanks. Good morning. It looks like sales and adjusted EBITDA obviously ended higher than expected than you maintain in the guide for next year. Just want to clarify, just looking 7 to 12 and 50 to 100 gains from where we ended the year imply from that 1.47 and the 72 million of EBITDA, that’s correct, right? So the new range on EBITDA is 108 million to 144 million. Is that right?", Yes.
Larry De Maria,Paul G. Reitz," Right, so essentially it’s probably a bit higher. Okay. Thanks. Can we narrow that 108 to 144 down a bit or can you maybe help us provide some kind of a bridge to get to the mid or upper end of their, considering obviously we’re starting at a much lower base?"," At this point, it’s early in the year. What we’re looking at it from our team’s perspective is that we’re comfortable with the outlook we put out there. We see the path on how to get there is really kind of how we talked about 2017 results is spread across all the business units and segments within our company. So the bridge is not simply just take A plus B and you get C. You’re getting revenue gains, you’re getting some margin improvements, you’re getting cost cuts, you’re reducing SG&A. And so – again, it’s really a broad based improvement. So what we’re looking at is again the overall forecast and the overall picture for 2018 supports the outlook that we put out there. As far as narrowing it down that’s something that as the year progresses, we could look at doing that. But for today and for announcing the 2017 results, we just keep the 2018 outlook as is."
Larry De Maria,Paul G. Reitz," Okay, that’s fine. Thank you. And then I guess, Paul, as we think about seasonality, it sounds like you have better results expected in the second half based on the mix and some things. Is that right or did I hear that wrong and I just want to understand first half or second half to make sure we model it correctly?"," The seasonality, it’s a nature of the business. You got plant shutdowns that take place for the most part around the world. Midsummer I guess is a slower period in the European markets and then around the December holidays. And so you do have some natural seasonality that is built into just the business model. So I wouldn’t take that off the table for 2018. I think what we saw in 2017 was just the improving conditions taking effect in the second half of the year that propelled the back half to be strong in a way that we have not typically seen, as Jim had mentioned. But I would not take what happened in 2017 and apply it forward because you just have fewer working days available in the back half of the year compared to the first half."
Larry De Maria,Paul G. Reitz," Okay. Thanks. And then I just two more quick questions. You mentioned, Paul, I think that ag order books in Europe were weaker. Is there something fundamentally driving that or is that maybe driven by some [indiscernible] and some other rules in Europe, if you could clarify that specifically? And secondly, price cost, can you just help us understand what kind of inflation for steel and rubber you expect this year and what kind of price increases we should be looking for? Thank you."," As far as my comments on European ag, it’s weaker compared to the rest of the markets that are growing. It’s not in a declining situation that causes panic, it’s just – it’s generally speaking just not as strong as everywhere else and so it’s again not an area of highlighted concern where we’re looking back – that we’re looking to have to pull back costs and reduce production levels. But it’s just not an area of growth – it’s not the same level of growth as the rest of the business. As far as the questions on raw materials, I think our forecast for raw materials on the rubber side of the business, it looks like the supply is in pretty good condition. So the issues that existed in 2017 don’t appear to be percolating at this moment. And steel, obviously there’s just a lot of talk going on in the world these days about steel and specifically from the U.S. perspective. From our North American business, the way we have it structured we do believe at this time we have sufficient supply for steel and we have sufficient capability to pass through any increased costs to our customers in what I would call a timely efficient manner. So our North American wheel business is much different than our tire business. And so as we sit here today, we clearly are watching it closely both supply, costs, price in the market, but we don’t have forecasted headwinds for steel. And that’s generally true across the world on steel but steel is volatile. The announcements of potential tariffs and what may be going on with price competition clearly it’s something we just got to stay very close to. But at this moment, the way things are, the rising cost in steel is not a concern and it’s not even the same situation as what we faced last year with rubber. So at this point again, raw materials appear to be in a fairly stable, neutral environment and we don’t have any forecast for that. And by neutral, I just mean price to cost not obviously price of steel is going up. But for us, the price to cost ratio seems to be very stable."
Larry De Maria,Paul G. Reitz," Okay. That’s actually helpful. Thank you, Paul. And then just to follow up on the European comment. So essentially it’s just not as strong on a relative basis than other regions but you would expect some kind of moderate growth in Europe, is that basically what you’re saying?", Yes. We do see some parts of the business that are growing. It’s not at same levels where we’re seeing elsewhere.
Larry De Maria,Paul G. Reitz," Okay, great. Thanks. And good luck guys.", Thanks.
Justine Fisher,Paul G. Reitz, Good morning., Good morning.
