Asker,Responder,Question,Answer
Ryan Berney,David Jukes," Good morning. This is Ryan Berney on for Bob. And congratulations, David, I wanted to say that upfront.", Thank you.
Ryan Berney,Steve Newlin," Now you've been in place, Steve, for about a year. Curious as to your thoughts on maybe what's been the biggest surprise as far as headwinds go for you convincing some of your suppliers to open up more of their portfolio to the third-party distributor market, maybe as a market, and then maybe to you specifically."," So Ryan, that's a great question. I mean, I think that the challenges that we face with our suppliers, and it's clearly getting a lot better. I mean, David has known these folks at the top levels, I know them. There's been trust that's been developed over years that predate the last year, here at Univar. And having worked with him in the past and seeing how we do things, they're really opening up their eyes and the opportunities for us. The biggest challenge, to kind of answer your question -- so that's just a little color around it, but to answer your question, the biggest challenge we've had is just -- they want us to have the right kind of marketplace behaviors, they want us to go get new business and grow, and hang on to the business that we have. And they also don't want to see antagonistic relationships, where we have multiple suppliers of the same product that have to compete through our channel. So we're working on all of those things at a really brisk pace. I think the biggest thing that we can do for our supplier partners is to execute better in our sales force. And that's the drum that I've been pounding since I took this job day-one. We're getting better, but there's a lot of work to do yet. This is a culture change. It involves changing how you reward people, how you recognize people, who you hire, how you train them, how you motivate them. And that's the biggest challenge that we have. And I will tell you that we're seeing very good successes in Europe, and in Canada, and we're seeing tremendous progress in the U.S., but trust like that takes time to develop, and we're nurturing the relationship, we're getting new shots at things. And I would expect this to continue, in fact, accelerate."
Ryan Berney,Carl Lukach," Great, thanks. And then Carl, could you just give us your latest thoughts on where you think the right leverage target is, and maybe where you see that trending over the next year or two?"," Sure, Ryan. Our comfort -- I call it comfort versus target, is at three-and-a-half; we think that the stability of the cash flow that we have can support that much leverage. An ideal capital structure would be in that area. We're at 4.8 at the end of this [technical difficulty], but over the next year, year-and-a-half, I see that coming down, I'd say, on its way to 4 over that 18-month period that you mentioned. I think that's a reasonable expectation."
Allison Poliniak,Steve Newlin," Hi guys, good morning.", Good morning.
Allison Poliniak,Steve Newlin," I wanted to touch on the volume decline in the U.S., I know you attributed some of it to your actions specifically, but then also a little bit of sluggish market. Could you help us quantify your [indiscernible] was it mainly your actions that led to the volume decline, was it markets still, and what kind of visibility do you have for the balance of the year?"," So Allison, it's Steve. I want to just give a little bit of -- I want to put this in context here, and then I'd like David and Carl to weigh in on it. And if you follow, I guess, my past practices, its volume is not the driver of profitability growth. And we're trying hard in our culture to be more selective about the customers we choose, to work on the mix of our product so that we have the appropriate amount of higher margin products in there. And in fact inside the tent here, I don't like us talking a lot about volume. Now, I know in your space you have to do that. And will come a time where you can really measure us on that front, but it took me a long time to get that changed in the last house. And we're moving a little faster here. So it doesn't bother me at all where our volume is. In fact, if our volume grows too much without a massive amount of leverage on the profitability line it makes me a little bit nervous because I don't want us spending our time on business that doesn't make a lot of sense for us. So that's the context. And with that, David, do you want to go first, then Carl?"
Allison Poliniak,Carl Lukach," Great. That's very helpful. And then just lastly, I just want to clarify. The improvement in the outlook on adjusted EBITDA growth, it sounds like that's mainly your actions. Was there any underlying improvement or expectation in just the general market, or is this all you at this point?"," I think this is self-help more than anything else. We're not changing our view on the market outlook. I think that the executional activities and improvements that we've been driving hard are coming in, and we're going to expect them to continue to come in at a faster pace. So no changes in how we view the exogenous matters."
Allison Poliniak,Carl Lukach, Perfect. Thanks guys., Thank you.
Andrew Buscaglia,Steve Newlin," Hi guys, congrats on a good quarter.", Thanks Andrew.
Andrew Buscaglia,Steve Newlin," So, I just have one thing, not to nitpick, but on your free cash flow. So it was negative this quarter. Can you just walk through what happened there? I mean I know seasonally it's probably lower and you're going to ramp this year. But just trying to parse that out in terms of how that relates to with your M&A, if you have enough cash on hand and I think…"," Sure, Andrew, thanks for that. I'd say that, to answer your last question first, yes, ample liquidity and cash on hand to more than enough to execute our acquisition strategy. In terms of the net working capital change in the first quarter, two parts to that story. Yes, as you said, the seasonal uplift which happens every year in the first quarter, sales happened in the second and third quarter, that is always amplified up in Canada with our Ag business. That's in the mix there too. But then again, in the cash flow statement you'll see that last year's first quarter we had a very large harvesting of working capital. A large portion of that was the decline of the oil and gas business at that time, kind of the peak of the decline. So tough comp, I'd say, when you look at the year-on-year cash flow of the company, and by saying that our full-year outlook of net working capital change in the $50 million to $100 million is still quite a safe bet. We, as you know, have outflow in the first, and inflow at the end of the year."
Andrew Buscaglia,Steve Newlin," Okay, yes. No, I think I just phrased that wrong in terms of that, my M&A comment. But can you talk about M&A as it pertains to are you having discussions right now with companies? What's the activity like out there?"," Yes. So we are having discussions all the time. Obviously we won't talk specifics. I'm disappointed that we haven't landed a few smaller acquisitions. We're working on them. We've got a pretty good funnel or pyramid, if you will, of opportunities. We're in active conversations. I think the difference is we're going to remain disciplined. We don't want to overpay for things that -- it's pretty easy to determine the value of these enterprises. And you have to understand the motives of the sellers, and so on and so fort. So we're taking a rather disciplined approach. You might call it conservative, and I'm okay with that. But I will tell you that I'm disappointed we haven't landed anything of late. And we're working hard to do just that. My hope is that by the time we talk again, a quarter from now, we'll have some news. But you just can't predict this. You don't want to get overly excited about opportunities that cause you to behave in a way that you may regret someday. So, I'm sort of mixed with our process. I'm happy with our discipline, but I wish we had more flow. And you'll see us accelerate this before the year is out."
