Asker,Responder,Question,Answer,Clarity,Coherence,Aggression,Optimism,Specificity,Relevance
Matt Sheerin,Gerald Paul," Yes, thank you. Just a couple of questions. Dr. Paul, do you have any sense of whether or not the book in trends here which obviously are weak to book-to-bill as weak as it’s spending a couple of years, is your sense that bookings are starting to bottom out here, and do you get a sense that revenues could bottom out here or could it take another quarter into the March quarter for this correction to play out?"," Well Matt, what we have seen is a kind of a turn around since the beginning of October so orders in absolute numbers come back and get stronger which also means something of course for book-to-bill ration. Really, September, my appreciation was a low point. Future will tell of course, but as we see a continued trend, still relatively weak order rates, but definitely better than they were in September. So which degree this will continue to be? Hard to say. But I think personally, that unless the world economy offers another surprise, the worst may be over.",,,,,,
Matt Sheerin,Gerald Paul," Okay. And in terms of the pricing environment, it looks like it’s starting to crack a little bit, but your gross margin guidance seems to be predicated mostly on volumes and even when we talk about pricing, is your sense that pricing will sort of be where it is now because orders are soft, and then perhaps more pricing pressure when volumes come back and when orders start to come back? Is that how you see it playing out?"," Matt, let me emphasize once more, it all relates only to our active business. I’ve said it before, on the past, except a few exceptions, we normally see and you will remember that very well constant prices, even in downturns. So because we are such a high share of specialty product. On the actives, clearly, the situation has normalized, and at the beginning of such a change, it overshoots a little. So I would expect that we already in the midst of very normal price decline. But we in the past were able to cope with it. So I am not – that we would be able to do it going forward. We also see of course by nature that some material cost come down, there is cost reduction effort, but as we – directly speaking, yes, we are – with normal development concerning prices in actives.",,,,,,
Matt Sheerin,Gerald Paul," Okay, and just lastly on your current production levels, I know you’re working to bring inventory down. So do you plan to bring production level s down in both businesses in Q4?"," We always adapt to the need. Vishay as you know is quite proud to be a relatively – I would say a very reliable supplier of free cash, the major element of that, is of course, not to let inventory to get out of hand. And we have demonstrated that in the past, we will adapt our levels. And honestly, we are relatively experienced than that, and this is what we do at the moment. But what I try to say before is – my ambition is, not to lose, strain, workforce, so we will use all other tools which we have like short working pass, so Euro like plant shutdowns, et cetera, just to adapt the volume of production, but not really inventory, in fact reducing inventory further, but not lose the workforce.",,,,,,
Joe Flaningvil,Gerald Paul," Hi good morning, it’s Joe Flanningvil [ph] on the line for Shawn Harrison. First question, I think you kind of alluded to, you said the MOSFET’s book-to-bill has improved here in October, can you get a little bit more specific in what kind of book-to-bills you saw throughout the month of October and by ..."," I want to be that precise, but you know, in the quarter, it was 0.5. Let me highlight it substantially better than that. But still not on the level we would like to see as you mentioned, but substantially better especially on the MOSFET.",,,,,,
Joe Flaningvil,Gerald Paul," Okay, and then maybe secondly here, you mentioned the automotive market holding about – there’s a lot of questions about global production slowing down a little bit here with issues in the supply chain. Are you seeing any incremental slowdown on the fourth quarter, or do you expect, you know, that to tapper off? It’s been an area of strength throughout the third quarter."," The moment we see – I’m talking mainly Europe I must admit but at the moment, people are really extremely optimistic in that. What we have seen in automotive maybe here and there, is some accumulation of inventories in the pipeline which needs a correction but this correction is underway but for my standpoint, the standpoint of this in production there is no slowdown as they say as they indicate as a longer trend or the mid-term trend so they are – they are continued to be confident on it.",,,,,,
Steve Smigie,Gerald Paul," Great. Thanks for taking time to answering questions. I don’t think your results and guidance are all that different from your comparable companies. So my question is more about what things look like as we come out of this? They look less cycle coming 2008 maybe a little bit different drivers but you had two quarters there where you grew 15 or I guess it’s 14% sequentially in 3Q and then 15% sequential the following quarter which does not necessarily square with your seasonality in those periods. So, as we come out of this, do you think the recovery would take place fairly dramatically like it did last time? Meaning is this is just mostly inventory correction but looking at distribution it seems like that could be the factor, and if it is going to be that dramatic, again, is it more related just to returning to in-demand versus any real seasonal impact probably?"," I maybe an old man but I have no crystal ball. Let me say the following, I suspect that this time it’s heavily inventory-driven this time. Last time we know what has happened but this time, it appears to be more likely that’s inventory-driven which means in deed as you said that there’s no inventory that last forever. That means there should be a recovery, a relatively quick recovery, relative if I’m right. But, you know, our politicians do the best currently to destabilize the world as we know.",,,,,,
Steve Smigie,Gerald Paul," Right. Actually on that point, since you are over there in Germany is just sort of chase your car on recent development with the steel and specifically stuff today and just feeling and the mood there in Germany."," Excuse me, sorry, I didn’t catch up with Germany, sorry.",,,,,,
Steve Smigie,Gerald Paul," Yes, just your feeling and the mood in Germany about the whole bank go up and how that would affect your business?"," Okay. Germany is not the most important part of the world but the economy continues very strong here as you know. I mean, all segments with – we are close to full employment for our situation. But, of course, there is concern there. You know the situations in Southern Europe and people get kind of angry in a way in my country at least, but this is not so specific for electronic. But overall, the industrial production in Germany runs high. But we know if the world does badly then German will not be an island, that’s also true.",,,,,,
Steve Smigie,Gerald Paul," Okay. Just – there’s been lots of questions going around about Thailand that there’s been some comments I think from it’s capacitor, tantalum capacitor players over there that’s got some exposure in tile industries if you could give us some color on how impact as you may – with what’s happening in Thailand.", I would not overestimate its impact but it’s to what you indicate. We do have some additional business because of the situation. And I think they’re not the only ones in the west that have additional business these days but I would not bill any forecast of any confidence on their product.,,,,,,
Steve Smigie,Gerald Paul," Okay. Last question was just with regard to gross margin, I think you indicated it will be down sequentially here mostly volume-related. Can you in some sense the magnitude with a couple hundred basis points to be unreasonable to think about?", Look our variable margin is between 45% and 47% so you see our sales bound and you can definitely calculate that.,,,,,,
