Asker,Responder,Question,Answer
Richard Eastman,Anders Gustafsson," Yes, good morning. Just the first question, could you kind of speak to now with a couple of quarters of Enterprise consolidated here, could you maybe speak to the orders in the quarter for Enterprise and potentially what the book-to-bill look like and how comfortable you feel now with the visibility that you are gaining on the Enterprise business as more of a backlog-driven business?"," Yes. So, we feel good about the progress we have seen in the business so far. Generally, we only enter a quarter with about 20% booked before at the beginning of the quarter. So, we really have to win the business in the quarter, but we put a lot of emphasis on pipeline management and being very disciplined in how we build up our forecast, our pipelines, and the opportunities that we go after. And we feel quite good that we have a much better visibility into the outlook. And we manage it on a weekly basis basically to ensure that we stay very close to it. And I will ask Joe Heel also to give some extra color on that."
Richard Eastman,Mike Smiley," Okay. And then the second question maybe for Mike, could you address the free cash flow year-to-date date and maybe there is a couple of big tax payments made in each of the quarters if that continues, but how does – can you give us any sense of what the free cash flow should look like for the full year?"," Yes. I guess the big thing I would say is that we certainly have big tax payments that go out in the second quarter. So, that affected our cash flow. The other thing is if we can get you to come visit us here in Lincolnshire, we moved into a new consolidated business, which drove some leasehold improvements, which is more or less a lot of it behind us, which drove some of the CapEx numbers. So, generally and as we go forward I would say we will continue to invest in integrating the company that’s primarily from an IT standpoint. So, I would expect though the first half had a meaningful part of leasehold improvement, in the second half, we will continue on with ERP integration activities. So, again, I don’t expect the tax payments to be as meaningful as it was in the second half. I would expect the CapEx to be somewhat maybe a little bit lower in the second half than the first half because of the building leasehold improvements we made in the first half."
Richard Eastman,Mike Smiley, Is there any range or forecast on free cash flow for the full year you would be willing to offer?," No. Yes, we don’t do that. But I would say that you saw that we repaid another $80 million of debt in the second quarter bringing the total to $130 million. We continue to see good cash flow in the second half and I think we are on track for our goal of three times debt to EBITDA at the end of 3 years. So I am feeling really good about the management of our cash flow and getting us to the targets we have committed to at the time of the acquisition."
Richard Eastman,Anders Gustafsson," Okay, thank you.", Yes. Next question please.
Keith Housum,Mike Smiley," Good morning gentlemen. Let me ask a question, I think this is probably a pressure point for you guys you today and it’s is going to be on your guidance for the third quarter, most particularly the gross margins, Mike can you give a little more color on how you guys are looking now, I think you guys said 45.3% without the one-time costs, but give us a little more idea about what the rebranding costs would be in the third and fourth quarter and is there any more color you can give us on exactly the impact that the large deals have and the gross margin compared to your run rate business?"," Yes. So I guess on the – first of all, just to start out, the margin obviously is at the lower end of sort of what we were expecting we gave guidance. I will say that I am pleased with the success of the deals that we have because it put our sales at the top end. And I think Anders at some point will talk about fact that Android has been extremely well received. We won some very large deals. So generally, those large deals have I think for the business demonstrated that we are successful against consumer-grade devices and there is also the strong pickup of Android. Be that as it may, roughly 1% of our gross margin hit in the quarter was associated with what I would call unusual items. A piece of that is rebranding. So with the Motorola transaction, we have the ability to use the Motorola brand for a certain period of time and that’s staggered. So we would expect $2 million to $4 million per quarter through the rest of this year, sort of trailing off next year, affecting our gross margin and we have incorporated that into our guidance for the third quarter. We also have – we also had a number of units that we sold through MSI consistent based on our purchase agreement with very, very favorably pricing, which affected our margin, that stops this quarter. We also – I would say, we had a – as you go to the grocery store and you buy milk real cheap, so you buy all the other stuff for a while, we had some sales went through in the second quarter, which was sort of low margin profitability, which will benefit us as we go forward. So there is a number of things sort of on the unusual one-time items that will go forward. So as you look at it in the second half, I would say the reason we have the guidance that we do is that we have an expectation for continuing to be successful in some large deals, which is going to dampen some of our margin reflected in our guidance. We still have the rebranding efforts going forward, which again is $2 million to $4 million as we guess it right now. That’s offset by the price increases that we talked about in Europe. I think that as the year goes on, those price increases will continue to have some modest benefit for us. And then we also have some cost synergy benefits which are generally on track with what we said from our synergy capture assumptions. So with that, we are expecting second half, again, because – primarily because of large deal activity, to be in line with our Q2, excluding one-time items."
Keith Housum,Mike Smiley," So it sounds like the fourth quarter should be much better than from a gross margin perspective than the third quarter, is that a good take on that?"," No. The good thing is we – Anders will talk more about this but this OS migration provides a huge opportunity for customers to reconsider what solutions they want going forward. I would call this a huge jump ball where it provides an opportunity to grab more market share than perhaps we have been able to do over the last several years. As a result of that, there are large deals coming, very attractive large deals that as we are successful with again with our Android portfolio and such that we should be able to capture those deals. And so that’s where we would say in the second half, we expect to continue to be successful with that – with the large deals. I don’t know Anders, if you want to give some more color?"
Keith Housum,Mike Smiley," Okay. So, it sounds like for this year, the EBITDA margins of 18% to 20% is not likely by you are finding on being able to reach that goal next year?"," We have talked about our goal was more at the end of roughly 2 or 3 years. So, given – I mean, the one thing I would highlight is that gives me some comfort is that we did a constant currency adjustment for our EBITDA margin. We would effectively be at the target we had hoped for 3 years ago – that we hope for in a couple of years. So I think we are operating the business in a good way. We obviously have more foreign exchange headwinds than when we close the deal. Even with those headwinds though, we still think in 2 years, 3 years – 2 years or 3 years from the time the transaction closed, we will hit the 18%, 19%, 20% EBITDA margin that we had told investors. So I think that’s pretty good considering the fact that we have the FX challenge."
Keith Housum,Mike Smiley," Okay. Inside asking the questions, but I guess the last one for the current quarter, what impact did FX have on your EPS line?"," From our guidance, really virtually nothing, if you look at it from a year-over-year standpoint, our gross margin would have been three points higher than we reflected. So again, that’s a huge impact to our profitability year-over-year."
Keith Housum,Anders Gustafsson," Alright, I will jump back in the queue. Thank you.", Next question please.
Tim Mulrooney,Anders Gustafsson, Good morning., Good morning.
Tim Mulrooney,Anders Gustafsson," You guys announced the Royal Mail win in the UK in June, can you give us any sense for the amount of revenue associated with that deal and are you selling any other product or services as part of that deal other than the TC75?"," Yes, we – unfortunately, we can’t talk about revenues for this. We have got to have permission from our customers by what we share. But we are – we have shared that the TC75 is by far the largest product in that contract, but it also includes some wearable computers, some ring scanners and also a number of services. So, it’s a much broader portfolio and we can already see that having beat the asset or brought in a asset customer. We are positioned to be able to pursue all sorts of other opportunities that are coming along, Joe any further...?"
Tim Mulrooney,Joe Heel," Okay. I know Honeywell won the U.S. Post Office PDA business in 2014, I assume they competed for the Royal Mail business as well, are there any key differentiators in your product or service offering that you can point to that you think really helped you win this Royal Mail business?"," Yes. Joe Heel again, in this case we know that the selection process had several levels, and we know that Honeywell didn’t kind of proceed based on the product portfolio. So the product portfolio in this case, our breadth of Android capabilities was very instrumental in our ability to secure the business."
Tim Mulrooney,Anders Gustafsson," Got it. Stepping away from the large deals, I am wondering if you can talk about how the run-rate business performed in the second quarter?"," The run-rate business is actually very strong. It grew quite nicely. It didn’t grow quite as fast as the large deals, but the run-rate business grew very well with our printer business, our data capture business and a good chunk of our mobile computer business really is run-rate business and that performed very well across the board, across all geographies."
Tim Mulrooney,Anders Gustafsson, Was it up year-over-year?," Yes, it was up healthily."
Tim Mulrooney,Mike Smiley," Okay, got it. Thank you. And then the last one, this one is probably for Mike. I am wondering if Mike you gave us an understanding of what we should expect for the cost-cutting targets for 2016, where do you expect to be at on a run-rate basis by the end of 2015? Thank you."," I think, if you look at our guidance for the third quarter that would give you an indication, although I think the synergies will continue to improve even in the fourth quarter. The challenge is – so lot of the selling synergies have already been captured in our expense and reflected in our forecast. The procurement benefits that we have talked about are primarily going to rollout more in the fourth quarter as we go forward. So, the guidance I think we gave for the third quarter is it gives you an idea about where we expect margins to be generally towards the back half of the year."
Andrew Spinola,Anders Gustafsson, Thanks. I wanted to ask just more high level on the OS transition that you have been mentioning during the call. We have been sort of trying to figure out what’s driving the strong growth that you’ve shown for the last six quarters and guided to here in Q3. And I know part of it’s been the OS transition but it sounds to me while listening to you that maybe we’re a little bit earlier in this OS transition than I thought. Can you maybe give us a sense of in what inning we are and what sort of growth you can see in ‘16 and beyond from the OS transition?," Yes. First, I’d say the growth that we’ve seen has come from basically all our product lines. Printers which is not really tied to any OS upgrade, has grown very nicely. Data capture portfolio has been growing very nicely. The OS migration is really exclusively an issue for our mobile computer business. But even there, we’ve seen a lot of growth that are not tied to that. So the growth drivers that we have seen has been very substantial and I will just go through a couple of other growth drivers before I’ll touch on the OS migration. But I think the whole Better Together for Zebra is paying results. We are seeing many more cross-selling opportunities. We are selling, say, if you have an installed accounts, installed base account, with one product, we now have much better success of selling one or two more products into that account. We are seeing our channel partners being much more eager to sell the entire portfolio of products. So we see very good overall performance of growth and how we have executed on this strategy that we set out. Now, the OS migration is somewhat unique. It’s driven by some of the older existing OS today widely deployed that are going to be taken out of service for – in some years. This means that basically, a lot of our customers will need to find an upgrade path between now and the next several years. And we are – our approach to this is to make sure that we are OS agnostic. We want to work with our customers to figure out what is the best upgrade path for them, for all intents and purposes, they have two upgrade paths. They can go to Windows 10 or they can go to Android. We now have a strong lead with Android and we try to capitalize on that but we’re also working very hard to make sure we have the full portfolio products to engage with our customers. And I’d also ask Joe to fill in a few more bits here."
