Asker,Responder,Question,Answer
David G. Magee,Steven G. Miller," I just had 2 questions. One is, what is your assumption for the second half with regard to the ticket size? Do you expect further improvement there?"," Well, we look for our ticket to continue to trend positively, it has now really for a number of quarters. We think that the ticket continues to benefit from our shift to some more branded products and step up to higher price points."
David G. Magee,Steven G. Miller," Is there more work to be done because I know you're sort of lapping in the period last year, which is, again, a bit of a master strategy. Is there a meaningful change in the mix this year versus last with regard to the price points?"," Well, it continues to be a work in progress. I do believe there is more work to be done. We're still consistently evaluating our product offering and looking to make improvements on an ongoing basis, certainly."
David G. Magee,Steven G. Miller," And then, secondly, the environment out there, I think, is certainly been a positive factor so far this year. Do you sense any change with that? Or does that continue to be sort of a secondary positive factor for you guys in terms of comps ability?"," I'm not sure what -- when you say the environment, are you saying the economic environment? The weather environment? The competitive environment?"
David G. Magee,Steven G. Miller, The pace of macroeconomic recovery out there.," Yes, we think it's been generally positive. I think there's still lots of issues that remain in some of our markets and particularly in California. But I think the year-over-year improvement has been positive. We still believe there's a segment of our consumer base that is affected by issues of payroll tax and unemployment benefits running out and the like, but overall, we see the environment being recently stable and hopefully getting better."
Sean P. McGowan,Steven G. Miller," I also have a couple of questions. I'm going to start with any comments you might offer about the ammunition supply chain, it's been something that's come up on recent calls. Do we take it from the fact you didn't comment on it that it's gotten a lot better?"," Well, I think there's still some issues in terms of the supply chain. I think it has gotten better, but we're still not receiving all the ammunition, all the calibers that we would like to see in the quantities we would -- ideally our consumers would like to see them."
Sean P. McGowan,Steven G. Miller, But you don't think it's having a big effect on your ability to register those sales?," Well, yes, the ammunition business still remains very healthy for us."
Sean P. McGowan,Barry D. Emerson," Okay, good. Barry, would you mind repeating what's the net per share effect of the closings and impairment in the second quarter? And then, any comment you would have on the balance of the year? And I have a follow-up question on that for either one of you two."," The net per share effect of what, Sean?"
Sean P. McGowan,Barry D. Emerson, Of closings and impairment.," Last year? Okay. Well, okay. I mean, so last year included $0.02 a share of impairment charges. It also included -- I'm sorry, let me -- $700,000, plus or minus, of store closing costs, $0.02 a share, as well as $200,000 of impairment costs, about $0.01 a share. So a total of $0.03, Sean."
Sean P. McGowan,Steven G. Miller," Okay. And the follow-up question on that is, as your business improves, and you make merchandise changes, product selection changes that improve things, do you think that kind of raises the bar on what performance you expect from some of the stores? And might we expect to see maybe more closings as a result of some of them doing better? Or is that not the right way to look at it?"," Yes, I don't think that's the right way to look at it. I think the changes that we've made are fundamentally helping, we think, virtually. All of our stores, generally, have been positive -- positive across the board, so I don't see any thought that the initiatives or changes that we're making would create any more pressures to close stores that existed in the past. We always evaluate our store base and -- but we feel very good about the change we are making, fundamentally benefiting all of our stores."
William J. Dezellem,Steven G. Miller," A couple of questions that are potentially related. I believe in the opening remarks, you mentioned that you were less promotional in the second quarter, and then, in the press release, there was a reference to your marketing strategies to broaden your appeal to the customer. Would you discuss both of those? And if they are directly related together, link them. And if not, you can just take them as separate questions, please?"," Okay. I mean, we can adjust them to the manner which we market gives us the flexibilities to change some of the levels of our promotions on a pretty timely basis, depending on the conditions of the business, the tick of the business and the environmental issues. So given how the business was trending in the second quarter, we backed off some promotional activity that -- comping against some promotional activity from the prior year. And that's something that we evaluate, and always have, on a very ongoing basis."
