Asker,Responder,Question,Answer
Edward Marshall,Christopher J. Stephens, Where do I start? Can you shove anything else in that release?," Yes, we got a lot to talk about."
Edward Marshall,Gregory F. Milzcik," Yes, I think there's a lot of happy people out there today. Well, I mean just the deal multiples alone, I'm assuming that it looks a lot like just because of the synergies that are anticipated between the 2 businesses because they seem higher than some of the other multiples in the industrial space."," I'll tell you that there's tremendous synergies from a variety of perspectives. And I think that when we looked at how many synergy -- how much there was with synergies with MSC compared to our own company, it just confirmed our overall strategy that we need to be a more closely aligned manufacturing service business. And I think that the folks at BDNA will really appreciate being associated with a pure distribution company. They think distribution, they have been very successful over the years. The sales folks will have a lot more to sell, their product line offering will expand, so I really think this is a win-win. And it's part of our transformational strategy. We are definitely doing what we said we would do, and I'm really pleased."
Edward Marshall,Gregory F. Milzcik," Just if I could speak to the timing, it looks like there's $400 million after-tax, give or take, some changes. You said by end of first quarter, beginning of second, is that right?", Yes.
Edward Marshall,Christopher J. Stephens," Okay. And the proceeds, did you say half the proceeds will be used for debt and the other half will be used for stock repurchase? Just can you go over those numbers again for me?"," Sure, Ed. So immediately, obviously, when we get the proceeds, we will reduce our debt. And the expectation in terms of the use of those proceeds, we said up to up to half of those proceeds would roughly be used to buy back shares, and we would anticipate that to be roughly 4 million to 5 million shares in the year. And again, of course, that's subject to change. As you know, we're continuing to look at opportunities from an acquisition point of view, but that's our thought right now."
Edward Marshall,Christopher J. Stephens," Okay. So just so I don't look back, you said half the proceeds, you mean $200 million will be placed towards the debt, the other $200 million will be going towards -- that's where I'm getting a little confused."," Yes, yes. So there's multiple -- clearly, there's multiple of uses. So if you start with the $400 million of after-tax, we're going to immediately reduce our debt levels, so that's one."
Edward Marshall,Christopher J. Stephens, By what amount are you saying? Are you saying $400 million?," Roughly. Some cash will be outside the U.S. and our debt is sitting in the U.S, so a majority of which will be reducing our debt levels. We're going to take a look at -- we'll obviously take a look at the pension funding, as well as investments in the business. But the headline is, is we'll immediately reduce our debt, and about half the proceeds would be used to buy back shares."
Edward Marshall,Christopher J. Stephens," So let me just clarify what you're saying. You're basically saying $400 million worth of cash, give or take, will go immediately to debt, you'll refinance at some point and that will be used -- those refinancing will be used for pension or debt -- I mean your share buyback..."," Yes, I wouldn't call it refinancing. I think we were just -- we have a $750 million revolver that's out there. So when we take those, most of those proceeds and reduce U.S. debt."
Edward Marshall,Christopher J. Stephens," I got you. Okay. So on to the guidance, and you made a few comments about the MRO business in the fourth quarter. Did you actually give up -- give the number for the fourth quarter?", In terms of MRO in the fourth quarter?
Edward Marshall,Christopher J. Stephens," Yes, yes."," Yes. So quarter-over-quarter, we were down actually 13% in MRO. And on the Revenue Sharing Programs, we were down 21%. So net-net, our aftermarket had a tough quarter. But I did comment sequentially the good news is that we saw sequential growth in our spare parts, our Revenue Sharing Programs from third quarter to fourth quarter."
Edward Marshall,Gregory F. Milzcik," Okay. So if I can kind of cut to the guidance and how the aftermarket and your thoughts for next year, you're saying you're being a little bit and you just said again, wait-and-see kind of approach, conservative approach. Obviously, some of them -- the industry dynamics, your customers like GE are a little bit more apt to be a little bit more bullish. I know we've heard the song and dance before..."," After a few times, you start to get gun shy."
Edward Marshall,Gregory F. Milzcik," I get it. What is your expectation that you're building into the guidance for that business for 2013 bearing, I know you don't give individual segment guidance...", Right. We're looking at somewhat flattish.
Edward Marshall,Gregory F. Milzcik," Flattish, okay. And so your customers saying up 10% -- 5% next year certainly means there's upside to that number?"," Potentially, but they have been wrong before."
Edward Marshall,Christopher J. Stephens," Yes. Guidance looks like right in line with what we were looking for in the operating profit, but EPS was a bit shy. Was there something going on in a tax or interest to changes next year? I mean, you are paying down some debt and I understand that's not in the number there, but..."," Exactly. That's one caution and obviously, I wanted to give some color on guidance excluding the 2 announcements. But so given that, we wanted to at least profile out. I think the headwind of pension expense clearly was a drag on 2013 as we looked at that. But the rest of the business, that's how we're profiling out the year. And again, I would say just a little bit cautious on the aerospace aftermarket and outlook for 2013."
