Asker,Responder,Question,Answer
Joseph Osha,Gregg Lowe," Thank you and hello, my complements. On the – looking at the silicon carbide business I'm wondering what kind of lead times you have for tools at this point if you were to decide that you wanted to add even more capacity for example, how long would it take for that to filter through the process? Thank you."," We are – we're in the midst of ramping that, the silicon growth capability right now, doubling that capacity by the year end and that is going exceptionally well. The one thing Joe, just to remind everybody, you know, it's not like we can go down the street and buy the tools. A lot of these tools are kind of we're getting piece parts and we build them basically ourselves. So it's a very proprietary process. And there is some limit in terms of the speed of brining these things up online. We're c currently on track right now to continue to grow the capacity as planned and we're anticipating that we'll continue growing that capacity next year. In terms of lead time, Mike you want to add a couple?"
Joseph Osha,Mike McDevitt," Thank you and just as a quick followup Mike for you, would you, where you planning on sharing some of the divisional gross margin contributions to that 40% number that we heard about?", For the long range goals?
Joseph Osha,Mike McDevitt, That's correct.," Yes, our intent is to continue, like we lined out at the Investor Day is that Wolfspeed would be the margin leader and that would be approximating over the long haul call it in the 50 percent range and then both the Lighting and the LED businesses would be in the low 30s."
Brian Lee,Gregg Lowe," Hey guys, thanks for taking the questions. First one was just on the Infineon acquisition. I appreciate you breaking out what was organic and nonorganic in Q3, just wondering can you give us a sense for the revenue contribution you are expecting for Infineon in Q4. It just seems like you were implying about $30 million dollars full quarter contribution based on the run rate you guys described at the time of acquisition, but maybe there is some seasonality or timing issues. If Wolfspeed is set to grow organically into fiscal Q4 it would imply the Infineon pickup is doing a much lower run rate than that. So wondering how we could reconcile? Thanks."," Yes Brian, I'll start off and then Mike will give you a little bit more detail. The biggest impact is the impact of the restriction of selling to ZTE. We normally don't break out customer percentages specifically, but I think in this case it probably is helpful. So ZTE was a large customer approximately 20% of the revenue from the Infineon Power business, so obviously not being able to ship to them created a headwind."
Brian Lee,Mike McDevitt," Okay, all right, that's helpful. I'll followup offline with some follow-ups there. Just on the margins quickly Mike, the consolidated margins at 29/7 I suppose is the LED flat and Wolfspeed down a snitch, it would imply lighting is going to be up another probably 300 basis points sequentially, is that kind of a fair math or is there something that maybe I am missing in the margin walk? Thank you."," Yes, what we would be kind targeting is a couple 100 basis point improvement sequentially on Lighting."
Paul Coster,Mike McDevitt," Yes thanks for taking my question. Mike, you mentioned the product mix might weigh on the Wolfspeed margins, but I may have confused that with the ZTE comments. Is it one and the same?"," So, two pieces to it. So the first part is the RF Power business that we bought is component packaging, so it has lower systemic margin than our broader Wolfspeed portfolio, but still accretive to Cree overall. And so that's one part of it and then the second part is we do have some factory unloading just with not being able to make and ship ZTE parts."
Paul Coster,Raiford Garrabrant," Okay and then a quick followup, the largest EV market in the world will probably be China right, at least unit volume wise and I'm wondering are you already selling into that market you know trade relationships and how does this tried just few plan for that? Thank you."," Hey, Paul it's Raiford, yes we're selling into the EV market around the world and we don't break out the number of design wins we have here or there, but we've seen generally speaking an acceleration and activity from design wins to road map discussions, capacity discussions with OEMs and tier ones around the world and would like to continue to assess with what the U.S. TR is doing and fully understand the potential impact of our customers, but that said, we believe the intent is not to punish U.S. companies and hope we get a decision that doesn't hurt Cree."
Jeff Osborne,Gregg Lowe," Yes, good afternoon. Just two quick ones on the acquired Infineon business, I was curious if you could share just roughly what percentage of the packages you're making are silicon based versus silicon carbide and then as you move to more silicon carbide over time which I assume is the strategy and using your own materials would have in some margins as that progresses? And then the other question…?"," Yes, I would say most of the business is traditional silicon LDMOS technology today and we certainly bought it with the intent to capitalize on our position with gallium nitride. So obviously we will be transitioning that business based on the demand for more bandwidth at 4G and then the near necessity for gallium nitride with five G base station. So we would anticipate that that business would migrate from predominantly an LDMOS silicon based capability to a predominately GaN based capability. As we and we certainly anticipate that we'd be able to make gross margins go up as we make that transition."
Jeff Osborne,Mike McDevitt, Got it and is there any thought in and possibly giving some context as to the mix within Wolfspeed as it relates to materials RF and Power is there is there any color that you can provide on that?, I think at this time we're not contemplating breaking it out that specifically. We think it's better and more representative just to talk about the overall haul of the business.
Harsh Kumar,Gregg Lowe," Yes, hey guys. Congratulations on the strong results. Gregg, I was curious off the market you mention for silicon carbide which one do you see as the fastest grower in the near to midterm and then I have a follow up?"," Well, I think certainly mid-to-long term the largest market is for sure the electric vehicle market. It's got a huge amount of potential. I would also say that even in the near term that's driving a lot of the activity as well. Just the efficiency improvements that you get, the power density and capability that you get really aligns nicely with what people are looking for in terms of electric vehicle. It helps car manufacturers either reduce the amount of batteries they use for a certain amount of range or increase the amount of range they get for certain amount of battery. And so and those are those are things that are high on the list of people buying an electric vehicle. So I think that's really the driver. The good news is that we've got a lot other sort of lines in the water if you will and we've got a lot of interest in solar and industrial and so forth and so with the new sales team coming onboard, trying to expand that footprint is an additional objective we have."
