Asker,Responder,Question,Answer
Michael Fox,Michael L. Thompson," Good afternoon. Just a couple of quick ones. When you look at the Fire Protection business and the Document Management business, you talked about the margins should increase as you gain national scale. Can you talk about how bigger geographic presence you guys have today and how long you think it will take to get national?"," Certainly. In Document Management, we are in approximately 80 of the top 100 markets, obviously expanding very quickly in that space. Fire went approximately 60 of the top 100 markets. So, as we continue to expand, we will get further acquisitions to enhance that and then also greenfield startups where there is not an acquisition opportunity available."
Michael Fox,William C. Gale," Again with regard to the document management business, have you noticed any increase or decrease in the multiple that you guys have been paying?"," Probably, they have come down a bit, Mike, as we have basically, I think, established the presence in the major city that we wanted and bought some of the better companies. Now, as we look for other acquisition opportunities, we can take a little harder line and I think that you would probably, these are multiples down slightly from what they have been initially."
Michael Fox,William C. Gale," Okay. And then with regard to the international acquisition, can you give us an idea of kind of a timeframe what you guys are looking at as far as when you might grow that business or start to make more acquisitions there?"," Well, we are going to certainly be opportunistic in looking at when things become available. I would say, we don’t have a definitive plan that we want to be certain size in any particular period of time, but we are very aggressive in trying to understand the market over there. The management team that came with this acquisition is very well known on continent in this business and therefore will be very helpful to us as we expand. And I would say, it's just a matter of time and the right opportunities presenting themselves because we are committed pretty much to moving forward with this business over there."
Michael Fox,William C. Gale," Okay. And can you talk about, you guys have been… a lot of other… a lot of businesses for a long time and this is certainly one of your newer businesses, and venturing to Europe. Can you talk about, why you chose to go into Europe with the Document Management business, as apposed to some of the other businesses that you are in?"," Yes. The primary reason, Mike is the fact that the laws in Europe regarding privacy are just slightly behind with the laws in the U.S. and Canada have been. Therefore we believe, we are really in the forefront as this industry really starts taking hold in Europe. The other reason for doing document management is that as evidenced by what we have been able to achieve the first… the last couple of years in Document Management here. We believe that it is a very rapid growing company, a very rapid growing industry that we can take advantage of, doesn’t require significant capital investment and is a pretty quick start up as far as the ability to obtain, enough business to start making profits really quickly."
Michael Schneider,William C. Gale," Hi, good evening guys."," Hi, Mike."
Michael Schneider,Michael L. Thompson," First, I guess, you had mentioned you are suspending the share repurchase program as a result of the strategic review. I guess that’s news to me. Can you tell us what you were exploring and indeed what you concluded?"," Mike as we have stated in the past, I really can’t get into any details or any specifics. What I can tell you is that we did spend time looking at various alternatives and now that we have finished that. We are ready to reenter the market in our own open purchases like we under the authorization that we have."
Michael Schneider,Michael L. Thompson," So, the review is complete and presumably no actions that would interfere with buying back stock?"," Well, at least for right now it is and I think when you say complete, obviously, it’s come to a conclusion that enables us to get back into the market, but our Board is always committed to looking for ways to enhance share holder value."
Michael Schneider,Michael L. Thompson," Okay. And on the organic growth in the rental division, take that as slightly sequentially. Can you give us a sense when you look at the components of growth, was that primarily driven by new sales account growth, accelerating sequentially?"," Yes, yes. Michael, I would say that the other drivers, when you take lost business at stops and price increases, I would say that’s very comparable to the fourth quarter in nature. And I would say that the growth is predominantly from the new business increase."
Michael Schneider,Michael L. Thompson," Okay. And looking forward now, this Project One Team, as it relates just to the rental division. What are those factors do you expected to have the most impact, because I presume they could impact, certainly attrition rates and new business sales. But I am curious as to what you are targeting to experience the biggest benefit from Project One Team?"," Yes. I think it is going to affect all the components. I think the first one that we are targeting, obviously is the new business side because that’s where the focus one with the new sales organization, but certainly as we talk from the past, a significant reason to go to this organization was to allow our local management teams to focus on the servicing of customers and looking at ways to lower the amount of lost business and stops that are occurring. So, we hope to see it across the Board, but I would say, if you had to rank them the new business would be the first driver there?"
Michael Schneider,Michael L. Thompson," Okay. And then kind of different way, when you look at your different product lines now, what product like do you think stands the benefit most from Project One Team?"," I think out of the gate first, it’s the other services emerging businesses because you are bringing a lot of customers to that with Fire and Document Management especially, Fire. If you have a lot of customers that we have that you can use that service when you have thousand business customers, most of this are in a rental business as you know. So, I think out of the gate those emerging businesses should have the best opportunity, but we also believe this new sales organization… for the fact that we talked about previously are going to benefit all of the divisions."
