Asker,Responder,Question,Answer
Mark Kelleher,Jean A. Bua, Great. Thanks for taking the questions. I wanted to look at Arbor a little closer. You mentioned there was a large deal – I think you mentioned there was a large deal in the enterprise area. Is there a way you can give us an idea of what percent of Arbor right now is enterprise versus service provider?, It's about – enterprise versus service provider in Arbor's revenue is about 65% service provider and 35% enterprise.
Mark Kelleher,Anil K. Singhal," Okay. And as a follow-up, that growth there seems to be offsetting some weakness at Fluke which is, if I understand is enterprise. Where are we with the Fluke transition? Is that still a headwind or has that bottomed out?"," I think as we talked about, Mark, it has bottomed out now and I think we are beginning to see an uptick and we don't see any real impact on this – negative impact on this in the coming years."
Mark Kelleher,Anil K. Singhal, Okay. Thanks., Sure.
Alex Kurtz,Anil K. Singhal, Yeah. Thanks. Can you guys hear me okay?, Yeah.
Alex Kurtz,Anil K. Singhal," Yes. Good morning. So, the high-single-digit declines in service provider, Anil, if I heard that right, what percentage of that is being driven by just overall spending in that vertical versus transitioning some of your customers to software-only? I think you said 8% to 10% of the business this year will be software-only, but I guess what's that percentage – as a follow-up, what's that percentage in the service provider segment?"," I'll let Jean add maybe a specific percentage, but overall software strategy is that we need to mitigate part of the OpEx and CapEx challenges. So, everything is related to dealing with OpEx and CapEx. We just decided that instead of market forces disrupting us, we rather do it ourselves proactively. And so that's what is resulting in 10%, we are – that number we are forecasting for this year, it was low single digits this year. And next year, we hope that we'll accelerate that beyond 10% and that will result in even better gross margins. But overall, dynamic playing in the sector is that customer has X amount of budget. And unless they can buy sufficient capacity for an X amount, they rather not do anything or do go to cheaper solutions, less attractive, but cheaper solutions. And by we coming up with a software solution and it's evidenced by the couple of (37"
Alex Kurtz,Jean A. Bua," Okay. And, Jean, the Arbor growth at 14% in enterprise, was total Arbor growth approximately that kind of rate or is it – maybe it was higher because of the service provider?"," Yes, the Arbor service provider growth was 40% as we talked about and then it was 14% in enterprise. So, when you blend that together, they came close to a 30% growth rate. And as I mentioned in our prepared remarks, they had a product transition, that is one of the reasons why their growth rate is so far ahead of the market rate. The market generally grows anywhere from 12% – 10% to 12% and Arbor, when you normalize for that product transition, actually grew a little faster still than the market in 2017, probably mostly due to some of the high-profile events that happened in DDoS and a lot of customers come forward realizing that they have vulnerabilities and then they turn to Arbor."
Chad Michael Bennett,Anil K. Singhal, Great. Thanks for taking my questions this morning., Sure.
Chad Michael Bennett,Anil K. Singhal," So, Anil, can you maybe talk about kind of the software transition that you're seeing within service provider? Maybe how the magnitude of the transition from roughly a year-ago period and kind of how your thoughts have changed there. And then maybe you can chat about your competitive strength in a software-only world in the service provider space."," Yeah. So, I think we were – NETSCOUT was always a software company. We just ship most of the software with bundled hardware. TekComms, on the service provider side, was primarily a hardware-based company, custom hardware and that affected, obviously, their gross margin and the combined margin of the company in the service provider sector after the acquisition because they were a bigger dominant portion of the revenue. So, what we saw last year was that we have the best solution and we were the number one and number two player and combined, we have 50% market share and everyone wants to use our solution, but they were looking for two things. They were looking for a better price because of their budget challenges and they were looking for the best of both features in a single product. And that was the number one initiative for the company which is why it (40"
Chad Michael Bennett,Anil K. Singhal," Right. And then, Anil, can you give us an update on your thoughts on both timing and relative impact of 5G on spend to you guys?"," I think we see a very small impact of 5G, but there is an indirect impact on our 4G solution because of the software strategy. So, as people are looking for 5G solutions, they will traditionally look for incumbents who can satisfy their needs both from a budget and a value perspective. So, moving to a software model, the dynamic I just described, allows us to be the number one player in the 5G area, but it's not going to really impact – have any meaningful impact on the revenue in the coming years."
Matthew George Hedberg,Anil K. Singhal," Hi guys. Yeah, thank you. Sorry about that. You guys have talked about getting gross margins back to their historic levels of, I think, near 80%, versus kind of mid-70%s today. I guess, including the release of InfiniStreamNG, can you outline and maybe rank the other opportunities for gross margin expansion?"," I'll let Jean maybe add to this. But I think the biggest opportunity is because InfiniStreamNG has become the combined platform for TekComms and NETSCOUT moving forward, and it's available in the software and appliance versions. And so margins are already increasing even with the appliance version, because it's higher gross margin than the TekComms' custom hardware version. But we think that this will allow us to reach our 80% gross margin target sooner than we would have thought earlier, and maybe even exceed it in the future. Jean, anything else?"
