Asker,Responder,Question,Answer
Jim Ricchiuti,Todd Kelsey," Hi, thank you. Good morning. A couple of questions, I was wondering if you might be able to expand on the six new logos you added, if there’s any color you can provide, either on verticals or type of customer or program."," Yes. So Jim, this is Todd. I’ll get us started and I’ll have Steve provide some of the details around the sectors in the opportunities. But the one thing I wanted to highlight about the new program wins that I think is significant. And I hope that people take away from this is, if you look at our business development approach, it’s really to grow with existing customers to find the right customers and then grow with those customers and I talked about six new logos and Steve talked about 14 new relationships. So that includes the six logos plus eight new divisions of existing logo. So, when you look at this, we get a new logo in, we transition it, we potentially add additional divisions and we grow with each of those, the original division or logo, as well as the expanded relationship that we have with the other division. So, I wanted to point that out and then I want to turn it over to Steve to get into a bit more detail."
Jim Ricchiuti,Todd Kelsey," Thanks. Thanks for that color. And by the way, yes, I think you gave some good color on how we should be thinking about the second half of the year. but yes, I wanted to go to that target that you’re talking about for revenue of 9% to 12% growth. And clearly, last year was impacted unquestionably by COVID and this year you’ve got some moving parts as well. but I’m trying to get a sense, what’s giving you that confidence about that 9% to 12% revenue growth. It sounds like, it’s the – the wins that are coming in, it’s a question of when do you potentially see that conversion? It’s obviously not going to, I think, happen this year?"," Yes. So, I think, Jim, you’re right on with your assessment about this year is that the 9% to 12% would be difficult in this year and kind of the way I’ve characterized it in the release and in the script here is that. if you do the math, it wouldn’t add up to the 9% to 12%, but there’s a number of things that give us confidence that 9% to 12% is a realistic and very achievable goal. And first of all, if we look backward looking over the period of 18% to 20%, we were at 10%. So, our sectors in our markets have shown that they can support that level of growth. Then, if we look – and that includes last year with the pandemic in that number as well, I know as we go through our planning process and we do a bit of a bottoms-up planning our teams again, their results support our revenue growth goals, but there’s really four factors that I think serve as catalyst for us as we go into – go through fiscal 2021 and into fiscal 2022. First of all, we have the margin expansion and the sustainable margin expansion, which I think we’re doing a nice job of showing that that’s very achievable. Second, we’ve got the recovery of elective - of medical equipment used for elective procedures, and we’re starting to see that a hint of a sign of that right now. but I wouldn’t say it’s a recovery by any means. So, there’s great opportunity with that as we move forward. And there’s also the increase in demand that we expect to see from commercial aerospace as we see travel upticks post the COVID vaccine rollout. So that may be an early 2022 type event is what we’re expecting. And then we have the new program ramps and you saw the win success that we’ve had over $1 billion trailing four quarter funnel that we have. We’ve talked about some of the exciting new programs that have been long-term ramps within our Healthcare/Life Sciences sector. These all come to fruition in the F22-ish type timeframe here. So, we’ve got a number of catalysts that are looking really good for us as we get beyond or get – go through fiscal 2021 and get into fiscal 2022."
Jim Ricchiuti,Todd Kelsey," Got it. Just on commercial air, could you just remind us, what that’s representing right now of the A&D or maybe, just historically, what it was – and then I’ll jump back in the queue. Thank you."," Yes, it’s above – let me get the number. I think it’s in the mid-30s right now, but I’m going to verify that. it’s kind of low-30s, is about where it’s at right now. And it had been, probably, a little bit over 40% to even 45% at one point."
Adam Tindle,Todd Kelsey," Okay. Thanks, good morning and congrats to Shawn and Heather. Todd, I just wanted to start with some questions around the second half comments, where revenue is relatively consistent with the fiscal 2Q guide. just maybe, the biggest drivers of why we would see effectively flat sequential trends in Q3 and Q4, because we normally expect to build up each quarter or see it up sequentially on a seasonal basis. It sounds like towards the end of the quarter, medical and industrial saw a recent strength, you’ve got new customers coming on. So, what would be the offsets that I’m missing to make Q3 and Q4 effectively below normal seasonality?"," Yes. I think that the issue Adam is that the visibility is just fairly limited right now. So it – I would say, it’s more of a situation is we’re just not sure. We just don’t know. And if you think back to a quarter ago, when we had our call, we expected Q2 to be flat to Q1. I mean, obviously, it’s not – it’s up substantially on the order of about $50 million. So, we saw a lot of upside demand come in, particularly around the healthcare and in the industrial sector. So, as we – as our customers brought up forecasts, they just brought them up in the near-term and not necessarily further out. So, I’d say there’s a lot of uncertainty to us as whether we’re going to see something similar as we move through the rest of the year or whether we won’t. but based off of the visibility we have right now, it looks more like flat at this time. But I think in some sense, we’re a little bit of a victim of our success from an execution standpoint, because there are customers feel comfortable that they can drop in demand and we’ll execute on it."
Adam Tindle,Todd Kelsey," Right, that’s understandable. And just to clarify, does that also mean that operating margin would kind of stick in that 5% to 5.5% range that was guided to Q2?"," Yes. it’s a little, it’s a bit uncertain, I mean, I think obviously, we’re targeting to be above the 5% range, but it’s a bit uncertain based on the revenue and the leverage that we get. So, it’s a little too early to call that one."
Adam Tindle,Steve Frisch," Okay. And just maybe a longer-term question, you talked about the record over $3 billion funnel, you talked about committed to the 9% to 12% long-term revenue growth. Just trying to understand, does that imply potentially a supersized growth year in fiscal 2022, such that the average of 2021 and 2022 can be in the 9% to 12% range. So maybe just help with the expectations on timing and magnitude of what seems like a pretty big growth uptick upcoming."," Sure. This is Steve. I’ll try to handle that one. Obviously, trying to give guidance for 2022 would be a bit challenging. But looking at the market dynamics of where we’re at, which gives us some optimism is, we look at commercial aerospace and we’re strong in there, we’ve gain market share. We’ve talked about the fact that we’ve been bounce around the bottom and we see this down. And so we see that as a catalyst for growth in terms of what could happen in the 2022 as things are start to recover. We’ve talked about the elective procedures in Healthcare/Life Sciences. We believe we’re continuing to take market share, we’re winning new logos. And we think catalyst there to help accelerate some growth as we – as things start to recover post-COVID. And then, we’ve talked for the last couple of calls talking about industrial team in semi-cap – with semiconductor capital equipment, the signals are out there. The demand for semiconductor equipment and devices is only going to increase over time. And looking at our forecast and Todd’s kind of comments is, we see this flattish kind of forecast and then we see the short-term drop-ins. And I think at some point there’s a potential for that to turn into real forecast demand. And so, the optimism of the 9% to 12% is driven by those types of factors combined with the fact that we continue to win decent amounts of new business. And so I think – why we’re optimistic about the growth, could it outperform, I think, if the economy takes off and all these things start to recover post-COVID, I think there’s a real chance that demand from our customers continues to increase at a pretty good clip with it."
David Williams,Todd Kelsey," Great. Thanks for letting me ask the question. And first, congrats to Shawn for the transition. First, I wanted to ask maybe about the 2Q demand and do you think that we’re seeing any pull in maybe from some of the second half demand? Or is this mainly just the drop in the early demand command or the short term demand?"," Go ahead, Steve."
David Williams,Todd Kelsey," Okay, great. And then just kind of thinking about the COVID related tailwinds, the shorter term are non-sticky. How much of your business, I guess, in the Healthcare, I think the shorter-term COVID tailwinds that could potential phase into next year or the year after?"," Yes. So right now, there’s not a lot beyond testing in point of care testing that I would call a true COVID tailwind, where the demand is up as a result of COVID. Now we see that demand is progressing or continuing at least through calendar 2021. And even our customers are talking about it going beyond that and enter 2022. And one thing to point out too and we call them COVID testers a lot, but what they are is, they’re testers that can be used for COVID. So they can test many other things as well too. But that’s the only thing I would say, as a true COVID increase that’s in our forecast right now other than the small amount of upside that Steve talked about on the one critical care product."
David Williams,Todd Kelsey," Great. Thanks for the color. And one last if I can real quick, just kind of any thoughts you might have on the transition – from political landscape, anything that you’re watching it, or thinking about in terms of deposit for"," Yes. So I mean the one thing we’re looking at is on the demand side. I would say, there’s a few different opportunities that could come up as a result of the proposed stimulus that’s out there. We have some heavy equipment business. I think some of the COVID products could increase even further from a demand standpoint. Certainly, I think it bodes well for semi-cap as well too. The other thing we’re looking at on the other side of the equation is, what happens with the tax landscape and does that have any impact."
Matt Sheerin,Steve Frisch," Yes, thanks. Good morning, everyone. Just a question regarding the product or the component on the supply chain environment right now, I mean, you talked about inventory days up, Pat. We’re hearing across the board of supply constraints in certain semiconductors, in some passive components. Are you seeing that yet? And are your customers asking you to build inventory?"," Yes. So Matt, this is Steve. I’ll take that one. First of all, there’s a lot of news out there about the automotive market, having shuts down – shutdowns due to semiconductor shortages, and just want to remind everybody we don’t do automotive. So in terms of our end market impact, there’s nothing there. Now specifically, what’s causing those challenges in automotive is a tightening in semiconductor components. And we are seeing some of that. We don’t foresee any issues here in the fiscal second quarter. We’re from an inventory standpoint and that we feel pretty comfortable where we’re at. We do start to see lead times start to extend a little pricing pressure here and there. So it’s definitely real from our perspective. I feel like you’re pretty comfortable where we’re at. Our teams definitely have to work harder through these periods, but at these times is when our teams have outperformed. And so I’m pretty optimistic in terms of what our teams will be able to do. The one part that I get a little nervous on is, looking at those forecasts as we go into the back half of the year. If our customers start dropping in big demand our ability to react and bring things in is really kind of the bigger challenge. And so we have been talking to our customers about inventory levels in what we’re comfortable storing. Now keep in mind, our customers are responsible for the inventory levels. Plexus doesn’t speculate. So from our standpoint, it’s really just working through with our customers where they need to be. And we do have some – we do have some customers that have increased raw component inventories to be able to respond to upside demand in the back half of the year. And so again, it’s a mix with each customer, but it is a – we do see it coming a bit more, but I think we’re responding appropriately. And at this point, the teams are handling it really well."
