Asker,Responder,Question,Answer
Walter S. Liptak,Dr. Michael J. Hartnett,"Hi. Let me ask first about the aerospace business and your comments about better to look at the annual rate. I wonder as you look out over – if you grew a couple of percent this year, if you look at over the next 12 months, is that sort of the growth rate that you're expecting excluding the Sargent deal?","Good question. Let's see the – looking out over the next 12 months, we don't expect the currency shift to hit us again, so that ought to be good news. And I think last year, we had a sort of a weak demand from the aerospace distributors in the aftermarket and that seems to be normalized and strong now. So, I think the defense programs are sort of tepid. So, I would expect that the overall, we are going to be in the high single digits in terms of expansion rate driven principally by the major OEMs for airframe and engine and sort of offsetting some of the defense weakness and no more currency impact."
Walter S. Liptak,Dr. Michael J. Hartnett,Okay. That sounds great. Are you expecting the Sargent business to see revenue growth over the next 12 months?,From their last 12 months?
Walter S. Liptak,Dr. Michael J. Hartnett,Yeah. I think they were at about 195 was the number that you guys press released?,Yeah. I would expect them to be overall flat with the last 12 months.
Walter S. Liptak,Daniel A. Bergeron,"Okay. And then, Dan maybe just to help with modeling some of the overhead expenses, can you give us a number on what you think overall SG&A is going to be including Sargent in 2016?",Yeah. I think it's – we'll be closer to around 15.5% to 16%.
Walter S. Liptak,Daniel A. Bergeron, Okay.," But our assumptions haven't changed since what we presented to you about a month ago, when we announced the deal. As you know, we're just in the process of preparing or beginning balance sheet valuations with our experts to make sure that our assumptions that we did give everybody are correct. So I think when we report our first quarter earnings, the first week of August, everybody will get a good view of what we have on the books in the way of amortization and interest and debt deferred amortization cost."
Walter S. Liptak,Daniel A. Bergeron, Okay. So it's sounds like the accretion numbers that you talked about previously are still – those are still good numbers?, Yeah. It's only been four weeks.
Kristine Tan Liwag,Daniel A. Bergeron," Hi. Good morning, guys. Great quarter.", Thank you.
Kristine Tan Liwag,Dr. Michael J. Hartnett,"Not to rush or anything, because I know you're in the initial stages of integrating Sargent, but post deal, I think you have about $130 million less in your revolver and your net debt to EBITDA is about 2.6 times. Could you maybe provide some color on your appetite for doing other deals? And what you think about your priorities for capital deployment this year and maybe next year?"," Well, let's start with the – start at the top there, Kristine. I think we won't probably do a deal this size this year. I think we're looking at the process of sort of integrating the Sargent activities with the RBC activities and getting the accounting homogenized with RBC's accounting and getting our sales and marketing people lined up and working on improving their execution and margin expansion. So I think we're going to be pretty busy with Sargent for this year. And I would think by the end of this year, we'd be in a much better position to answer a question like that."
Kristine Tan Liwag,Daniel A. Bergeron,"Great. And then, for your gross margins, I mean, historically you guys have guided to about a 1% gross margin improvement in an annual basis. When we think about the business, maybe without Sargent on a go-forward basis, is that 1% still what we should be looking at? And then now with Sargent, what should that 1% look like?","Well, I think the 1% is still good for the base business and we have some really good programs that are maturing now and starting to show their strength. I think I defer the gross margin expansion with Sargent included until our August conference call, so that we have more time to spend with the Sargent people understanding where their opportunities are."
Larry Robert Pfeffer,Dr. Michael J. Hartnett," Good morning, gentlemen. Congrats on the quarter.", Thank you.
Larry Robert Pfeffer,Dr. Michael J. Hartnett,"So just kind of trying to dive into the industrial side of the business, what are you guys thinking about for growth rate there, do you think the 3.5% to 4% you saw in the underlying North American business this quarter is a decent run rate for fiscal 2015, fiscal 2016?"," Yeah. Let's see. Well, I think the industrial business – it's got some strong spots and some not-so-strong spots. So I think we look at the general industrial business that we service and it's strong, and it's good, and it's growing, and it's got sort of some exciting new programs with substantial scale, which will be phasing in slowly this year and more – and with more mass next year and the year following. So I think general industrial was good. I think the mining business we expect that to start off weak in our first two quarters and strengthen in our last two quarters. So, mining is sort of touch and go right now. And on the oil and gas side of our business, I think everybody kind of has a view of what's happening there. That market isn't wonderful. We're kind of in a sweet spot in that market where our volumes have some protection around them, for some of the OEMs that we service. And so, I think we don't see any growth occurring in that market next year and that we're going to be happy to maintain sort of a flat revenue number. So, I think the heavy lifting in our industrial business next year is going to have to be done in the general industrial markets."
Larry Robert Pfeffer,Dr. Michael J. Hartnett," Okay. And then, do you have a feel for kind of a split between the OEM and aftermarket side of it?","Yeah. That's kind of a 50-50 deal really. It maybe – Dan is searching for the right numbers, but I'm guessing it's – what is it, 70-30?"
Nick Stuart,Dr. Michael J. Hartnett," I just had one quick one piggybacking off of that prior question, can you talk about what you are seeing in mining that is giving you confidence in kind of a back-half recovery?"," What we see in mining right now is the aftermarket is pretty much propping up the whole mining world. And so we look at the tonnage of copper and steel produced each quarter and see how well the mines are running, and they've been pretty consistent. So any OEM growth that you'd see out of some of the big producers would benefit those volumes. On the smaller side of the mining business, which we might classify as mining, but is really residential construction and street and highway construction and we just categorize it broadly as mining. That business really responds well to how things starts in GDP growth, so a little pick-up in that GDP area. And a little pickup in housing starts is going to help that business year-end and we're subscribing to an increasing GDP growth rate as the year ages."
Edward Marshall,Daniel A. Bergeron,"So when you gave the split-out of the industrial and aerospace growth in the press release, you talked about $1 million – you excluded $1 million of foreign currency. Is that all on the industrial side of the business, I assume?", No. It hit both sides.
Edward Marshall,Daniel A. Bergeron, Could you give the growth rates ex that currency?,"Yeah. So the growth rate for industrial for the quarter was 0.1%, and for aerospace and defense, it was minus 0.5%."
Edward Marshall,Daniel A. Bergeron,"Okay. And in the prepared remarks, we talked about maybe timing being and to look on a 12-month basis. Over the full year, it looks like it was up about 2%, 2.5% for aerospace. Do you have the mix between what the impact in commercial and what defense was for either the full year or the fourth quarter? That'd be helpful.", No. We don't have that broken down yet.
Edward Marshall,Daniel A. Bergeron,"Okay. And in the backlog, when I look at it down 4%, what's responsible for the decline? Is it aerospace or is it industrial?","Well, first, about $4 million is just re-measurement due to the drop in the exchange rate."
Edward Marshall,Daniel A. Bergeron, Okay.," And then the other side of it is aerospace, mainly defense."
Edward Marshall,Daniel A. Bergeron, Okay., And that's mainly timing.
Edward Marshall,Dr. Michael J. Hartnett, Okay.," In this year, we have a substantial number of three-year to five-year contracts rolling over in the aircrafts business. And since they're rolling over this year, you don't have a years' worth of backlog as you normally do to roll into your backlog numbers. So we're very busy negotiating and extending contracts through the next cycle and that is having a substantial impact on that number too."
Edward Marshall,Dr. Michael J. Hartnett,"When we exclude maybe Sargent from the content discussion and generally my experience suggest that when these three-year to five-year contracts come up, it's pricing and content awards that you win. If the index is 1 today or 100 today, a year from now, what do you anticipate your content will be on kind of the commercial programs, excluding Sargent?", The index representing our base business?
Edward Marshall,Dr. Michael J. Hartnett, Yes., We don't expect to lose any.
Edward Marshall,Dr. Michael J. Hartnett, Great.,"We haven't heard of any of that. We actually have picked up some new accounts that are meaningful that we didn't have previously. And then you have the A350, the Joint Strike Fighter and the 787 sort of building in volumes and an increase in the 737 rates. So we're going to pick up share and we're going to pick up mass."
