Asker,Responder,Question,Answer
Camille Gaduaralla,Peter Swinburn,"Hi, thank you. Could you give us a little more detail on the Vancouver Brewery, how your progress is, and when you expect it to be 100% up and running. Then, what type of savings can we see coming out of that?"," It’s up and running now. We’re running the line in and the line is fully installed, and the savings are primarily going to be in the area - in the short term, at least - of reduced transportation from our Toronto Brewery. So you should begin seeing that very soon."
Camille Gaduaralla,Peter Swinburn,"So you’ve got about a 2% minimal cost in the third quarter, but that’s something that we probably shouldn’t worry about right?"," Two percent. You may see a little bit of it in the fourth quarter, and not all of that is directly attributable to Vancouver, because obviously fuel has gone up, but you will see some reduction, yes."
Judy Hong,Kevin Boyce," Thank you. Kevin, I’m hoping to get a bit more color in terms of your cost profit performance in Canada in the quarter. If you can quantify how much of the decline was really won off the items versus the heightened level of discounting that you’ve mentioned? And can you just talk about what’s really driving the higher discounting activity in the third quarter and it sounds like you talked about the fourth quarter trends being a bit of a moderation from a discounting activity perspective. So if you could just go through that in more details I’d appreciate it."," OK, Judy, let’s start with one-time versus ongoing. The numbers that we’ve quoted are all our ongoing business. We’ve eliminated the one-time. So then if you focus in on the various markets, I’d say in the short term there have been price increases in both Quebec, Ontario and Alberta as well, earlier in September. That will begin - we’re seeing in Ontario not just the price increase of the premium brands, but we have seen over the last six weeks movement up on the products that are the value brands, which is encouraging. And that continues today. So we’re very encouraged by that. I’d say Quebec - although pricing has been taken certainly to date in this quarter - it remains pretty competitive in that market, and if you go back in time this is really - it happens from time to time in our market place where certain markets get overheated and it usually works its way through in a period of time, but this summer was, starting in the second quarter but really into the summer was a particularly aggressive time amongst all competitors in the marketplace."
Judy Hong,Kevin Boyce,"Just to clarify, Kevin, you sensed that none of the items were one-time, but some of the items that impacted last year were like the House of Blues equity earnings and the Foster’s earnings being included in the last year’s. How much of that really rules the 8% decline in the Canadian profit in the quarter?"," Sorry, I was really referring to the cost inflation and the discounting. There were a couple of items but they were - without giving you the specifics - they were fairly minor in the overall scheme of things. The major items were the price discounting and the inflation."
Judy Hong,Peter Swinburn,"OK, and then Peter, The 5% equity exposure that you have on Foster’s","Thanks, Judy. The two issues aren’t really related. We’ve used a pretty efficient vehicle in terms of actually going to our 5%. We’re not using cash in regards to our prudent sort of exposure, which is pretty limited. We just think the 5% represents a sensible position given our covenant to our banner sheet. In regards to how we use our cash in terms of buying back shares"
Christine Farkas,Kevin Boyce," Thank you very much. A couple of follow ups if I could. Kevin, first on Canada, you talked about early fourth quarter STRs being unchanged, so that’s a deceleration. Do you think that’s on the back of stronger pricing in Ontario and perhaps Quebec, or are you seeing maybe some trade down impact, either away from or towards other categories? What are you seeing there in the early part of the quarter?","I’d say from an industry perspective, the 3.1 was a pretty heated industry and reflected a couple things. It reflected in Quebec a bit of an inventory build, to be honest, and it also reflected early in the quarter. You may recall last quarter I spoke about the timing of the Canada Day holiday, so adjusting for that I think it’s really the third quarter that’s a little bit inflated  rather than the fourth quarter.  I characterize October as okay, not bad, not great, but in an industry where historically we’ve been at about 1% growth, flat for us is probably a pretty good performance given all the circumstances in the marketplace right now."
Christine Farkas,Kevin Boyce, Did you give us an indication of how much currency impacted the Canadian results this quarter?," No, we didn’t, but it was virtually negligible."
Christine Farkas,Kevin Boyce,"Okay, great.  Looking at the segment of the US or other, there was about 98,000 barrels sold under US title.  Is that a timing issue?  Is that Puerto Rico?  What is that number, and are we going to see something like that going forward?"," Is that question directed at me, Christine?"
Christine Farkas,Kevin Boyce," No, Kevin, just in general on your statements or on the Molson Coors statement.  I realize that the US numbers are pulled through the equity income, but there is now a small segment of other - what is that number?","Well, we had one day of earnings prior to the commencement of the JV.  The JV essentially commenced one day into this quarter, so that $4 million represents the profit for that particular day."
Christine Farkas,Leo Kiley, Okay.  You didn’t talk about early fourth quarter STRs for the US business.  Is that something you can cover on this call?," This is Leo.  There’s a lot of noise in our October numbers.  We do have October numbers there that were up marginally on sales to retail, but it really has more to do with pricing and buy-ins ahead of pricing market-to-market.  I think the trend changed and, as you know, one month doesn’t make a quarter."
