Asker,Responder,Question,Answer
James V. Covello,Mark E. Jagiela," If I could ask about the SOC test business. We've had a couple of the analog companies in the last couple of days, namely Linear and NXPI, both increase their CapEx, citing back-end constraints a little bit. How much of that do you think is reflected in your June quarter results versus there's still some of that, that's going to have to work its way through the system in a positive way for you going forward? And when I think about your September quarter guidance, is -- are you assuming that what we saw from people like Linear and NXP and others -- and I know you don't want to comment on specific companies. But do you assume that, that's going to continue? Or do you assume in your guidance that, that drops off a little bit because that can be volatile?"," Jim, thanks. Yes, I think the analog business is one of those pieces that is strengthening, and it tends to be less volatile overall than some of the digital businesses. So in the second quarter, I wouldn't say that it's peaked. We're still seeing strong demand for our Eagle and FLEX testers, which primarily serve that segment. I think for the rest of the year, it will continue to strengthen a bit. Some of the companies you mentioned, some are pure analog versus a mix of different types of parts. But overall, what we see is that analog will remain strong and probably strengthen a little bit in the second half."
James V. Covello,Mark E. Jagiela," That's helpful perspective. And then when I think about the short-term disruptions in the Wireless Test space versus the long-term opportunity, how do you guys frame that up in your mind? Obviously, you talked about the issues that are driving the market this year and in the back half of the year. What are you -- what in your mind has to be the long-term reward to live with the short-term volatility in that market?"," Well, I think Wireless Test is going to be propelled by unit growth and complexity. And the period we're in, in the past, I would say, 2 years, last year and this year, is that the unit growth has slowed a bit for complex devices because of the sort of pushout of China LTE deployment. And people, in the meantime, in the traditional markets have been working on a lot of optimization and reuse of equipment. So what we do see is that the deployment of LTE in China will occur. It's hard to predict when the ramp starts to go vertical, but it will come. And with that will come a lot of complexity in those phones from an RF point of view and -- on the RF and from an applications processor and power management point of view. So for both the SemiTest business and the LitePoint business, we think that the China wave will be the next wave of benefit we see from the wireless space. And then what comes after that will be further enhancements with LTE Advanced and such that will continue to drive increased bandwidth and test complexity."
Timothy M. Arcuri,Gregory R. Beecher," Greg, can you help us with what the mix is going to look like for September from a revenue perspective? And the reason why I ask that is because it's pretty hard to fit the guidance, given where the bookings were. So I'm wondering maybe if you can help us with what the revenue mix is going to look like. And then I had a follow-up."," Okay. We don't typically do that, Tim. But I'll say the SemiTest, we expect to -- obviously, we have a larger segment. And basically, Semi and LitePoint are going to be down a bit from the prior quarter, but they'll both be down about the same amount [indiscernible] percent."
Timothy M. Arcuri,Gregory R. Beecher," Okay. Down, you said what, 50%, you said?"," As a percent, they'll look similar in their performance."
Timothy M. Arcuri,Gregory R. Beecher," Okay, got it. Got it, got it. And then can you also talk -- wireless revenue was greater than the bookings. And that's not the typical pattern, given what you booked in Q1 and what you booked in Q2. Revenue was about $20 million higher than what you booked in Q2. Are there some deferrals in there, some lease-related arrangements similarly that's in the SemiTest side maybe that's inflating LitePoint revenue relative to what you're booking?"," We don't have leases in -- at LitePoint. So no, that's not going on."
Timothy M. Arcuri,Gregory R. Beecher," Okay. And then, I guess, just last thing for me. Can you break out the backlog, break out the $592 million worth of backlog?", I don't have it at my fingertips. But you could imagine SemiTest is the biggest piece by far.
Chad Dillard,Mark E. Jagiela, Can you talk about how you're tracking on your memory share gain targets? I know before you were talking about 3% to 4%. Where are you right now in the year? And where do you expect to be at the end of the year?," Sure. Memory is a little bit of a bright spot in that the share gains, we're on track for the first half of the year with what we said, 3 to 4 points of share gain. We're seeing increasing demand in memory, actually. The -- both DRAM and the Flash speeds are going up dramatically. That is causing, I think, unplanned obsolescence at some of our customers. Whereas they had hoped they could reuse some legacy equipment, the mix shift toward higher-speed DRAMs and higher-speed Flash is driving a little bit more demand. And that's playing into our products' strength and driving our share north. So last year, we finished around 25%, 26% share of the memory market. Our goal this year is if we can stretch it to 30%, plus or minus a few, it would be great."
Chad Dillard,Mark E. Jagiela," And then on the SSD side and SSD test, now that's a new market opportunity for you. Can you help us get a sense of how big that market size is what the penetration rate is and what sort of share should we expect you to achieve?"," Yes. That market is very nascent and early, so I would not, at this point, be able to put a market size on it. We've gotten some initial design wins that are first applications of our product to that space. So we've really got to go through that initial deployment and see where it sorts out before we could start to think about this as a market and a sizing and such. So some good early indicators enough to make a big difference in the bottom line of that relatively small business, but it's too early to call the market."
Farhan Ahmad,Mark E. Jagiela," This is Farhan Ahmad asking a question on behalf of John. My first question is regarding your Wireless Test. If I think about the Wireless Test, you have very high exposure to 1 customer, and that particular customer is having very strong supply chain data points. So I was just wondering, like, what's led to, like, somewhat of weaker orders this quarter and if there is some share loss at the biggest customer in the Wireless Test."," I'll take that one. In my remarks, I believe I mentioned one of the factors affecting us was there was test capacity left over from the prior year that's being absorbed. So I think that's affecting us this year. And just to step back, in the last 2 years, there have been very high buying from LitePoint and Wireless Test. I think those last 2 years were above the trend line. I think we're below our trend line now, and this is not uncommon in tests, where there's some buying, it gets optimized, it gets better used with experience and know-how and then that pushes out future capital purchases. So that's what we believe is going on this year. And at some point, that capacity is absorbed and we're back delivering new testers. In terms of market share, we feel confident that -- overall, that we will gain market share yet again this year. It might be a couple of points. Now we accept market share is -- unlike SemiTest, where there's third-party reporting, it's more difficult. But the way we count noses, we think we have a good understanding of our position."
Farhan Ahmad,Mark E. Jagiela," Got it. And in terms of your first half orders, they were $230 million higher than your revenues. So in regard -- just taking that into account, your September quarter guidance looks a bit light. And particularly, when I think about, like, the higher utilization rates at the foundries currently, I just want to understand, like, how much of conservatism is built into your guidance for third quarter. And could there be a significant upside to it?"," Yes. I'll take that one, too. If you look at our history over time, and I think I also mentioned this, our bookings in the third quarter drop anywhere from 24% to 57%. So that's a very wide range that we have to model with. It can be a steep or a small drop. So could there be upside? Yes, there could be. But we tend to try to play it conservatively so that we earn your credibility. We weren't super cautious, but we were sort of normal cautious the way we normally set our guidance. So we feel good where we set it. And another key thing for us is, if you look at Q2 and Q3 together, taken together, it's similar to what the sell-side consensus was before this call. So I think you guys got it right. It's just some business came in a little bit earlier."
