Asker,Responder,Question,Answer
Jason L. Weyeneth,Luciano Siracusano,"Thanks. The first question is on the Hedged Equity products, I guess, how do you think investors are using the product? Do think it’s more of a way to remove currency risk or to take an active currency bit in addition to the underlying exposures. I’m asking in the context of the DXJ market share which is obviously grown from about 12% to close to 40% today, I’m just trying to gauge defendable that market share position might be in the extent of a continued pullback in Japan demands?"," Hi, thank you for the question, this is Luciano. So I would say, in the case of DXJ, it reflects the investors view on the direction of the yen, if they believe the yen will lose value or depreciate from here. They typically want to hedge the yen out, particularly since Japan is a unique market, where the equity market is actually negatively correlated with the currency movement. So if Prime Minister and the Bank of Japan are effective in their policy, and people believe the yen will reconfirm here. We would expect there to be continued demand for DXJ, which hedges out that impact. With respect to Europe hedged – hedges out the euro, there it’s a different story. I think people are using it to reduce volatility of the European exposure and they may continue to use it if they think there is more aggressive monitoring policy coming from the UCB that would actually target the euro to try to stop its depreciation."
Jason L. Weyeneth,Luciano Siracusano," Thanks. And then just another one on WisdomTree Europe, (indiscernible) developing products specifically for Europe and if so can you talk about how you manage that without diluting the U.S. product development efforts?"," Sure. We’re continuing to look at equity markets around the world. We’re actually going to be launching a European dividend growth fund next week, which will attempt to give exposure to European and UK companies that are growing dividends on the continent. So that would be a third major European exposure for WisdomTree. And we think that will complement our existing product line."
Surinder Thind,Jonathan Steinberg," All right. Good morning, guys. I will just kind of start off with the question around the taxes. How much leeway did you guys actually have in determining when to recognize the DTA and stuff?"," Thanks, Surinder. So there is a lot of judgment that goes into one, you sort of released the valuation allowance. And so we’ve kind of been on the cusp of that, but I would say, one, we’ve passed now three years of profitability, but there is one main event that really pushed us over that threshold. And that was really if you look our results this quarter, even in a period of where we had no growth, we still had a very solid financial results, diversification efforts are proving to work. We saw outflows in funds where we had a lot of exposure to inflows and other products. When you look at the combination of that together from an accounting standpoint, it really push us over the edge, we believe more likely than not they are going to be – we’re going to sustain profitability and be able to use those NOLs. And so that’s why we have to release the valuation allowance this quarter."
Surinder Thind,Jonathan Steinberg," Thanks. And then, maybe touching just based on Japan and the overall strategy there, with the release or the introduction of a series of new sector ETFs there, it seems like you guys are looking at potentially a much bigger longer-term opportunity but is there also chance that some of those products may be taking market share from DXJ itself?"," Well, we want to have a large footprint in Japan, DXJ is a security that’s known well in Japan and we’ve notified the Japanese regulators are certain of our Japanese funds so this broker-dealers in Japan that have an interest not just in DXJ, but also in the sectors. We believe that has Japan develops and more money is going through it people may want to make more granular bets. This but obviously a lot of interest in DXJ, this sector is just give them another way to tilt or work with their tactical bets within the Japan market."
Surinder Thind,Jonathan Steinberg, Excellent. In terms of traction in seeing take-up of some of the DXJ or what kind of the ramp are you guys expecting in terms of the local population there with the FSA approvals and stuff ultimately once that’s all done the products are gaining traction there?,"Well, as far as to speculate. We don’t directly control that we’re just making it available get make sure that people are aware of it that’s just the function of demand generally in Japan. And one of the drivers hopefully going forward will be more equity participation by Japanese investor in there certain reforms in tax incentives in place now to encourage that. A lot of the activity in 2013 came from investors outside of Japan. So we would expect creating funds, hedge funds who are interested in Japanese equity story, once they become await that these sectors under the years may start to use them. There weren’t any other Japanese sector funds in the market and you seen how successful sector funds have been in the United States. So we think it’s a good chance to give people the choice and new tools to manage their exposure to Japan."
Mike J. Grondahl,Jonathan Steinberg, Hi good morning guys. Can you help us think about your marketing strategy and marketing dollars around new funds maybe versus in favor or high demand fund? How do you kind of allocate that marketing spend?," Hi, Mike its Jono. We are flexible, we have a growing inventory of television ads that we can market the some of the exiting funds, if we think they are in favor or sometimes we have television ads for new funds. The television ads really do create ticker awareness and then we support the awareness with lot of research on our website that really helps the sales team to sell that fund and to help create the reason and how you might put the funds into your portfolio. Sometimes they were being aggressive in trying to create the awareness with something is really working. So recently you’ve seen some India ads on television in the first quarter, India has some outflows the market started training better in the second quarter as they were approaching their election and so we seen some inflows actually in India in the second quarter. We’ve also just try to make the most of the investor interest in the European exposures hedging DFE which have been put in on television quite a bit."
Mike J. Grondahl,Jonathan Steinberg," Okay. In your distribution channel, are you seeing anything new different in terms of just where you’re emphasizing things?"," It is a new channel, what we’ve seen in the first quarter of this year has been a lot of interest as John I’ll said in Europe some of the larger inflows have gone into the European team ETFs. So we have made hedged in DFE a major priority in terms of our education program and advisors across the country. So, that’s a unified approach we’ve used across the channels and we think it’s had a lot of success. And I’ll just add to that so has just currency hedged generally as a theme. Currency hedged is now represents the largest portion of WisdomTree’s equity assets and there we feel we are mind share leader in educating advisors about had a hedged our currencies other equity."
Mike J. Grondahl,Amit Muni,"Okay. And then maybe just one for Amit here. Amit, how are you thinking about pretax margin kind of in this $30 billion to $40 billion range for AUM?","You are right, so. We have given three sorts of margin targets right. On the shorter term, we’re expecting a 40% operating margin and $35 billion of average AUM and that guidance hasn’t changed and the longer-term margin guidance that we gave was expecting a 30% operating margin and about $55 billion to $60 billion of average assets and US assets that are current revenue capture. We’re still on track that’s our goal for the US business operating and goes margins."
William R. Katz,Amit Muni," Hi, thank you very much for taking the questions. Just starting with the margin, so that the gross margin Amit you provide the first it’s little bit higher than when you were previously, how does it get affected, if you will to the effect affected, if you will to the effect non-US business wants to grow. And then since your overall margins are constant. Are you looking to the sort of re-invest the incremental gross margin relative to last quarter guidance?","There is couple of things happening on the gross margin. Let me first focus on the U.S. parts of the business. We’re switching our backlog services to State Street. And so we’re expecting to see an improvement in that gross margins and then so the guidance that we’re giving is, we’re expecting like gross margins be between 80% and 83% for rest of this year. On the non-US part of the business, we are expecting that’s the boost related leverage in interest products are very high margin, are very low cost actually operate those funds. We gave guidance and what we think the overall cost is of running that business in 2014. I am not going to get into the details of all those European products right now we get that more as we get further on in the year."
William R. Katz,Jonathan Steinberg," So, we should assume just Matt that the overall margin targeted company being unchanged that the gross margin improvement would not necessarily filter down at earnings at this point?","Well, again, we would expect some of it, but the guide remind you build that, we’re growth company we still want to make the right investments in the business, we are going to spend $6 million to $9 million on the strategic growth investments right now. We’re kind of trending towards the lower to middle end of that range, but the goal is to continue to make those right investments in the business, not about really the short-term to get to those margins as fast as possible. So making the right investments in the business will support the revenue growth."
