asker,responder,question,answer,,,
Vivek Arya,Lisa Su,"Thanks for taking my question, and congratulations on the strong growth and execution. Lisa, for my first one, you mentioned the goal to get to kind of this double-digit market share in servers by the middle of the year. I'm just wondering how the visibility is around in achieving this target? What's driving it? Is it just more instances at existing cloud customers? And as part of that, do you also have a share target for exiting this year?","Yeah, Vivek, thank you for the questions. So, look, we are very pleased with how Rome is ramping. We've been in market now four to five months, and the visibility that we have is, with the cloud guys, we have visibility to the public-facing instances, as well as what they're doing in terms of internal workloads. And what we see is just the breadth of the overall workloads that they're using Rome with is expanding.
And then, on the enterprise side, you know, with the full portfolio of our partners, HPE, Dell, Lenovo, and the ODM partners, you know, we see just a significant increase in the overall enterprise pipeline that we have for Rome. So, we're very focused on continuing to grow share in the data center market, and we feel good about our mid-year market share targets. In terms of our market share targets, Vivek, I think we'll talk a little bit more at our financial analyst day about some of the longer-term targets. But certainly, for 2020, we're very focused on growing our overall data center share.
",,,
Vivek Arya,Lisa Su,"Thanks. And for my follow-up, Lisa, how should we interpret the impact of capacity shortages at your main competitor? Have you seen any benefit from that? If not, why not? And then, kind of Part B is, Intel did say that they plan to expand capacity later this year, and they'll focus it more on the PC client side and try to reclaim market share. What effect will that have on the pricing in the market? And does your full-year outlook kind of bake any potential impact of that competition?","Yeah. So, when we look at the PC market, we finished 2019 very strong in the overall PC market, both mobile and desktop. I think that's primarily on the strength of the product portfolio and the expanding customer platforms that we have. There are some discussions about, let's call it, pockets of shortages.
But, you know, as I said before, I don't believe -- we've been on this steady increase in market share now for the last eight quarters, and we believe we've gained share in Q4 as well, so, I think what we see is just the portfolio getting a lot stronger. As we go into 2020, I think we are again enthusiastic about our products. In addition to the Zen 2-based desktop products, we've added Zen 2 now in the notebook portfolio, and we'll have that for the full year of 2020. So, I think our outlook expect growth in all businesses, including the PC business.
And we remain very focused on expanding our market presence in both consumers, as well as commercial PCs.
",,,
Toshiya Hari,Lisa Su,"Hi. Congrats on the strong results, and thanks for taking the question. Lisa, this may overlap a little bit with the next question, but I was hoping to better understand some of the key assumptions behind your full-year guidance. For both your PC business, as well as the server business, can you talk to some of the TAM assumptions that you're making in the market share assumptions for the full year? And then I've got a quick follow-up.
Thank you.
","Sure. Sure. So, let me talk first about the market, and then talk a little bit about how we're seeing the full year. So, if you look at the PC market, I think, the, you know, discussion so far has been, let's call it, 2020, flat to maybe down slightly.
There have been some concerns raised about the second half of '20 perhaps be a weaker than normal seasonality just due to some of the enterprise refresh cycles that are strong in the first half. We're viewing it as flat, flattish, maybe down very slightly. That being the case, back to the comment I made with Vivek, I think we feel very good about our product portfolio, and especially when we look at sort of our notebook share and our relative opportunity to gain market share. The strength of our Ryzen 4000 series products is significantly stronger than previous generations, and the platforms are also significantly broader, so we feel good about that.
In the data center market, again, I would say that the growth of computing continues. You know, from our standpoint, we see it as a good market environment for data center in both clouds, as well as enterprise. When we look at our full-year revenue guide of approximately 28 to 30% for the year, the highest growth, you know, from a percentage standpoint will, obviously, be server, just given the expectations in that market. But we expect all of our businesses to grow nicely in 2020, and that's just, you know, again, based on where we are in the product cycle and the visibility that we have with customer design wins, as well as just overall competitiveness.
",,,
Toshiya Hari,Devinder Kumar,"Great. And then I had a quick follow-up on gross margins. One probably for Devinder. You guys are guiding Q1 gross margins to 46%, and then 45% for the full year.
I appreciate your semi-custom business is at a low point in Q1, and a ramp in Q2, and more so in the second half, it's probably dilutive to corporate margins. But if you can kind of walk through some of the puts and takes from a gross margin perspective for the year, that would be helpful. And then related to that, if you can compare and contrast the gross margin profile of your semi-custom business going into the next cycle versus the past cycle, product cycle, that would be helpful. Thank you.
","Yeah, let me start, and then Lisa can chime in. Overall, from a margin standpoint, you got it right. We are guiding to the 46% in the Q1 quarter. And then the semi-custom business, as we've said, typically, is lower than corporate average.
So, as that product ramps in the second half, obviously, will have an impact on gross margin. The guide for the year is at 45%, so we feel good about that having ended 2019 at the 43% level. And from a puts and takes standpoint, it's certainly product mix. And then Lisa talked about the business is ramping and growing in 2020 with the 28 to 30% growth in revenue.
Data center, as we've said before, is above corporate average. The client gross margin is around corporate average, and some graphics. And then the semi-custom business has below corporate average gross margins. And that mix of revenue, as it ramps throughout the year, will obviously have an impact on a quarterly basis.
From an annual standpoint, we feel pretty good with the guide at 45%, in particular, with the seven-nanometer products ramping as we get to the year. And that, obviously, benefits the gross margin. Semi-custom business, Lisa, you want to chime in on the difference between generation to generation?
",,,
Toshiya Hari,Lisa Su,"Great. And then I had a quick follow-up on gross margins. One probably for Devinder. You guys are guiding Q1 gross margins to 46%, and then 45% for the full year.
I appreciate your semi-custom business is at a low point in Q1, and a ramp in Q2, and more so in the second half, it's probably dilutive to corporate margins. But if you can kind of walk through some of the puts and takes from a gross margin perspective for the year, that would be helpful. And then related to that, if you can compare and contrast the gross margin profile of your semi-custom business going into the next cycle versus the past cycle, product cycle, that would be helpful. Thank you.
","Yeah. No, I think as you said, Devinder, the semi-custom margins tend to be below corporate average on a gross margin basis. Although, on an operating margin basis, given the contribution from our customers for the R&D, is actually quite good. As it relates to generation to generation, the way to think about it is, in the first year of a console ramp, you would expect the margins to be on the lower side, and that's, you know, that's true no matter what, just because you're just starting the product ramp, and you should expect that the margins will get better as that ramp continues over time.",,,
Matt Ramsay,Lisa Su,"Thank you very much. Good afternoon. Lisa, I wanted to just start with a question about the, I guess, comparing and contrasting it a little bit, maybe a little weaker than we had -- some of us had modeled. And, I guess, due to the console stuff for Q1 in the guidance versus a really strong, so 28 to 30% growth for the year.
Maybe you could just sort of lay out the year a little bit at a high level? And just how you guys are sort of thinking about it coming together from the point of Q1? Thanks.
","Sure. So with that, we're pretty excited about 2020. It's a strong year for us, certainly, with, you know, the expectations of being around 28 to 30% revenue growth. We do expect all of our businesses to grow.
I think, relative to the Q1 guide, if you look at Q1 as an absolute number, it is up over 40% year on year, even with semi-custom revenues, you know, very low in Q1. And so, that should give you an idea of the strength of the rest of the business. From a sequential basis, Q4 to Q1, it's what we said on the call. There is some bit of normal seasonality, just as we are consumer-focused in our PC portfolio.
So, you expect that that would go down from Q4 to Q1. And then we do have the factor that the semi-custom profile, when we're doing a product transition, has the revenue very low in Q1. You know, it starts ramp in Q2, but it's very heavily weighted in the second half of the year. So, you should think about semi-custom for this year, again, it's a ramp year, so it's a little bit different, that over 80% of the revenue for semi-custom will be in the second half of the year, compared to the first half of the year.
So overall, we think a very strong year. A little bit of reprofiling of revenue, particularly as it relates to semi-custom. And you know, we look forward to executing it.
",,,
Matt Ramsay,Devinder Kumar ,"No, thanks for that. As a follow-up, I guess, for both of you, but maybe for Devinder, just a couple of little pieces. For me, it looks like, on the operating expense side, you're going to be up in the neighborhood of mid-20s for the full year in the annual guidance that you outlined. Maybe you could talk a little bit about the focus of that? Is it branding and marketing in the PC and server spaces as you grow, or is it in other areas in R&D? And then, secondly, I think you guys had disclosed the data center revenue mix.
So, GPU plus server in prior quarters? And if you have that number handy, that would be really helpful. Thank you.
","Yeah, let me take the second one first. You know, data center, it's as, you know, we said in the past, mid-teens of revenue. And this quarter, it is around the same, mid-teens of the total revenue. And I'll point out that it is record revenue in the quarter, so that's pretty good.
And we feel pretty good about that, having mid-teens revenue in the data center, combined server, and data center GPU on revenue of $2.1 billion. As far as opex is concerned, you know, our guide for the year is about 28% of the revenue guide that we provided. And you are right, fundamentally, the investments are, you know, R&D and go to market, and obviously, the business is growing. So obviously, there's investments needed to go ahead and grow the business from an absolute standpoint, but we feel we can manage it to about 28% of our revenue overall for the year.
",,,
Matt Ramsay,Lisa Su,"No, thanks for that. As a follow-up, I guess, for both of you, but maybe for Devinder, just a couple of little pieces. For me, it looks like, on the operating expense side, you're going to be up in the neighborhood of mid-20s for the full year in the annual guidance that you outlined. Maybe you could talk a little bit about the focus of that? Is it branding and marketing in the PC and server spaces as you grow, or is it in other areas in R&D? And then, secondly, I think you guys had disclosed the data center revenue mix.
So, GPU plus server in prior quarters? And if you have that number handy, that would be really helpful. Thank you.
","Matt, the only thing I'll add to that is for the data center revenue, particularly in Q4, it was very heavily weighted toward server CPU, just given some of the lumpiness of the data center GPU revenue.",,,
Mark Lipacis,Devinder Kumar,"Great. Thanks for taking my question. I had one for Devinder, and one for Lisa. For Devinder, the -- I think it's impressive that the cash that you generated 10 years ago, you were at $4 billion in net debt.
Now, you're net cash-positive. I didn't think back then we'd expect you to be here. But how should we think about capital structure going forward? And the -- and for the $400 million -- 440 million in cash flow from operations, I had a challenge reconciling it. Can you share the biggest two or three sources of cash? And then for Lisa, the last time AMD had a product cycle in servers, I think you were gaining -- once you hit 5% share, you started to gain share at two or three or 4% 400-basis-point clip per quarter.
How should, you know, what is the right kind of cadence or pace of share gains in servers this cycle? And maybe you could just talk about, structurally, what gates your ability to -- or the pace of your ability to gain share. Is it capacity from your suppliers, is it your own engineering support infrastructure, or is it your customers testing and importing workloads? If you could give us a framework to think about that, I think that would be helpful. Thank you.
","Yeah, let me get started, Mark. You do have a long memory, and so do I. I do remember the days when we had the challenge on the balance sheet. And one thing we feel good as we end 2019 is the strength of the balance sheet, and in particular, the net cash position.
We haven't been in many, many years, as we pointed out in the prepared remarks. You know, From a capital structure standpoint, the priority is investing in the business. The revenue is growing significantly in 2020 is what we're projecting at 28 to 30% over 2019. And also, we want to invest in the roadmap, the go to market and everything that's needed when the revenue ramps as significantly as it is going from year over year, so that's really the allocation priorities.
From a viewpoint of where the 440 million comes from, you know, higher revenue, especially when you look at the revenue in Q3 and Q4 of 2019 compared to the first half of the year. We did go ahead and buy the inventory to go ahead and support the higher revenue. And as you know, when you sell that revenue, in particular, when it ramps up, you know, as it did on better margins, it generates the cash, and that's why you have the 440 million-plus operating cash flow from an overall standpoint. Lisa, would you?
",,,
Mark Lipacis,Lisa Su,"Great. Thanks for taking my question. I had one for Devinder, and one for Lisa. For Devinder, the -- I think it's impressive that the cash that you generated 10 years ago, you were at $4 billion in net debt.
Now, you're net cash-positive. I didn't think back then we'd expect you to be here. But how should we think about capital structure going forward? And the -- and for the $400 million -- 440 million in cash flow from operations, I had a challenge reconciling it. Can you share the biggest two or three sources of cash? And then for Lisa, the last time AMD had a product cycle in servers, I think you were gaining -- once you hit 5% share, you started to gain share at two or three or 4% 400-basis-point clip per quarter.
How should, you know, what is the right kind of cadence or pace of share gains in servers this cycle? And maybe you could just talk about, structurally, what gates your ability to -- or the pace of your ability to gain share. Is it capacity from your suppliers, is it your own engineering support infrastructure, or is it your customers testing and importing workloads? If you could give us a framework to think about that, I think that would be helpful. Thank you.
","Yeah. So, Mark, as it relates to, you know, just server rate and pace. I think the most important thing for us is when we look at, you know, from time of announcement or time of shipment to, you know, how customers actually deploy and trying to shorten that cycle. So, when I look at the difference between, let's call it, Rome and Naples, we've seen that time to deploy actually significantly shortened with Rome.
And so, in terms of rate and pace of server share gain, it is primarily for cloud customers. It is having them deployed, not just, you know, sort of a set of instances, but ensuring that they get fully built out across all regions in the world, and also adding additional workloads. So, it's just, you know, time, is what I would say. And then, as it relates to enterprise customers, I think the platform coverage that we have with Rome is significantly broader than it was with Naples.
And so, I'm quite encouraged actually by the strength of the pipeline that we see, the number of customers that are engaged, and then just, you know, how they're deploying. So, I think we're going at a good pace, and we'll continue to accelerate that as we go through, you know, 2020.
",,,
