Asker,Responder,Question,Answer
Samik Chatterjee,Jayshree Ullal,"Hi. Thanks for taking the question. Jayshree, mentioned the short-term benefit you are expecting from some of the cloud companies. So maybe if you can elaborate on that a bit, how much of this is the cloud titans. What are you seeing from the specialty cloud providers?Are you expecting similar upside there? And why isn't - why isn't there more confidence in the sustainability of this kind of upside as we look a bit more longer term? Thank you.","Sure. Thanks, Samik. Well, as you know, Arista's cloud titan performance is consistent with the cloud CapEx reporting. In other words, some are experiencing strong spend, some are declining and others are cautious. So, given all the pluses and minuses, I think it's safe to say that for the year, we expect a flattish cloud titan spread. And this is actually an improvement because we've been saying flat to down.So of course, we’ll monitor this closely. As you know, we never have long-term visibility on cloud titans. It's quarter-by-quarter. So we'll inspect more closely, especially for the second half.Now in terms of the cloud specialty providers, they were actually stronger trend for us in Q1. It's pretty cyclical in nature. It depends on different tier 2 cloud providers. Each 1 has a unique architecture. We had a somewhat weak specialty cloud providers in 2019, but they’ve started off well for us in Q1 and Q2.And over time, it will be a matter of economics and what makes most business sense for them. I believe some of them will succeed in specialized use cases. But once again, we're going to keep a watch and monitor this closely in the second half."
Tim Long,Jayshree Ullal,"Jayshree, I was hoping you could talk a little bit about the enterprise vertical and maybe on two different vectors, if you can just kind of give us a little color on what you're seeing on large enterprises. And then as it relates to -- you talked about a longer process for the campus move.Could you just talk a little bit about the moving parts near-term given that, obviously, a lot of people are working from home? So it's difficult to sell on-prem equipment. So if you could just give us a little more color there. Thank you.","Yes. Sure, Tim. So to answer your broad question on enterprise sector, I think Arista's brand is very well recognized for data center. And with our 6,000-plus customers, we've got very good recognition there from a differentiated product. And we've already been very engaged with them.So, customers we’ve been engaged with, in fact, we had most recently in February, just a little before all the doors got shut down on us, we were engaged with over 100, 150 enterprise customers. And we had a global advisory and Arista innovate.So our intimacy with enterprise customers is very high, and we continue to do well with them with both existing and new projects. I think where we will be challenged in the enterprise and also in the campus is new prospects. We're not going to get enough face time with them.We're doing a lot of virtual webinars, virtual events, virtual ebCs, it's a virtual world we're certainly living in. But the level of contact for both, product capability conversation, relationship, partnership and in fact, even testing, for both new prospects and enterprise and campus will be challenging. And nobody is in the building to upgrade their campus either.So this COVID-19 will definitely delay our enterprise cycles for new prospects, but it should be okay for new projects with familiar customers."
Alex Kurtz,Jayshree Ullal,"Yeah. Thanks. And well everyone is stay healthy. I just wanted to follow-up, Jayshree, on your commentary from the beginning of the call you said, you're planning to run the business versus 2018 levels. I assume that's an OpEx comment?Or is it an OpEx comment that also maybe relates to where you think revenue could kind of tends to allow, at the end of the year?","Yeah. No, Alex, first of all, I think we have - we understand the first half better than the second half. So, please take this with a grain of unknown and uncertainty in everything. And I know CEOs are supposed to know everything, but I can honestly tell you, we don't know much about the second half.So, what we’re doing is controlling what we can control. And what Ita and I can control is the business and the expense more than the top line, for the year. And Ita, you want to add more to that?"
Alex Kurtz,Ita Brennan,"Yeah. Thanks. And well everyone is stay healthy. I just wanted to follow-up, Jayshree, on your commentary from the beginning of the call you said, you're planning to run the business versus 2018 levels. I assume that's an OpEx comment?Or is it an OpEx comment that also maybe relates to where you think revenue could kind of tends to allow, at the end of the year?","Yeah. I mean, I think, Alex, it's a focus on just OpEx and investment levels, until we understand better kind of what the rest of the year. How the rest of the year plays out, right?And so, you should expect to see us kind of cut back on some of the variable expenses, et cetera, and come back to spending that looks similar to where we were for 2018. And then, as things unfold, we can change that, right? But for now, that's the focus."
Alex Kurtz,Jayshree Ullal,"Yeah. Thanks. And well everyone is stay healthy. I just wanted to follow-up, Jayshree, on your commentary from the beginning of the call you said, you're planning to run the business versus 2018 levels. I assume that's an OpEx comment?Or is it an OpEx comment that also maybe relates to where you think revenue could kind of tends to allow, at the end of the year?","And Ita and I want to reiterate something, we will absolutely continue peddle metal invest in key R&D and customer support. We will reduce marketing travel, obviously, since we can't travel and perhaps some IT spending. And so we work on what we can control and manage the business. And if it improves, we'll certainly recalibrate and invest more."
Alex Kurtz,Ita Brennan,"I appreciate that. And Ita, just on the 40% comment, on cloud titan mix year-to-date. Obviously, it would be helpful to have the year-over-year comp, if you're willing to give that.","Yeah. I think in the investor deck, we've put some trends around what the split has been. And how it's looked and we put a range in there for kind of how it played out during the year right during the past year, right?So the investor deck is looking at a past year, trend over the prior year. And then, Jayshree's commentary is more short-term. So I think that gives you a range to work with."
Alex Kurtz,Jayshree Ullal,"I appreciate that. And Ita, just on the 40% comment, on cloud titan mix year-to-date. Obviously, it would be helpful to have the year-over-year comp, if you're willing to give that.","And it is a special slide for you guys, slide 15, I think it is good as, that's right? It’s a similar manner."
Jason Ader,Jayshree Ullal,"Yeah. Hi. Just really two quick ones, I promise are going to be very quick. Number one, is it correct that cloud outperformed in Q1 versus expectations in enterprise underperformed? And then secondly, Jayshree, can you comment on your campus time line of the $100 million? Is that pushed out now?","Okay, Jason, I think both cloud and enterprise performed as we expected, in Q1. We -- if there was a theme in Q1, which becomes a stronger theme in Q2, I would say, supply constraints in supply chain. Our verticals were pretty normal as expected.In terms of campus timelines, we are on target. We are committed to $100 million revenue in the first four quarters that ends Q2 2020. No change there. But we do expect that the acceleration, I would personally like to see beyond that in the second and third year, we now have to wait and see due to COVID."
Ittai Kidron,Ita Brennan,"Thanks. Hello, ladies. Congrats, and I must say you're very brave to offer our second quarter guidance. So I hope it works out. Let me see. A couple of questions for me. First of all, on the supply chain, can you tell us how much revenues spilled over from 1Q into 2Q because of that? So we can understand the true run rate of your business? In 2Q, and again, going back to Alex's question on the 2018 investment levels?Ita just to fine-tune this, does that mean total OpEx 2020 equals total OpEx in 2018? Or is this a run rate comment? I just want to make sure, I appropriately capture that modeling wise.","Yeah. I mean, I think as we sit here today, we would say we're managing it to an overall plus or minus 2018 total OpEx number, right? And again, obviously, as we know more, Ittai, as we go through the year, we will continue to address that further. But for now, that's how we're seeing it."
Ittai Kidron,Jayshree Ullal,And as far as the push out?,"Yeah. So to answer that question, Ittai, we did our best in Q1, but we got supply-constrained in March. I think we will be really supply-constrained in Q2. So I do think Q2 is a case of less about demand and more about supply-constrained."
Simon Leopold,Jayshree Ullal,"Thank you. Appreciate the opportunity. I wanted to sort of visit the question or comment you made regarding the COVID crisis, making it more challenging to sell new products. I guess what I'm looking for is a better understanding of how much of your business comes from new customers/new products, and I certainly appreciate you’ve got 400-gig products in the pipeline, campus in the pipeline.But I guess, what I'm struggling with is the sense that a lot of the campus was targeting comes So just trying to understand that comment and how to quantify how that fits into the overall guidance? Thank you.","Yeah. Thanks, Simon. First of all, it's important to understand that our $100 million campus target is $100 million. Its small compared to our overall business. We do believe that we can naturally go into our existing customers, who already know EOS and CloudVision.But as I said last year, we were pleasantly surprised by the new prospects and interest in campus. So in a non-COVID environment, I would have expected 60% existing customers and 40% new prospects. In the current environment, I think we're going to go back to a comfort level where our familiar customers are more likely to spend with us.And our new prospects will take time. So it will probably be 70%, maybe even higher on familiar and existing customers in 2020, which was not the trend we were on Q4 last year."
Simon Leopold,Jayshree Ullal,And the implications for 400-gig has that split out as well?,No. Okay. So I was answering your campus question. What was your question on 400-gig again?
