Asker,Responder,Question,Answer
Seth Basham,Robyn D’Elia,"Thanks a lot and good afternoon. My question is around the outlook for holidays. You guys are shifting a bunch of marketing dollars and promotional dollars to the holiday period. Can you first quantify how much you are shifting and how much you are adding? And secondly, what type of improvement you expect in both sales as well as margins over this period?","Sure. Thanks Seth. So as you’ve mentioned, we are shifting dollars into the back half for promotional and marketing support. Those dollars are being generated from ongoing transformation initiatives, as well as the benefits that Mary mentioned in our cost structure savings initiatives, and those dollars that we are planning to invest will be spent on promotional events during Thanksgiving week, through Cyber Monday, as well as driving enrollment in BEYOND+ and investing in new communication channels such as digital video and radio.In terms of quantifying it, we’ve built it all into the model and that the reinvestment of those dollars is allowing us to maintain our top line at around $11.4 billion, as well as maintain our bottom line within the previously guided range."
Seth Basham,Mary Winston,That’s helpful. And then I have a follow-up which relates to your inventory. You guys are quickly reducing your inventory to get to your goal of $1 billion reduction at retail. Should we expect any more markdowns or I should say write-downs to reach that goal over the next 18 months?,"This is Mary. No, I think we believe that where we are with the write-down we’re taking this quarter, it covers the full $1 billion of inventory. So now our work will just be to accelerate the process of actually getting it out of our stores."
Brad Thomas,Mary Winston,"Hi, good afternoon. Thanks for taking my question. First, I wanted to ask about some of the strategic review as you analyze some of the different business units and some of the assets that you may be able to sell, like some of the real estate. I guess, is there any ability to quantify for us the kinds of bids or interest level that may be out there and any more ability to talk about timing with which you might be able to address some of this?","Hi, this is Mary. Thanks for the question, Brad. I would say, at this point no, we’re not in a position to put specific numbers to you know the businesses and all that. I will say, we are very actively engaged in the process, and we’ve had a number of inbound interests on some of our portfolio companies, and so we’re taking a look at those, we are evaluating that, we’re going through the normal process that you would go through to do that, and so when we have something to report that actually turns into you know a potential transaction, we’ll certainly come forward with that. But at this point, not knowing you know how many things may go forward and all of that, it’s hard for us to put any number on it.And in terms of the other assets, the real estate, I think we talked about that from a square footage standpoint. You know it’s a combination of retail and non-retail real estate. So we’re looking at some inbounds there as well, and so we’ll have a sense of that, I would say in the next quarter or two as we move through that process."
Brad Thomas,Mary Winston,"That’s helpful, Mary. And if I could ask a follow-up around fundamentals, you’re clearly making some progress on gross margin, on expenses. But I guess as I look at same-store sales, a difficult first half of the year, can you talk a little about how you’re thinking about same-store sales progressing through the balance of the year and what you’ve been seeing so far in 3Q?","I’ll go first and then I’ll let Robyn go out. Just make a couple of quick comments. I think you’re right in your comments about what – the trends you’re currently seeing. It has been a rough first half of the year, and as we’ve said early on, we expect sales to start to stabilize and to see better trends in the back half of the year.For the full year we do still expect to be comping down though, and we’ve talked pretty extensively in the prepared remarks about all the initiatives that we have under way to help drive sales. I’ll let Robyn jump in and cover some of that."
Brad Thomas,Robyn D’Elia,"That’s helpful, Mary. And if I could ask a follow-up around fundamentals, you’re clearly making some progress on gross margin, on expenses. But I guess as I look at same-store sales, a difficult first half of the year, can you talk a little about how you’re thinking about same-store sales progressing through the balance of the year and what you’ve been seeing so far in 3Q?","So just to cover your comp – your question on how we’re performing third quarter to-date, we are still declining from a comp perspective, but at a lower rate than what we’ve experienced through the second quarter."
Bobby Griffin,Robyn D’Elia," Yes, good afternoon. Thank you for taking my questions. I was first hoping to dive a little bit into the gross margin aspect. Can you maybe give us a little color by concept or maybe month-by-month the progress you’re making in improving the margin structure? And then basically the same question on the SG&A side too. If we can get some color around, you know month-over-month how it’s improved and where the bigger opportunities last are for the remainder of the year?","Sure. Just to address your point on breaking out the components by concept, that is not you know historically been our reporting cadence to break it out at that granular level, but from a gross margin perspective, you know we are pleased that this quarter, we have favorable trends, 20 basis points improvement, that is a significant shift from what we’ve been experiencing from a trending perspective, and it’s driven by benefits in coupons and net direct to customer shipping with some offset in merchandise margins.But that merchandise margin, which I’m talking about on a consolidated basis, the trend in that has been improving due to some of the ongoing initiatives that we have in place. So for some select products, we’ve actually moved to direct importing and gained efficiencies from our own supply chain, which has benefited us. We’ve also been actively engaging in vendor negotiations around our merchandise, and then we’ve also continued with some strategic pricing initiatives which has helped benefit our margin, and we have more to come."
Bobby Griffin,Robyn D’Elia,"I guess I was maybe looking on the 20 basis points for the quarter. Did it exit the quarter at a stronger rate than that, where we can see that it’s improving at a faster rate and we’re on pace for greater than 20 exiting the quarter? I guess just on a consolidated basis is what I was asking.","Yes, I guess the way I’m doing is quarter-to-quarter, I mean last quarter we were down 50 basis points. It was unfavorable and now we’ve trended positively this quarter by 20. So we are moving in a positive momentum."
Bobby Griffin,Robyn D’Elia,"Okay. And then on the store closures, can you just tell us about the timing of the 60, all weighted in the fourth quarter, how should we spread them out in our model?","They are weighted toward the fourth quarter, which is the typical timing of when we negotiate our leases."
Sarah Clark,Mary Winston,"Hi, this is Sarah Clark on for Carla Casella. I was just wondering if you would consider buying back bonds in the market, and if you have any update on target leverage figure?","We don’t have an update at this point on our target leverage figure. We are actively discussing with the Board, our overall capital allocation approach, and so we will be you know sorting that out relatively soon. As you know, we have a number of moving pieces.I think right now our capital allocation priorities continue to be what they have been given the amount of transformation effort that we have under way, certainly investing back in the business to drive those initiatives and get sales moving in the right direction and improve the business performance is the top priority.But we’re also looking at the other ways to return funds to shareholders. So continuing our dividend program, the share buybacks that Robyn spoke about and buying back our debt is on the list as well. So that will be a consideration as well."
Simeon Gutman,Mary Winston,"Hi, good afternoon. My first question is back on some of the inventory and the destocking. I know you said an 18 month process. Can you tell us maybe what innings has it been from, I guess from a store perspective and the impact that it’s having at the customer shops. Can you give us some sense? Are you seeing a basket size change? Are you seeing conversion then go up online if they are not finding something in the store? And then I have one follow-up on the gross margin.","From a timing perspective, in the short term, we are planning to have about $350 million of the inventory out of the stores before holiday. We are in the early innings of starting that process and of removing the inventory from the physical store locations. As we are working through that, we’re mindful not to cannibalize sales during this holiday period."
