Asker,Responder,Question,Answer
Farha Aslam,David Wenner,"A question about your plans to pull back promotional activity. I mean, you did have positive volume growth in the quarter and do you think that was a result as the promotional activity would end? So how confident are you of the volume, once you pull back on the price promotion?","Well, we are certainly going to pull back price promotions in the brands where we did not see a response. The sales decrease that we mentioned on the Polaner brand for instance, was low priced. Volume was flat, even though we promoted the brand heavily versus the normal promotions we would do; and we are really talking, in a case like that, pulling back the enhancements on promotions that already exist, not stopping promotions altogether. So it's really a mixed bag, we had good results on some pieces of Ortega business for instance, by doing these heavier promotions. Arguably, paying for themselves, and we would examine whether we would continue those specific promotions or not; but in the large majority of cases, the enhanced promotional activity was not a good economical decision. So we are going to stop doing those."
Farha Aslam,David Wenner,"So essentially, you're just going to become more efficient with your promotional activity?","We are always challenging ourselves in terms of efficiency, but we tried to be aggressive in some categories where we saw that -- we perceived the need to be more aggressive, and it didn't work, so we are undoing any plans to continue that in the second half."
Farha Aslam,David Wenner,"Sure. And two quick follow-up questions, the first one is around your warehousing and distribution. This is the second quarter we heard that. If you have to kind of put a benchmark of when you think it will be complete kind of what percentage of the way is the business fixed -- implemented, in your mind?","It’s the second quarter you've heard that, because it has been an ongoing issue since we did the flurry of the snack acquisitions in 2013. So it certainly had an impact in the first quarter and the second quarter. Part of the solution on the warehousing side is to get to larger facilities that can accommodate the added volume. We have already accomplished that with our Houston warehouse and we are sorting through the last of that move, and Tennessee will happen this fall and we will have done the two warehouses that really need that extra space. So I expect to start seeing cost improvement in Houston very shortly as they settle down, and then Tennessee will come towards the end of the year. On the distribution side, it's an ongoing process. As I said, we are really trying to move a decent amount of the snack volume to direct shipments out of co-packers, that will help us tremendously in distribution and warehousing and we needed to just get more efficient in terms of negotiating with our carriers as well. I mean, part of our added costs is inescapable and that its rate increases the carriers have put in place. As little we can do about that in a lot of cases. But there is probably 60% to 75% of the increases we are seeing that we can manage down and are doing that now. I think you will see gradual improvement as the rest of the year goes on."
Farha Aslam,David Wenner,"All right. That's helpful. And my final question is around M&A. You highlighted that you don't have any deals -- that M&A is right now quiet in terms of the environment? And then the second thing is that, you highlighted that -- if you go into a deal by the end of the year? So kind of -- B&G's appetite to do a transaction right now, given the potential management changes with your retirement and where your organization is right now, if you could just share that, that would be helpful?","Well if the right deal comes along, we are going to be very interested in doing it. Having said that, we would be very selective. We try and be very selective all the time, but given our present circumstances, that has nothing to do with my retirement. We would be very selective. I mean, we -- you could argue that are not in very different circumstances than we were in when we did the Specialty Brands acquisition. We were eager to do that acquisition, because it was a very-very good fit with our existing business and something that we saw, not only immediately accretive aspects to it, but also good potential down the road. Another acquisition like that comes along, and I think we are going to have appetite to look at that hard, and trust me, I am not the critical factor in executing those acquisitions."
Karru Martinson,David Wenner,Good afternoon. To take this kind of a step back (31,"You could make a lot of money having an answer to that question. It's an unanswered question, and we have said in the past that part of it I think is, there is an ongoing shift in eating habits and where people buy food and the kind of food they buy. And its not a tidal wave, it’s a steady creep as we change generations and people's habits change in terms of what they eat and how much food they cook at home and all of those types of factors. I think you have to come up with concepts that make people want to use those kind of products, and that's why we like our Fiesta Flats for instance. It’s a great convenient way to make tacos, and I would argue, teenager friendly, and that you can put heck of a lot more food on that flat than you can in a regular taco shell. The Taco Kits for Two is designed to address a smaller taco meal for just a few people, rather than the family size. There is nothing like that out there, and one of the things we hear from consumers is, its great -- your taco products are great and everything, but we always have leftover, and now I got to package them somehow and all of that. That particular kit is aimed at that express consumer need. So I think you have to try hard to understand what consumers are trying to do with their lives and their eating habits and the amount of time they have and all those factors like that and design products to address those issues for them."
Karru Martinson,David Wenner,"I think that's certainly [ph] broadened out into snacks with your acquisition. But when you look at the M&A environment going forward, are there plans or thoughts here of chasing those eating habits of moving outside of the center of the store?","Well snacks has certainly taken us outside the center of the store to some degree, and frankly snacks was designed to help follow consumers in terms of everything you read that says people are eating more by snacking than they are by sitting down to a full meal, and people are buying food in other outlets besides supermarkets and particularly places like warehouse, clubs, which are very much about selling snack products. So our snack acquisitions were intended to help us follow trends in -- with consumers, and certainly hopefully we can accomplish that."
Karru Martinson,Robert Cantwell,"Okay. And I am sorry if you've said this and I missed it, but in terms of the total CapEx outlook for 2014, in terms of the dollars and then kind of will there be additional kind of catch-up investment needed in 2015 to kind of address the problems that you have in terms of M&A -- integrating the M&A acquisition there?","The capital we are spending is less about integrating the M&A. We are going to spend about $20 million in 2014. The majority of that is being spent in one facility, to increase capacity, reduce costs and that's going to be very helpful. Going forward as we look out to 2015 and thereafter, our CapEx would probably come down a couple of million dollars to $17 million to $18 million a year. So we don't need to expand the capital spending, we will actually reduce it going forward."
Karru Martinson,David Wenner,"Okay. And I am sorry if you've said this and I missed it, but in terms of the total CapEx outlook for 2014, in terms of the dollars and then kind of will there be additional kind of catch-up investment needed in 2015 to kind of address the problems that you have in terms of M&A -- integrating the M&A acquisition there?","I would just add to Bob's comment that, our mindset is somewhat different and that we certainly are a bigger -- and more business with more resources, and to that extent, we are looking at capital projects that gives us very good cost savings, harder and more aggressively than we have in the past. So to the extent we can identify those kind of things, we certainly will. The latest addition to this year's CapEx was part of -- as a result of the acquisition of Specialty Brands for instance, and gives us some opportunity to bring product in house and save a considerable amount of money. So we are open minded about it and we are challenging ourselves to justify with very quick payback, additional capital projects."
David Palmer,David Wenner,"Good afternoon guys. A few questions, and I will just round them off. The first one is, you're not the first -- there has been a few lately that have been talking about the surprising lack of promotion response, and I know you ruled out Ortega and perhaps set that aside; but concerning with the threat that connects that lack of responses or some types of promotions I am assuming not working, its how you determine to [indiscernible] for that, it’s a relatively new phenomena, any sort of color around that would be helpful, because it seems to be something that's not just B&G related? And then secondly, any numbers you could put to your inefficiencies that you've had related to your rapid growth in acquisitions lately, such that we could think about, how much of this year's pain might be reversed in next year? Thank you.","Well as far as the first question goes, we are trying to figure out -- I think an awful lot of it, as far as promotional efficiency goes, it really is performance at the retailer level in terms of getting those displays -- additional price promotion in and of itself is not as powerful as the price promotion with display activity, and to the extent we don't succeed in doing that at retail, I think you're just not going to get the performance and the multiplier effect out of the promotional money that you want. So as everybody is trying to promote, it gets harder and harder to win those displays, because there is only a finite amount of room for that display activity. That's something I am always looking for, when we do promotions is can we get a display, and if we can't get a display and its just a promotion off of the shelf price, if its successful, all you're going to have is an empty shelf. You won't have enough product to support the promotion. So it’s a self-limiting thing in that sense. So I think that's a factor, and I think there is a great deal of competition for that display activity as people try and promote their way to higher volume. Bob, you want to speak to the second half?"
David Palmer,Robert Cantwell,"Good afternoon guys. A few questions, and I will just round them off. The first one is, you're not the first -- there has been a few lately that have been talking about the surprising lack of promotion response, and I know you ruled out Ortega and perhaps set that aside; but concerning with the threat that connects that lack of responses or some types of promotions I am assuming not working, its how you determine to [indiscernible] for that, it’s a relatively new phenomena, any sort of color around that would be helpful, because it seems to be something that's not just B&G related? And then secondly, any numbers you could put to your inefficiencies that you've had related to your rapid growth in acquisitions lately, such that we could think about, how much of this year's pain might be reversed in next year? Thank you.","Sure. We look at our inefficiencies on these acquisitions. I mean, we are really talking about distribution, and distribution means both delivery and warehousing, and we are seeing most of that inefficiency here in the first half. We are going to see some of it in the second half, but not to the level we saw in the first half. So as we look at that number that we are going against and trying to reduce going forward, it has probably incrementally cost us a little over $1 million in our warehousing, and about $2 million in our delivery costs. That's what we are trying -- I think we believe the move to warehousing will get most of that back in 2015. The distribution side is a little more challenging, because we are going up against carriers, who are pushing us harder and harder to increase rates. So that's -- one of the piece that could offset that, as we get more efficient and eat into that $2 million of over spending that we will do on an annual basis this year, we got to fight back on the rates that will eat away some of those savings we will see next year. But the warehousing should all happen. We should start really seeing the results in Houston here in the third quarter, and then in the fourth quarter, [indiscernible] much of those results, because that move will happen in the fourth quarter, but that should all be set for our Tennessee warehouse to be ready to go late fourth quarter, plus we will see those results as we head into the new 2015."
Kevin McClure,Robert Cantwell,"Good afternoon. This is Kevin McClure standing in for Brian. Thanks for taking our questions. Two quick ones; one just drilling down on the guidance reduction for the remainder of the year, thanks for all the color around the distribution challenges. I am just hoping you can maybe buck it for us, what percentage of that reduction, about $5 million reduction in second half guidance would you say is distribution related versus some of the other factors you called out? Thanks.","Well I think as we look at where our guidance was and what I just said before is, distribution related, which is warehouse and delivery is about $3 million of that $5 million change. And as we looked at reducing guidance, we really just looked at our shortfall here in the first half of the year, especially the second quarter, and just so, we couldn't make that up in the second half of the year. Yeah, we will be very close to the numbers that were out there in the second half, it's just that we are not going to make up the shortfall we have seen through the first half of the year. The majority of this shortfall is our distribution and the other piece of the shortfall is our shortfall on sales of the Rickland Orchards brand. We did a little over $15 million on that brand in the first half of the year. We expected that to be substantially higher than that, and that has affected our EBITDA. Those are the two biggest pieces of our shortfall on an annual basis."
