Asker,Responder,Question,Answer
Brian Kinstlinger,Mike DePasquale,"Can you talk about what's driving the expectation in the fourth quarter for $3 million of revenue? I know you mentioned it seasonally strong, but maybe in order, is it biometric locks that are starting to take off, is it the relationships for the SideSwipe, and the other products. Maybe just go through that fourth quarter expectation.","It's across the board and it also was consistent with some renewal business on the enterprise side that we have upcoming So it's hardware, it's certainly software, but we have a greater expectation for performance in the fourth quarter from the software segment within our enterprise business, and it's also our new products. So it's a combination of all of those items."
Brian Kinstlinger,Mike DePasquale,"In terms of the biometric locks, is there a visibility on partners that are buying them from you? Is that now selling - are you now selling that product completely, just take me through the [indiscernible].","So both. We are, as we declared months ago, we are pursuing retail and e-tail relationships through our distribution channels, similar in nature to what we have done with our finger scanners. So you will see our locks available online through e-tail channels as well as brick and mortar stores in the spring. We missed the cycle to get in brick and mortar for the end of the year, so we’ll be in brick and mortar as we approach the first quarter. We also, as I described in my comments, set up our own e-commerce site. You can buy the locks directly from our e-shop by site or you can go to Amazon and purchase them. We did not want to miss the holiday season as well and be able to provide these products directly to consumers. Plus, this gives us a really good way to gauge the buying patterns. We've got a full product line, so which specific products, price ranges, all of our products are available in different colors and different form factors. So this is a way for us to gauge what consumers really want to purchase and so that's why we went ahead and set up our own venue to begin moving and selling locks just about two weeks ago. I think we went live just about two weeks ago, our e-shop by site."
Brian Kinstlinger,Mike DePasquale,"And in terms of retail and e-tailers, are these some of the larger guys? Obviously, the Home Depots and Targets of the world, Telelock, should we expect these types of relationships with a smaller bricks and mortars and hardware stores, how do I think about -- and will you announce some of those relationships?","We will announce those relationships when they have product in store and they will be some of the larger ones that we all know about it are very notorious in moving these kinds of products, both not only locks but that also with electronic products, right, because this is not just a lock. You can buy a Master Lock four pack for 19.99. This is really a specialty product, blue tooth enabled, fingerprint enabled. So it's more of an electronic type product. In fact, there was a video that was posted up to our social media channels. It was a news segment that was shot in Pittsburgh yesterday that kind of reviews the product and why this particular interviewer believed that it was a wonderful gift product for the holidays. It's a special product. It's priced really, really well and it's available in different form factors and colors. So it's cool and we think that not only e-tail channels, but brick and mortar channels are going to pick this up and feel really good about it and we think we're going to move a lot of product. But again timing is everything. We won't be able to get into brick and mortar until the first quarter or maybe towards even the first -- end of the first quarter as most very large big box type retailers have cycles and we're in that cycle right now."
Brian Kinstlinger,Mike DePasquale,"So while you are running a direct sales model until we see the big box retailers taking and even when the big box retailers take it, I think I've asked this question in the past, what do you do to create brand awareness. I know social media is one way with your current capabilities, but what are you thinking about changing in or beginning to improve brand awareness as this product is obviously very new.","Yeah. We haven’t even started that yet. You're going to see over the next couple of weeks, you'll see a whole campaign in the social and public venues that promote these products. We have an affiliate marketing program that we're kicking off, which will extend the reach and breadth and depth of our market or addressable market. So all of these things will be evolving over the next couple of weeks and certainly be put in place for the holidays. You'll see product reviews, you'll see media pick up, we were at the CES unveiled event in New York last Thursday. We met with well over 250 media and media representatives, so we're just going to start now to see, we saw yesterday the first television telecast of a review of our products. I think we’ll be going in Chicago this week, if not early next week. So we've got a whole kind of plan of marketing type events that will evolve over the next couple of weeks that will create brand awareness and we'll see how we do."
Brian Kinstlinger,Mike DePasquale,"And then in terms of the bicycle lock, can you talk about the relationships you're building there and kind of the progress you're making with the bicycle lock.","Yeah. That product is going to be in the market in the next few weeks, so that was a really big hit at the event last Thursday. We'll be shipping that product in volume before the end of the year and the marketing for both the TSA and the bike lock is very, very vertical. So it's an easier market to address and we think we're going to be very successful there. It's also global. As you know, bicycles are a basic mode of transportation in many countries around the globe and so attaching ourselves to the bicycle companies and those that promote that level of transportation will also be an important thing for us. So we'll be promoting those products around the world and you'll begin to see them in the market, likely the early part of December over the next couple of weeks."
Brian Kinstlinger,Mike DePasquale,And so that is you selling to one of your partners that sell bicycles or is that the shift – do you expect significant shipments for that spread out to multiple vendors.,"All the above, everything you mentioned. We've been associated with a number of bicycle companies. In fact, we designed the lock in particular for a large bicycle company in Japan. And that was, in essence, the brainchild of this product and also with CES in January, we’ll have some, I’ll call it, follow-on or new or additional type products in different form factors in configurations that will be available."
Brian Kinstlinger,Mike DePasquale,"Have you come up with a price for what that will be shipped for, what -- and what kind of profits you make on that?","Well, we can talk about MSRP. We have three versions of the bicycle lock. There's a Bluetooth variation and a fingerprint version and then a combination of both Bluetooth and fingerprint. So the Bluetooth and fingerprint only versions will, MSRP will retail out at 59.99, the combination lock which you can open with your phone or with your finger will retail out at 69.99."
Brian Kinstlinger,Mike DePasquale,"And then finally the software opportunities you're talking about in the fourth quarter, are those newer type recurring software deals or are they more one-time license deals in nature?","Both. We are really pushing, Barbara mentioned in her comments we're really pushing to a SaaS model. We want to exclusively sell in that venue but there are certain customers in fact very large ones who sometimes prefer to purchase on a perpetual bait and so we don't limit ourselves and walk away from business but we're really moving in that direction."
Unidentified Analyst,Mike DePasquale,"The cost of licensees however and other was nearly 50% higher than those same sales, I'm wondering what the gross margin is that you expect in the fourth quarter?","I think the only way I can answer that Dan is to say it depends on the mix. So if we have a very strong quarter in relationship to software sales, obviously, the gross margin can be quite a bit higher. If we have a mix of hardware and software and it balances in the 50% range, obviously, it'll be a little bit lower. So it really does depend on the mix. There's no question about it."
Unidentified Analyst,Mike DePasquale,"Well, let me ask then, we're halfway through the fourth quarter and you're now guiding for a minimum of about, I guess, if I've got my numbers right, about 2.75 million for the fourth quarter. Can you give us any kind of probability that you can assign at this time for meeting that target.","We wouldn’t have reaffirmed our guidance if we didn't believe we can make it, so I think we have to leave it at that and we’ll see how we end the year."
Unidentified Analyst,Mike DePasquale,"In the last call, you mentioned that there was an ATT deal, I think it was ATT that would show in the second half. Can you say what revenues you collected on this deal in the third quarter?",I don't believe we mentioned anything about AT&T. So I don't -- yeah I'm not sure what you're making reference to.
Unidentified Analyst,Mike DePasquale,"Well, there was a large deal that you said didn't show up in the second quarter, which show up in the second half?","I don't know how you're making reference to AT&T. We did have a business that was booked in the second quarter that we delivered this quarter and we actually delivered in the third quarter and we will also deliver in the fourth quarter, but I do not believe it's related to or was related to anything we mentioned in regards to AT&T."
