Asker,Responder,Question,Answer
Seamus Fernandez,Giovanni Caforio,"Thanks very much for the question. So one of the products that you argued is being missed in the Celgene acquisition is CC-486. I was hoping, the team could talk a little bit about the commercial prospects for 486 and kind of the durability of this asset as you said, you think about it. And then incremental to that just wondering if you could update us on any data that would be coming outside of ASCO. I believe the EHA abstracts are hitting, frankly on the same day as the late breakers will come out either on 28th and the 29th. So, just hoping to get an update on the rest of the pipeline coming at EHA? Thanks.","Thank you, Seamus. Thank you very much. This is Giovanni. So, we're very pleased with the priority review designation for CC-486. I'll ask Nadim to give you a perspective on the commercial opportunity there. And then Samit can follow up on your questions regarding data and ASCO and beyond. Thanks."
Seamus Fernandez,Nadim Ahmed,"Thanks very much for the question. So one of the products that you argued is being missed in the Celgene acquisition is CC-486. I was hoping, the team could talk a little bit about the commercial prospects for 486 and kind of the durability of this asset as you said, you think about it. And then incremental to that just wondering if you could update us on any data that would be coming outside of ASCO. I believe the EHA abstracts are hitting, frankly on the same day as the late breakers will come out either on 28th and the 29th. So, just hoping to get an update on the rest of the pipeline coming at EHA? Thanks.","Great. Thanks for the question, Seamus. We remain very excited about CC-486. I think it's important to provide some context. So with AML it's a very poor prognosis disease even in the newly diagnosed setting where we look at five year survival rates of around 15% to 25%, depending on the age of patients. And even saying that most patients do have a complete response, but 80% of those patients will relapse within 18-months. So, we're very excited about the fact that CC-486 has delivered a 10 months survival benefit in that setting. So, I think that's really important. And as we think about the opportunity, it's about 33,000 patients overall. And then if you think about the relapse rates, you can start to think about the epi-related to the disease. But the fact that we've added 10 months survival benefit, we've doubled the relapse free survival benefit. I think we're very excited about the commercial potential, not only in terms of impacting those patients’ outcomes, but also the opportunity now to establish a maintenance treatment paradigm in AML, which other drugs have tried and we haven't seen survival benefit before in the maintenance setting. So, I think from our perspective now having clarity on PDUFA date, the launch team preparations are going very well indeed. And we remain very excited about the opportunity to CC-486. And in terms of durability, we feel very good about the position we have our intellectual property around CC-486. So, we're very excited about the opportunity for patients and for the business of CC-486. Maybe I'll turn it over to Samit now."
Seamus Fernandez,Samit Hirawat,"Thanks very much for the question. So one of the products that you argued is being missed in the Celgene acquisition is CC-486. I was hoping, the team could talk a little bit about the commercial prospects for 486 and kind of the durability of this asset as you said, you think about it. And then incremental to that just wondering if you could update us on any data that would be coming outside of ASCO. I believe the EHA abstracts are hitting, frankly on the same day as the late breakers will come out either on 28th and the 29th. So, just hoping to get an update on the rest of the pipeline coming at EHA? Thanks.","Thank you, Nadim, and thanks Seamus for the question. Let me first say, what we are looking at, and then we look at ASCO as you've seen the titles that have come out. We are certainly looking forward to the very exciting data from 9LA in non-small cell lung cancer looking at a view of placebo and limited chemotherapy, along with an update with a two year update for CheckMate-227. In addition to that from a hematology perspective, more specifically, we're looking forward to the first presentation of data from the CARMA trials at ide-cel in multiple myeloma. In addition to the liso-cel data update that we look at and very importantly, continuing with the multiple myeloma team we're looking at presentation of the data for CC-480 with CELMoD, which is going to be very, very important and exciting. You asked about EHA. EHA will be more of encore presentations following up from ASCO, in addition to that, we're certainly looking at the data sets in terms of the outpatient use of liso-cel as well at EHA. So these are going to be important sets at ASCO, which we will obviously continue to talk about as we go forward and then follow up. If there is anything more, I have more to say about EHA thereafter. Thank you."
Terence Flynn,Giovanni Caforio,"Great. Thanks for taking the questions. Maybe this is for Chris, you obviously have a number of upcoming launches and just wondering how you're adapting the commercial strategy here with the possibility of the current environment persists longer than maybe we'd expect. And are you confident that you can achieve your target sales goals for a lot of these new product launches? And then follow up questions just on liso-cel BLA submission. I was wondering if you can give any more specifics about the FDA request. Thank you.","Thank you, Terrance. Let me just start. I will ask Chris to comment on your question, and Nadim and also then Samit can follow up on liso-cel. We're taking a way clear approach with launches. And obviously, the number one priority is the health and safety of our employees of the healthcare professionals. So we don’t want to disrupt healthcare systems, right now. And so we have taken the position to really maximize early on our remote capabilities in terms of engaging with our customers in order to respect to the challenges of the pandemic. Having said that, while we have global principles, those principles apply differently to different parts of the world. And they also apply to different brands, because the launch of a new indication for an existing well-established brands is clearly a different strategy versus a totally new medicine. So Chris and Nadim can give you a couple of examples of how these principles we are applying them to our launches and obviously the continued support of our portfolio."
Terence Flynn,Chris Boerner,"Great. Thanks for taking the questions. Maybe this is for Chris, you obviously have a number of upcoming launches and just wondering how you're adapting the commercial strategy here with the possibility of the current environment persists longer than maybe we'd expect. And are you confident that you can achieve your target sales goals for a lot of these new product launches? And then follow up questions just on liso-cel BLA submission. I was wondering if you can give any more specifics about the FDA request. Thank you.","Yes, so maybe I’ll start. Terence, thanks for the question. So as Giovanni mentioned, we made the decision a number of weeks ago to pull in-person engagement with customers. That said, we have continued both on the medical and commercial side to engage with customers remotely. The good news is that BMS has made significant investments in remote engagement capabilities over the last few years. So the teams have a lot of experience, not just for the last couple of months, but for many years in leveraging this technology to engage with customers. And as Giovanni mentioned, we've very much taken the point of view that every launch is going to be viewed as independently. And we'll look at how we're going to engage with customers and how we're going to think about those launches, given the specifics. So for example, you'll recall that when Zeposia was approved in late March, we decided to postpone that launch. We did so because at the time the healthcare system was really just bracing for the impact of COVID. And within the MS community specifically, we were starting to see a pretty big impact on their ability to operate through March. For example, we saw about a 25% decrease in new to brand scripts in MS. And we frankly didn't feel that the conditions were appropriate to introduce a new medicine, without having our commercial and medical teams be able to effectively engage with customers. That said, in recent weeks we've begun to see the MS market begin to adapt to the current environment. Importantly, physicians are beginning to actively initiate new therapies. They began switching patients on therapy and as a result we plan to launch Zeposia, on June 1st. In terms of preparations, the teams are very well prepared. We've hired a very experienced medical and commercial team that's been fully in place frankly before launch. And we've gotten very good feedback on the Zeposia profile. So we're very excited about making that opportunity available. Obviously initially that launch will heavily index and this will be true for first line lung cancer as well it will heavily index on remote engagements. Again, we have a lot of experience in leveraging that technology. And then as conditions warrant, we'll be able to dial-up in personal promotion. And ultimately as we always do, we'll use a mix of both in-person and remote engagement to support those launches. And we have a lot of confidence in the teams across the commercial organization in our ability to execute these launches. Nadim, anything to add."
Terence Flynn,Nadim Ahmed,"Great. Thanks for taking the questions. Maybe this is for Chris, you obviously have a number of upcoming launches and just wondering how you're adapting the commercial strategy here with the possibility of the current environment persists longer than maybe we'd expect. And are you confident that you can achieve your target sales goals for a lot of these new product launches? And then follow up questions just on liso-cel BLA submission. I was wondering if you can give any more specifics about the FDA request. Thank you.","Sure. Thanks Chris. I mean I'll just say a couple of things. One, we're very excited about the opportunity to launch four first-in-class or best-in-class medicines in the U.S. just this year. And so the launch preparations are going very, very well with the team. Of course we'll continue to use our deep relationships with hematology experts and hematologists and also our commercial infrastructure. So between Reblozyl, liso-cel, ide-cel CC-486 that's the potential for four launches in the U.S, this year. And just to give you some flavor what Chris was saying, we were able to very quickly with Reblozyl pivot for the MDS launch from an in-live situation, which we filled at the beginning of the year to a virtual launch and we continue to have good success stories about the ability to access our physicians and customers in general through virtual engagement. So, we're very excited about the launches ahead of us. And as Chris said, we've really pivoted to that digital environment. I'm finding we're gaining good access. So very excited about those launches. And then I'll hand over to Samit, for the other part of your question."
Terence Flynn,Samit Hirawat,"Great. Thanks for taking the questions. Maybe this is for Chris, you obviously have a number of upcoming launches and just wondering how you're adapting the commercial strategy here with the possibility of the current environment persists longer than maybe we'd expect. And are you confident that you can achieve your target sales goals for a lot of these new product launches? And then follow up questions just on liso-cel BLA submission. I was wondering if you can give any more specifics about the FDA request. Thank you.","Thank you, Nadim. And thanks Terence for the question. As it relates to liso-cel, as you know, that we had submitted the application with comprehensive data sets at the end of last year. And the FDA accepted the application for liso-cel and granted a priority review in February of this year. Now, it is typical for the FDA to request additional information as they continue their review process and ask to the company supplied information in response to several requests that the FDA has made. FDA has decided that the information they have received constitute a major amendment. And that's why the PDUFA date has been extended by three months to the 16th of November now. We're obviously committed to ensuring this medicine is available to patients as soon as possible and we continue to meet our severe milestones. Obviously, we're not going to comment on the specifics of our regulatory discussions. But let me just remind that we remain very confident about the data for licensed health for these patients with large B-cell lymphoma, as it is an unmet medical need and we're truly looking forward to the approval of this therapy towards the end of the year."
Geoff Meacham,Giovanni Caforio,"Thanks for the question. I just had a couple, as a follow up for David if the environment normalizes this year, maybe still be a lower run rate for some of your new launches. Since if this affects how you think about 2021 in terms of revenue or cash flow, and other opportunities for synergies to be realized on an accelerated basis. And then Giovanni, big picture on the BD front. You talked about deals still being focused on as well integrate cells. And so just curious whether the COVID-19 environment offers this view either their priorities or perhaps the size and scope? Thank you.","Thank you, Geoff. Let me ask David to start and give you a perspective on 2020 and '21. It's really what has been reflected in our guidance. And I'll get to your second question immediately after."
Geoff Meacham,David Elkins,"Thanks for the question. I just had a couple, as a follow up for David if the environment normalizes this year, maybe still be a lower run rate for some of your new launches. Since if this affects how you think about 2021 in terms of revenue or cash flow, and other opportunities for synergies to be realized on an accelerated basis. And then Giovanni, big picture on the BD front. You talked about deals still being focused on as well integrate cells. And so just curious whether the COVID-19 environment offers this view either their priorities or perhaps the size and scope? Thank you.","So, thank you for the question. Particularly on guidance, as we're thinking about it, as we said is, right now we think the inventory build-up that came through is going to really sell mainly in Q2 and for the remainder of the year. As far as what we're watching closely for new patients starts in anticipation that that recovers in Q3 and we're back to normal in Q4. And as well as the infusion centers in the volumes returning to normal. And that would continue into 2021 on. What I would say is that the underlying performance of the business is very strong in the first quarter. And as you heard about what the product launches are confidence in those four product launches are coming this year, as well as the product launches next year. That gives us the confidence in reiterating our guidance for both this year and next year, but we're going to keep a very close eye on the macroeconomic factors that could wind up impacting entire industry as I talked about in my remarks. As far as the synergies, we continually review those synergies both internally as well as with our board. We are really pleased with the progress we've been making on the synergy front. And the progress with the third party vendors has done very, very well. And as far as getting the organization in place, the vast majority of our placements of the organization are done. And as far as site selection is concerned bringing our sites together that's moving along as planned as well. So we remain confident in delivering kind of essential targets that we have."
Geoff Meacham,Giovanni Caforio,"Thanks for the question. I just had a couple, as a follow up for David if the environment normalizes this year, maybe still be a lower run rate for some of your new launches. Since if this affects how you think about 2021 in terms of revenue or cash flow, and other opportunities for synergies to be realized on an accelerated basis. And then Giovanni, big picture on the BD front. You talked about deals still being focused on as well integrate cells. And so just curious whether the COVID-19 environment offers this view either their priorities or perhaps the size and scope? Thank you.","Thank you, David. So just going back to your question, Geoff. So let me just say first of all, we are very, very happy with the progress we've made with the integration of the company, and at the same time, the strength of execution in the company. So on one side, our business continues to perform really well. As you've seen, we've made great progress with the pipeline against all key value drivers. We're executing well. We've made progress. I would say we are progressing really well with synergies as well. And we have tremendous flexibility from a P&L perspective and from a financial perspective. So going forward, we will continue to be very disciplined in terms of how we think about resource allocation and expenses given evolutions related to the COVID pandemic. Now, given our strong position, as David mentioned earlier, we've not really changed our capital allocation strategy. Business development remains the central pillar of our strategy. We are very focused on continuing to bring the new assets and innovation into the company. I expect that to continue to be the case and it's very possible in fact that there are more opportunities available to us going forward. And going to we are definitely focused on business development as we've always been. So, thank you."
Chris Schott,Giovanni Caforio,"Great. Thanks so much for the questions. Just two for me. The first one, in light of the 9ER study, can you talk about the RCC market and the opportunity you see for Opdivo Yervoy versus IO TKI combinations over time? And how you see Bristol positioning these two different frontline offerings they're going to have as you think about how you're going to position them relative to one another? My second question was on COVID and drug pricing. I think you mentioned some of these kind of macroeconomic factors, but when you think about high unemployment as well as growing budget deficits from government payers. How do you see that flowing through as you think about net pricing, looking out later this year and into 2021? Core of the question do you think it's likely that we're going to see some sort of incremental impact to pricing from what's occurring with COVID right now? Thank you so much.","Thank you, Chris. Let me start. I'll give you my perspective on pricing. And then I'll ask Chris to comment on, 9ER and RCC. It's exciting there. So first of all, I think a lot of, first of all, I would say Chris, the issue of drug pricing is one, where we've been in dialogue now for a period of time. And we, as an industry and as a company continue to think that there is a real need to be strategic. And think about reforming some of the elements of the pricing system in the U.S. that are creating affordability issues for patients. As you know, we believe there is a real opportunity through rebate reform and other measures that are market based to address the issue of drug pricing in terms of patient affordability, which is the real issue. Now, with respect to your question, first it is early days and it is early to say, and it is difficult to speculate on the future. Of course the focus of many and I think that was at the center of your question is, what happens in an environment where unemployment is higher and a significant impact to the commercial markets. So one way to think about, if you look at our business, where 60% of our business approximately in the U.S. So of that 60%, about 25% of our business is in the commercial space. And when you look at the dynamics that may play out in the commercial space. I think a lot depends on what happens to patients that may be unemployed and potentially lose coverage. So some of those patients will move to a spouse's insurance plan. Some of those patients may take up COBRA. And obviously any strategy or policy that makes that more affordable would be - even more affordable would be beneficial for patients. Some of those patients will be eligible for Medicare if they're over 65. There may be some shifts to government programs like the exchanges or Medicaid and hopefully no patient or very few patients is covered. So these are all of the dynamics that we're going to be working through. And of course a lot depends on the shape of the recovery and how long unemployment lasts. But I think these are sort of the macro factors that we'll be looking at together. So with that, I'll ask Chris to give you his perspective about the RCC market and the excitement with 9ER."
Chris Schott,Chris Boerner,"Great. Thanks so much for the questions. Just two for me. The first one, in light of the 9ER study, can you talk about the RCC market and the opportunity you see for Opdivo Yervoy versus IO TKI combinations over time? And how you see Bristol positioning these two different frontline offerings they're going to have as you think about how you're going to position them relative to one another? My second question was on COVID and drug pricing. I think you mentioned some of these kind of macroeconomic factors, but when you think about high unemployment as well as growing budget deficits from government payers. How do you see that flowing through as you think about net pricing, looking out later this year and into 2021? Core of the question do you think it's likely that we're going to see some sort of incremental impact to pricing from what's occurring with COVID right now? Thank you so much.","Yeah, thanks for the question Chris. We're very excited about the data that we saw with 9ER. Maybe in answering your question, I'll start with just kind of an update on where we are with Opdivo plus Yervoy today in first line renal. If you go back a year, one of the things that we said when we first started to see the IO TKI data was that we anticipated that Opdivo plus Yervoy would remain a standard-of-care in first line. And that's precisely what's happened. And we think that's been driven primarily by the impressive long-term benefits that you have seen with Opdivo plus Yervoy. We just saw the 42 month OS update at ASCO GU, that OS was about 56% in the ITT population. And that's sort of been continued strong performance of Opdivo plus Yervoy in first line. Market share right now is between 30% and 35% overall. It's on the upper end of that range, when you look at the labeled indication that we have in intermediate core. We do get some non-promoted use in the favorable population, which is off label for us of about 15% Opdivo plus Yervoy use there. And we've also seen, that the majority of the use that existing IO plus TKI therapies have gotten in first line renal has largely been at the expense of TKI monotherapy. So Opdivo plus Yervoy has held up really well and in fact we've seen a bit of an uptick in Opdivo plus Yervoy over the last number of months. 9ER very exciting data, we're very happy to see both the OS and the PFS data that we saw there, also very encouraged by the safety profile for 9ER. In terms of how we're thinking about positioning it, still very early days and we're working through the data, but we think these data compete very well against the existing IO TKI therapies. As a result, we think there's an opportunity to drive share from existing IO TKI therapies. We also think that there's an opportunity to drive share from TKI monotherapy in spite of advances in first line renal TKI monotherapy is still about 20% to 25% of share, mostly in the favorable population. And with respect to favorable, we think there's an opportunity there for us as well since 9ER crossroads status and included that favorable population patient and now once approved, we'll have access to that population promotionally. Importantly, the last thing I would say is that once approved 9ER really does give us the opportunity to offer patients multiple IO modalities. We'll be the only company, frankly, to have dual IO, but also what we believe would be a best in class IO TKI offering. So very excited about the opportunity that 9ER offers us to help patients and provide another modality to those patients. And I think that there's a nice opportunity."
Andrew Baum,Giovanni Caforio,"Thank you. So questions for Samit please. In terms of attending 9LA data at ASCO, what is the follow up of that data for both OSN for PFS? My question is all physicians going to come after that presentation and rethink that strategy for first line non-small cell lung on the back of that data, is there enough follow-up there? Second, in terms of the 9ER trial, could you talk to cover that too? I remember that when you ran the Phase 2, there was a question about toxicity and making sure and be use the low dose. So given it's a much more promiscuous TTI, should we assume a favorable or comparable tops profile? Anything you could share that would be interesting. And then finally on TIGIT, Roche's pushing forward very aggressively with that TIGIT antagonist. Merck clearly is interested and active with as your program seems not to been very much. Is that a function of resource allocation or is it a function of what you're seeing with this particular molecule? Thank you.","Thank you, Andrew. So Samit I believe all three elements of the questions are for you."
Andrew Baum,Samit Hirawat,"Thank you. So questions for Samit please. In terms of attending 9LA data at ASCO, what is the follow up of that data for both OSN for PFS? My question is all physicians going to come after that presentation and rethink that strategy for first line non-small cell lung on the back of that data, is there enough follow-up there? Second, in terms of the 9ER trial, could you talk to cover that too? I remember that when you ran the Phase 2, there was a question about toxicity and making sure and be use the low dose. So given it's a much more promiscuous TTI, should we assume a favorable or comparable tops profile? Anything you could share that would be interesting. And then finally on TIGIT, Roche's pushing forward very aggressively with that TIGIT antagonist. Merck clearly is interested and active with as your program seems not to been very much. Is that a function of resource allocation or is it a function of what you're seeing with this particular molecule? Thank you.","Thank you, Andrew, as always very thoughtful questions. And certainly a thought provoking from our 9LA perspective certainly we're looking forward to the first presentation of the data. At ASCO, virtually, but certainly going to be very meaningful. As you recall we had finished enrollment towards the beginning of last year. So at the first readout of the data, the interim analysis, the follow-up is short. What we will be able to share is follow on data from that perspective. It's very important I think to realize from 9LA perspective a few things that are questions that we will be looking towards the data to answer. One is as we continue to follow on and as you continue the follow up, what happens to that OS curve? Does it start to flatten out? Number one. Number two, what happens to that beginning part of the curve that we saw in CheckMate227 where we have the early progresses and how a limited amount of chemotherapy can impact that? I think those are the very important answers that we be looking for as you look towards the presentation of the 9LA data. We remain excited. I think both of them have to be considered together with 227 data and the 9LA data in overall management of a patient as you look towards non-small cell lung cancer management as we go forward. So I think that dual IO inhibition becomes very important along with that shortened duration of chemotherapy for some patients required. I will obviously ask towards the end of when I finished that to Chris also to comment from commercial perspective was that really need. On the 9ER side, as you mentioned, a couple of medics will use a dose of 40 milligrams and certainly that is going to be important in terms of management of the safety profile. As we've already said, that overall what we have seen is generally quite manageable safety profile. Chris also spoke about, that this provides an opportunity for further use of Opdivo in all the risk categories in combination with this potential. So certainly very exciting news there the trial has met all three endpoints, the major endpoints if you look at from an overall survival benefit, as well as looking at DFS and response rate, in addition to a very well managed safety profile. And I'll finish off on the TIGIT and then I'll pass it on to Chris to comment further on both9LA as well as 9ER. On the TIGIT perspective, we are looking forward to see the data that Roche will be presenting, certainly a very complex mechanism, as you very well know. We have our molecule which is in Phase 1. We continue to evaluate the Phase 2. And the overall dose profile for that agent and certainly there's no data to be shared yet, but we will certainly learn from what Roche is going to present and then we'll see if we can manage differently. Chris, do you want to add things?"
