asker,responder,question,answer,,,
Terence Flynn,Samit Hirawat,"Thanks for taking the question. It looks like the clinicaltrials.gov listing for your Factor 9a Phase 2 study in total knee replacement is now showing a completion date of this month. So just wondering if we could actually get data from that trial here over the near term. And then, looking back at enoxaparin's rate of bleeding in this setting, it looks to be about 4% to 5%.
So just wondering what level of differentiation there you're looking for. Thank you.
","Thank you, Terence. Looking forward to the readout of the first trial in the total knee replacement setting, which is testing the single-agent Factor 9a in the next couple of months as we look forward now. And also, as we've spoken before, the second trial will read out in the early part of next year as well. In totality, we'll be the one determining factor to really ascertain truly the overall safety, and of course, what we can gain in terms of efficacy to define the plan as we move forward.
So more to come on that. I would not go into the specifics of what level of improvement we are trying to look for. Those are gonna be defined with the differences that we see. But again, we've said before, if we can produce another agent for prevention of clotting and thrombosis at the level that is similar in efficacy but better safety profile, that is what we're looking for.
And certainly looking forward to the data in combination with anti-platelet agents as well. Thank you.
",,,
Chris Schott,Giovanni Caforio,"Great. Thanks so much. Just two questions here. Maybe first, just maybe elaborate a little bit more in terms of LAG-3 and its role in the market.
I guess, should we be thinking about this combo mostly as a kind of monotherapy competitor? Or is this something that you think from an efficacy standpoint, can stand up against an Opdivo-Yervoy type of combo? And then, my second question was just a little bit more color on the Opdivo adjuvant launches. As we think about kind of treatment rates and development of these markets, just a little bit more color of how do we think about the esophageal and bladder kind of ramps as we think about kind of this year. So are these big 2021 events? Or is it just going to take a couple of years to really see the opportunity for those indications? Thanks so much.
","Thank you, Chris. So first, on LAG-3, let me share my enthusiasm for a fixed-dose combination, which represents a really important data to validate a third immuno-oncology agent from the company. And let me ask Chris to give you his perspective on dynamics in melanoma and where that fixed-dose combination may play and then, give you insights into the uptake in adjuvant.",,,
Chris Schott,Chris Boerner,"Great. Thanks so much. Just two questions here. Maybe first, just maybe elaborate a little bit more in terms of LAG-3 and its role in the market.
I guess, should we be thinking about this combo mostly as a kind of monotherapy competitor? Or is this something that you think from an efficacy standpoint, can stand up against an Opdivo-Yervoy type of combo? And then, my second question was just a little bit more color on the Opdivo adjuvant launches. As we think about kind of treatment rates and development of these markets, just a little bit more color of how do we think about the esophageal and bladder kind of ramps as we think about kind of this year. So are these big 2021 events? Or is it just going to take a couple of years to really see the opportunity for those indications? Thanks so much.
","Yeah, thanks for the question, Chris. So let me start with LAG-3. So first, let me say that we are very excited and pleased with the data readout that we've seen for the third I-O that we have from BMS. The results are very encouraging.
And I think seeing an enhanced activity on top of Opdivo in melanoma, that's a pretty high bar. And so we're excited about the opportunity to bring this to patients. In terms of where it fits, you remember the current landscape of first-line melanoma, Opdivo-Yervoy represents about 35% to 40% of first-line melanoma. Approximately 30% of this market is still single-agent I-O, and you've got another 30% that is non-I-O.
So we think there's a real clear opportunity here for us to drive the benefit of relatlimab plus OPDIVO into that population. There's clearly a continued unmet need with physicians looking for additional options that have a dual I-O-like effect, and we're looking forward to bringing that combination to patients as we work our way through the regulatory process. In terms of the adjuvant opportunities, again, this is going to be an important opportunity as we get into the latter half of this year. And certainly, as we look about -- look for the growth opportunities beyond 2021, you noted esophageal and the upcoming opportunity with bladder.
We're very excited about those. With adjuvant esophageal, this is a substantial patient population with considerable unmet need. The treatment rates here are relatively low today, just given the lack of approved therapy. So we would anticipate that over time, we'll be able to drive utilization, both in terms of the patients who are being treated today, which is relatively small, and then, improve treatment rates over time, much the way we did, you'll recall, in adjuvant melanoma.
And we would expect a similar dynamic to play out as we launch in bladder cancer as well. And so very excited about those opportunities and look forward to seeing those launches play out in the coming months.
",,,
Seamus Fernandez,Giovanni Caforio,"Oh, great. Thanks for the question. So I wanted to follow up on Chris' question as it relates to LAG-3. I noticed at the -- as one of the ASCO abstracts, there's also an adjuvant trial that is supposed to really report some data.
I assume that this is just a single-arm trial. But what's Bristol hoping for in adjuvant melanoma in particular, as well as the planned acceleration of the non-small cell lung cancer opportunity? Just hoping that Samit could maybe opine a little bit or give us a little bit of visibility on where he sees LAG-3 kind of potentially fitting in on the lung cancer side? And then, separately, just wanted to get a little bit of a better sense of your thoughts around the stroke -- the SPTS trial with Factor 9. Still first half of next year? And maybe you could just remind us of the opportunity that you see there. In our view, we think that could be a $4 billion-plus opportunity that's really not reflected in expectations.
But nobody knows this space better than Bristol-Myers Squibb, given your experience with products. Thanks.
","Thank you. Thanks, Seamus. And thanks for the question. So let me just say before I pass it to Samit to answer both of your questions, that we really look forward to presenting the LAG-3 data at ASCO.
I think it's gonna be a great opportunity to show the strength of the data. And on Factor 9a, let me just agree with you. This is a space we know extremely well, where we've demonstrated our ability to be successful with Plavix, of course, going back a few years, and with Eliquis, we are seeing as we speak now with the current performance of Eliquis. Samit?
",,,
Seamus Fernandez,Samit Hirawat,"Oh, great. Thanks for the question. So I wanted to follow up on Chris' question as it relates to LAG-3. I noticed at the -- as one of the ASCO abstracts, there's also an adjuvant trial that is supposed to really report some data.
I assume that this is just a single-arm trial. But what's Bristol hoping for in adjuvant melanoma in particular, as well as the planned acceleration of the non-small cell lung cancer opportunity? Just hoping that Samit could maybe opine a little bit or give us a little bit of visibility on where he sees LAG-3 kind of potentially fitting in on the lung cancer side? And then, separately, just wanted to get a little bit of a better sense of your thoughts around the stroke -- the SPTS trial with Factor 9. Still first half of next year? And maybe you could just remind us of the opportunity that you see there. In our view, we think that could be a $4 billion-plus opportunity that's really not reflected in expectations.
But nobody knows this space better than Bristol-Myers Squibb, given your experience with products. Thanks.
","Thank you, Giovanni. And certainly, very excited to see the data coming out, great for the patients and certainly very happy with where we're going in the pipeline for LAG-3 in oncology for BMS as well. Overall, the natural progression after seeing the data in the first-line setting of addition of relatlimab on top of Opdivo would be to go into the adjuvant setting. And that's where you're beginning to hear a lot more that we'll be progressing into a Phase 3 program in the adjuvant setting for this co-formulation that we now have as a fixed-dose combination for Opdivo plus relatlimab.
Certainly more to follow as we look deeper into the data for the metastatic trial, to gain more in-depth knowledge on the biomarkers, as well as the long-term follow-up that will come from the current 047 trial that will continue to evolve in terms of our knowledge. Now the second part, which you asked, is about the non-small cell lung cancer opportunity. Certainly, excited to have started the early POC generation trial, as well as looking at the combination of nivo plus relatlimab plus chemotherapy to see where we can take it. And that's the idea behind accelerating the enrollment in that trial so that by the end of the year, we can initiate a Phase 3 program in that setting if we have tolerability that is demonstrated in that early trial that we're looking at.
In addition to that, we will continue to hear evolution of the data potentially into hepatocellular carcinoma that we are looking also to have some look into in the Phase 2 study. And that can open up additional indications as we look forward. Beyond that, in the SSP trial, yes, we are still looking forward to the readout in the early part of 2022. As I said earlier, there are two opportunities.
Opportunity number one is to improve on the current anti-coagulation paradigm with a single agent. And then, opportunity number two is to expand the use of anticoagulants with a background therapy of anti-platelet agents. And those are the two studies that together will form the basis of the clinical development plan that we are thinking through, whether it be the venous side or the arterial side of thrombosis.
",,,
Tim Anderson,Chris Boerner,"Thank you. I have a kind of a higher-level question on the PD-1 space. Can you just talk about your longer-term view on whether price competition in this category is kind of imminent or eventually will happen in developed markets, both U.S. and Europe? The space is clearly getting more crowded, both domestically produced PD-1s, as well as those sourced from Chinese biopharma companies.
And while price competition usually is not a winning strategy, it might be the only lever a lots of these other companies can pull, and I think at least in China as many have started to recognize the PD-1 category has become a commoditized class. So lots of folks are trying to figure out what precludes us from happening outside of China. Can you articulate your views here?
","Yes. Thanks for the question, Tim. We, obviously, think about this quite a bit. As we think about the number of new PD-1 entrants in the market, we really look at it on two dimensions.
First, there's the competitive impact of having additional players on the market. Frankly, that's an area that we pay attention to, but we're a little bit less concerned about. We have considerable resources focused on planning around competition. We have a good track record of competing in these markets.
And while we are always a bit paranoid of potential new entrants, we feel very good about our ability to effectively manage competition. The second dimension that we look at is the one you're raising, which is the risk of commoditization of a market. And the way we look at that is commoditization, we think, requires two things: it requires a low-cost entrants, and it requires perceived interchangeability on the part of payers, providers and patients. The risk of both of these things coming together likely varies, we believe, by geography, healthcare system.
It may be even by therapeutic setting, but we pay very close attention to this. In terms of the risk, we absolutely believe it's something that we need to stay on top of. It's, as you note, very dynamic. Currently, the areas where we see the greatest risk don't overlap with our largest markets, at least today.
But we certainly have plans to address the risk as they become more tangible. The two things that I think we can continue to do that position us well against this threat are, first, continue to leverage the extremely broad data set that we have generated in I-O to ensure that treatment decisions continue to be clinically driven. And then, second, continue to rapidly bring new data and approvals to market, such that we're constantly pushing forward innovation and changing the standard of care. But this is an area that's very dynamic, and we're paying close attention to it.
",,,
Geoff Meacham,Giovanni Caforio,"Hey, guys. Good morning. Thanks for the question. I just had a couple of quick ones.
On your new launches, highlighted on Slide 12, what were some of the headwinds you saw for Reblozyl this quarter? I mean, what do you think could be the tipping point for Zeposia and Onureg for the current indications? And then, the second question is with your cell therapy franchise. I know it's early, but just given the proximity of the two launches, are there synergies that you're seeing just with respect to site activation or reimbursement, etc.? Thank you.
","Thank you, Geoff. Chris, why don't you go ahead? Let me just give you my perspective. I'm really excited with what's happening on the front of our launch brands. The profile of the medicines that you mentioned is very differentiated.
We have strong labels. And what we are hearing from physicians is exciting in terms of the potential role that these agents will have in the marketplace. Let me just ask Chris to give you more insights into some of the launch dynamics you referenced, Geoff.
",,,
Geoff Meacham,Chris Boerner,"Hey, guys. Good morning. Thanks for the question. I just had a couple of quick ones.
On your new launches, highlighted on Slide 12, what were some of the headwinds you saw for Reblozyl this quarter? I mean, what do you think could be the tipping point for Zeposia and Onureg for the current indications? And then, the second question is with your cell therapy franchise. I know it's early, but just given the proximity of the two launches, are there synergies that you're seeing just with respect to site activation or reimbursement, etc.? Thank you.
","Sure. Thanks for the questions, Geoff. There's a lot there, so let me try to hit on each of these relatively quickly. So Reblozyl, we're very pleased actually with the continued strong execution of the teams.
And what we are hearing on Reblozyl and our expectations for growth this year, and certainly in the long term, remain unchanged. As for the dynamics that we saw in the quarter, sales were relatively flat Q4 into Q1, and there were really two factors underlying this. First, as you will have heard from some of our peers, we have seen new patient volumes down in hematology generally. They were down about 10% to 20% versus pre-COVID levels in the MDS population and so that was one of the factors at play, at least for the quarter.
And we have seen specific to Reblozyl, a bit of a prolonged bolus wash-out period. And to give you some context around that, in Q4, we estimate that bolus patients for Reblozyl often were roughly around 40% of the overall business. In Q1, that has come down to about 20% to 25%, and we would expect those patients to continue to come off therapy over the coming months. Those two dynamics, notwithstanding, we are very encouraged by the continued uptake of new patient starts in this setting and continue to see new trials and an expansion of the prescriber base, which is critically important at this point in the launch.
So continued excitement from our perspective with respect to Reblozyl. Onureg and Zeposia in terms of pivot points, I would say, as we have discussed in MS and as you've seen with some of our peers, it does take time to transition patients from written scripts to commercial dispensation in MS. That said, it was a big focus area as we discussed last year, and we are seeing very nice acceleration for Zeposia in MS. And of course, we have the opportunity in UC coming up with the PDUFA date in a month or so.
And that's, obviously, another important opportunity for Zeposia and very much look forward to bringing this differentiated product and mechanism into IBD. Onureg, we're in the process of creating a market with Onureg, and that launch is going very well. In fact, we saw patient demand volume increase about 50% from Q4 coming into Q1. And I would say in that space, we are very excited with what we're seeing.
Now again, it's a market where we're creating a new treatment paradigm, and that's going to take some time. But all indicators are that the efficacy profile of this data is landing well with customers. And again, the teams are executing well. And then, pivoting to your question on cell therapy, we're very excited about the two cell therapy launches.
Both products have been very well received. Given Breyanzi's got a little bit more data in terms of the launch timing, let me start there. The launch there is going very well. We've had over 50 accounts that have been activated already.
Our highest priority accounts, in fact, were activated within eight weeks of approval. The messaging around the best-in-class profile for Breyanzi is landing well. Physicians are clearly seeing a differentiated safety profile. And in fact, we've already infused -- apheresed and infused patients with Breyanzi and so I would say the execution there has been exceptionally well.
And just quickly on Abecma. Obviously, a bit earlier in the process for Abecma, but we have the advantage of launching that product on top of the infrastructure that we've built with Breyanzi. So we've actually been able to more rapidly activate sites there. We've had 25 centers were activated within 10 days of approval.
The physician feedback has been very positive, and there's a lot of enthusiasm for us bringing the first BCMA-targeted cell therapy into multiple myeloma. So, so far, early days, but the launches seem to be off to a very good start.
",,,
Andrew Baum,Giovanni Caforio,"Many thanks. First question is to Giovanni. In relation to business development, Bristol, we anticipate it's going to be more active than many of your peers given the cadence of LOEs you have in your portfolio. The FTC has been making increasingly loud noises about consolidation being a driver of increased drug prices and diminish patient access of late.
I'm interested on how you think this could impact our business development going forward, whether it's more noise than actions. And what we should be looking for in novel mechanisms to engage to determine whether M&A relates in anticompetitive activities. And then, second question for Samit. Perhaps you care to comment on whether you anticipate a panel meeting to assess JAK safety broadly in a cross-divisional way.
I'm, obviously, thinking about deucravacitinib in terms of its broader membership of that particular category. Thank you.
","Thank you, Andrew. Let me start with your question on business development, and then, Samit will follow on your second question. So it's really difficult to speculate at this point in early days what the evolving position of the FTC will be. A couple of things that I would say is, number one, I do agree with you that business development is an important priority for us.
It has been for a while. And it will remain one of the priorities for deploying capital in our capital allocation strategy. The second thing that I like to say is that I actually feel that we've demonstrated over and over that when we acquire assets into the company, it's actually a way of accelerating their development and generating even more value for patients. And that's an important element of what drives our business development strategy.
I feel there are plenty of opportunities to continue to strengthen our portfolio across all of the areas where we have presence and expertise. And obviously, we'll always take competition issues into account when we look at opportunities, but I don't see that at this point as limiting our ability to continue to execute a very differentiated business development strategy. So with that, Samit?
",,,
Andrew Baum,Samit Hirawat,"Many thanks. First question is to Giovanni. In relation to business development, Bristol, we anticipate it's going to be more active than many of your peers given the cadence of LOEs you have in your portfolio. The FTC has been making increasingly loud noises about consolidation being a driver of increased drug prices and diminish patient access of late.
I'm interested on how you think this could impact our business development going forward, whether it's more noise than actions. And what we should be looking for in novel mechanisms to engage to determine whether M&A relates in anticompetitive activities. And then, second question for Samit. Perhaps you care to comment on whether you anticipate a panel meeting to assess JAK safety broadly in a cross-divisional way.
I'm, obviously, thinking about deucravacitinib in terms of its broader membership of that particular category. Thank you.
","Yeah, thanks, Andrew. And certainly, yes, we've heard the speculation around AdCom for potentially looking at it from a safety perspective for TYK2 inhibitors and whether they belong in the JAK. The way we think about it is as we have presented, if you look at the data, we do believe it is very differentiated. And there are absolutely good measures in terms of thinking around preclinical data, the clinical data, the mechanism of action and the way the data has evolved also on the efficacy side.
So overall, I think we have very strong arguments. If there is an AdCom, certainly, we'll be prepared with that with all the data that we've shared already. And we'll continue to evolve in terms of a long-term follow-up as well. We do believe this is new breakthrough in science. It's a new first-in-class molecule for a -- as a TYK2 inhibitor, potentially first as it brings new efficacy data for patients with psoriasis, which is an unmet medical need.
So certainly looking forward to sharing more as we go along. At the current time, we are in discussions in terms of preparing the file and getting it to the regulators and move it forward as soon as possible.
",,,
