asker,responder,question,answer,,,
Tore Svanberg,Patrick Henry,"Yes, thank you and good quarter. Two questions, first of all, could you talk a little bit about the Verizon FiOS service? It looks like you are expecting that business to be down about 20% sequentially again in the March quarter. When would you expect that to start stabilizing, especially given that there are now launching their new marketing efforts?","Thanks, Tore. We are anticipating that – they are basically at the bottom and they are turning it around based on kind of soft feedback we have from them. We won't know until the end of the March quarter kind of how things turn out, but I think that the new promotions that they are running which are based on – giving away the free DVR server, lot of Quad Play bundling, more aggressive pricing, a lot of these things seem to be getting some initial traction and the initial kind of soft feedback we are getting around that is quite positive. So although we're going to experience some more difficult in Q1 based on their Q4 results, we are hopeful that towards the end of Q1 or definitely in Q2 we should start seeing a little bit of a recovery in that business.",,,
Tore Svanberg,Patrick Henry,"Very good. And moving on to Comcast, looks like they are pretty committed to MoCA, maybe some potential deployments in 2010. If they do deploy in 2010, when would you potentially have to start seeing some of that business?","Yes. We can't really comment specifically on unannounced cable MSO deployments. I think we have said generally, we expect in the second half cable to be a bigger growth driver in the overall MoCA business for us and cable operators typically go slow before they goes fast. Generally, within the cable MSO world, right now, we are seeing (inaudible) moving to kind of some soft marketing launches and then I think we will start seeing geographic launches within the next quarter across the cable MSOs. But early second half is where I think we have the potential to really see that as a bigger growth driver for us.",,,
Tore Svanberg,Patrick Henry,"Very good. And then moving on to DIRECTV and their MoCA deployment, it looks like there is an 18 million unit opportunity there. How should we expect that to ramp through time? Is that similar? Is it fairly slow in the beginning or do you think you already started to see some meaningful units already in the first half of the year?","Yes. I don't know if DIRECTV talks specifically about their launch plan. Typically, what they'll do is they're launching some percentage of the US with a new technology, maybe a third or half of the US and then over the next quarter, pan out to a nationwide type of a launch. So I think that business is going to continue to ramp for us throughout 2010 and possibly in the 2011. One of the things that really bodes well for the company is I think we are also seeing a really big ground swell or purchase of HDTVs which basically is the precursor to people upgrading their Pay-TV service from standard def to high def service. So most of the products we are going into really are going to benefit from consumers upgrading their service from standard def to high def service and this is with DIRECTV, this is also what Verizon, but also with the cable MSOs. So I think that provides us a good opportunity as that part of the market continues to expand.",,,
Tore Svanberg,Dave Lyle,"Very good. And then just lastly on the outdoor satellite business, it has been pretty strong in the last couple of quarters. How do you expect that business to track going forward? Is it going to be some potential lumpy growth or do you expect that business to show more steady growth there in 2010?","I mean, we're – (inaudible) we have a few planes going over, that's why I keep passing everyone. So, I guess we are in the flight pattern today. The satellite business generally, seasonally strong period in Q4 and Q1, usually a little bit seasonally softer in Q2 and that would be especially the case for our run rate business at EchoStar. And the case for the DIRECTV business, we are ramping there into – from kind of the high-end HD market to all HD. So, we are going to continue to see expansion in that in Q1. Unclear exactly how that's going to look in Q2 at this point, but we also see international satellite service providers starting to deploy CSS later this year as well. So I'd say generally throughout the year that should be a growing business for us. We might see a little bit of softness in that business in Q2 though, because that is a seasonal soft quarter especially for the big tier-one guys.
",,,
Daniel Amir,Patrick Henry,"Thanks a lot. Congratulations on the quarter. A couple of questions here. In terms of the – assuming that Verizon starts coming back as you'd previously answered in the question, what type of revenue base do you think we should be at the end of the year in terms of breakdown in telco, cable and satellite? Is cable going to be bigger than the telco side, or is the telco going to be bigger than the cable by the end of next year?","Yes. I know it's – we really don't kind of break things down like that and we really don't want to provide guidance beyond the current quarter. I would say generally, if you look historically when Verizon was our only deployment of MoCA, they represented north of 70% of the overall revenue of the company. As we kind of moved into this Q4 period, they lost than half of that in terms of our overall revenue. And I think even with the spring back in Verizon, the other businesses are going to be growing at a more rapid clip. So the Verizon component of our overall business is maybe a third of our business and decreasing from there. I think the satellite opportunity and the cable opportunity each are as big as the Verizon deployment over time. So, we should see pretty uniform distribution and diversification of our revenue across the MoCA business, while at the same time, we are also seeing pretty substantial growth in our non-MoCA produce lines as well. So I think generally, we are going to see continued diversification of the revenue stream across multiple service providers and multiple products.",,,
Daniel Amir,Dave Lyle,"Okay. And with relates to kind of the next wave of MoCA and beyond, multi-room DVR, it seems like MoCA as a technology really cornered the market here in the US But kind of the IP delivery side, I guess there is kind of other technologies that have started taking off, it's WiFi et cetera. I mean, what needs to happen or what and when it needs to happen, do you think that MoCA really starts going into that next phase?","I think that this is specifically in the over the top video delivery service market so as multiple components in the third wave of growth. The first one is kind of the over the top opportunity, the second one is the move of traditional pay TV service providers from the current video delivery mechanism, the modern IP-based video delivery, and then the third components are really international. So, on the over the top feeds, I think you are seeing WiFi as being kind of the predominant technology out there today. We are really in the early adopter market for that part of the business and I think the focus right now in over the top pay TV service providers is first and foremost to get their application embedded in as many consumer electronic products is possible. So if you look at the Netflix streaming service as an example, they are now in PS3, they are in Xbox 360, they're now even in Wii. Vizio [ph] announced at CES that they are now in most of the major branded TV manufactures, with the exception I think of Panasonic and Sony. So that's kind of the first and foremost objective is given in as many platforms as possible. The second thing that they are focused on is to get the consumer to at least use the service once. And as it turns out, if you include WiFi as opposed to just including an Ethernet jack, the attach rate of people actually trying the service at least once is about 2X. So, WiFi definitely provides that immediate benefit of saying, okay, somebody is going to try the service, at least use it and see how it goes. The disadvantage of WiFi is really going to be evidenced as you start moving through the mainstream part of the market where the quality expectations of video are basically set, and the bar is set by their current incumbent pay-TV service providers. So, just start having more streaming sports content and more things where people have a quality viewing experience get us back on the use of services, unless you have a high quality FatPipe that delivers the video quality very reliably. I think that's going to take a couple of years and that's when MoCA really starts to get additional traction. We did start having initial conversations with TV set manufactures. These are obviously confidential customer discussions, so I can't mention customer names, but where TV set manufacturers are starting to come to us about plans to embed MoCA in TV sets over time. In a similar timeframe, we see the potential of incumbent pay-TV service providers like DIRECTV with our view moving to more of the same client architecture which also has the potential to push MoCA into TV sets, and also in a similar timeframe like in Northern Europe, where there is coax infrastructure and Europe will really lag the US in both DVR and HDTV deployment by a couple of years. We see an opportunity for MoCA to deploy there. So we see multiple things happening that drive that with the biggest factor being this IP video distribution and the need for quality of service.",,,
Ruben Roy,Patrick Henry,"I had a question sort of focused on Verizon, when you have other exciting ramps starting, but just when you talk about potentially seeing some sort of recovery end of Q1 maybe in Q2, can you elaborate a little bit on your assumptions there. Are you expecting some sort of bounce back in sub growth or just kind of a flat lining of the declines that we have been seeing, kind of what you're expecting?","Verizon's public comments have really been continue to focus on a million new – net new sub adds a year. So that would translate to about 250,000 a quarter. They did 300,000 per quarter in Q1 and Q2 last year and then they did I think 200,000 in Q3 and 150,000 in Q4. So, they ended up doing a million last year as well, but a little bit slow on the back half. I think with the promotions that they are running that say that they are getting initial success, I think it's trending more towards that kind of run rate type of a business, which should be somewhere between 200,000 and 250,000. As they have kind of gone through the slower period over the last couple of quarters, they have continued to order less and they are keeping inventory positions pretty tight. So there should be a spring back associated with that at some point. When accounting on that and our numbers that we provide for guidance for Q1, so if that happened in Q1, there could be some potential upside. But, assuming that they did get that kind of bounce back in Q1, we should see a Q2 bounce back pretty strong for us because there is not – like there is a ton of excess inventory in the channel and they continue to ratchet it down to kind of whatever the current run rate is.",,,
Ruben Roy,Patrick Henry,"Great. That's really helpful. Thanks, Patrick. And then just one another question around the comments that you made on the CSS technology, HDTV and then the fact that you have demonstrated compatibility between obviously your CSS solution and your MoCA solution, is that something that you think ends up being a hurdle for other eventual MoCA competitors or maybe is a better way think about that perhaps thinking that it's just another step being qualified, and that gives you some extra insurance I guess in the near term HDTV, any details on what your – what you can say there?","Yes. I mean, that is a really long-term barrier to entry to other MoCA suppliers. I think other MoCA suppliers will eventually be able to support portions of the DIRECTV deployment. Historically, at least, when DIRECTV launched a new set-top box platform, that platform stays around for a while. So, it's more of one when (inaudible) in the next landing zone from a design cycle is. So, I think we have got a good runway in front of us, well in basically every set-top box that has MoCA in it at DIRECTV for quite a while, although we are not starting a fight for kind of the next generation. So I don't really see it as a long-term barrier to entry. But the thing that is kind of interesting about us that kind of make your question when we think about this, is that there are opportunities outside of DIRECTV in the international markets where they are starting to move towards single wire technologies using CSS. And as those markets start to move towards multi-room DVR and HDTV, the MoCA-CSS combo has significant benefits in those other geographies. So kind of the system works that we have done allows us to fan out to additional opportunities over time. And the other thing that counts as a benefit there is all of the major set-top box manufacturers that support the DIRECTV deployment now have products that they can then start to socialize with other international satellite service providers using MoCA. So you get some leverage off of the tier one design into some of the other opportunities internationally. So I think all those things end up being pretty positive for both our CSS business and our MoCA business longer-term.",,,
Sandy Harrison,Patrick Henry,"Hey, don't know if you guys had a chance to kind of digest and look through the recent announcement by one of the competitors in the MoCA chip space, and an acquisition in sort of a tangential technology in the set-top box upon [ph], what's sort of your immediate reaction on that? Is this more to be read into that about perhaps a change in strategy or even an acknowledgement of falling behind?","I think you are probably talking about Broadcom's recent announcement of acquiring Teknovus.Okay. So, I think that just rounds out another portion of products lines that they want to be involved in. Historically, Broadcom didn't have an EPON or 10G-EPON product. They think they developed a GPON product internally, which is used and they are going after basically the Alcatel-Lucent business internationally and also at Verizon with their GPON product. EPON is used in some other international geographies and we are starting some – to see some initial indications from service providers, cable service providers that may want to deploy deep fibre architectures where 10G-EPON could be an important technology. So, it's really kind of (inaudible) for us to some extent move or partner with PMC-Sierra and kind of the EPON and 10G-EPON space really more around our Access business because Verizon using GPON. So, we basically partner with BroadLight for the GPON business in Verizon and they'll partner more with PMC-Sierra for the EPON and 10G-EPON. So, not really directly related to us, but I think it just rounds up some additional products that Broadcom feels like they need to be in for their telco access space.",,,
Sandy Harrison,Patrick Henry,"What you think with them, Broadcom now occupying more of the silicon within the set-top box, what do you think customers' willingness to continue to give Broadcom even more geometry within the set-top boxes from that perspective?
","All in key stuff [ph] that GPON or EPON silicon really doesn't go into the set-top box per se. It goes more into a separate product which is more of an optical network terminal or an ONU, an ONU in the case of a multiple dwelling unit or an OMT in case of a single-family unit. So, it really doesn't give them additional real estate there. Broadcom is a big player in DSL and they are already in GPON. So I think that EPON stuff really kind of rounds out the overall set of products that they can sell into the carrier access market. So that's unfair. It's more orthogonal [ph] to us. They are already kind of in the set-top box as fees paid, so their integration strategy with MoCA around there is something what we have known about when dealing with for quite some time, so doesn't really change the competitive dynamic for us.
",,,
