asker,responder,question,answer,,,
John Janedis,Craig A. Dubow,"I know it’s still early but can you talk about what you are seeing from a ratings perspective on your evening news and what impact Leno is having on revenue? And when you look at the 4Q guidance of down low 20s at this point, how different do you think it would be if NBC decided to go with a more traditional schedule? Thanks.","You know, just taking a look first at the programming, my sense of it is that right now we would probably be in a little better position with the traditional prime but it’s awfully early to tell yet and from an overall standpoint, when you take a look at that, I think Leno itself is going to give us some opportunity as we move forward. But taking a look at the news, again what we must do is be certain that we are doing everything we can locally. So it’s again early on all of this to really tell any impacts that we are going to have in that direction but we’ll see where it goes and keep you posted as we move forward.",,,
Alexia Quadrani,Gracia C. Martore,"Thank you and welcome back, Craig. My question is on the cost side -- if you could share with us what your preliminary thinking is on the costs for next year. Is the decline we saw in this quarter a good run-rate for next year? And did you have the furloughs? Did the furloughs continue into Q3 and what are your thoughts going forward? And maybe also touch on the newsprint -- have you stockpiled an above average amount given the possibility of some price increases ahead?","You know, Alexia, it’s a little early for us to comment on the cost side for next year. We are literally just beginning to look at the budgets that are bubbling up from our local units. What I will tell you is that a lot will depend on what the revenue outlook is for next year. I don’t think we assume that the revenue outlook next year is going to be quite as difficult as it was this year but we’ll have to take a look at that and then some of the expense initiatives that we’ve done are ongoing and permanent reductions. We’ll cycle some of those but then there have been new ones, obviously, in July and beyond that will benefit us well into next year. We did not do furloughs in the third quarter nor do we have plans to do furloughs in the fourth quarter, so that about $25 million of expense benefit that we received in the second quarter, and I guess it was about $20 million or so in the first quarter, did not repeat in the third quarter, nor will it repeat in the fourth quarter. On the newsprint side, I would say that we’ve always done a good job on the inventory management side and given where prices are buttressed by some black liquor tax credits that some of the newsprint companies have enjoyed, we certainly have added to our inventory levels, as have others, I’m sure, in the industry.",,,
Peter Jacobs,Gracia C. Martore,"Good morning. Just a quick question, and that is could you just update us where you are in your financial covenant ratios, please?","Sure. We will close the third quarter at about 3.03 times and our covenant is 3.5 times max, and as we’ve said previously, we had expected that the covenant would peak in the third quarter although interestingly, it’s not too far -- in fact, I think right on top of where it ended the second quarter and in the fourth quarter, we have about $55 million of severance cash expense that we took in the fourth quarter of last year that won't repeat. So we would anticipate that that ratio would be lower as well in the fourth quarter.",,,
Alexia Quadrani,Gracia C. Martore,"Just a follow-up question on USA Today -- I may have missed it but what was the circulation revenue in the quarter and are any other ad categories outside from the core travel, are you seeing weakness there as well?","Alexia, with regard to USA Today circulation revenue, I think that Dave Hunkey has indicated that for the full year, circulation revenue is about flat. As you’ll recall, we had a price increase in the fourth quarter of last year so now we are going to be cycling that price increase in the fourth quarter and as well as you know, USA Today circulation has been impacted by the tremendous downturn in travel related and lodging related vacancy levels and just simple lack of traveling and that’s obviously an important component for USA Today but I would add that USA Today continues to be the number one newspaper in print circulation in the country. Our subscription levels were virtually flat in the quarter, despite obviously the impact on single copy and newsstand sales and hotel delivery as a result of the travel impact. And the good news is that we have maintained every single one of our hotel contracts throughout this recession and feel very good about how we are positioned. I will remind you that back after 9/11, our hotel distribution I think back then was off about 30%. And then from September of ’02 to September of ’08, I think our hotel distribution was up about -- a little more than 50%. So we anticipate that as the economy improves and as hotel and airline traffic comes back, that we will see the typical bounce that USA Today has always see in that aftermath of those kinds of events.",,,
Alexia Quadrani,Craig A. Dubow,"Just a follow-up question on USA Today -- I may have missed it but what was the circulation revenue in the quarter and are any other ad categories outside from the core travel, are you seeing weakness there as well?","Just in addition, two other areas, packaged goods and restaurants, have also had some positive impact during the quarter so there are, in addition to the travel on the negative side, those other areas are certainly working for us and we are looking to seeing that to continue, Alexia.",,,
Michael Kupinski,Gracia C. Martore,"Thank you. Sorry for the little background noise and welcome back, Craig. Just -- you may have mentioned this earlier but I was just curious in terms of the regional disparities that you might have in terms of the newspapers, you’ve made mention in the past about some of your most difficult markets, so I was just wondering if you could just talk a little bit about what you are seeing in those difficult markets. Are you seeing in terms of company wide trends, are they in line, are they below? Could you just give us a little bit more color there?","You know, on the regional trends, things have I think evened out a bit but we continue to see, for instance, in a Florida where we have Fort Meyers where there was a huge amount of speculation in secondary, third, fourth homes and folks were speculating, we continue to see obviously tremendous pressures there. Conversely in Bravard, Florida, which is not too too far from Fort Meyers on the other coast, we are actually seeing things, trends abate a little bit in that market. In Phoenix, things are continuing to struggle a bit on the real estate side but I think they’ve done a good job of recasting their structure. So we continue to see in the real estate side the California, Florida, Arizona, Nevada being very difficult but in those other categories, it really is very much a community by community difference",,,
Michael Kupinski,Gracia C. Martore,"And Gracia, in the past press releases, you indicated that those difficult markets in Florida, Nevada, California, represented a larger percentage of the decline in print, in classifieds. So were they basically in line with the company-wide performance in the quarter or were they still trending well below the company-wide performance?",They still would have trended probably 10 percentage points worse on the real estate vertical than in our other markets but the gap in the other verticals like employment and real estate are not that inconsistent.,,,
John Corright,Gracia C. Martore,"Question one -- can you update us on what you see as cash pension contributions, which I think are nothing this year, but ‘010 and ’11? And also, I still think you have something like $1 billion of face value bonds that are due in ’11 and ’12. Have you been buying any of those in or do you plan -- do you think that’s a good idea to buy them in or is all free cash flow simply going to go to reducing the bank debt?","John, on the pension side, as we’ve said, we will not have any mandatory cash contributions in 2009, we will not have any mandatory -- to the best of our knowledge, at this point, given where our pension fund stands -- in 2010. Obviously 2011 and 2012 depend a lot on what assumptions you make on returns, discount rates, employee population, et cetera, et cetera. Our pension plan I think on a preliminary basis is up about 20% or so for the first nine months of this year. A lot will depend on where the market and we end the year and where interest rates are, because that discount rate obviously can have a fairly significant impact on things as well. With respect to the bonds due in ’11 and in ’12, as you may recall we did extend the maturity of some of those ‘11s and ‘12s, I think about over $250 million of those maturities were extended in to 15s and 16s. Obviously we’ll continue to look at things on a very opportunistic basis and if we saw opportunities to do some things to further move maturities around and it made good economic sense for us, then we would do that. I think we have about $740 million of the ‘11s and ‘12s still due in ’11 and ’12 out of the $1 billion that we started with.",,,
John Corright,Gracia C. Martore,"Gracia, also while I have you, I know it’s early but if necessary, can you hold CapEx next year to the $80 million type range? I mean, are there any projects that just have to get done next year?","Well, we are just actually finalizing our capital budge and it looks like it will come in in that range and we’ve taken a look at sort of a five-year horizon and we are pretty comfortable that for pure maintenance CapEx plus doing every project that provides a strong ROI, that the $85 million or so, including CareerBuilder, will be a sufficient number for us to continue to grow the strategic part of our business as well as to maintain our existing traditional businesses. We have no big new press projects or any other -- you know, like a DTV conversion, that are on the horizon. Obviously if something like that came up, then that would mean a shift in our thinking but no regulatory issues that we are aware of that would cause us to spend outside of that $85 million range.",,,
John Corright,Gracia C. Martore,"Gracia, I just want to say that you and your team have been incredibly nimble in restructuring the balance sheet, because I remember back in -- when you had the New York City analysts luncheon, your bonds were yielding I think over 20% and I couldn’t figure out how you could do any refinancing, and here you are, you’ve done basically $750 million of financing just in the last few months so -- yet you are very light on your feet. Terrific.","Thanks very much. I just need to lose a few pounds, but yeah, thanks. I think we’ve got time for one more -- two more questions.",,,
