asker,responder,question,answer,,,
Ryan Martins,Stephen M. Kelsey,"So maybe a first question, just on the ab [ph] that's going to be at ASH. Can you talk about how many patients we may see data on here? I know there's ET and there's also like PV patients, if there's a -- if we are going to see data also on the PV patients. Maybe we can start with that and have a few other follow-ups.","Yes, we have to wait, we'll wait until the abstract goes live before disclosing the number of patients, and there will be no data on patients with PV in this abstract, it's restricted to essential thrombocythemia.",,,
Ryan Martins,Stephen M. Kelsey,And what was the last update in terms of enrollment that you had provided?,We haven't provided any information on that.,,,
Ryan Martins,Stephen M. Kelsey,"Okay. Just on the -- thinking about Phase III, provided obviously the data -- did the data indicate plans for a Phase III, is this Phase III going to be a combo study or could it be a mono therapy? What are your considerations over there because obviously [indiscernible] agents available. Just wanted to get your thoughts around that?","Well, we've never disclosed any plans to move into Phase III in essential thrombocythemia. We've used this study as a catalyst to broaden the imetelstat program in hematologic malignancies, and we'll be disclosing our plans for moving forwards in hematologic malignancies in the near future, but we will not be announcing plans to move into Phase III in essential thrombocythemia.",,,
Ryan Martins,Stephen M. Kelsey,"And just on the JAK2 mutation levels, I know you had mentioned you all would be assessing this, is this going to be assessed initially when patients enter the study and then at 12 months? Are there certain time periods at which --","All of the patients have JAK2 allelic burden measured prior to starting imetelstat, and it's then the protocol calls for repeat measurements at quarterly intervals.",,,
Ryan Martins,Stephen M. Kelsey,"And then maybe just a couple of questions on 1005 and I'll jump in the queue. On intracranial responses that'll be measured here, where does the FDA stand in terms of intracranial responses as an endpoint?","They've never had cause to opine with regards to the status of intracranial responses as an approvable endpoint. The 2 drugs that have been developed for brain metastases in the last decade have not used intracranial response as an endpoint. So if any -- if a company has approached the FDA with questions about intracranial response rate as an approvable endpoint, that data has never been made public.",,,
Ryan Martins,Stephen M. Kelsey,"And then maybe one final one. Can you talk about the relative distribution of 1005 to the brain, what results systemically?","The -- I don't have very good information for you about the relative concentrations in tissues outside the brain versus inside the brain in humans. What I can tell you is that at the doses and schedule that we're using in the Phase II program, the concentrations of 1005 inside the brain and particularly in tumors inside the brain is in double-digit micromolar concentrations, which is way in excess of what is required for anti-tumor activity.",,,
Brian Klein,Stephen M. Kelsey,"Steve, maybe a first one for you, can you maybe give us a hypothesis as to why you think imetelstat was unsuccessful in the solid tumor trials?","Well, let me give you 2 completely separate hypotheses because I think it's important to distinguish what we did in breast cancer from what we did in lung cancer. In breast cancer, we combined imetelstat with paclitaxel. And what we found was that the overlapping hematologic toxicity of imetelstat with paclitaxel resulted in a required reduction in the dose of paclitaxel. That study was designed deliberately such that those modifications to paclitaxel were performed in accordance with the package insert, with the product label and so the -- unfortunately, the additional hematologic toxicity of imetelstat resulted in too much of a reduction in the paclitaxel dose in that arm, and we believe that's why patients in the imetelstat arm had a shorter progression-free survival than in the comparator arm. With regards to the non-small cell lung cancer study, I don't think we have formally declared that, that study has failed per se. What we have disclosed are 2 things. Firstly, that it -- the overall analysis failed to meet the pre-specified criteria for success and that we would be unlikely on the basis of the data we currently have to be moving directly into a Phase III study. But as Chip has pointed out, firstly there was a modest improvement in progression-free survival in the overall analysis and there are prespecified subgroup analyses ongoing, which are all based on different hypotheses. And the ones that we've talked about, I think, publicly in the past, one is the combination with bevacizumab and also some of the biologic characteristics of the tumor, which might predispose to sensitivity to imetelstat.",,,
Brian Klein,Graham K. Cooper,"And then -- and maybe a question for Graham. Given your reevaluation of the ongoing clinical programs at Geron, can you give us a sense of where you expect R&D spend to go over the next, let's say, 6 months?","Sure, well, Brian, as you know, as Chip referenced on the call, we're going through a strategic review right now. So it would be premature to give guidance for 2013 or even the first part of 2013. I do expect that our burn rate will be going down in 2013 relative to 2012. But we'll provide guidance once we get through this process that we're undertaking.",,,
Brian Klein,John A. Scarlett,"And then lastly, for Chip, a question on BioTime and the stem cell program, I know that you can't really comment specifically, but the assets, the stem cell assets that you have, have sort of been on the market for about a year or so, can you give us a sense of how discussions have gone over the past year and if the BioTime open letter is sort of your first offer that you received or if there's been other potential parties that have been interested?","Brian, I'm really sorry, but this is an area of confidentiality and a confidential process. I would just get in a whole heap of trouble if I made any comments about that, I'm sorry.",,,
Karen E. Jay,Stephen M. Kelsey,"It's Karen Jay in for Cory Kasimov. I just had a couple of questions on 1005 for the brain cancer trial, with brain mets. The [indiscernible] at San Antonio, is there -- can you give us a little more color as to whether or not it will be efficacy- related for the first patients that were involved, or will it be mostly safety?","No, the focus, KJ, the focus of our presentation at the San Antonio will be on efficacy.",,,
Karen E. Jay,Stephen M. Kelsey,"And then correct me if I'm wrong, I think the trial started really last December and you're maintaining your data guidance. So I mean can you confirm that you're very close to enrolling -- fully enrolling the trial?","We cannot confirm that we're close to fully enrolling the trial because at this stage, it's not entirely clear what full enrollment of the trial actually means. We're certainly very close to enrolling the first tranche of patients in the study, which is why we chose to submit an abstract to San Antonio. But there are -- there's a sort of rolling series of questions, and I don't think we're close to being fully enrolled in that study. We still remain well on track to do what we said we would do, which is have the top line data from the final -- the sort of final top line results by middle of next year.",,,
Karen E. Jay,Stephen M. Kelsey,"And then just on the 1005 trial with the lung cancer patients. Are you considering, instead of stopping the trial, changing the design to include other chemotherapeutic measurements?","We're considering a number of options. And we actually have organized a meeting, which will take place in the next few weeks from which we will be able to make informed decisions in partnership with our lead investigators and advisors. So I'll keep my powder dry until we've actually figured what we're going to do.",,,
Unknown Analyst,Stephen M. Kelsey,"The question about where the trials are running and regarding the measurement, or pre-measurement as it were, of telomere length. It seems that some variability in the telomere length may influence the outcomes of various patients in the trials that could influence the final result. I'm wondering what you've learned about that and how that might be influencing the design for imetelstat.","Just to frame your question. I think you're alluding to the fact that we have previously disclosed that one of the subgroup analyses in the lung cancer study and the breast cancer study was the analysis of outcome by pre-existing telomere length -- tumor telomere length. And so if I understand your question correctly, you're asking about the robustness with which we can actually measure that?",,,
Unknown Analyst,Stephen M. Kelsey,"That's part of the question, yes. And is it -- does every patient get measured?","Well, okay. So firstly, when we started the study, we did pre-specify in the protocol that we would be looking at outcome by pre-study tumor telomere length, but we did not mandate that every patient who wished to enroll in the study submit a tumor sample. So it turns out as is traditional for these types of studies that just over half of the patients in the lung cancer study had tissue for evaluation and around 2/3 of the breast cancer patients had tissue for evaluation. So that's the first sort of cut of the data. The second thing is the method by which telomere length is traditionally measured. We were the first people to turn that assay into something that could be performed on formalin-fixed paraffin embedded tumor tissue. Plenty of people have measured telomere length by a variety of techniques. But we actually turned the -- we set up a PCR-based assay that can measure it on formalin-fixed paraffin embedded tissue and again we presented that at the AACR earlier this year. The assay, as a research-grade assay, is reasonably robust. The coefficient of variation for the measurement of any individual patient's telomere length is probably 10% to 15% in either direction. And of course, that will result, for any given cut-off of telomere length, will result in a misclassification of 10% to 15% of the patients, but we will finish up the analyses and we'll be presenting the data at a scientific meeting probably sometime next year.",,,
