asker,responder,question,answer,,,
Mark Sue,James Flaws,"Some of the programs you’ve initiated, such as capacity control and the move to thinner glass are helping to improve gross margins. So I’m trying to get a sense of the sustainability of your efforts. Are we at a point of diminishing returns? Or are there further efforts to tactically improve gross margins? And conversely, are we at a point where you’re now getting the premiums or the early signs of premiums, particularly as it relates to Gorilla Glass and the new applications, such as NBT. Maybe if you could help us there, please.","Mark, I assume you’re talking about our corporate gross margin. And as you know, that’s always a combination of the mix of our various businesses. But what we like about our business hand right now is gross margins in telecom, specialty materials, life sciences, and environmental are actually improving. The corporate mix will obviously be dependent on the mix of the sales of those businesses, but the fact that all are improving leads me to believe that we have the potential to continue to move our year over year gross margins up. Obviously the most important thing for us remains display, and we must have moderate price declines. We had good price downward movement in Q2, being less than Q1. We’re expecting Q3 to be in a similar range, but we continue to believe there’s potential for price declines to moderate even further as the quarters unfold. So I would say we’re not running into diminishing returns in terms of sustaining gross margins. It’s premature for me to talk about the premiums on our new products.",,,
Mark Sue,James Flaws,"Now that we’re almost anniversarying your price change to Corning’s price and the market price, the thought is that the moderate price declines will prevail. How does that occur when you have a competitor that’s still adding capacity? Or is that just very localized, do you feel? And at the same time, as we move towards the back half of the year, are there annual price negotiations that are still variable, or are we at a point where the pricing change that you’ve made is going to be beneficial for the industry going forward?","Obviously I can’t speak for our competition, but we believe that price declines have moderated for the entire glass industry. And particularly with a benefit to our panel customers from the yen, we believe there’s potential for that to continue. In terms of the capacity additions by our competition, we believe only one of our competitors is adding capacity in Korea, and we believe even that is at a very moderate pace. We’ve learned that the capacity there is smaller tanks, so we’re hopeful that we’ll be able to have an industry environment where price declines continue to be at a moderate level. It’s premature for me to comment on price negotiations and contracts. We’ll give you an update on that in October.",,,
Wamsi Mohan,James Flaws,"Jim, can you comment on the China deceleration in the back half as it pertains to display? I think you mentioned an area growth of 5% in the second half. What is the underlying unit assumption? And will your glass shipments match that level of growth? Or are inventory levels such that you might be undershipping that level?","We’re looking for our glass shipments to be consistent to up slightly. So units will be negative in China in Q3, but area will be only slightly negative. We’re looking for area to be up in Q4 in China. And remember, there are Chinese holidays, again, in the later part of the year.",,,
Wamsi Mohan,James Flaws,"And a quick follow up. On specialty materials, it looks like the revenue outlook was a little softer than most expected. Can you address if it’s an inventory correction related issue? Or is it weaker demand given the deceleration in tablets and to some extent in smartphones? And any update you might have for us on auto?","On auto, I don’t have any update for Gorilla at this stage. Relative to Gorilla for consumer electronics, we have been working hard on modeling the supply chain, and we believe that there was excess inventory built up by a number of customers from the fourth quarter. And that’s being worked off this year. And then the second thing, of course, is that we have seen yield improvements in the supply chain over the course of the year. So those two things have been maybe reflected in what you perceive as the softer demand for Gorilla. If you take those out, looking at the amount of Gorilla being pulled from the supply chain to go into phones and tablets going to retail, we think it’s growing nicely. Obviously it always depends somewhat on model launches in the phone business, but that’s what’s affecting it. But really we did have some excess inventory carried over this year.",,,
Rod Hall,James Flaws,"You just commented on the Chinese subsidy. You expect it may come back down again at the end of the year. Are you assuming that subsidy reduces in your guidance for Q3? Or are you assuming it’s static in Q3, and then we’ll wait and see what happens and decide how to guide for Q4? That’s my first question. And then the other thing is I know you normally don’t like to comment too much on capacity utilization, but it feels like utilization for glass capacity is getting relatively high, and I wonder if you could just comment on that, give us any color, on what you think capacity utilization looks like. And then also, for panel, just where are we with capacity utilization and where you think we’ll be as we get into the seasonally high month here heading into the back end of the year?","That’s a lot of questions. On our assumption on China demand, we’re assuming the subsidy has gone off. We’re not including anything coming back in our outlook for the remainder of the year. All we’ve heard is some rumors that there may be a new subsidy in the fourth quarter, but that’s not in our demand at this point in time. Relative to capacity utilization, our wholly-owned display business is relatively full. We’re delighted by that, as you saw the very strong shipments in quarter two. Gorilla, because of the inventory work off, is not as full right now. We have significant capacity still offline at SCP. Panel capacity, we think there’s adequate panel capacity to meet what we see as retail demand.",,,
Patrick Newton,James Flaws,"I wanted to dive a little bit into display inventory levels. You seem relatively comfortable with the 18 weeks of inventory level, but I’m curious, if we go by geography, are there any areas where inventories were more elevated or lean? And specifically focusing on China, given your expectation of lack of subsidies in the second half? And then do you have any concerns on inventory levels in tablets and smartphones relative to TVs?","I don’t have any detailed information on tablets/smartphone inventory. On display inventories, I wouldn’t characterize it as relatively comfortable. I’m always nervous when inventories get to an 18-week level. We have done a lot of work on trying to figure out is the items that I talked about with the more sizes really having an influence? We have some positive information that says that has been contributing, but I remain nervous about the 18 weeks. I don’t have a lot of geographic information. The only thing that I’ll comment on is that we believe that there has been an excess of 32-inch televisions built in China. And that’s the only place that I’m aware of where there’s a potentially significant problem, that’s localized.",,,
Patrick Newton,James Flaws,"And then I guess as a follow up, on the Gorilla Glass outlook, I’m trying to understand. You did make the comment that touch could be shipping, specifically the Gorilla Glass MBT, in the second half of ‘13. I was wondering if that is baked at all into your guidance for Q3. And then the comments that you made about cover glass for phones and tablets increasing about 30% year over year, but you have yield improvements and inventory heading into the year. I’m trying to circle that back to your previous guidance, I think, that Gorilla Glass would grow double digits year over year. Could you help us perhaps narrow that range between double digits and 30%?","I guess I would say that when we look at the amount of inventory and the amount of yield issues, that have occurred for this year, that we would have thought that the demand for Gorilla on us would be greater. And when we adjust for those two things, we would say that there definitely is greater than 30% growth, but those two items have harmed us, if you do a comparison year over year.",,,
Patrick Newton,James Flaws,"Okay. And then, I’m sorry, in the touch notebooks, that all baked into Gorilla Glass for Q3?","Yes, but very small levels. We’re still unsure about how fast the consumer acceptance will come on touch notebooks. I was delighted to see in the Best Buy circular last week quite a few advertised, but we put in a fairly low level right now.",,,
Steven Fox,James Flaws,"One clarification and then one question on LCD glass. Just on the guidance you provided, you referenced year over year comparisons versus gross margins and expenses. Is that versus the restatements already provided, $0.29 and the 44% gross margins? Or is there something else that has to be restated out of that, as you also mentioned? And then secondly, just on the LCD glass, the two big dynamics seem to be China and average screen size increasing. Is there any sense for how much the China subsidies helped in terms of that 40% growth in the first half? And then in terms of average screen size increasing, you seem to be implying an acceleration in average screen size, even versus what you talked about at the analyst meeting. Any more color around how that’s helping, maybe in the second half of the year?","The screen size thing is becoming increasingly important. We really started seeing this large size impact start last year. We were uncertain whether it would continue to grow this year, but it definitely is, and seems to be accelerating. So you’re right about that. I think all of my statements on gross margin relate to our restated results from the prior year, and as I mentioned on our website we’ve done some updates on that, and many analysts asked us to do 2011 also. So we’re putting that on our website too.",,,
Steven Fox,James Flaws,"And then just in terms of China, how much do you think the subsidies helped in the first half?",I don’t have a detailed number right now.,,,
