Asker,Responder,Question,Answer
Unidentified Participant,Rick Marabito,I guess can you break out your tons sold for just the fourth quarter for me and then I have a few others as well.,"Sure, I will take that one Mike. So Nate, our fourth quarter tons sold and as you know and we’ve commented we the tons sold reporting is for the flat roll group. So there is no ton included in terms of the tube and pipe group. So in fourth quarter of 2011 our tons sold were 257,000 and in 2010 they were 254,000."
Unidentified Participant,Rick Marabito,And how much of that was direct tons?,"We were 243,000 direct versus 231,000 direct last year."
Unidentified Participant,Rick Marabito,"Okay, and can you, you said that the startup costs in the fourth quarter were $775,000 correct?",Yes.
Unidentified Participant,Michael Siegal,"Okay, and can you, you said that the startup costs in the fourth quarter were $775,000 correct?",Yes.
Unidentified Participant,Rick Marabito,And what are those going to continue into 1Q and how do you see those moving forward?,"Yeah, we as David outlined we’ve got various operations of various size coming onboard. The biggest of our operations obviously is the Gary facility. We are through it David commented most of the startup costs so a big chunk of the fourth quarter startup cost that I highlighted in the $775,000 were related to Gary. So we would see that tapering off, it is tapering off in the first quarter and as David said we are in a cash flow neutral position. Some of our other facilities however at different stages of ramp up, so we commented about Streetsboro, Streetsboro should be up and running in second quarter, so I would anticipate in first quarter we are going to have similar type expenses in Streetsboro probable a little bit more than we had in fourth quarter. And so in summary what I would tell you is that we will have like or slightly less operating expense drag on new facilities and then certainly as we get into second quarter we would see those starting to dwindle."
Unidentified Participant,Rick Marabito,"Okay and then I mean, is that in the warehouse and processing line?","Well, it’s a combination of yes there is some in warehouse and processing as we hire, there is some in administrative costs in terms of getting the facility set up with IT equipment, legal expense, admin expense, depreciation as we open the new facility and install the equipment. So those would be the bigger items in terms of the operating expenses."
Unidentified Participant,Michael Siegal,Can you just kind of remind us of your spot the contact mix and its debt and if there is a big change between sheet and plate?,"Well, I would say we have a growing emphasis for more contract business. Historically we were probably in a more 60-40 we see that growing two thirds, one third. So that’s when David comments about some of the drag of the trailing indexes that allowed the contracts are tied to. And I’m not sure Nate what your specific question is about plate."
Unidentified Participant,Michael Siegal,"No, I would just ask if there is I guess a meaningful variance between sheets exploited.","No, it’s like the heavy highly engineered products seem to be having more momentum a lot of the flat roll products but you know that’s just indicative of the specific demand at the moment."
Martin Englert,Rick Marabito,Question about the SG&amp;A it looks like the percentage versus revenues stepped up quarter-over-quarter the absolute dollar amount was roughly flat to slightly higher at about $53.8 million. What can we kind of expect to going forward should this drop back down to where it was 14.5% to 15.5% of sales or is it going to remain roughly around that 53?,"Well, I think Martin you’ve got tied into the conversation we just had. I would expect first quarter to be pretty similar we had a couple of things as you are looking at the operating expenses as a percentage of sales so we had some of those startup costs that I just went through and I won’t go through those again. And you’ve also had some pricing pressures as David and Michael outlined earlier on the call in terms of fourth quarter that obviously impacts the percentage not so much the true dollars. So as we look at first quarter I would tell you our anticipation is, is that we would have startup costs as I outlined and our operating expenses as a percentage would be pretty similar to slightly less than what we saw in the fourth quarter."
Martin Englert,Rick Marabito,"Okay, but I know you mentioned that a large portion of the startup cost were related to the ramp up of the Gary temper facility, can you provide any more detail as how much was that 75% of the startup costs or 60%?",It was over half.
Martin Englert,David Wolfort,Over half. Okay. Actually there if I could ask one more question as far as the demand did you mention that overall the heavy equipment automotive looks relatively good as effective to grow year-over-year. Any signs of weakness because of the economic weakness and slowdown over in Europe and Asia as well as part of the export demand for that equipment.,"Martin, I will take that and David here and the answer the short answer is no as a matter of fact as I mentioned earlier in my comments we have seen greater demand from our OEM based starting in Q1 versus Q4. We have not seen any less participation even on the export side on these highly engineered products, greater demand for that product even though the value of the dollar is high."
Ed Marshall,Michael Siegal,"So, my focus is going to be on the CTI you’ve had it now for six months. It looks like the quarter would have had a reported loss without it in the core business, which I guess is not unusual for your fourth quarter seasonality in the flat roll. But that obviously supports why you went after this particular business but now you’ve had it for six months I mean how do you see this shaping up, do you even find if it’s performing better than you thought it would. You know it’s kind of can you add some additional comments surrounding that CTI acquisition?","Well, let me comment first at and maybe David wants to comment afterwards. But yes it is performing every bit to our expectation and I think as David indicated this was an exceedingly well managed organization that restore profitability I think the combinations as David talked about of our integration teams introducing one CTI to Olympic customers and vice versa Olympic customers to CTI has been very well received. I think as we look at placing inventories in locations we have some real costs, opportunities to eliminate some freight factors as we go forward. So both from a growth standpoint and a cost reduction standpoint I think it is actually operating better than we would have anticipated."
Ed Marshall,David Wolfort,"So, my focus is going to be on the CTI you’ve had it now for six months. It looks like the quarter would have had a reported loss without it in the core business, which I guess is not unusual for your fourth quarter seasonality in the flat roll. But that obviously supports why you went after this particular business but now you’ve had it for six months I mean how do you see this shaping up, do you even find if it’s performing better than you thought it would. You know it’s kind of can you add some additional comments surrounding that CTI acquisition?","Hi Ed, David here. Just echoing what Michael said we were fortunate enough to be able to acquire Chicago Tube and Iron and our view of this was it was a company that had economies of excellence unquoted. So when you have a highest of expectations you are rarely surprised or disappointed and CTI’s case led by Don McNeeley we were surprised how strong this company has allowed us to further penetrate a marketplace. So what’s unique about this uniting of these two companies and the acquisition of CT&amp;I is that we didn’t justify that purchase with any synergies to our board. There were no synergies we thought that company was so well run that they were going to be and they are a great business partner for Olympic Steel. What we thought afterwards was that we would put a commercial integration team together, which we did and we thought that we could prosper exponentially by investing in equipment as Michael outlined and also in penetrating new marketplaces and we have been pleasantly surprised to the welcome that has been put out there for us and the success that we’ve seen. So it is every bit and more than we had anticipated."
Ed Marshall,David Wolfort,"What kind of synergies if I may have you identified in that acquisition again you’ve seen it for six months. And when you speak of synergies are you talking about revenue synergies because of you know cross selling of the product lines or you are talking more and you did mention cost synergies, so I’m assuming there is some of those as well.","Well number one Ed you are 100% right and that is revenue synergies and the combined entities even though we only have half the year of their sales in our 2011 success. We see in excess of $100 million of new businesses over a time period it’s just a matter of how much, how fast we can absorb this new participation. Secondly on a cost basis we in many cases were selling some of the same large OEMs and we are able to reallocate some of our resources in terms of inventory and capture some freight savings and then free up some space in some facilities for more opportunities of growth."
