permno,eventdate_n,CIK,CONM,CUSIP,artnum,atq,comnam,cusip,ticker_hist,SIC,FF12,FF12_name,car_1_1
77868,20190905,887226.0,PERCEPTRON INC,71361F100,5547,62.838,PERCEPTRON INC,71361F10,PRCP,3820,6,Business Equipment,0.0372789091
64961,20090130,708818.0,NEXTGEN HEALTHCARE INC,65343C102,117719,235.194,QUALITY SYSTEMS INC,65343C10,,7372,6,Business Equipment,-0.006040559
76207,20120126,719866.0,ARCTIC CAT INC,39670104,322419,279.207,ARCTIC CAT INC,3967010,ACAT,3970,1,Consumer Nondurables,0.288985941
39693,20121026,9984.0,BARNES GROUP INC,67806109,955141,1878.879,BARNES GROUP INC,6780610,B,3542,3,Manufacturing,-0.042530778
81869,20210331,944480.0,GSE SYSTEMS INC,36227K106,5003,39.19,G S E SYSTEMS INC,36227K10,GVP,7372,6,Business Equipment,-0.113728056
88991,20160211,1064728.0,PEABODY ENERGY CORP,704551100,3888906,11021.3,PEABODY ENERGY CORP,70454920,BTU,1221,4,"Oil, Gas, and Coal Extraction and Products",-0.268693967
10645,20160614,798081.0,LAKELAND INDUSTRIES INC,511795106,3982072,91.037,LAKELAND INDUSTRIES INC,51179510,LAKE,3840,10,"Healthcare, Medical Equipment, and Drugs",0.0150532611
92460,20091026,1227930.0,ENTROPIC COMMUNICATIONS INC,29384R105,168965,80.712,ENTROPIC COMMUNICATIONS INC,29384R10,ENTR,3674,6,Business Equipment,0.0250151333
84168,20070726,1018003.0,INGRAM MICRO INC,457153104,42573,7944.106,INGRAM MICRO INC,45715310,IM,5045,9,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",-0.033372469
81540,20161102,1140859.0,AMERISOURCEBERGEN CORP,3.073E+108,4018450,33656.2,AMERISOURCEBERGEN CORP,30730000000000,ABC,5122,9,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",0.0480723677
83399,20160607,1000230.0,OPTICAL CABLE CORP,683827208,3980446,42.195,OPTICAL CABLE CORP,68382720,OCC,3357,3,Manufacturing,-0.064631389
90808,20210506,1324424.0,EXPEDIA GROUP INC,30212P303,3052,21866.0,EXPEDIA GROUP INC,30212P30,EXPE,4833,7,Telephone and Television Transmission,-0.017237166
77292,20120503,882104.0,PDL BIOPHARMA INC,69329Y104,558071,234.963,P D L BIOPHARMA INC,69329Y10,PDLI,2830,10,"Healthcare, Medical Equipment, and Drugs",0.0295030559
90808,20100729,1324424.0,EXPEDIA GROUP INC,30212P303,217529,6622.894,EXPEDIA INC DE,30212P30,EXPE,4833,7,Telephone and Television Transmission,0.0583447305
92619,20100512,1273441.0,GRAN TIERRA ENERGY INC,38500T101,204775,1168.916,GRAN TIERRA ENERGY INC,38500T10,GTE,1311,4,"Oil, Gas, and Coal Extraction and Products",0.0139546545
