COMPANYNAME,QUARTER,YEAR,QUESTION,ANSWER,CLEAR,ASSERTIVE,CAUTIOUS,OPTIMISTIC,SPECIFIC,RELEVANT
EXPE,Q3,2010,"	Two things. You had OIBA growth, I think, 15% but 22% x currency, and presumably, currency is getting quite a bit better in the fourth quarter. So is your guidance for the kind of the higher number or the lower number? And then the second question is just on TripAdvisor. Can you help us and just remind us what that third-party growth that grew 59% and whether that's attractive growth and that's what you're really trying to drive?
","And I think our TripAdvisor and the third-party revenue, we're pretty neutral as to whether the revenue is third party or intercompany. I would say if you look at TripAdvisor's patterns, really, TripAdvisor and Expedia-Hotel point-of-sale support each other in that as TripAdvisor gets into a new country, it has automatically launch partners with Expedia and hotels.com, Hotwire to the extent. Well, Hotwire not internationally. But automatically, it has Expedia and hotels.com as launch partners, which helps TripAdvisor monetize immediately and then allow TripAdvisor to spend marketing money to grow that point-of-sale, so to speak. With time, then TripAdvisor goes out and acquires domestic players to play in the TripAdvisor marketplace and to increase the marketplace. So the average number of OTAs that TripAdvisor works with typically increases as we establish a new TripAdvisor point-of-sale. So that's where you're seeing the third-party revenue growth very quickly. It's growing internationally very quickly. We're accelerating the pace of new TripAdvisor sites on an international basis, and those revenues are growing at triple-digit growth rates along with collect [ph] and a lot of that is third-party revenue after kind of anchor clients come in, which is Expedia and hotels.com. So I think Trip runs a fair game, and they take all takers. And as long as quick growth grows as fast as it is, it is and will continue to be a perfect business for us.",2.0,2.0,1,1.0,2.0,2.0
EXPE,Q3,2010,"	Two things. You had OIBA growth, I think, 15% but 22% x currency, and presumably, currency is getting quite a bit better in the fourth quarter. So is your guidance for the kind of the higher number or the lower number? And then the second question is just on TripAdvisor. Can you help us and just remind us what that third-party growth that grew 59% and whether that's attractive growth and that's what you're really trying to drive?
",I'd note that Trip also is growing its CPM advertising and that is almost exclusively third parties as well.,2.0,2.0,1,1.0,2.0,2.0
EXPE,Q3,2010,"	Two things. You had OIBA growth, I think, 15% but 22% x currency, and presumably, currency is getting quite a bit better in the fourth quarter. So is your guidance for the kind of the higher number or the lower number? And then the second question is just on TripAdvisor. Can you help us and just remind us what that third-party growth that grew 59% and whether that's attractive growth and that's what you're really trying to drive?
","So on FX, we were absolutely hurt on a year-on-year basis as foreign currencies were weaker on a year-on-year basis. As Q3 progressed and now into Q4, we've seen a strengthening of FX rates, but they still are below where they were last year. So we will have another headwind in Q4 as well. So when we are looking at our figures, we're basically using current rates and projecting them through the rest of the quarter.
",2.0,2.0,0,0.0,2.0,2.0
GERN,Q3,2012,"
And in that regard of moving into other indications, I imagine, Chip, this is going to be part of discussion when you review the strategic review of all the programs. I mean if you're talking about a strategic review, like I said of all the programs, you could -- what the spectrum of outcome could be keeping everything going as it is versus changing everything that's going on. Can you talk a little bit more about what the criteria might be for the strategic review? I know you probably won't be able to say very much more about it.
","Sure, I mean, it's exactly what you would expect. We're looking at the opportunities from a -- ultimately a commercial perspective in where the greatest opportunities lie, what the cost of development is and what the cost to get to key investable milestones are. And then arraying that against our cost basis, our existing cost basis and our cost basis going forward. And the idea is to maximize our opportunity while minimizing our spend. And that's a well-trod path in our business, it's one that most companies go through at some point in their -- as their plans get informed by results and various opportunities. And so that's exactly what we're doing. And as soon as we have clarity around that, especially in light of the results that we announced on the solid tumor studies, we will come back everybody and let you know exactly how we see the direction changing if at all and what we anticipate investing in and what we would hope the appropriate, not only the appropriate outcomes but sort of the timing for those outcomes and the timing of the spend.",2.0,2.0,1,1.0,2.0,2.0
BLDR,Q3,2018,"
Got it. Thanks. Sorry I missed that. And then with free cash flow, the target, $170 million to $190 million, expecting to come in at the low-end, I think that's what you guys said last quarter, too. But just wondering what was the driver of coming into the low-end. I understand the earlier part of the year when you had a big working capital draw with the higher lumber, but I would have thought it might be more of a tailwind with the commodity coming down and maybe might catch a little more benefit in the 4Q. Any just commentary around the direction there of going towards the low-end?","And, Trey, it gives us a little flexibility if we decide to take some inventory position between now and the end of the year as well.",2.0,1.0,1,1.0,1.0,2.0
BLDR,Q3,2018,"
Got it. Thanks. Sorry I missed that. And then with free cash flow, the target, $170 million to $190 million, expecting to come in at the low-end, I think that's what you guys said last quarter, too. But just wondering what was the driver of coming into the low-end. I understand the earlier part of the year when you had a big working capital draw with the higher lumber, but I would have thought it might be more of a tailwind with the commodity coming down and maybe might catch a little more benefit in the 4Q. Any just commentary around the direction there of going towards the low-end?","Yeah. I'll be real candid that that type of cash flow forecasting for the year-end is always very challenging. We're looking at the numbers in detail and trying to dial it in. Part of it has to do quite simply with the burn-off of the – or the collection process around the sales and the burn-off of the inventory that we had earlier on in the year. I'm sure you can appreciate the fact that the averages look nice and easy, but down at the location level, it's a bit more challenging to see where's the wood, where are the receivables, and at what pricing, and then how are we burning it off. It's our best estimate. We're clearly going to shoot for more than that, but I think that $170 million is the right number for the guidance. But in light of that, we are still going to be below the 3.5 times levered number. That's a commitment that we are committed to and that we're looking forward to delivering on as sort of the final chapter in the ProBuild acquisition story.
",2.0,2.0,2,2.0,2.0,2.0
GCI,Q3,2013,"
Just a couple of questions on the newspaper segment. The first is on the paywall. I just wanted to understand the math behind the $100 million gain in operating revenues -- I mean, sorry, the operating income. Because if we go back to 2011 and compare the revenues, circulation revenue to that period for the first 3 months -- 3 quarters of this year, then you're just slightly ahead of what you were doing then. And if I remember correctly, you'd guided us to an operating margin of about 50% in that business. So the revenues are just slightly ahead. Then just from a -- just mathematically, the margins can only be higher than $100 million if the operating margins are a lot higher than 50%.
","And that was the rate -- that was the target, the metric that was put out at the time we had launched the all-access content subscription model in the spring of the prior year. So that's the apples-to-apples in terms of those 78 markets and the benefit of this particular rollout.",2.0,2.0,1,1.0,2.0,2.0
GCI,Q3,2013,"
Just a couple of questions on the newspaper segment. The first is on the paywall. I just wanted to understand the math behind the $100 million gain in operating revenues -- I mean, sorry, the operating income. Because if we go back to 2011 and compare the revenues, circulation revenue to that period for the first 3 months -- 3 quarters of this year, then you're just slightly ahead of what you were doing then. And if I remember correctly, you'd guided us to an operating margin of about 50% in that business. So the revenues are just slightly ahead. Then just from a -- just mathematically, the margins can only be higher than $100 million if the operating margins are a lot higher than 50%.
","Okay. I think what you're looking at is our total circulation revenue, which would include USA TODAY, Newsquest as well as U.S. Community Publishing. Well, obviously we have the benefit of knowing those numbers as they pertain to each one of those businesses. And we have been scrupulous in viewing those numbers. And if you look at where they are, there's several components you have to look at when you simply look at the 78 markets within U.S. Community Publishing that had the benefit of the all-access content subscription model. So you start with gross revenues, then you have to take that down for additional marketing, additional other things that we do. And in fact, those numbers are very much on track to realize the $100 million of operating revenue -- operating profit.",2.0,2.0,1,2.0,2.0,2.0
BJRI,Q2,2019,"
Yes, that's helpful. And then just the restaurant margin was down, obviously, a couple hundred points this quarter with the two comps. So -- and it looks like it's going to be down, based on your guidance, another 150 on a -- on a softer comp. So, how do you keep margin flat with a 3% comp?","Well, we think with the 3% comp and you start to come back and take out some of the initiatives that we rolled through, it's probably going to be a little bit of a challenge from that standpoint, I think, as you look at it. But I think there's some efficiencies that we can go after. I also believe, as we look at this, some of it is transitory, you know, avocados are starting to come back in line from that standpoint. So, we would probably pick up the basis points there. We've got the basis points in some of the investments that we're rolling out in labor that's started to help us.And then, as always, we're going to go after that operating occupancy line and make sure there's areas that we can get more efficient at in our business. I think there's a challenge -- we think -- Chris, real quick, the challenge we face, frankly, and I try to make this clear short-term, is Q3 is just our lowest weekly sales average quarter and that with, you pay some utility rates, we start to pay for the NFL package in our restaurants. There's just little things that kind of hit us in Q3 but I think when we look at our business longer-term, we like where we are, we like the menu, variety that we have, the fact that we can have value on one side and we can have higher priced items or center plate entrees on other, but that will allow us to drive sales, drive check average and provide a great guest experience that frankly will allow us to drive margins.",2.0,1.0,1,2.0,2.0,2.0
KLAC,Q4,2014," A couple of them. Rick, I have a question. Your 2 foundry customers that are doing 14-nanometer FinFET and they have a technology tie-up. Are the DTOR[ph] or PTOR[ph] tools the same between the 2 or can they make independent decisions?"," I'm trying to think about the confidentiality of that question. I think that, in general, our customers, the ones we deal with, are unique and able to make their own decisions.",1.0,1.0,1,1.0,1.0,1.0
