Asker,Responder,Question,Answer,Clear,Assertive,Cautious,Optimistic,Specific,Relevant
James Hardiman,Claude Jordan,"Hi, good morning. Thanks for taking my call. A couple of questions here on guidance. Core ATV, you’re assuming flat to down 5% for the year. Obviously, as you mentioned, the fourth – and that’s an industry assumption – obviously, the fourth quarter was up pretty nicely and so it sounds like you’re assuming a pretty meaningful deceleration. Is that just being conservative or does that – are you seeing something so far during the first quarter that would support that?
And then I guess the flip side of that question, in terms of Snowmobiles, flat to up for the industry, I think it’s pretty straightforward what warm weather does to your ship-in patterns, but how does that affect sell-through ultimately, given how warm we finished this past snowmobile season?","All right, James. A lot of questions there. I’ll start to break them down a little bit. On the ATV side, you’re correct. Calendar year, the January, February, March that just completed, there is no doubt that the ATV industry, as I mentioned in my comments, did show some positive results. It’s the first time we’ve seen that for some time.
What I would say is as we continue to talk to dealers, as we look at the overall economy out there, we’ve not seen enough to go ahead and justify, in our opinion, that we have now hit the bottom and that ATVs are going to go ahead and turn around. So I think that the zero to down 5%, based on where it’s been over the last few years, is our best estimate as we sit here today.
On the other side of the equation, or side-by-sides, we do not provide industry data because it’s not put out by the association. But as we mentioned during my comments, we saw double-digit growth during the quarter as well as for the fiscal year last year excluding the Wildcat, and we would expect that to continue into next year or so. I think we’ll see another good year on side-by-sides and I think we’ll see it improve, but although not a great year on the ATV side of the business.
Regarding snowmobiles, our estimate now of zero to plus 2%, primarily driven by I’ll say pent up demand, we didn’t have a lot of snow in a lot of North American markets. We had good snow in certain other parts, Scandinavia, Russia and so forth. But I do think you’ll see those buyers that would have bought in January, February and March come back into the market and we’ll see a positive result of that next year.",,,,,,
James Hardiman,Claude Jordan,"Great. And then just in terms of Wildcat, can you give us any early data in terms of how sell-through has gone? And ultimately, as I think about your guidance for next year, how significant is Wildcat in that guidance? What’s sort of the year one assumptions there?","Yeah, we don’t breakout individual data on individual models. So I can’t give you a lot of detail there. The guidance that we’ve provided on the ATV business, which includes side-by-sides as well of Wildcats, we said would be up anywhere from 26% to 32%; that’s over a year that we just completed. And so when we looked at the year we just completed, ATV sales were up 25%. So up 25% the year we just completed and next year we’re saying 26% to 32%. So, overall, I’d say it’s – you can break them down into three buckets, but there’s no doubt that that’s having the biggest amount of impact of the three categories in our ATV business.
In terms of guidance, I think the guidance we’ve provided takes into consideration – the Wildcat sell-through has been going very well. But as we have mentioned before, our objective was not just take orders and ship the orders. We shipped the product. We took orders, we shipped some product and we wanted to see how retails were going and retails are going very well. So we’ve continued to go ahead and ship.
You can see in terms of overall inventory, we continue to watch that very closely. And we don’t want to go ahead and ship based on initial orders. We’d rather go ahead and see how the market’s reacting and then ship based on retails.",,,,,,
Craig Kennison,Claude Jordan,"Morning. Thanks for taking my questions as well. Just wanted to follow up on the guidance you issued. The ATV guidance in particular, does it only include products that you’ve already launched?","Well, I mean, obviously, we look for it the entire fiscal year 2013 and we would go ahead and consider things. I mean with the – you don’t want to go ahead and count on things that might come in, in March. But if we think we have a reasonable chance of launching new products some time during fiscal year 2013, we would include it in our numbers.",,,,,,
Craig Kennison,Claude Jordan,"Okay. That makes sense. And then on the related note, Parts, Garments and Accessories, your outlook for that business is maybe conservative, in my eyes, given the huge opportunity you have with Wildcat to sell PG&A. Can you help us unpack and sort of think through your guidance there?","Yeah, I think that there’s a good guy in there. When you look at our PG&A business, we said we’d be up 1% to 3%. The good guy being the Wildcat side of the equation. There’s no doubt that as people buy Wildcats, they will go ahead and accessorize those. And so we should see a very positive uptick on our accessories for Wildcats.
On the other side of the equitation, as we mentioned, the snow industry in retail should be up zero to 2%, but you can see our guidance in terms of shipments, down 4% to 6%. And so, with that, less accessories there. There are less people riding in the fourth quarter and we saw a drop-off in snowmobile parts. So if the dealers still have those parts, then we would’ve expected to see that a little bit soft next year as well. So you have some tradeoffs and some good guys in the Wildcat and then some negatives being impacted from the snow.",,,,,,
Craig Kennison,Claude Jordan,"Are you able to quantify the dollar impact of attachment you get with PG&A for Wildcat, if you will?","Right now I’d say, we’re only a couple of months into shipping the Wildcat, so it’s really hard to come out with an attachment rate on that just yet.",,,,,,
Craig Kennison,Claude Jordan,"Okay. And then, Claude, could you give us any comments on Europe and just the broader trends there? We’ve seen declines from other categories, but I wondered what your take is so far this spring?","Europe was a – first of all, was a very good year for us. Our entire international business was good for us and so, when you’re talking about Europe, whether it’s ATV or snow, on the snow side, they had good weather. The markets you’re talking about, Finland and Sweden, the northern markets really weren’t/aren’t as impacted as the rest of Europe, such as the southern part of Europe. And so on snow, we had a very good year.
On ATVs, we also experienced very good growth in European markets. Italy, Spain are not big countries for us. The big countries for us France, Germany and then, obviously, Norway and Sweden and countries up north are big as well. So, today, we haven’t seen any kind of impact. Last year, we saw a major pickup and I think as we look at Europe for next year, we’re being somewhat conservative in terms of what we’re expecting from them in terms of possible growth.",,,,,,
Joe Hovorka,Tim Delmore,"Thanks, guys. Couple of questions. Do you have any commentary on April retail trend, specifically around ATVs for the industry or for your numbers?","Yeah, not – Joe, I’ll be honest, I didn’t bring the April results with us. We brought guidance for the full year. And quite honestly, I’m trying to think whether – yeah, Joe, I didn’t bring the April results with me for retails.",,,,,,
Joe Hovorka,Claude Jordan,"Okay, okay. And your Snowmobile, do you have orders right now from your dealers? Don’t you usually have your orders by April or so?","We do. We had our Snowmobile dealers show at the end of February, beginning of March, which is when we take orders from probably 80-some percent of our dealers and then obviously, we will get orders over the next couple of months. And so we’re just in the process now of going ahead and bringing those together and to figure out what the wholesale will be for the year. ",,,,,,
Joe Hovorka,Claude Jordan,Okay. So do you – are they in line with that flat to plus 2% or is that something you don’t know yet?,"Well, the flat to plus 2% is retails. What we’ve said on guidance for Snowmobile was down 4% to down 6%.",,,,,,
Joe Hovorka,Claude Jordan,Okay. And the orders reflect that?,"Yeah. Yeah, I mean the guidance we’ve given, across the board, would reflect, as we sit here today, how we see fiscal year 2013.",,,,,,
