asker,responder,question,answer,Unnamed: 4,Unnamed: 5,Unnamed: 6,Clear,Assertive,Cautious,Optimistic,Specific,Relevant
Wendy B. Caplan,Ronald L. Hoffman,"Could we talk a little bit about the book-to-bill in the segment? Looks like Fluid Management and Electronic Technologies still above 1, but the other two segments look a little weaker. Notably Engineered Systems, which I am guessing is from the Engineer Products lumpiness. But if you could kind of expand on, on that those two segments' book-to-bill, please.","Wendy if I might, just to kind of put this into reference, again our orders were up year-over-year by about 6%. The trade of those orders were very similar to last year in terms of kind of where they hit. But the segments you talked about were the weaker of the four. However, that's not totally untraditional. Some of that's a reaction to some of the changes that Wal-Mart is bringing into the marketplace, as well as the Belvac which is certainly seeing a different hand making opportunity this year versus past year. That's just more of a market change of opportunities. Those are project-related businesses.",,,,,,,,,
Wendy B. Caplan,Robert A. Livingston,"Could we talk a little bit about the book-to-bill in the segment? Looks like Fluid Management and Electronic Technologies still above 1, but the other two segments look a little weaker. Notably Engineered Systems, which I am guessing is from the Engineer Products lumpiness. But if you could kind of expand on, on that those two segments' book-to-bill, please.","Wendy, this is Bob. At Engineered Products platform, our book-to-bill for the second quarter was 0.97. And as Ron mentioned, the real significant decrease year-over-year was at Belvac, and that's just we're just in a down cycle right now, and sort of a multi-year project phase that some of their customers go through. A little bit of a negative comparison at Hill Phoenix, for year-over-year, that again, mostly due to the decline of new store construction at Wal-Mart. And the rest of the businesses in that group held up fairly well.",,,,,,,,,
Terry Darling,Ronald L. Hoffman,"Thanks. Wondering if you could comment a little bit on what you see changing on three items for the second half of the year, that you've addressed that sort of implicitly a bit first, on organic growth, 5.5% or so, this quarter, very strong. Looks like on a book-to-bill, we ought to see that pullback a bit. And then wondered if you could also talk about this raw material price, continuing into the second half. You're being cautious on it. Is that just based on the macro factors? Or do you have some visibility on that, continue getting tougher for you?","Kind of addressing each of those questions, certainly from an organic growth standpoint, we've identified that we forecast 4 to 5% organic growth through the remainder of the year. There's not a lot of acquisitions that we did in the end of '07 that will fuel acquisition growth. So we still feel pretty good about that number. I would also say that referring to, back to our book to bill I think, we kind of covered it fairly well in the last comments but there wasn't anything significant in the market that really caused us to see a significant change in business level. We were up year-over-year. We continue to feel very strong about the oil market. We continue to believe their product ID is going to hold up well. Electronics certainly has a nice comeback in the quarter where we would like to think that we'll see some of that hold up, but that's always a bit of a variable market. But we still feel pretty good about the economy right now. Terry, it's been a pretty strong year so far. Racking the raw material prices, I think we've done a number of things to prepare our companies to be less a more proactive as it relates to the raw material pricing and kind of how we handle that. We did a lot of moves of our companies to Mexico to other Eastern block companies to increase our presence in Asia over the last couple of years. There was cost associated with that. I think we are getting the benefit of that now. I think our companies have internal initiatives on synergy. They are making it more efficient and then I think we are doing a much better job of analyzing the real value we bring to our customers and appropriately pricing through that. And I think those things in total have caused us to offset majority of our raw material price increases year-to-date.",,,,,,,,,
Terry Darling,Ronald L. Hoffman,"And then just a quick modeling question. Can you talk about the sequential increase in net interest expense and the year-over-year decline in free cash flow, and what you are expecting on interest expense and free cash flow on the back half of the year?","Yes, from an interest expense, it was really just driven by probably a more accelerated share purchase than we originally laid out. So that dropped our net debt up about $0.5 billion. And the difference in the interest expense is the delta effect. And what was the second half of your question?",,,,,,,,,
Terry Darling,Paul E. Goldberg,And working capital as a percentage of sales was actually down year-over-year. So what am I missing there?,"Well, if you look at it, when we started the share repurchase program, if you go back exactly a year, we hadn't done any real significant share repurchase. We really started in earnest in August of last year. So that a pretty hefty amount of share repurchase in a relatively short time. And from a free cash flow perspective, we had very strong free cash flow in the first quarter and the second quarter was relatively strong. So on a comparable basis, we are up 29% year-to-date over last year.",,,,,,,,,
Alexander M. Blanton,Ronald L. Hoffman,"Good morning. I wonder if you could give us a flavor for the trends geographically, what your potential exposure is to Europe, which is weakening in many countries and how much benefit you might be getting from strength in Asia and Latin America?","Alex, that is always very company specific and market specific. But I think we have a slide in our deck that shows our growth rate year-to-date. And the majority of our growth has come in Asia; that's been electronically driven. Plus, the other companies that we have that have strong Asian presence such as Knowles and others. Europe for us was actually up from a growth rate standpoint this year over last. Again, we have some businesses performing well there. Imaje, our product ID company certainly is located in Europe. SWEP [ph] has had a very good run in its heat exchanger business in Europe and we continue to see radar continues [ph] to build. They opened a new plant in China during the quarter. So they will... that will be increasing their international presence. So across the board, pretty good global engagement here. I know a lot of people are talking about Europe pulling back. Our rate of growth in Europe has kind of held in there fairly well. In fact, DE-STA-CO, which serves the automotive market in general is down certainly in U.S. The project with Audio and VW or Volkswagen in Europe have continued to keep that business quite active.",,,,,,,,,
Alexander M. Blanton,Robert G. Kuhbach,"Okay. A second question is on the corporate SG&A. It was up about 74 basis points year-over-year and that hurt... well, there may have been a good reasons for that. But had it not been up, it would have added 0.06 or $0.07 to the earnings per share. So could you give us the reason for that? Is it a product mix change or is it additional spending of some kind or what?","We've had... Alex, this is Rob Kuhbach... we've had somewhat higher professional fees and we had to make some adjustments in our contingency reserves. We don't expect that to continue. The second quarter was somewhat higher than we expect, and I would say we've adjusted our overall annual corporate spend rate. If you look in the outlook stage on the slide, we head up [ph] slightly from probably a total of $5 million from where it was at the end of the first quarter. I would say the lion's share of that is some consulting fees that we've been engaged in. And part of that relates to our integration process planning and the overall business improvement process. Some of that we have absorbed at the corporate level rather than run it through the individual operating company. So I would say it's largely professional fees.",,,,,,,,,
Alexander M. Blanton,Robert G. Kuhbach,"Yes, what was that number you just referred to?","If you look in our slide, we have an outlook on corporate expenses, and we've raised the estimated year... full year number by roughly $5 million.",,,,,,,,,
Alexander M. Blanton,Robert G. Kuhbach,But that's already been taking is what you are saying?,What I'm saying is the lion's share of it we think has been absorbed in the second quarter delta.,,,,,,,,,
Scott Davis,Robert G. Kuhbach,"Maybe tough question to answer, but given that you are 95% FIFO accounting, Rob, do you have a feel for either, A, how much that kind of helped you on a price cost basis this quarter or B, maybe how far behind the price cost curve... I mean I know that buys you a little bit of time to raise prices from an accounting perspective. But how much pressure does that put on you for 3Q to really get prices in?","I would say the impact on Dover... first of all, not a lot of our companies are actually on FIFO or a little more on [ph] LIFO. So we don't have the same... the other way around... I am sorry. So we don't have as much of an impact as companies that are entirely on that system. But I would say that our ability to manage through exercise is very high. We don't expect that to have much of an impact for the quarter or the rest of the year.",,,,,,,,,
Scott Davis,Robert G. Kuhbach,"Okay, good. And when you talked about Electronics really had a nice positive surprise this quarter, and that begs the question when you look at the book-to-bill, was there any kind of pull forward of business ahead of announced price increases that you are aware of?
","I would say in general that we didn't see any significant... I mean, obviously, pricing has been going on all year and will continue to go on. I don't think there is anything significant that you record. It's immeasurable if there has been any impact at all.",,,,,,,,,
