asker,responder,question,answer,Unnamed: 4,Unnamed: 5,Unnamed: 6,Clear,Assertive,Cautious,Optimistic,Specific,Relevant
Naved Khan,Eric Hart,"Yeah, thanks a lot. A couple of questions. Maybe just one for Eric. If I look into the deferred merchant bookings, we're up 25% versus 2019 % versus 2019. Could you just maybe help us understand the gap there? What does -- any differences in the 2 numbers? And then I have a quick follow-up, maybe just on the simplification of the business. Are there other opportunities that you see on the to simplify the business further?","How about I take the first one and Peter probably take the second one. So, on the first one, we -- are deferred merchant bookings balance was approximately 8.24 billion as of the end of June. And if you compare to June the previous year, it was approximately 4.6 billion. There was an increase in what we call core deferred merchant bookings, which is our more traditional or conventional locking business. And that reflects obviously improvements on our, I guess that's compared to 2020. So, I think you'll see on the core business that it's largely in line with where the real differences are coming on the side of the business that ultimately is -- and remember that is restricted. There are approximately 4.26 billion in that deferred merchant bookings for Vrbo and that just reflects the healthy growth that we've seen at Vrbo, that we've talked about a number of times before. I would say that there's no increased risk, if you will, on that core relative to, I think, where we were in 2019.",,,,,,,,,
Naved Khan,Peter Kern,"Yeah, thanks a lot. A couple of questions. Maybe just one for Eric. If I look into the deferred merchant bookings, we're up 25% versus 2019 % versus 2019. Could you just maybe help us understand the gap there? What does -- any differences in the 2 numbers? And then I have a quick follow-up, maybe just on the simplification of the business. Are there other opportunities that you see on the to simplify the business further?","Thanks, Eric. And I'll just add now that in terms of continue to simplify, I don't think that we expect many more sales or mergers or those kinds of simplifications. But there continue to be opportunities for us to simplify how we do business and I think what I referenced about some of our new leadership, The opportunity to simplify how our brands work together. What we're doing on the technology side. We believe we'll continue to unlock opportunities for us but it's not as simplistic, perhaps as a sale of the business or something like that. Don't think there are many of those ones.",,,,,,,,,
Kevin Kopelman,Peter Kern,Great. Thanks so much. Could you give us a sense of where lodging booking out relative to 2019 both in the second quarter and then what you're seeing in Q3 quarter-to-date? Thanks.,"Yeah. So, I'll take the . Basically, we saw, as I mentioned, a good step function, improvement in the second quarter, particularly into June and we're feeling quite good about that. July is a little down relative to June, and as Delta has reared its head, we've seen some more volatility, and July is sort of in line with the earlier part of the quarter -- of the second quarter. So hard to tell how the rest of Q3 will shake out. It's been very responsive to the news cycles. But we're obviously optimistic that more openings talk at the U.S. opening to international vaccinated travel, etc., will create more opportunities, particularly, as I mentioned in the international business, which has been a relative strength of ours. And June was the high point. And July's looking a lot like April and May.",,,,,,,,,
Kevin Kopelman,Eric Hart,Great. Thanks so much. Could you give us a sense of where lodging booking out relative to 2019 both in the second quarter and then what you're seeing in Q3 quarter-to-date? Thanks.,"Then, regards to Vrbo in particular, and we're not going to go into the detail, if you will, on the trends in Q2, but as you think about it going forward, the business continues to perform well you are excited that we're seeing terrific consumer engagements. And then one of the things that we are seeing is that they're continuing to be longer booking windows associated with Vrbo. And as we project forward into Q3 and beyond with those longer booking windows. Our hypothesis is, is that people have been exposed to the category and the category experience. They're looking to book again. They also saw compression that was occurring, particularly during the summer. So, people are going in and reserving the house that they want for whether it's the holiday season or even in into next year as well. So again, time will tell in Q3 and Q4 going forward what seasonality looks like in the state of the world that we're in. But we continue to see some really interesting trends from longer-dated bookings for Vrbo.",,,,,,,,,
Mark Mahaney,Eric Hart,"Okay. Maybe I'll try to -- one, I just want to ask just a numbers question. Sales and marketing as a percentage of revenue and I know this is a shortcut but was higher in the June quarter than we've seen in quite some time. I think it was the highest we've seen in the June quarter in several years. I know that you've gone through a lot of efficiencies. I think Peter, I think the expression you used was volatility in performance marketing. So just talk about how illustrative the June quarter was in terms of the optimization that you want out of your brand and performance marketing spend. You look at that number and you say, well that's the opportunity to those -- to that level of sales and marketing spend come in largely as you would be expected.","Peter, maybe I'll just give a little bit of context. I think one of the things to keep in mind, Mark, is that remember that our revenue is on a state basis, not the times our marketing spend is generating bookings that we're not going to get revenue for until another period if you will. And as I just talked about on the Vrbo 's side, we're continuing to see very long booking windows as a higher mix of our overall transactions. So, it is quite a diff -- and we're seeing other shifts and booking windows across different products as well. And so being able to compare quarter-over-quarter to historical again -- historical quarters, it is quite difficult, so I'd just caution you that simplified forum that admittedly that was simplified, we have to be a little careful to that because of those booking windows looking around and the difference between marketing spend booking and stay days.",,,,,,,,,
Mark Mahaney,Peter Kern,"The second question has to do with brands, and you still have the staple of brands, can you talk about different strengths in different regions and you talk a little bit about Vrbo. What about some of the other brands? And would you call out once that you think we're doing in this environment, are doing particularly well, and those that seem most challenged from a -- just comment on the business, just from a brand perspective, and the brands other than Vrbo?
","Sure. I think broadly the brands are acting within a range, I would say, of performance. But we have seen as I've mentioned, I think before, opportunities, for example, in Australia where our local brand and our local VR brand have performed very well because they had a domestic travel bias in their market, and therefore, in a world where there was much more domestic travel, we leaned into those brands relative to lean into. Let's say, Expedia brand, which has more international appeal. or an international travel fuel. So, we've seen regional moves like that. I think broadly though -- and you see some reactions and we believe hotels.com has a slightly higher percentage of unmanaged corporate travel within it. And, of course, corporate travel has been greatly reduced during COVID. So, we've seen some movements like that, but I would say, broadly, the brands have performed within the range of one other. We are doing a lot of work to figure out long-term how we want the brands to work together as a family of brands rather than as competitors. I've mentioned some of that within Performance Marketing, but I think you'll see that broadly across the enterprise. As Jon and the team get to rationalizing how those -- how we can make those brands all additive to one another as opposed to competitive. And we are continuing to market. Again, in fairly aggressively behind the brand spend. And my comment about the volatility in performance marketing is just to say there continues to be a lot of risk in getting over your performance marketing because of the volatility in cancelation rates, shutdowns, others things. So, on balance, we are slightly more biased towards brand building. And yes, this is a time where we feel, for the reason as I said, that travel is going -- when it can rebound fully, it is going to be extremely robust. And this is not a time where we want to be quiet in the market, so we are doing lots of things including our recent moves to support UNICEF, etc., to get in line with our customer base, get them invested in our brands and the relationship, and drive that for when the future comes pulling in. And while that is volatile, and we don't exactly know when that will be, we know it's coming, so we want to make sure we're there for it.
",,,,,,,,,
Deepak Mathivanan,Eric Hart,"Great guys. Thanks for taking the question. Just a couple of ones. First, Eric, can you help us think about taking rates and booking window dynamic for the second half. With all the moving pieces, it's a little bit of a challenge to translate bookings to revenues. Any additional calls that you can provide thereon take rates and booking window are based on what you're seeing in July would be great. And then the second question. Can you talk about the supply acquisition campaigns on the global side? How has the supply side generally has been at and how should we think about the benefit of this translating into bookings, maybe in the back half and then also into next year? Thank you so much.","Thanks for the question. I -- listen. I understand your question on the first part when it comes to taking rates and booking windows, and it's something that we have caused us a lot of work and volatility if you will on our assessment on our side as well. And I would love to be able to give you more granular responses on what that projection would look like in Q3 and beyond. But the truth be told, that things are just moving around quite a bit when it comes to those booking windows and then from a take-rate standpoint, it's really going to depend on those mixes. And as Peter and I both mentioned, continues to be strong, we've seen conventional hotels come back. Sequentially, we've seen that in the air. We continue to see that in-car which has been quite strong as well it's nice to be associated with it. And again, I'll stop there, but you get the point through the various products. And so, between a combination --",,,,,,,,,
Deepak Mathivanan,Peter Kern,"Great guys. Thanks for taking the question. Just a couple of ones. First, Eric, can you help us think about taking rates and booking window dynamic for the second half. With all the moving pieces, it's a little bit of a challenge to translate bookings to revenues. Any additional calls that you can provide thereon take rates and booking window are based on what you're seeing in July would be great. And then the second question. Can you talk about the supply acquisition campaigns on the global side? How has the supply side generally has been at and how should we think about the benefit of this translating into bookings, maybe in the back half and then also into next year? Thank you so much.","Don't know what happened there? Apologies. I think Eric cut out on us. Hopefully, you can still hear me. I'll just finish by saying that where he was going is the combination of mix has been really different during COVID, so it's a hard thing to tie back to historic levels. Air and other things were down more considerably than launching a car, etc. So, it's a little hard to give you much guidance there except to say, we expect to see continued mix shifts during this somewhat COVID period we are in. But we also believe that over time, and broadly, everything will revert to the in terms of mix and we should see more predictable take rates in that period.",,,,,,,,,
Deepak Mathivanan,Peter Kern,"Okay. Thanks, Peter. And then the second one on Supply acquisition campaigns related to wellbore -- Navarre. Can you talk a little bit about that?","Yes. Sorry about that. Yes. We've been focused, I think, we said the last quarter. But we've -- our principal focus has been on compressor markets and we've seen good growth there and good additions. And when we can add inventory there, we see a very good return on that effort. We have not gone to sort of a broad global return to everywhere acquisition strategy because we just don't think it's a prudent use of resources and so many places are still closed down. But we are taking a much more targeted approach. And as the world opens up, I think you'll see us expand those targets. But in general, when we've been able to add inventory, again, focused on compressed areas that have been quite productive for us.
",,,,,,,,,
Justin Post,Peter Kern,"Great. Thank you. I think we're all trying to figure out what your earnings can look like on the other side of this, and so the market share is important. People are going to compare you're down 26% bookings versus to booking, which is in the low double-digits. So just wondering if you can help us understand how you think about market share in your core U.S. and Europe markets right now. And second, maybe you can explain some of the differences, maybe your percent of air bookings or how much of your bookings are international versus domestic. Thank you.
","Yeah. Thanks for the question, Justin and I will just say so a couple of things to think about there. First of all, as I mentioned, broadly, when you look at conventional lodging plus press we believe our position is stronger in the U.S. than pre - COVID. But, again, that's not the same for all markets. And if you look at a market like EMEA, which came back strong over the summer and came back principally in domestic, that obviously favors some of the other players. And our business in places like EMEA and APAC, as I mentioned, is more international focused. Now that goes to airlift as well because we're very good at delivering long-haul air, which has been virtually non-existent during the COVID period. So, you've seen again, a bunch of these principles at play where we've benefited from some. Others had benefited from others. And we generally believe that international will be the next major thing to open up and that favors our position in many of those markets, and we and we will see that rebound through that side of our business and through the air and all the pieces that are attached to that. But that's really what's going on in market share more than anything, is this a domestic versus international extra start. There are also more bookings into small markets as people have stayed domestic and gone to the equivalent in the U.S. is a small motel near national park etc., that has not been a traditional strength of ours. We have been better in big cities. Big cities have lagged somewhat",,,,,,,,,
Justin Post,Eric Hart,Great. And maybe 1 follow-up. Have you disclosed ever how much air bookings were as a percent in 2019?,"Yes. Now, we've not broken that into 50,000 points.",,,,,,,,,
Brian Nowak,Eric Hart,"Thanks for taking my questions. I have to just go back a little bit, kind of drill into the U.S. Can you just help us better understand where your U.S. lodging business, excluding Vrbo, is now versus 2019? And then secondly, again, focusing on the in lodging. What can you sort of tell us about the customer dynamics? Are you -- is it mostly existing customers, talking about the contribution from new people you're bringing into the platform? What has sort of driving the growth of the core lodging business in the U.S., in the U.S. ex Vrbo so far?","Yeah. Perhaps I'll take the front end of that. Peter, you want to take the back end of it. I understand that trying to Vrbo into conventional locking. We're not going to go into detail on it at this time. On the Vrbo side, I think you've heard us a couple of times anyways, continue to see -- we're seeing a nice performance. We continue to gain share in our primary markets in that business and feel really good about it. And on the conventional logic side, we have seen continued improvement each month of Q2. We've seen a bit of softening in July. But again, at this time, we're not going to go into detail on the breakdown in between those 2, but of both of those is that we feel good about where we are in the recovery that we're seeing during the quarter.
",,,,,,,,,
Brian Nowak,Peter Kern,"Thanks for taking my questions. I have to just go back a little bit, kind of drill into the U.S. Can you just help us better understand where your U.S. lodging business, excluding Vrbo, is now versus 2019? And then secondly, again, focusing on the in lodging. What can you sort of tell us about the customer dynamics? Are you -- is it mostly existing customers, talking about the contribution from new people you're bringing into the platform? What has sort of driving the growth of the core lodging business in the U.S., in the U.S. ex Vrbo so far?","Yeah. And all those go into the customer dynamics a little bit here, Brian, which is to say, I think during COVID broadly, as everybody was marketing somewhat less, we saw a lot of direct business. We're all -- we're happy about that, but it's more of a function of not going on the searching market unless we have people out in the market searching. I think as rebounded tethered more towards usual norms, but again, we've been perhaps somewhat more conservative on the performance marketing side because we -- with cancellation rates so high and other things -- other factors going on, closures, et cetera, it’s easy to spend a lot on performance marketing and not get the return because people don't end up traveling. So, we are seeing, I would say, a mix relatively towards existing customers. I think that's what you'd see across the industry. Its why app usage is up and other things are growing. But, again, I think as the market is rebounding and more people are out in the market searching, you just start to see us get back to a more normal relationship between all the new Now, I will say a big part of our focus as an enterprise is to create longer-term relationships and greater lifetime value and stickiness and love for our brands with our customers. That involves many things, obviously, on the marketing side, on the product side, on the service side, all things we're focused on improving. So that 360 kinds of end price efforts. But we do intend and we do plan to build those customer relationships in a different way. We hope, and historically, where we've all had to go fishing in the Google client or whatever and that was the only place to find their business. So, we're hoping to change those dynamics over time. But we have been -- we have seen, in general during COVID, a greater performance from existing customers.",,,,,,,,,
Brian Nowak,Eric Hart,"Got it. And just to go back to Eric's and it's -- we just go back to Eric's answer. So, the bit of softening in July, is that more pronounced on the traditional lodging side, there is the Vrbo side, or is it sort of evenly spread between the product sets?","I think we're seeing it largely across. Now, even expanded beyond the lodging across all of the product types. And whether that persists or not
",,,,,,,,,
Stephen Ju,Eric Hart,"Thank you so much. So, Peter, I think you wanted to kind of talk about potential permanent changes to consumer behavior. I think vacation rentals versus a hotel are fairly well understood. but are you noticing any change in terms of folks favoring agency versus merchant because I'm sure they probably learned last year they're paying ahead of time and trying to get refunds later on? It's probably something that they probably don't want to do again. So, are there kind of sort of meaningful differences in the conversion rate between the 2 types of transactions you can call out? And does that positively or negatively influence your customer acquisition strategies going forward? Thanks.
","Yeah. I'll take the front end of that as well. I would think about it about merchant and agency that we have seen continued. I think we talked about this a couple of quarters ago. waiting for the agency side of the businesses, consumers want more flexibility, but ultimately, what they're looking for is that flexibility. So, it's more of non-refundable -- refundable is that what they are looking for given the uncertainty in the environment. And, Peter, feel free to add. But that hasn't necessarily changed our customer acquisition strategy, our strategy, or whatever else in the end where our marketplace is running a travel Company. And our job here is to meet with customers and what they're looking for that meets the needs and the use cases that they have and I will continue to do that. But as I said on the front end, and there is continued waiting to the refundable side and the agency side.",,,,,,,,,
Stephen Ju,Peter Kern,"Thank you so much. So, Peter, I think you wanted to kind of talk about potential permanent changes to consumer behavior. I think vacation rentals versus a hotel are fairly well understood. but are you noticing any change in terms of folks favoring agency versus merchant because I'm sure they probably learned last year they're paying ahead of time and trying to get refunds later on? It's probably something that they probably don't want to do again. So, are there kind of sort of meaningful differences in the conversion rate between the 2 types of transactions you can call out? And does that positively or negatively influence your customer acquisition strategies going forward? Thanks.
","Yeah. And I will just add, Stephen, that we're not trying to drive, as Eric said, we're not trying to drive the customer to any particular outcome. We provide choices by and large. And what the customers do, what they want. There has been a relative bias during COVID for pay later. As you say perhaps, I could later do something security around the idea. But there's nothing that I think suggests that that's necessarily a permanent thing. I don't think we know enough yet and we'll see as we come out of COVID, but certainly, we've seen merchant rebound considerably and that may well persist.",,,,,,,,,
