Asker,Responder,Question,Answer,Clear,Assertive,Cautious,Optimistic,Specific,Relevant
Jason Ader,Suresh Vasudevan,"Thank you. Suresh, my question is about competition. If you had to characterize the impact from the incumbent defending share versus some of the upstarts that are spending aggressively to take share, how would you characterize the impact of each?","Jason, during Q3 the incumbents accounted for almost the entire competitive intensity increase that we saw specifically the top four incumbents accounted for over 70% of the competitive engagement that we are in and that's really where we saw very aggressive pricing and other actions that impacted us.

",,,,,,
Jason Ader,Suresh Vasudevan,"Just a quick follow-up on that so if the -- do you think we're going to see the other let's call the new generation of vendors, do you think they are seeing the same thing or do you think that this is somewhat Nimble specific because of your pull back on spending?","I think the place where the competitive intensity was particularly high was in the larger deals segment that’s become a larger part of our mix. So large deals are becoming a greater part of our mix every quarter and that's where we saw very aggressive competitive intensity from the large incumbents. To go one step further the frequency with which we compete against, let's say, younger companies, has been increasing by about one, two percentage points every quarter. And actually our win rates against those remain very consistent. So depending on the individual start up, I suspect they are seeing different competitive responses depending on whether they are competing on the high end or not.",,,,,,
Jason Ader,Suresh Vasudevan,Okay. Not having all-flash probably maybe had an impact too?,"I would say in our competitive engagements pricing action by the large vendors is by far the most dominant factor that impacted us. All-flash just this last quarter went over double-digit percentage in terms of how frequently we compete against all-flash arrays. So while it's been increasing every quarter, it's not the most material factor that impacted us, Jason.

",,,,,,
Brent Bracelin,Suresh Vasudevan,"Thank you. I just had a follow-up here on pricing and then one another follow-up as well. Historically Suresh, pricing has always been aggressive. And in the past your technology advantage has kind of more than offset some of the pricing pressure that you have seen. So first question, why is aggressive pricing now starting to impact you more so than it has in the past?","Yeah, I think, Brent, pricing has always been a factor and I’ve said this on the last two calls, pricing has been getting more and more intense. You can see in our results this quarter that pricing actually impacted our gross margin to some degree as well. So we still maintain a very substantial advantage. But as we are getting into larger and larger deals and those are accounting for greater share of our overall business, typically pricing tends to elongate sales cycle as large enterprise, so that's affecting our conversion rate. Often, I’ve also said before this, Brent, typically, incumbents get the last word on pricing and often it ends up becoming one where the customer says let me stay with the incumbent. So that's another factor we're starting to see. It's mostly a shift in the mix of our business towards really large deals that’s starting to impact us from a pricing standpoint.",,,,,,
Brent Bracelin,Suresh Vasudevan,"Got it. So kind of a combination of mix shift to large deals and then lengthening sales cycles as pricing intensifies at least in North America with these larger enterprises. As a follow-up and thinking about next year, your guidance implies product growth of 20%, 25% here for Q4. Is that the right way to think about kind of the growth rate into next year 20%, 25%? The reason why I ask that your largest competitor EMC is potentially going private next year. They’re going to be in a position to get even more aggressive on price next year, so it just seems like the structural change around pricing could be a permanent thing at least as we think about next year. And so how are you thinking about the appropriate product growth trends that given this pricing environment we should think about for next year?","Yes. So, I'll say one thing Brent. First, we don't give guidance that’s that long-term in nature. But I want to point out there are two factors that impacted us. The first factor is that in the large enterprise segment and in the large deal segment competitive pressure has been a factor that slowed us down. Perhaps the greater impact is that in going after those larger deals and in going after those larger enterprises, we shifted investments from our commercial segment where that is the second action that we are taking to avoid that shift in investments by reinvesting in our commercial segment is what we're doing. So, as you think about our corrective actions besides sort of strengthening our competitive position in the large enterprise segment by broadening our platform, investing in commercial over the next - first two quarters of next year is really what we are doing, which I think will translate into growth again. Beyond that, I don't want to get more detailed on specific growth numbers, Brent.",,,,,,
Rajesh Ghai,Suresh Vasudevan,"Thanks. So Suresh, if I back out your Fibre Channel business from the rest of the business, iSCSI, I noticed that for the last three or four quarter's [as soon as you] [ph] started shipping fiber channel, the iSCSI contribution has kind of plateaued in the high-50s. I recognized your explanation around commercial enterprise, but it appears as if most of your growth going forward is likely to come from Fibre Channel and the iSCSI market has kind of reached a level where you potentially cannot grow going forward. Is that a fair characterization, or why not?","Yeah. Rajesh I’ll go back to what I said, really there are two things going on. One, as we shifted some investment towards going after both large enterprises and larger deployments across our customer base, that’s come at the cost of investments in our traditional midsize enterprise customer base. And that's really where iSCSI was particularly strong. And so you would -- as I've said in the past, the mix of protocol is as much a reflection of our sales capacity investments as a reflection on the market. And so as I described our one of our corrective actions being focused on reinvesting in commercial that's really aimed at making sure we get midsize customers back and that tends to be more dominated by iSCSI as a protocol.",,,,,,
Rajesh Ghai,Suresh Vasudevan,"So you don't think it's going to plateau at that point, there is room for growth in both segments, on both protocols is what you're saying?

","I think that we -- that's correct. What we care more about is growth of both our commercial base as well as our large enterprise, large deal base. The protocol mix is almost an outcome. What will tend to happen is that the lower end of our business or the commercial segment of our business will tend to favor iSCSI more, the higher end will tend to favor Fibre Channel more.

",,,,,,
Alex Kurtz,Suresh Vasudevan,"Yeah. Thanks guys. Just quick question, Suresh, on this commercial activity. You know if you look at the new customer adds in the quarter, they are still pretty strong and towards the high end of where you have executed over the last couple of years. So I guess the question is you know it still seemed like you executed at some level on the commercial business. What I am trying to solve for is what's underneath that miss executed. Because you added a lot of new logos in the quarter, was it just sort of follow-on business with the existing installed base of commercial accounts where you didn't have those investments to follow up on those accounts and drive incremental revenue?","Yeah. That's a good question. Let me start by saying our sort of land and expand model is as consistent as it's always been, so once we land a customer the pattern of repeat purchases as steady as ever. And you are right, that it was a quarter were customer acquisition was very strong. But what we had invested in was the larger deals which are not as much a reflection on customer count as much as deal sizes and really large deals. What we'd invested in was making that a larger part of our business. And so as that has pressure the number of new customers in the mid-size enterprise had to be even larger than we landed to make up for that shift in investment. So that's really what underpinned our results.",,,,,,
Alex Kurtz,Suresh Vasudevan,"It sounds like the October guidance from an enterprise perspective you guys assumed some large deals in the enterprise side we're going to close, right?
","That is exactly right.

",,,,,,
Alex Kurtz,Anup Singh,"It sounds like the October guidance from an enterprise perspective you guys assumed some large deals in the enterprise side we're going to close, right?
",That’s right.,,,,,,
