asker,responder,question,answer,Unnamed: 4,Unnamed: 5,Unnamed: 6,Clear,Assertive,Cautious,Optimistic,Specific,Relevant
Aaron C. Rakers,David I. Goulden,"I guess my question would be centered on the midrange product cycles, specifically the VNX. Can you talk a little bit about where we're at in that cycle? How we should think about the trajectory of that cycle over the next couple of quarters? And any color on how much of that momentum that you've seen is basically leveraging the installed base versus really greenfield new competitive wins?","Yes, let me start. So first of all, as I mentioned in my comments, if you look at what we call unified which is basically the old 2 Cs plus VNX, now 80% of the systems revenue from that category is now in the VNX Family, so the transition to VNX has happened. As I mentioned again in my comments, obviously, we are seeing a lot of upgrade potential and upgrade happening from the installed base, but we're also winning a number of new accounts as I mentioned. The third point I'd make is, that the channel play with VNX is also very strong, with VNXe close to 1,500 new to EMC customers this year, and as I mentioned, again, the non-Dell channel revenues for the mid-tier in total, the biggest piece is unified, is up 40% year-on-year. So we feel good about the take-up, the adoption, the momentum and also the ability to expand the market into not just the VNX space, but also VNXe.",,,,,,,,,
Aaron C. Rakers,Joseph M. Tucci,"I guess my question would be centered on the midrange product cycles, specifically the VNX. Can you talk a little bit about where we're at in that cycle? How we should think about the trajectory of that cycle over the next couple of quarters? And any color on how much of that momentum that you've seen is basically leveraging the installed base versus really greenfield new competitive wins?","Yes, we're basically 2 quarters into the VNXe cycle, and obviously, there's more to go in this cycle. And we have a very robust roadmap, and there'll be refreshers and kickers coming to this product family in the not too distant future.",,,,,,,,,
Brian Marshall,Joseph M. Tucci,"A question for Joe. I think, Joe, you've been talking about IT industry growing at kind of the high end of 5% to 7% range for calendar '11 and your commentary with respect to calendar '12 being below those rates. To put some numbers behind it, I mean, do you think we're talking about 3% to 5% outlook for the industry next year?","Brian, I still am convinced that when all the smoke clears and we look backwards at 2011, you will see 5% to 7% growth this year, probably maybe 6% to 7% in the higher end. So next year is all we're planning for right now from everything we see is that will slow down somewhat. We're still collecting a lot of data, and you read the same analysts and reports that I do, both industry and Wall Street analysts, financial analysts. So there's a lot of work out there. So right now, we're -- our belief is we want to share the best with you, yes, they will be somewhat slower, but we do expect positive growth. I don't want to go with any numbers yet. I promise you we will give you a number when we -- our best guess at a number, not guess, but hard work estimate of a number when we get to Q1 January call.",,,,,,,,,
Ittai Kidron,Joseph M. Tucci,"I wanted to focus on your fourth quarter commentary where you mentioned, correct me if I'm wrong, that you expect the third quarter trends just to continue but to be slightly below normal. Maybe incrementally, can you talk about what vertical are you seeing -- in what verticals you're seeing that slight incremental weakness that now leads you to believe you're not going to see the fourth quarter as you hope you would see?","Well, just to use a little prose, I do expect that we will see a budget flush, but what I try to be -- give you is -- I'm seeing, I think that our budget flush is likely to be real and meaningful, but perhaps slightly below what we've seen in other years, Q3 to Q4 growth. So I still think it will be fairly good. Within that, I mentioned areas to watch where public sector, what was happening in southern Europe, what was happening with commodity pricing. You go down that list, interestingly enough, in public sector, knock on wood, I know others are seeing it, but so far, we're not seeing this public-sector growth slow in the U.S. or in federal government. But we did see some public sector -- a little bit of public-sector slowdown in Europe. I had talked about southern Europe, certainly, that's something we continue to watch and how that impacts on the Eurozone. On the commodity front, you read what I read, again, that oil prices are down and most commodity prices are down also. So that doesn't seem to be too potential -- too big of a potential risk right at this point. The banking sector, everybody worries about, it's really interesting. We saw in the U.S. kind of a slow first half, but a resurgence in the second half of this year. In Europe, in some of the Eurozone banks, there was a little bit of softness in Q3, so we'll continue to watch that. So that's a pretty broad brush of what we're seeing. But overall, again, this slip back into prose, I do expect that we will see a budget flush that ends up being a little bit slower than normal.",,,,,,,,,
Amit Daryanani,David I. Goulden,"Just one maybe follow-up on the December quarter expectations. Maybe if I look at $19.8 billion as a full year run rate, it would imply December is up about 8%. I think historical seasonality tends to be up 15%. Given the fact that you aren't really seeing a lot of issues in public financials, could you help us understand why the big delta versus historical trends which you guys are guiding for December?","Well, first of all, understand that our guidance is to exceed $19.8 billion and exceed $1.48. So you can't plug those numbers in. We said that we're going to do better than those numbers. So that perhaps is the most important data point to start off with here. As Joe said, we're expecting to see a strong Q4, a meaningful increase in revenues from Q3, and a slightly lower-than-normal budget flush, but still a decent budget flush, so we're looking for a strong Q4.",,,,,,,,,
Amit Daryanani,David I. Goulden,"And I mean, I guess maybe the part I was trying to get on was, do you think FX can have some sort of impact in the December quarter on a sequential basis?","On a year-on-year basis, which is perhaps the way to kind of look at it, quarter-end FX rates would give us a neutral impact in Q4. Obviously, they were a help on a year-on-year basis in Q3, so FX would make basically a couple of points of difference. We had about 170 basis points of help from FX in Q3. And currently, we expect no FX help in Q4.",,,,,,,,,
Scott D. Craig,David I. Goulden,"David, can you maybe go through the gross margin side a little bit more both on a quarter-over-quarter basis and on a year-over-year basis just sort of how much did mix and, say, the efficiencies and sort of the product and services cost reductions that you're seeing contribute to the gross margin improvement just in a little more detail?","Sure, Scott. Year-on-year, the big driver is our product margins. Basically, VMware product margins improved and storage product margin improved, and the storage product margins are from 2 things. One is from a continued mix shift towards our higher margin products, which is our software products and our appliances, and we've kind of promoted that theme for the last kind of couple of years. That helps us. But we also got some margin rate improvements in almost all the major products on a year-on-year basis as well. Quarter-on-quarter, we saw a little bit of improvements in product gross margins, but the bigger improvement quarter-on-quarter was in services gross margin where a couple of things happened. We saw a mixed shift towards our maintenance services which are more profitable than our professional services. But also within our professional services, we also saw a few points of margin improvement there, and those are the biggest drivers.",,,,,,,,,
Deepak Sitaraman,Joseph M. Tucci,"Joe and David, on VNX, relative to the 1,300 new customers that you've noted for VNXe, what were the comparable number be if you were to just look at VNX? And in terms of share gains in the midrange, specifically for VNX and Isilon, can you share some thoughts on where you think the share gains for each of these product families is coming from?","Let me do it this way. I don't want to break out -- break apart VNX and VNXe. But the risk of David throwing something at me, I'll evoke executive privilege here, and I'll give you a number you would -- but it's like I don't -- we're going to basically -- we're focused on mid-tier and that's the number we're going to give you, but I'll delve back. Year-on-year, our VNX products grew over 20% year-on-year. And so in other words, if you took Celerra, CLARiiON last year and you took those same product families this year with VNX, VNXe, we grew over 20%. So the family is doing fine. We're having applicability across a wide, probably all verticals and in several big cloud topology. So we're very pleased with the way the VNX Family is progressing.",,,,,,,,,
Deepak Sitaraman,David I. Goulden,"Joe and David, on VNX, relative to the 1,300 new customers that you've noted for VNXe, what were the comparable number be if you were to just look at VNX? And in terms of share gains in the midrange, specifically for VNX and Isilon, can you share some thoughts on where you think the share gains for each of these product families is coming from?","And Deepak, let me just add to that. Obviously, VNX is a huge part of the mid-tier. But also in mid-tier, you got Isilon, which we said basically doubled on a year-on-year basis, and you've got Backup Recovery and the systems that are also kind of in the 20% plus growth range as well. So you'll look at all and it's a really strong portfolio, and I think we're definitely gaining share in the mid-tier.
",,,,,,,,,
Maynard J. Um,Joseph M. Tucci,"I just want to delve a little deeper into your comments on the financials and the federal verticals, which doesn't sound like you had issues that others have been seeing. Does your commentary about the linearity of the business also apply to these verticals? And in particular to federal, was the budget flush in the U.S. as you expected or was that more attributed to share gains there?","I believe in the federal. Obviously, it was the quarter end for federal, so there are always some budget flush in the federal and we saw some of that. And I do believe we took some share, specifically, in the mid-tier product family. When you look at the power of the VNX, the VNXe, the unified, the Data Domain and Avamar products, we have tremendous portfolio there. And there's no doubt in my mind we took some share.",,,,,,,,,
