asker,responder,question,answer,Unnamed: 4,Unnamed: 5,Unnamed: 6,Clear,Assertive,Cautious,Optimistic,Specific,Relevant
Andrew Lazar,Michele Buck,"Hi. You know I'm curious, for the past several years, Michele, the majority, if not all, of the Company's organic sales growth has come really from pricing as opposed to volume or consumption growth. And much of this is obviously due to the success of the Company's new pricing model and the associated volume elasticity that comes with it.I guess that said, as you look forward into '21 and beyond, I'm curious if there is a sort of focus internally on maybe regaining some better balance between the two drivers. And if so, would you expect to see some of that maybe develop more fully next year? Thanks so much.","Yeah. Andrew, absolutely. I think we've shared before that we do view pricing as an important part of our growth algorithm, but we are very focused and would like to drive to greater balance between price and volume.
We have good visibility into Q4 and 2021 and we do expect volume trends to improve, part of that will be us lapping some of our pricing elasticity from last year, and also a continuation of some of the strong share gains that we've seen to date that will carry into the first part of next year.
I think you can definitely count on seeing volume being a more important part of the algorithm next year and we feel good that the calendar of programming we have, the innovation, the media is really going to help to drive some of that.",,,,,,,,,
Ken Goldman,Michele Buck,"Hi, thank you. Along the same lines of 2021, if I can, Michele, you pulled back a little bit on advertising this quarter. It's been a little up and down this year, for understandable reasons. I'm just curious what your thoughts are in general on what the Company's plan is for advertising and marketing in general, as you get into what hopefully will be a more normal year in 2021?","Sure. So we definitely believe in investing in our brands. That is a critical piece of our growth model on the business. So clearly, as we mentioned to you, we had pulled back on some spend in areas where we just thought given the pandemic, it didn't make sense. For example, in refreshments, where we knew consumer usage was down significantly.
But as we look to 2021 and as we've started to see the momentum that we're seeing and some of the recoveries, we definitely plan on taking our investment levels to where we would like them to be and more in line with where they have been historically. So you'll see us really gleaning into drive the consumer and to leverage some of the behaviors that we're seeing.",,,,,,,,,
Ken Goldman,Steve Voskuil,"Thank you. And then for a follow-up, you didn't do any share repurchases this quarter, I think that's the first time in two years and that was -- the last time was right before you bought Pirate's Booty. I want to ask if the lack of repo is an indication of a pending deal, of course, but I am curious how you would describe the current environment for potential transactions. I guess particularly, are targets may be more willing to sell because they can do so off a higher sales number than usual or are they more hesitant because they, I guess, kind of want to ride this demand wave as long as they can?","Yeah, I'd be happy to. So first, just on the share repurchase, I will just echo what you said, don't read anything into that. I would say for this year, we have taken a little bit more cautious approach to liquidity in general. Going back to the beginning of the year in the COVID phase, just taken a little bit more cautious approach.
We will be revisiting that as we look at next year and I would say, in general, our capital allocation priorities haven't changed. With respect to M&A specifically, it's probably more the latter, I think people are still, the ones that are the most interesting are riding the wave and they still have valuation expectations that look like they did pre-COVID if not higher. But I would say we're continuing to have an active funnel, continuing to look at a number of opportunities and we'll continue to update the market as appropriate.",,,,,,,,,
Robert Moskow,Michele Buck,"Hi, thank you. I think the recovery expected in 2021 in international and other is, you have a 2% headwind this year in 2020. But can you give us a little bit of color as to the condition of your business in Mexico and India and China? Is it easy to assume that things can go back to normal or has the pandemic impaired your commercial capabilities at all or the retailer's desire to merchandise confectionery products in those markets?","Yeah. So first of all, I'd start by saying certainly there is a lot of uncertainty and volatility with the pandemic. We all know that we're seeing the ups and downs of occasional increases in spikes in markets around the globe. That said, I would say that we were pleasantly surprised by our performance in international. Our team did a great job executing in this very challenging environment and I think that we've seen, while each market is a little different and the use of the category is a little bit different, consumers are really looking, during this time, for brands they trust and we've done a great job over the past couple of years building the Hershey equity.
So we were pleased with the rebound that we saw in many of our markets. I think I mentioned in India, our business was now up 6% versus it had been down. We gained market share across almost every market on our core chocolate category. So I wouldn't say that we believe our ability to drive the business has been impaired in any market on a permanent basis. Just as we are pivoting in the U.S., I think we've pivoted to where the opportunities are in international and we feel good about the recovery and plan to continue to deliver against that",,,,,,,,,
Robert Moskow,Michele Buck,"Thanks. Can I dive a little bit deeper into Mexico, are there any packaging requirements that the government is making on nutritional values or any concerns about the category and how that might impact the category?","Yeah, absolutely. So the government did put in place front of pack labeling changes in Mexico and that new packaging is now in the market and we are beginning to monitor the trends. We believe consumers know our category is a treat, they know it has sugar and so we expect that we'll see less impact from that than perhaps other categories will. But we will of course keep a close eye on that. And I would say, Mexico has been one of the harder hit developing markets relative to COVID. So we feel good about the progress we're seeing, but it's a little slower than some of the other markets.",,,,,,,,,
David Palmer,Michele Buck,"Thanks. Good morning. A question on your share gains in the US and particularly in chocolate, you really -- and in your prepared remarks, you touched on this, how adaptive you were by market, by channel, by need state and in terms of S'mores. Some of that's related or might be related to supply chain, could you talk about that part of it and I think the reason I'm asking is because if there is a supply chain breakdown or lack of adaptability by a competitor, maybe that will represent share gains that they can reverse somewhat in '21? And I have a follow-up.","Yeah, absolutely. So I would say I believe our share gains are a testament to both our strong brands, our consumer understanding, our programming as well as to the supply chain execution and execution at retail, both of which tend to be core advantages for us as a company.
So I think we're seeing our categories and our brands are definitely resonating with consumers. And as you mentioned, we really pivoted with the consumers, so very early on, we tried to understand how consumer behavior was changing and we've talked to all of you before about the fact that our category splits, a third a third a third, take home, instant consumable and seasonal.
And as we saw consumer shift to more at-home behaviors, we, very early on, shifted the focus in our portfolio to really dial-up S'mores, Twizzlers for movie nights, our baking product activities. And then within the seasons even with Halloween, we made that decision to lean in and drive and build a Halloween season versus back away from it. And everything related to that relative to let's set the season early, so we can get consumers in in pre-trick-or-treat, let's make sure we are smart about the portfolio that's out there and not overly index to seasonal SKUs, etc.
And then, we worked really hard on messaging to message consumer's safe ways to celebrate the Holiday. We dialed up e-commerce, as consumers shifted to e-commerce and because we had invested in capabilities in that, we were able to do that.
And then, I think a lot of the strong investments we've made in other capabilities over the years helped us during this time to execute well. And some of those go beyond supply chain. So we've made investments in better understanding consumer trends.
We've made investments in our ability to forecast at a much more granular level. We've made media investments to target better. And certainly, we've invested in our plans all along the way, which really enabled us to pivot quickly to safety protocols and really be able to continue to execute and then we made the decision to keep our retail sales team at retail.
So, as I think about -- think about that share gain, I would say clearly, we would expect to continue to see share gains clearly through the spring of '21. We would expect that they would moderate after that, though we're certainly expecting to hold on to share. And we will continue to drive our outstanding programming and also continue to execute supply chain with excellence.",,,,,,,,,
David Palmer,Steve Voskuil,"That's helpful. Thank you. And then just on any sort of one times from this year that we should be thinking about from a model perspective. I'm thinking about COVID related friction costs this year, but also you might add back some SG&A in parts and other. So any one-time type comparisons that we should think about. Thanks.","Yeah. I think we talked about in the prepared remarks. On the top line, we had about a 2 point impact, so you can right-away say there is a drop through that 2 point into profitability.
But then if you take a look at the net of costs for COVID, so protective equipment and employee incentives that we had early in the year and you net them against the DME optimization, the media optimization that we did, as w ell as the T&E savings, it was a net slightly positive on those two pieces. And so that we would expect to mostly go away.
We'll have some lingering costs next year, probably less one off in any quarter related to COVID, PP&E and so forth that continue. But net, it was just a slight positive outside of the 2 point drag on the top line.",,,,,,,,,
Christopher Growe,Michele Buck,"Hi, I had a question for you. if I look back at Halloween, I'm curious if you split the season apart and you had given some refresher on this last quarter, sort of the early season part and the trick-or-treat season part. Kind of how each piece performed, if you can give us a little color around that? We have some information from IRI, but I'm curious if you have better information than we have.
And then, I'm also curious as I think about that early part, if that's more indicative of what you expect for the Holiday season, as we move into Christmas and that kind of time where you don't have like a trick-or-treat event, can that early season -- if you start that season early, and particular in stores, be more like what we saw in the early part of Halloween, if that makes sense.","Yeah. So clearly we saw that within the season, the early part of the season performed more strongly, and the later part that's more trick-or-treat focused performed a little bit softer. Now, we had anticipated that. So overall, the season performed exactly in line with our expectations.
As we look at the total season, we were quite pleased that our sales were actually up versus a year ago as was our sell-through up versus a year ago. So during a time of the global pandemic, I think it speaks to the resiliency of the category and the consumers' desire to really hold on to and continue to celebrate the traditions and fun occasions like this in their family lives.
As we look at Holiday, Holiday is -- has some different consumer dynamics than Halloween. And so, we believe it will behave a little differently. I don't think we're going to have some of the pressure that we anticipated we could have coming into Halloween. The category should be quite strong, consumers use the product in different ways. It's much more about family occasions. We aren't as big in gifting, some of the areas of the category that might be a little bit more hard hit. So we expect solid results, given that skew to at-home consumption.",,,,,,,,,
Christopher Growe,Steve Voskuil,"Okay, thank you. And then, just a follow into that, are you shipping in Holiday product early and would that have been an incremental. But do we see some of that in the third quarter more than we would have seen historically?","Yeah, we did. Just like we did with Halloween, started shipping in Holiday a bit early, so you do get some pickup in the third quarter for that. That will take away a little bit from the fourth quarter, maybe on the order of 50 basis points.",,,,,,,,,
Christopher Growe,Michele Buck ,"Okay, thank you. And then, just a follow into that, are you shipping in Holiday product early and would that have been an incremental. But do we see some of that in the third quarter more than we would have seen historically?","And we also do that to drive the consumer behavior early as well, just as we did with Halloween, you know as Halloween was still on the floor, Holiday was also out there, so that consumers could also gravitate to the Holiday pretty quickly. A strong Halloween sell-through -- yeah, a strong Halloween sell through really helps us because it helps us get that fast start to Holidays, because it clears the space to be able to put Holiday on the floor.",,,,,,,,,
